adp_source,ffc_player_id,mfl_id,player_name,position,team,bye,rank,average_pick,std_dev,high_pick,low_pick,times_drafted,total_drafts_in_sample,sample_window,period,teams,format,is_retrospective_aggregate,as_of_date,retrieved_at,ingested_at
ffc_half_ppr_12team,,14104,A.J. Brown,WR,NE,,25,2.2,2.07,3.10,784,,3949,"August 29, 2021 to September 1, 2021",2021,12,half-ppr,0,2021-09-01,2026-07-29T23:22:18.132705+00:00,2026-07-29T23:22:18.132705+00:00
ffc_half_ppr_12team,,10261,A.J. Green,WR,FA,,175,14.8,10.01,16.01,136,,3949,"August 29, 2021 to September 1, 2021",2021,12,half-ppr,0,2021-09-01,2026-07-29T23:22:18.132705+00:00,2026-07-29T23:22:18.132705+00:00
ffc_half_ppr_12team,,14805,AJ Dillon,RB,CAR,,80,5.0,6.01,8.09,439,,3949,"August 29, 2021 to September 1, 2021",2021,12,half-ppr,0,2021-09-01,2026-07-29T23:22:18.132705+00:00,2026-07-29T23:22:18.132705+00:00
ffc_half_ppr_12team,,13319,Aaron Jones Sr.,RB,MIN,,6,1.2,1.02,2.04,816,,3949,"August 29, 2021 to September 1, 2021",2021,12,half-ppr,0,2021-09-01,2026-07-29T23:22:18.132705+00:00,2026-07-29T23:22:18.132705+00:00
ffc_half_ppr_12team,,7836,Aaron Rodgers,QB,PIT,,66,6.6,3.08,8.04,896,,3949,"August 29, 2021 to September 1, 2021",2021,12,half-ppr,0,2021-09-01,2026-07-29T23:22:18.132705+00:00,2026-07-29T23:22:18.132705+00:00
ffc_half_ppr_12team,,11938,Adam Thielen,WR,FA,,53,4.6,3.08,6.06,796,,3949,"August 29, 2021 to September 1, 2021",2021,12,half-ppr,0,2021-09-01,2026-07-29T23:22:18.132705+00:00,2026-07-29T23:22:18.132705+00:00
ffc_half_ppr_12team,,14870,Adam Trautman,TE,DEN,,165,25.1,7.1,17.10,105,,3949,"August 29, 2021 to September 1, 2021",2021,12,half-ppr,0,2021-09-01,2026-07-29T23:22:18.132705+00:00,2026-07-29T23:22:18.132705+00:00
ffc_half_ppr_12team,,14223,Alexander Mattison,RB,FA,,108,8.0,7.1,11.02,199,,3949,"August 29, 2021 to September 1, 2021",2021,12,half-ppr,0,2021-09-01,2026-07-29T23:22:18.132705+00:00,2026-07-29T23:22:18.132705+00:00
ffc_half_ppr_12team,,11678,Allen Robinson II,WR,FA,,33,3.0,2.03,4.07,1256,,3949,"August 29, 2021 to September 1, 2021",2021,12,half-ppr,0,2021-09-01,2026-07-29T23:22:18.132705+00:00,2026-07-29T23:22:18.132705+00:00
ffc_half_ppr_12team,,13132,Alvin Kamara,RB,NO,,3,1.2,1.01,1.08,710,,3949,"August 29, 2021 to September 1, 2021",2021,12,half-ppr,0,2021-09-01,2026-07-29T23:22:18.132705+00:00,2026-07-29T23:22:18.132705+00:00
ffc_half_ppr_12team,,12175,Amari Cooper,WR,FA,,43,4.2,3.07,5.12,1179,,3949,"August 29, 2021 to September 1, 2021",2021,12,half-ppr,0,2021-09-01,2026-07-29T23:22:18.132705+00:00,2026-07-29T23:22:18.132705+00:00
ffc_half_ppr_12team,,15287,Amon-Ra St. Brown,WR,DET,,187,15.2,11.04,17.06,129,,3949,"August 29, 2021 to September 1, 2021",2021,12,half-ppr,0,2021-09-01,2026-07-29T23:22:18.132705+00:00,2026-07-29T23:22:18.132705+00:00
ffc_half_ppr_12team,,14852,Antonio Gibson,RB,FA,,15,2.0,1.03,2.07,830,,3949,"August 29, 2021 to September 1, 2021",2021,12,half-ppr,0,2021-09-01,2026-07-29T23:22:18.132705+00:00,2026-07-29T23:22:18.132705+00:00
ffc_half_ppr_12team,,13404,Austin Ekeler,RB,FA,,11,2.0,1.04,2.07,985,,3949,"August 29, 2021 to September 1, 2021",2021,12,half-ppr,0,2021-09-01,2026-07-29T23:22:18.132705+00:00,2026-07-29T23:22:18.132705+00:00
ffc_half_ppr_12team,,13590,Baker Mayfield,QB,TB,,142,14.5,7.08,14.11,228,,3949,"August 29, 2021 to September 1, 2021",2021,12,half-ppr,0,2021-09-01,2026-07-29T23:22:18.132705+00:00,2026-07-29T23:22:18.132705+00:00
ffc_half_ppr_12team,,11674,Brandin Cooks,WR,FA,,104,7.4,7.05,11.05,427,,3949,"August 29, 2021 to September 1, 2021",2021,12,half-ppr,0,2021-09-01,2026-07-29T23:22:18.132705+00:00,2026-07-29T23:22:18.132705+00:00
ffc_half_ppr_12team,,14840,Brandon Aiyuk,WR,SF,,57,4.5,3.09,6.10,637,,3949,"August 29, 2021 to September 1, 2021",2021,12,half-ppr,0,2021-09-01,2026-07-29T23:22:18.132705+00:00,2026-07-29T23:22:18.132705+00:00
ffc_half_ppr_12team,,11947,Brandon McManus,PK,FA,,202,18.0,12.05,17.12,34,,3949,"August 29, 2021 to September 1, 2021",2021,12,half-ppr,0,2021-09-01,2026-07-29T23:22:18.132705+00:00,2026-07-29T23:22:18.132705+00:00
ffc_half_ppr_12team,,14844,Bryan Edwards,WR,FA,,161,13.8,7.1,15.11,131,,3949,"August 29, 2021 to September 1, 2021",2021,12,half-ppr,0,2021-09-01,2026-07-29T23:22:18.132705+00:00,2026-07-29T23:22:18.132705+00:00
ffc_half_ppr_12team,,13629,Calvin Ridley,WR,TEN,,20,2.3,1.09,3.02,1116,,3949,"August 29, 2021 to September 1, 2021",2021,12,half-ppr,0,2021-09-01,2026-07-29T23:22:18.132705+00:00,2026-07-29T23:22:18.132705+00:00
ffc_half_ppr_12team,,12610,Carson Wentz,QB,MIN,,200,22.4,11.1,18.06,31,,3949,"August 29, 2021 to September 1, 2021",2021,12,half-ppr,0,2021-09-01,2026-07-29T23:22:18.132705+00:00,2026-07-29T23:22:18.132705+00:00
ffc_half_ppr_12team,,14832,CeeDee Lamb,WR,DAL,,32,3.0,2.09,4.03,816,,3949,"August 29, 2021 to September 1, 2021",2021,12,half-ppr,0,2021-09-01,2026-07-29T23:22:18.132705+00:00,2026-07-29T23:22:18.132705+00:00
ffc_half_ppr_12team,,14841,Chase Claypool,WR,FA,,63,6.2,3.05,7.07,642,,3949,"August 29, 2021 to September 1, 2021",2021,12,half-ppr,0,2021-09-01,2026-07-29T23:22:18.132705+00:00,2026-07-29T23:22:18.132705+00:00
ffc_half_ppr_12team,,13726,Chase Edmonds,RB,FA,,59,6.0,2.12,7.01,825,,3949,"August 29, 2021 to September 1, 2021",2021,12,half-ppr,0,2021-09-01,2026-07-29T23:22:18.132705+00:00,2026-07-29T23:22:18.132705+00:00
ffc_half_ppr_12team,,13163,Chris Godwin Jr.,WR,TB,,46,4.7,2.12,6.01,1118,,3949,"August 29, 2021 to September 1, 2021",2021,12,half-ppr,0,2021-09-01,2026-07-29T23:22:18.132705+00:00,2026-07-29T23:22:18.132705+00:00
ffc_half_ppr_12team,,13130,Christian McCaffrey,RB,SF,,1,0.6,1.01,1.04,1038,,3949,"August 29, 2021 to September 1, 2021",2021,12,half-ppr,0,2021-09-01,2026-07-29T23:22:18.132705+00:00,2026-07-29T23:22:18.132705+00:00
ffc_half_ppr_12team,,15261,Chuba Hubbard,RB,CAR,,137,10.8,9.02,14.05,317,,3949,"August 29, 2021 to September 1, 2021",2021,12,half-ppr,0,2021-09-01,2026-07-29T23:22:18.132705+00:00,2026-07-29T23:22:18.132705+00:00
ffc_half_ppr_12team,,14803,Clyde Edwards-Helaire,RB,FA,,19,2.3,1.05,3.01,748,,3949,"August 29, 2021 to September 1, 2021",2021,12,half-ppr,0,2021-09-01,2026-07-29T23:22:18.132705+00:00,2026-07-29T23:22:18.132705+00:00
ffc_half_ppr_12team,,10973,Cole Beasley,WR,FA,,170,18.0,5.07,16.11,169,,3949,"August 29, 2021 to September 1, 2021",2021,12,half-ppr,0,2021-09-01,2026-07-29T23:22:18.132705+00:00,2026-07-29T23:22:18.132705+00:00
ffc_half_ppr_12team,,13164,Cooper Kupp,WR,SEA,,47,4.3,3.05,6.04,949,,3949,"August 29, 2021 to September 1, 2021",2021,12,half-ppr,0,2021-09-01,2026-07-29T23:22:18.132705+00:00,2026-07-29T23:22:18.132705+00:00
ffc_half_ppr_12team,,13153,Corey Davis,WR,FA,,102,9.4,6.02,11.09,1104,,3949,"August 29, 2021 to September 1, 2021",2021,12,half-ppr,0,2021-09-01,2026-07-29T23:22:18.132705+00:00,2026-07-29T23:22:18.132705+00:00
