adp_source,ffc_player_id,mfl_id,player_name,position,team,bye,rank,average_pick,std_dev,high_pick,low_pick,times_drafted,total_drafts_in_sample,sample_window,period,teams,format,is_retrospective_aggregate,as_of_date,retrieved_at,ingested_at
ffc_non_ppr_12team,,14104,A.J. Brown,WR,NE,,23,2.6,1.01,3.05,420,,2656,"August 28, 2021 to September 1, 2021",2021,12,standard,0,2021-09-01,2026-07-29T23:23:32.243201+00:00,2026-07-29T23:23:32.243201+00:00
ffc_non_ppr_12team,,10261,A.J. Green,WR,FA,,187,17.0,9.06,15.12,103,,2656,"August 28, 2021 to September 1, 2021",2021,12,standard,0,2021-09-01,2026-07-29T23:23:32.243201+00:00,2026-07-29T23:23:32.243201+00:00
ffc_non_ppr_12team,,14805,AJ Dillon,RB,CAR,,78,6.3,5.06,8.09,300,,2656,"August 28, 2021 to September 1, 2021",2021,12,standard,0,2021-09-01,2026-07-29T23:23:32.243201+00:00,2026-07-29T23:23:32.243201+00:00
ffc_non_ppr_12team,,13319,Aaron Jones Sr.,RB,MIN,,7,1.5,1.03,2.01,683,,2656,"August 28, 2021 to September 1, 2021",2021,12,standard,0,2021-09-01,2026-07-29T23:23:32.243201+00:00,2026-07-29T23:23:32.243201+00:00
ffc_non_ppr_12team,,7836,Aaron Rodgers,QB,PIT,,52,8.2,1.03,8.02,623,,2656,"August 28, 2021 to September 1, 2021",2021,12,standard,0,2021-09-01,2026-07-29T23:23:32.243201+00:00,2026-07-29T23:23:32.243201+00:00
ffc_non_ppr_12team,,11938,Adam Thielen,WR,FA,,46,4.8,3.08,6.01,517,,2656,"August 28, 2021 to September 1, 2021",2021,12,standard,0,2021-09-01,2026-07-29T23:23:32.243201+00:00,2026-07-29T23:23:32.243201+00:00
ffc_non_ppr_12team,,14870,Adam Trautman,TE,DEN,,163,25.7,8.12,17.09,26,,2656,"August 28, 2021 to September 1, 2021",2021,12,standard,0,2021-09-01,2026-07-29T23:23:32.243201+00:00,2026-07-29T23:23:32.243201+00:00
ffc_non_ppr_12team,,14223,Alexander Mattison,RB,FA,,109,9.3,7.01,11.06,150,,2656,"August 28, 2021 to September 1, 2021",2021,12,standard,0,2021-09-01,2026-07-29T23:23:32.243201+00:00,2026-07-29T23:23:32.243201+00:00
ffc_non_ppr_12team,,11678,Allen Robinson II,WR,FA,,38,3.7,3.01,5.02,993,,2656,"August 28, 2021 to September 1, 2021",2021,12,standard,0,2021-09-01,2026-07-29T23:23:32.243201+00:00,2026-07-29T23:23:32.243201+00:00
ffc_non_ppr_12team,,13132,Alvin Kamara,RB,NO,,4,1.1,1.01,1.08,645,,2656,"August 28, 2021 to September 1, 2021",2021,12,standard,0,2021-09-01,2026-07-29T23:23:32.243201+00:00,2026-07-29T23:23:32.243201+00:00
ffc_non_ppr_12team,,12175,Amari Cooper,WR,FA,,47,4.6,2.1,6.01,713,,2656,"August 28, 2021 to September 1, 2021",2021,12,standard,0,2021-09-01,2026-07-29T23:23:32.243201+00:00,2026-07-29T23:23:32.243201+00:00
ffc_non_ppr_12team,,15287,Amon-Ra St. Brown,WR,DET,,197,19.2,11.01,16.11,44,,2656,"August 28, 2021 to September 1, 2021",2021,12,standard,0,2021-09-01,2026-07-29T23:23:32.243201+00:00,2026-07-29T23:23:32.243201+00:00
ffc_non_ppr_12team,,14852,Antonio Gibson,RB,FA,,15,2.2,1.07,2.09,612,,2656,"August 28, 2021 to September 1, 2021",2021,12,standard,0,2021-09-01,2026-07-29T23:23:32.243201+00:00,2026-07-29T23:23:32.243201+00:00
ffc_non_ppr_12team,,13404,Austin Ekeler,RB,FA,,14,2.5,1.06,2.12,764,,2656,"August 28, 2021 to September 1, 2021",2021,12,standard,0,2021-09-01,2026-07-29T23:23:32.243201+00:00,2026-07-29T23:23:32.243201+00:00
ffc_non_ppr_12team,,13590,Baker Mayfield,QB,TB,,140,16.5,7.07,14.10,181,,2656,"August 28, 2021 to September 1, 2021",2021,12,standard,0,2021-09-01,2026-07-29T23:23:32.243201+00:00,2026-07-29T23:23:32.243201+00:00
ffc_non_ppr_12team,,11674,Brandin Cooks,WR,FA,,113,9.7,7.06,12.03,366,,2656,"August 28, 2021 to September 1, 2021",2021,12,standard,0,2021-09-01,2026-07-29T23:23:32.243201+00:00,2026-07-29T23:23:32.243201+00:00
