adp_source,ffc_player_id,mfl_id,player_name,position,team,bye,rank,average_pick,std_dev,high_pick,low_pick,times_drafted,total_drafts_in_sample,sample_window,period,teams,format,is_retrospective_aggregate,as_of_date,retrieved_at,ingested_at
ffc_ppr_12team,,10261,A.J. Green,WR,FA,,2,2.1,1.01,2.05,296,,635,"August 31, 2014 to September 1, 2014",2014,12,ppr,0,2014-09-01,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,,7836,Aaron Rodgers,QB,PIT,,5,4.2,1.03,3.10,234,,635,"August 31, 2014 to September 1, 2014",2014,12,ppr,0,2014-09-01,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,,10313,Andy Dalton,QB,PHI,,29,13.5,1.07,13.02,156,,635,"August 31, 2014 to September 1, 2014",2014,12,ppr,0,2014-09-01,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,,11674,Brandin Cooks,WR,FA,,14,8.6,4.11,8.11,218,,635,"August 31, 2014 to September 1, 2014",2014,12,ppr,0,2014-09-01,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,,11225,Cordarrelle Patterson,RB,FA,,8,5.1,3.01,5.02,250,,635,"August 31, 2014 to September 1, 2014",2014,12,ppr,0,2014-09-01,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,,11232,DeAndre Hopkins,WR,FA,,24,7.6,7.08,11.06,133,,635,"August 31, 2014 to September 1, 2014",2014,12,ppr,0,2014-09-01,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,,9075,DeSean Jackson,WR,FA,,12,7.2,4.01,7.10,228,,635,"August 31, 2014 to September 1, 2014",2014,12,ppr,0,2014-09-01,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,,11193,Giovani Bernard,RB,FA,,4,3.1,1.06,2.12,242,,635,"August 31, 2014 to September 1, 2014",2014,12,ppr,0,2014-09-01,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,,10868,Greg Zuerlein,PK,FA,,48,4.9,14.07,15.12,36,,635,"August 31, 2014 to September 1, 2014",2014,12,ppr,0,2014-09-01,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,,9925,Jimmy Graham,TE,FA,,1,2.2,1.01,2.06,269,,635,"August 31, 2014 to September 1, 2014",2014,12,ppr,0,2014-09-01,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,,9064,Joe Flacco,QB,CIN,,42,11.2,12.01,15.12,44,,635,"August 31, 2014 to September 1, 2014",2014,12,ppr,0,2014-09-01,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,,11676,Jordan Matthews,TE,FA,,27,8.8,8.01,12.07,115,,635,"August 31, 2014 to September 1, 2014",2014,12,ppr,0,2014-09-01,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,,10271,Julio Jones,WR,FA,,3,2.2,1.04,2.09,280,,635,"August 31, 2014 to September 1, 2014",2014,12,ppr,0,2014-09-01,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,,10976,Justin Tucker,PK,FA,,39,8.3,10.09,14.10,54,,635,"August 31, 2014 to September 1, 2014",2014,12,ppr,0,2014-09-01,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,,11222,Keenan Allen,WR,FA,,7,3.7,2.04,4.08,242,,635,"August 31, 2014 to September 1, 2014",2014,12,ppr,0,2014-09-01,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,,10312,Kyle Rudolph,TE,FA,,15,9.0,4.12,9.08,203,,635,"August 31, 2014 to September 1, 2014",2014,12,ppr,0,2014-09-01,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,,10276,Mark Ingram II,RB,FA,,20,8.0,6.12,10.08,93,,635,"August 31, 2014 to September 1, 2014",2014,12,ppr,0,2014-09-01,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,,8742,Mason Crosby,PK,FA,,40,5.7,12.05,15.09,56,,635,"August 31, 2014 to September 1, 2014",2014,12,ppr,0,2014-09-01,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,,8930,Matt Prater,PK,FA,,46,6.3,14.02,15.12,30,,635,"August 31, 2014 to September 1, 2014",2014,12,ppr,0,2014-09-01,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,,9099,Matt Ryan,QB,FA,,13,7.7,4.02,8.07,182,,635,"August 31, 2014 to September 1, 2014",2014,12,ppr,0,2014-09-01,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,,9431,Matthew Stafford,QB,LAR,,9,8.2,2.12,7.04,185,,635,"August 31, 2014 to September 1, 2014",2014,12,ppr,0,2014-09-01,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,,11671,Mike Evans,WR,SF,,19,9.8,3.02,10.09,179,,635,"August 31, 2014 to September 1, 2014",2014,12,ppr,0,2014-09-01,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,,10699,Nick Foles,QB,FA,,16,9.7,4.08,9.02,165,,635,"August 31, 2014 to September 1, 2014",2014,12,ppr,0,2014-09-01,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,,7394,Philip Rivers,QB,FA,,21,9.2,7.01,11.01,205,,635,"August 31, 2014 to September 1, 2014",2014,12,ppr,0,2014-09-01,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,,10308,Randall Cobb,WR,FA,,6,3.0,2.07,3.12,249,,635,"August 31, 2014 to September 1, 2014",2014,12,ppr,0,2014-09-01,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,,8153,Robbie Gould,PK,FA,,47,5.1,14.01,15.12,50,,635,"August 31, 2014 to September 1, 2014",2014,12,ppr,0,2014-09-01,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,,10703,Russell Wilson,QB,FA,,23,10.3,6.09,11.08,237,,635,"August 31, 2014 to September 1, 2014",2014,12,ppr,0,2014-09-01,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,,10697,Ryan Tannehill,QB,FA,,37,10.3,11.09,15.08,65,,635,"August 31, 2014 to September 1, 2014",2014,12,ppr,0,2014-09-01,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,,11670,Sammy Watkins,WR,FA,,22,10.4,6.1,11.03,150,,635,"August 31, 2014 to September 1, 2014",2014,12,ppr,0,2014-09-01,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,,10729,T.Y. Hilton,WR,FA,,10,6.2,3.08,6.11,212,,635,"August 31, 2014 to September 1, 2014",2014,12,ppr,0,2014-09-01,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,,11213,Tavon Austin,WR,FA,,35,16.8,8.05,15.11,71,,635,"August 31, 2014 to September 1, 2014",2014,12,ppr,0,2014-09-01,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,,11244,Travis Kelce,TE,KC,,36,21.9,1.09,15.12,157,,635,"August 31, 2014 to September 1, 2014",2014,12,ppr,0,2014-09-01,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
ffc_ppr_12team,,11247,Zach Ertz,TE,FA,,18,13.1,6.03,12.01,189,,635,"August 31, 2014 to September 1, 2014",2014,12,ppr,0,2014-09-01,2026-07-30T04:11:06.426320+00:00,2026-07-30T04:11:06.426320+00:00
