adp_source,ffc_player_id,mfl_id,player_name,position,team,bye,rank,average_pick,std_dev,high_pick,low_pick,times_drafted,total_drafts_in_sample,sample_window,period,teams,format,is_retrospective_aggregate,as_of_date,retrieved_at,ingested_at
ffc_ppr_10team,3247,14104,A.J. Brown,WR,NE,11,18,18.1,3.3,1.05,3.05,1435,7658,"August 17, 2026 to August 24, 2026",2026,10,ppr,0,2026-08-24,2026-08-24T11:02:14.400060+00:00,2026-08-24T11:02:14.400060+00:00
ffc_ppr_10team,6290,16723,AJ Barner,TE,SEA,11,197,156.8,25.3,10.09,17.12,13,7658,"August 17, 2026 to August 24, 2026",2026,10,ppr,0,2026-08-24,2026-08-24T11:02:14.400060+00:00,2026-08-24T11:02:14.400060+00:00
ffc_ppr_10team,2507,13319,Aaron Jones Sr.,RB,MIN,6,107,102.1,12.6,4.12,12.09,502,7658,"August 17, 2026 to August 24, 2026",2026,10,ppr,0,2026-08-24,2026-08-24T11:02:14.400060+00:00,2026-08-24T11:02:14.400060+00:00
ffc_ppr_10team,1004,7836,Aaron Rodgers,QB,PIT,9,245,168.3,32.3,4.01,18.05,24,7658,"August 17, 2026 to August 24, 2026",2026,10,ppr,0,2026-08-24,2026-08-24T11:02:14.400060+00:00,2026-08-24T11:02:14.400060+00:00
ffc_ppr_10team,6184,16626,Adonai Mitchell,WR,NYJ,13,222,162.4,13.8,10.02,15.12,75,7658,"August 17, 2026 to August 24, 2026",2026,10,ppr,0,2026-08-24,2026-08-24T11:02:14.400060+00:00,2026-08-24T11:02:14.400060+00:00
ffc_ppr_10team,5641,15768,Alec Pierce,WR,IND,13,64,64.5,8.3,4.10,7.12,441,7658,"August 17, 2026 to August 24, 2026",2026,10,ppr,0,2026-08-24,2026-08-24T11:02:14.400060+00:00,2026-08-24T11:02:14.400060+00:00
ffc_ppr_10team,2439,13132,Alvin Kamara,RB,NO,8,161,144.3,23.0,5.12,15.12,317,7658,"August 17, 2026 to August 24, 2026",2026,10,ppr,0,2026-08-24,2026-08-24T11:02:14.400060+00:00,2026-08-24T11:02:14.400060+00:00
ffc_ppr_10team,5182,15287,Amon-Ra St. Brown,WR,DET,6,6,6.3,1.3,1.02,1.12,1146,7658,"August 17, 2026 to August 24, 2026",2026,10,ppr,0,2026-08-24,2026-08-24T11:02:14.400060+00:00,2026-08-24T11:02:14.400060+00:00
ffc_ppr_10team,6789,17512,Antonio Williams,WR,WAS,7,215,161.0,13.2,13.01,15.07,6,7658,"August 17, 2026 to August 24, 2026",2026,10,ppr,0,2026-08-24,2026-08-24T11:02:14.400060+00:00,2026-08-24T11:02:14.400060+00:00
ffc_ppr_10team,6500,17042,Ashton Jeanty,RB,LV,13,16,15.0,3.1,1.03,2.11,1431,7658,"August 17, 2026 to August 24, 2026",2026,10,ppr,0,2026-08-24,2026-08-24T11:02:14.400060+00:00,2026-08-24T11:02:14.400060+00:00
ffc_ppr_10team,2886,13590,Baker Mayfield,QB,TB,10,133,128.7,11.2,6.07,13.06,436,7658,"August 17, 2026 to August 24, 2026",2026,10,ppr,0,2026-08-24,2026-08-24T11:02:14.400060+00:00,2026-08-24T11:02:14.400060+00:00
ffc_ppr_10team,6513,17052,Bhayshul Tuten,RB,JAX,7,53,52.7,5.6,3.08,6.09,941,7658,"August 17, 2026 to August 24, 2026",2026,10,ppr,0,2026-08-24,2026-08-24T11:02:14.400060+00:00,2026-08-24T11:02:14.400060+00:00
ffc_ppr_10team,5670,16161,Bijan Robinson,RB,ATL,11,2,2.0,0.7,1.01,1.06,1143,7658,"August 17, 2026 to August 24, 2026",2026,10,ppr,0,2026-08-24,2026-08-24T11:02:14.400060+00:00,2026-08-24T11:02:14.400060+00:00
ffc_ppr_10team,5965,16593,Blake Corum,RB,LAR,11,126,120.9,18.0,4.08,13.06,1486,7658,"August 17, 2026 to August 24, 2026",2026,10,ppr,0,2026-08-24,2026-08-24T11:02:14.400060+00:00,2026-08-24T11:02:14.400060+00:00
ffc_ppr_10team,6046,16444,Blake Grupe,PK,IND,13,218,161.8,16.6,12.03,18.05,78,7658,"August 17, 2026 to August 24, 2026",2026,10,ppr,0,2026-08-24,2026-08-24T11:02:14.400060+00:00,2026-08-24T11:02:14.400060+00:00
ffc_ppr_10team,6253,16582,Bo Nix,QB,DEN,10,119,112.4,13.7,4.02,12.10,709,7658,"August 17, 2026 to August 24, 2026",2026,10,ppr,0,2026-08-24,2026-08-24T11:02:14.400060+00:00,2026-08-24T11:02:14.400060+00:00
ffc_ppr_10team,6176,16596,Braelon Allen,RB,NYJ,13,199,156.9,20.2,8.05,17.12,97,7658,"August 17, 2026 to August 24, 2026",2026,10,ppr,0,2026-08-24,2026-08-24T11:02:14.400060+00:00,2026-08-24T11:02:14.400060+00:00
