adp_source,ffc_player_id,mfl_id,player_name,position,team,bye,rank,average_pick,std_dev,high_pick,low_pick,times_drafted,total_drafts_in_sample,sample_window,period,teams,format,is_retrospective_aggregate,as_of_date,retrieved_at,ingested_at
ffc_non_ppr_10team,3247,14104,A.J. Brown,WR,NE,11,17,18.6,2.5,2.01,2.12,40,686,"September 4, 2026 to September 11, 2026",2026,10,standard,0,2026-09-11,2026-09-11T13:32:50.468957+00:00,2026-09-11T13:32:50.468957+00:00
ffc_non_ppr_10team,2507,13319,Aaron Jones Sr.,RB,MIN,6,110,107.4,13.1,8.01,11.04,9,686,"September 4, 2026 to September 11, 2026",2026,10,standard,0,2026-09-11,2026-09-11T13:32:50.468957+00:00,2026-09-11T13:32:50.468957+00:00
ffc_non_ppr_10team,6184,16626,Adonai Mitchell,WR,NYJ,13,174,163.6,8.4,13.06,15.12,16,686,"September 4, 2026 to September 11, 2026",2026,10,standard,0,2026-09-11,2026-09-11T13:32:50.468957+00:00,2026-09-11T13:32:50.468957+00:00
ffc_non_ppr_10team,5641,15768,Alec Pierce,WR,IND,13,56,54.8,6.4,4.06,6.03,16,686,"September 4, 2026 to September 11, 2026",2026,10,standard,0,2026-09-11,2026-09-11T13:32:50.468957+00:00,2026-09-11T13:32:50.468957+00:00
ffc_non_ppr_10team,5182,15287,Amon-Ra St. Brown,WR,DET,6,10,9.5,1.9,1.06,2.03,40,686,"September 4, 2026 to September 11, 2026",2026,10,standard,0,2026-09-11,2026-09-11T13:32:50.468957+00:00,2026-09-11T13:32:50.468957+00:00
ffc_non_ppr_10team,6500,17042,Ashton Jeanty,RB,LV,13,26,25.5,3.1,2.06,3.07,37,686,"September 4, 2026 to September 11, 2026",2026,10,standard,0,2026-09-11,2026-09-11T13:32:50.468957+00:00,2026-09-11T13:32:50.468957+00:00
ffc_non_ppr_10team,2886,13590,Baker Mayfield,QB,TB,10,148,140.4,11.0,10.02,13.12,16,686,"September 4, 2026 to September 11, 2026",2026,10,standard,0,2026-09-11,2026-09-11T13:32:50.468957+00:00,2026-09-11T13:32:50.468957+00:00
ffc_non_ppr_10team,6513,17052,Bhayshul Tuten,RB,JAX,7,51,49.5,5.7,4.02,6.03,29,686,"September 4, 2026 to September 11, 2026",2026,10,standard,0,2026-09-11,2026-09-11T13:32:50.468957+00:00,2026-09-11T13:32:50.468957+00:00
ffc_non_ppr_10team,5670,16161,Bijan Robinson,RB,ATL,11,2,2.4,0.8,1.01,1.03,18,686,"September 4, 2026 to September 11, 2026",2026,10,standard,0,2026-09-11,2026-09-11T13:32:50.468957+00:00,2026-09-11T13:32:50.468957+00:00
ffc_non_ppr_10team,5965,16593,Blake Corum,RB,LAR,11,112,109.1,10.6,7.09,12.03,46,686,"September 4, 2026 to September 11, 2026",2026,10,standard,0,2026-09-11,2026-09-11T13:32:50.468957+00:00,2026-09-11T13:32:50.468957+00:00
ffc_non_ppr_10team,6253,16582,Bo Nix,QB,DEN,10,115,112.3,20.2,5.09,12.02,32,686,"September 4, 2026 to September 11, 2026",2026,10,standard,0,2026-09-11,2026-09-11T13:32:50.468957+00:00,2026-09-11T13:32:50.468957+00:00
ffc_non_ppr_10team,6162,16414,Brandon Aubrey,PK,DAL,14,124,123.2,26.1,6.01,14.01,94,686,"September 4, 2026 to September 11, 2026",2026,10,standard,0,2026-09-11,2026-09-11T13:32:50.468957+00:00,2026-09-11T13:32:50.468957+00:00
ffc_non_ppr_10team,5503,15708,Breece Hall,RB,NYJ,13,28,29.9,3.0,3.02,3.11,25,686,"September 4, 2026 to September 11, 2026",2026,10,standard,0,2026-09-11,2026-09-11T13:32:50.468957+00:00,2026-09-11T13:32:50.468957+00:00
ffc_non_ppr_10team,6175,16618,Brian Thomas Jr.,WR,JAX,7,69,68.3,7.3,5.04,7.06,23,686,"September 4, 2026 to September 11, 2026",2026,10,standard,0,2026-09-11,2026-09-11T13:32:50.468957+00:00,2026-09-11T13:32:50.468957+00:00
ffc_non_ppr_10team,6178,16641,Brock Bowers,TE,LV,13,50,49.3,12.4,2.09,6.09,99,686,"September 4, 2026 to September 11, 2026",2026,10,standard,0,2026-09-11,2026-09-11T13:32:50.468957+00:00,2026-09-11T13:32:50.468957+00:00
ffc_non_ppr_10team,5648,15698,Brock Purdy,QB,SF,8,86,85.7,10.8,7.01,9.09,10,686,"September 4, 2026 to September 11, 2026",2026,10,standard,0,2026-09-11,2026-09-11T13:32:50.468957+00:00,2026-09-11T13:32:50.468957+00:00
