adp_source,mfl_id,player_name,position,team,rank,average_pick,min_pick,max_pick,drafts_selected_in,draft_sel_pct,fcount,is_ppr,is_keeper,is_mock,cutoff,period,total_drafts_in_sample,mfl_timestamp,retrieved_at,ingested_at
mfl_proxy,0511,Denver Broncos,DT,DEN,215,114.2,85,138,5,10.0,10,1,0,0,10,2026,46,1785748434,2026-08-03T17:18:12.804303+00:00,2026-08-03T17:18:12.804303+00:00
mfl_proxy,0514,San Diego Chargers,DT,SDC,219,118.83,49,193,6,13.0,10,1,0,0,10,2026,46,1785748434,2026-08-03T17:18:12.804303+00:00,2026-08-03T17:18:12.804303+00:00
mfl_proxy,0524,Minnesota Vikings,DT,MIN,222,121.6,44,166,5,10.0,10,1,0,0,10,2026,46,1785748434,2026-08-03T17:18:12.804303+00:00,2026-08-03T17:18:12.804303+00:00
mfl_proxy,0528,St. Louis Rams,DT,STL,181,86.17,20,147,6,13.0,10,1,0,0,10,2026,46,1785748434,2026-08-03T17:18:12.804303+00:00,2026-08-03T17:18:12.804303+00:00
mfl_proxy,0532,Houston Texans,DT,HOU,162,67.83,25,135,6,13.0,10,1,0,0,10,2026,46,1785748434,2026-08-03T17:18:12.804303+00:00,2026-08-03T17:18:12.804303+00:00
mfl_proxy,11150,Geno Smith,QB,NYJ,205,106.6,48,155,5,10.0,10,1,0,0,10,2026,46,1785748434,2026-08-03T17:18:12.804303+00:00,2026-08-03T17:18:12.804303+00:00
mfl_proxy,11244,Travis Kelce,TE,KCC,171,76.57,32,125,7,15.0,10,1,0,0,10,2026,46,1785748434,2026-08-03T17:18:12.804303+00:00,2026-08-03T17:18:12.804303+00:00
mfl_proxy,11671,Mike Evans,WR,SFO,168,75.22,45,103,9,19.0,10,1,0,0,10,2026,46,1785748434,2026-08-03T17:18:12.804303+00:00,2026-08-03T17:18:12.804303+00:00
mfl_proxy,11675,Davante Adams,WR,LAR,112,46.6,14,72,10,21.0,10,1,0,0,10,2026,46,1785748434,2026-08-03T17:18:12.804303+00:00,2026-08-03T17:18:12.804303+00:00
mfl_proxy,12611,Jared Goff,QB,DET,158,65.5,18,98,6,13.0,10,1,0,0,10,2026,46,1785748434,2026-08-03T17:18:12.804303+00:00,2026-08-03T17:18:12.804303+00:00
mfl_proxy,12620,Dak Prescott,QB,DAL,149,60.38,26,92,8,17.0,10,1,0,0,10,2026,46,1785748434,2026-08-03T17:18:12.804303+00:00,2026-08-03T17:18:12.804303+00:00
mfl_proxy,12626,Derrick Henry,RB,BAL,32,22.12,12,43,8,17.0,10,1,0,0,10,2026,46,1785748434,2026-08-03T17:18:12.804303+00:00,2026-08-03T17:18:12.804303+00:00
mfl_proxy,12676,Hunter Henry,TE,NEP,198,97.8,52,127,5,10.0,10,1,0,0,10,2026,46,1785748434,2026-08-03T17:18:12.804303+00:00,2026-08-03T17:18:12.804303+00:00
mfl_proxy,13113,Deshaun Watson,QB,CLE,187,92.8,27,176,5,10.0,10,1,0,0,10,2026,46,1785748434,2026-08-03T17:18:12.804303+00:00,2026-08-03T17:18:12.804303+00:00
mfl_proxy,13116,Patrick Mahomes,QB,KCC,145,58.11,28,78,9,19.0,10,1,0,0,10,2026,46,1785748434,2026-08-03T17:18:12.804303+00:00,2026-08-03T17:18:12.804303+00:00
mfl_proxy,13130,Christian McCaffrey,RB,SFO,9,9.56,5,18,9,19.0,10,1,0,0,10,2026,46,1785748434,2026-08-03T17:18:12.804303+00:00,2026-08-03T17:18:12.804303+00:00
mfl_proxy,13132,Alvin Kamara,RB,NOS,231,134.5,37,170,6,13.0,10,1,0,0,10,2026,46,1785748434,2026-08-03T17:18:12.804303+00:00,2026-08-03T17:18:12.804303+00:00
mfl_proxy,13146,James Conner,RB,ARI,239,167.6,127,206,5,10.0,10,1,0,0,10,2026,46,1785748434,2026-08-03T17:18:12.804303+00:00,2026-08-03T17:18:12.804303+00:00
mfl_proxy,13163,Chris Godwin,WR,TBB,194,96.0,55,117,6,13.0,10,1,0,0,10,2026,46,1785748434,2026-08-03T17:18:12.804303+00:00,2026-08-03T17:18:12.804303+00:00
mfl_proxy,13299,George Kittle,TE,SFO,167,73.0,46,99,7,15.0,10,1,0,0,10,2026,46,1785748434,2026-08-03T17:18:12.804303+00:00,2026-08-03T17:18:12.804303+00:00
mfl_proxy,13319,Aaron Jones,RB,MIN,212,110.5,41,150,6,13.0,10,1,0,0,10,2026,46,1785748434,2026-08-03T17:18:12.804303+00:00,2026-08-03T17:18:12.804303+00:00
mfl_proxy,13589,Josh Allen,QB,BUF,4,4.22,1,11,9,19.0,10,1,0,0,10,2026,46,1785748434,2026-08-03T17:18:12.804303+00:00,2026-08-03T17:18:12.804303+00:00
mfl_proxy,13590,Baker Mayfield,QB,TBB,180,85.67,41,151,6,13.0,10,1,0,0,10,2026,46,1785748434,2026-08-03T17:18:12.804303+00:00,2026-08-03T17:18:12.804303+00:00
mfl_proxy,13593,Lamar Jackson,QB,BAL,13,13.9,2,38,10,21.0,10,1,0,0,10,2026,46,1785748434,2026-08-03T17:18:12.804303+00:00,2026-08-03T17:18:12.804303+00:00
mfl_proxy,13604,Saquon Barkley,RB,PHI,31,22.11,11,51,9,19.0,10,1,0,0,10,2026,46,1785748434,2026-08-03T17:18:12.804303+00:00,2026-08-03T17:18:12.804303+00:00
mfl_proxy,13630,Courtland Sutton,WR,DEN,179,85.0,73,110,6,13.0,10,1,0,0,10,2026,46,1785748434,2026-08-03T17:18:12.804303+00:00,2026-08-03T17:18:12.804303+00:00
mfl_proxy,13635,D.J. Moore,WR,BUF,148,60.1,16,82,10,21.0,10,1,0,0,10,2026,46,1785748434,2026-08-03T17:18:12.804303+00:00,2026-08-03T17:18:12.804303+00:00
mfl_proxy,13671,Mark Andrews,TE,BAL,199,99.57,63,126,7,15.0,10,1,0,0,10,2026,46,1785748434,2026-08-03T17:18:12.804303+00:00,2026-08-03T17:18:12.804303+00:00
mfl_proxy,13674,Dallas Goedert,TE,PHI,197,97.75,62,125,8,17.0,10,1,0,0,10,2026,46,1785748434,2026-08-03T17:18:12.804303+00:00,2026-08-03T17:18:12.804303+00:00
mfl_proxy,14056,Kyler Murray,QB,MIN,193,95.67,67,118,6,13.0,10,1,0,0,10,2026,46,1785748434,2026-08-03T17:18:12.804303+00:00,2026-08-03T17:18:12.804303+00:00
