record_type,sigma,player,position,consensus_rank,positional_rank,tier,pick,value,note
player_available,5.0,Ja'Marr Chase,WR,1,1,T1,6,0.194,
player_available,5.0,Ja'Marr Chase,WR,1,1,T1,19,0.0,
player_available,5.0,Ja'Marr Chase,WR,1,1,T1,30,0.0,
player_available,5.0,Ja'Marr Chase,WR,1,1,T1,43,0.0,
player_available,5.0,Ja'Marr Chase,WR,1,1,T1,54,0.0,
player_available,5.0,Ja'Marr Chase,WR,1,1,T1,67,0.0,
player_available,5.0,Ja'Marr Chase,WR,1,1,T1,78,0.0,
player_available,5.0,Ja'Marr Chase,WR,1,1,T1,91,0.0,
player_available,5.0,Ja'Marr Chase,WR,1,1,T1,102,0.0,
player_available,5.0,Ja'Marr Chase,WR,1,1,T1,115,0.0,
player_available,5.0,Ja'Marr Chase,WR,1,1,T1,126,0.0,
player_available,5.0,Ja'Marr Chase,WR,1,1,T1,139,0.0,
player_available,5.0,Ja'Marr Chase,WR,1,1,T1,150,0.0,
player_available,5.0,Ja'Marr Chase,WR,1,1,T1,163,0.0,
player_available,5.0,Ja'Marr Chase,WR,1,1,T1,174,0.0,
player_available,5.0,Bijan Robinson,RB,2,1,T1,6,0.2703,
player_available,5.0,Bijan Robinson,RB,2,1,T1,19,0.0,
player_available,5.0,Bijan Robinson,RB,2,1,T1,30,0.0,
player_available,5.0,Bijan Robinson,RB,2,1,T1,43,0.0,
player_available,5.0,Bijan Robinson,RB,2,1,T1,54,0.0,
player_available,5.0,Bijan Robinson,RB,2,1,T1,67,0.0,
player_available,5.0,Bijan Robinson,RB,2,1,T1,78,0.0,
player_available,5.0,Bijan Robinson,RB,2,1,T1,91,0.0,
player_available,5.0,Bijan Robinson,RB,2,1,T1,102,0.0,
player_available,5.0,Bijan Robinson,RB,2,1,T1,115,0.0,
player_available,5.0,Bijan Robinson,RB,2,1,T1,126,0.0,
player_available,5.0,Bijan Robinson,RB,2,1,T1,139,0.0,
player_available,5.0,Bijan Robinson,RB,2,1,T1,150,0.0,
player_available,5.0,Bijan Robinson,RB,2,1,T1,163,0.0,
player_available,5.0,Bijan Robinson,RB,2,1,T1,174,0.0,
player_available,5.0,Puka Nacua,WR,3,2,T1,6,0.359,
player_available,5.0,Puka Nacua,WR,3,2,T1,19,0.0013,
player_available,5.0,Puka Nacua,WR,3,2,T1,30,0.0,
player_available,5.0,Puka Nacua,WR,3,2,T1,43,0.0,
player_available,5.0,Puka Nacua,WR,3,2,T1,54,0.0,
player_available,5.0,Puka Nacua,WR,3,2,T1,67,0.0,
player_available,5.0,Puka Nacua,WR,3,2,T1,78,0.0,
player_available,5.0,Puka Nacua,WR,3,2,T1,91,0.0,
player_available,5.0,Puka Nacua,WR,3,2,T1,102,0.0,
player_available,5.0,Puka Nacua,WR,3,2,T1,115,0.0,
player_available,5.0,Puka Nacua,WR,3,2,T1,126,0.0,
player_available,5.0,Puka Nacua,WR,3,2,T1,139,0.0,
player_available,5.0,Puka Nacua,WR,3,2,T1,150,0.0,
player_available,5.0,Puka Nacua,WR,3,2,T1,163,0.0,
player_available,5.0,Puka Nacua,WR,3,2,T1,174,0.0,
player_available,5.0,Jahmyr Gibbs,RB,4,2,T1,6,0.417,
player_available,5.0,Jahmyr Gibbs,RB,4,2,T1,19,0.002,
player_available,5.0,Jahmyr Gibbs,RB,4,2,T1,30,0.0,
player_available,5.0,Jahmyr Gibbs,RB,4,2,T1,43,0.0,
player_available,5.0,Jahmyr Gibbs,RB,4,2,T1,54,0.0,
player_available,5.0,Jahmyr Gibbs,RB,4,2,T1,67,0.0,
player_available,5.0,Jahmyr Gibbs,RB,4,2,T1,78,0.0,
player_available,5.0,Jahmyr Gibbs,RB,4,2,T1,91,0.0,
player_available,5.0,Jahmyr Gibbs,RB,4,2,T1,102,0.0,
player_available,5.0,Jahmyr Gibbs,RB,4,2,T1,115,0.0,
player_available,5.0,Jahmyr Gibbs,RB,4,2,T1,126,0.0,
player_available,5.0,Jahmyr Gibbs,RB,4,2,T1,139,0.0,
player_available,5.0,Jahmyr Gibbs,RB,4,2,T1,150,0.0,
player_available,5.0,Jahmyr Gibbs,RB,4,2,T1,163,0.0,
player_available,5.0,Jahmyr Gibbs,RB,4,2,T1,174,0.0,
player_available,5.0,Jaxon Smith-Njigba,WR,5,3,T1,6,0.5053,
player_available,5.0,Jaxon Smith-Njigba,WR,5,3,T1,19,0.003,
player_available,5.0,Jaxon Smith-Njigba,WR,5,3,T1,30,0.0,
player_available,5.0,Jaxon Smith-Njigba,WR,5,3,T1,43,0.0,
player_available,5.0,Jaxon Smith-Njigba,WR,5,3,T1,54,0.0,
player_available,5.0,Jaxon Smith-Njigba,WR,5,3,T1,67,0.0,
player_available,5.0,Jaxon Smith-Njigba,WR,5,3,T1,78,0.0,
player_available,5.0,Jaxon Smith-Njigba,WR,5,3,T1,91,0.0,
player_available,5.0,Jaxon Smith-Njigba,WR,5,3,T1,102,0.0,
player_available,5.0,Jaxon Smith-Njigba,WR,5,3,T1,115,0.0,
player_available,5.0,Jaxon Smith-Njigba,WR,5,3,T1,126,0.0,
player_available,5.0,Jaxon Smith-Njigba,WR,5,3,T1,139,0.0,
player_available,5.0,Jaxon Smith-Njigba,WR,5,3,T1,150,0.0,
player_available,5.0,Jaxon Smith-Njigba,WR,5,3,T1,163,0.0,
player_available,5.0,Jaxon Smith-Njigba,WR,5,3,T1,174,0.0,
player_available,5.0,Amon-Ra St. Brown,WR,6,4,T1,6,0.5777,
player_available,5.0,Amon-Ra St. Brown,WR,6,4,T1,19,0.0073,
player_available,5.0,Amon-Ra St. Brown,WR,6,4,T1,30,0.0,
player_available,5.0,Amon-Ra St. Brown,WR,6,4,T1,43,0.0,
player_available,5.0,Amon-Ra St. Brown,WR,6,4,T1,54,0.0,
player_available,5.0,Amon-Ra St. Brown,WR,6,4,T1,67,0.0,
player_available,5.0,Amon-Ra St. Brown,WR,6,4,T1,78,0.0,
player_available,5.0,Amon-Ra St. Brown,WR,6,4,T1,91,0.0,
player_available,5.0,Amon-Ra St. Brown,WR,6,4,T1,102,0.0,
player_available,5.0,Amon-Ra St. Brown,WR,6,4,T1,115,0.0,
player_available,5.0,Amon-Ra St. Brown,WR,6,4,T1,126,0.0,
player_available,5.0,Amon-Ra St. Brown,WR,6,4,T1,139,0.0,
player_available,5.0,Amon-Ra St. Brown,WR,6,4,T1,150,0.0,
player_available,5.0,Amon-Ra St. Brown,WR,6,4,T1,163,0.0,
