# Yahoo mock, 10 teams, 15 rounds, founder = "Matthew Vibert" at slot 4.
# Scoring format NOT confirmed by founder ("I think they are for half PPR, but not sure").
# Kickers and DEF are present, so this is NOT the Westwood roster shape (Westwood has no kicker).
# Source: founder paste, chat 2026-07-30. Snake order.
round	pick_in_round	manager	player	team	pos
1	1	Jaegers	Jahmyr Gibbs	Det	RB
1	2	Ivan	Bijan Robinson	Atl	RB
1	3	Chris	Ja'Marr Chase	Cin	WR
1	4	Matthew Vibert	Puka Nacua	LAR	WR
1	5	eric	Jaxon Smith-Njigba	Sea	WR
1	6	G	Christian McCaffrey	SF	RB
1	7	TA	Jonathan Taylor	Ind	RB
1	8	colton	Amon-Ra St. Brown	Det	WR
1	9	The Show	CeeDee Lamb	Dal	WR
1	10	Brian	James Cook III	Buf	RB
2	1	Brian	Justin Jefferson	Min	WR
2	2	The Show	Ashton Jeanty	LV	RB
2	3	colton	Saquon Barkley	Phi	RB
2	4	TA	De'Von Achane	Mia	RB
2	5	G	Omarion Hampton	LAC	RB
2	6	eric	Chase Brown	Cin	RB
2	7	Matthew Vibert	Drake London	Atl	WR
2	8	Chris	Kenneth Walker III	KC	RB
2	9	Ivan	Nico Collins	Hou	WR
2	10	Jaegers	George Pickens	Dal	WR
3	1	Jaegers	Derrick Henry	Bal	RB
3	2	Ivan	Josh Allen	Buf	QB
3	3	Chris	Brock Bowers	LV	TE
3	4	Matthew Vibert	DeVonta Smith	Phi	WR
3	5	eric	Jeremiyah Love	Ari	RB
3	6	G	A.J. Brown	NE	WR
3	7	TA	Josh Jacobs	GB	RB
3	8	colton	Trey McBride	Ari	TE
3	9	The Show	Rashee Rice	KC	WR
3	10	Brian	Chris Olave	NO	WR
4	1	Brian	Javonte Williams	Dal	RB
4	2	The Show	Tee Higgins	Cin	WR
4	3	colton	Jaylen Waddle	Den	WR
4	4	TA	Malik Nabers	NYG	WR
4	5	G	Ladd McConkey	LAC	WR
4	6	eric	Kyren Williams	LAR	RB
4	7	Matthew Vibert	Breece Hall	NYJ	RB
4	8	Chris	Zay Flowers	Bal	WR
4	9	Ivan	Emeka Egbuka	TB	WR
4	10	Jaegers	Tyler Warren	Ind	TE
5	1	Jaegers	Colston Loveland	Chi	TE
5	2	Ivan	Cam Skattebo	NYG	RB
5	3	Chris	Tetairoa McMillan	Car	WR
5	4	Matthew Vibert	Lamar Jackson	Bal	QB
5	5	eric	Terry McLaurin	Was	WR
5	6	G	Garrett Wilson	NYJ	WR
5	7	TA	Joe Burrow	Cin	QB
5	8	colton	Travis Etienne Jr.	NO	RB
5	9	The Show	D'Andre Swift	Chi	RB
5	10	Brian	Christian Watson	GB	WR
6	1	Brian	David Montgomery	Hou	RB
6	2	The Show	Quinshon Judkins	Cle	RB
6	3	colton	Luther Burden III	Chi	WR
6	4	TA	Davante Adams	LAR	WR
6	5	G	Drake Maye	NE	QB
6	6	eric	Jayden Daniels	Was	QB
6	7	Matthew Vibert	Bhayshul Tuten	Jax	RB
6	8	Chris	Bucky Irving	TB	RB
6	9	Ivan	Mike Evans	SF	WR
6	10	Jaegers	Jameson Williams	Det	WR
7	1	Jaegers	Jadarian Price	Sea	RB
7	2	Ivan	Chuba Hubbard	Car	RB
7	3	Chris	Jalen Hurts	Phi	QB
7	4	Matthew Vibert	Tucker Kraft	GB	TE
7	5	eric	TreVeyon Henderson	NE	RB
7	6	G	Sam LaPorta	Det	TE
7	7	TA	Jaxson Dart	NYG	QB
7	8	colton	Justin Herbert	LAC	QB
7	9	The Show	DJ Moore	Buf	WR
7	10	Brian	Harold Fannin Jr.	Cle	TE
8	1	Brian	J.K. Dobbins	Den	RB
8	2	The Show	Kyle Pitts Sr.	Atl	TE
8	3	colton	Rome Odunze	Chi	WR
8	4	TA	DK Metcalf	Pit	WR
8	5	G	Marvin Harrison Jr.	Ari	WR
8	6	eric	Carnell Tate	Ten	WR
8	7	Matthew Vibert	Brian Thomas Jr.	Jax	WR
8	8	Chris	Parker Washington	Jax	WR
8	9	Ivan	Tony Pollard	Ten	RB
8	10	Jaegers	Dak Prescott	Dal	QB
9	1	Jaegers	Alec Pierce	Ind	WR
9	2	Ivan	Caleb Williams	Chi	QB
9	3	Chris	Jaylen Warren	Pit	RB
9	4	Matthew Vibert	Rhamondre Stevenson	NE	RB
9	5	eric	George Kittle	SF	TE
9	6	G	Quentin Johnston	LAC	WR
9	7	TA	Texans	Hou	DEF
9	8	colton	Trevor Lawrence	Jax	QB
9	9	The Show	Dalton Kincaid	Buf	TE
9	10	Brian	Brock Purdy	SF	QB
10	1	Brian	Jordyn Tyson	NO	WR
10	2	The Show	Rams	LAR	DEF
10	3	colton	Rico Dowdle	Pit	RB
10	4	TA	Travis Kelce	KC	TE
10	5	G	Kyle Monangai	Chi	RB
10	6	eric	Blake Corum	LAR	RB
10	7	Matthew Vibert	Chris Godwin Jr.	TB	WR
10	8	Chris	Makai Lemon	Phi	WR
10	9	Ivan	Jayden Reed	GB	WR
10	10	Jaegers	Courtland Sutton	Den	WR
11	1	Jaegers	Bo Nix	Den	QB
11	2	Ivan	Jordan Addison	Min	WR
11	3	Chris	Kyler Murray	Min	QB
11	4	Matthew Vibert	Patrick Mahomes	KC	QB
11	5	eric	Isaiah Likely	NYG	TE
11	6	G	Jordan Mason	Min	RB
11	7	TA	Ricky Pearsall	SF	WR
11	8	colton	Josh Downs	Ind	WR
11	9	The Show	Jared Goff	Det	QB
11	10	Brian	Dallas Goedert	Phi	TE
12	1	Brian	Matthew Stafford	LAR	QB
12	2	The Show	Michael Pittman Jr.	Pit	WR
12	3	colton	Mark Andrews	Bal	TE
12	4	TA	RJ Harvey	Den	RB
12	5	G	Michael Wilson	Ari	WR
12	6	eric	Jordan Love	GB	QB
12	7	Matthew Vibert	Jake Ferguson	Dal	TE
12	8	Chris	Chig Okonkwo	Was	TE
12	9	Ivan	Rachaad White	Was	RB
12	10	Jaegers	Broncos	Den	DEF
13	1	Jaegers	Kenny Gainwell	TB	RB
13	2	Ivan	Brenton Strange	Jax	TE
13	3	Chris	Jonathon Brooks	Car	RB
13	4	Matthew Vibert	Xavier Worthy	KC	WR
13	5	eric	Jacory Croskey-Merritt	Was	RB
13	6	G	Brandon Aubrey	Dal	K
13	7	TA	Jakobi Meyers	Jax	WR
13	8	colton	Matthew Golden	GB	WR
13	9	The Show	Seahawks	Sea	DEF
13	10	Brian	Chris Rodriguez Jr.	Jax	RB
14	1	Brian	Patriots	NE	DEF
14	2	The Show	Baker Mayfield	TB	QB
14	3	colton	Eagles	Phi	DEF
14	4	TA	Romeo Doubs	NE	WR
14	5	G	Vikings	Min	DEF
14	6	eric	Steelers	Pit	DEF
14	7	Matthew Vibert	Cameron Dicker	LAC	K
14	8	Chris	Cam Little	Jax	K
14	9	Ivan	Ka'imi Fairbairn	Hou	K
14	10	Jaegers	Stefon Diggs	NE	WR
15	1	Jaegers	Harrison Mevis	LAR	K
15	2	Ivan	Jaguars	Jax	DEF
15	3	Chris	Chargers	LAC	DEF
15	4	Matthew Vibert	Ravens	Bal	DEF
15	5	eric	Jason Myers	Sea	K
15	6	G	Jayden Higgins	Hou	WR
15	7	TA	Tyler Loop	Bal	K
15	8	colton	Cairo Santos	Chi	K
15	9	The Show	Evan McPherson	Cin	K
15	10	Brian	Andy Borregales	NE	K
