# Yahoo mock, 12 teams, 15 rounds, founder = "Matthew Vibert" at slot 2.
# Scoring format NOT confirmed by founder ("I think they are for half PPR, but not sure").
# Kickers and DEF present, so NOT the Westwood roster shape (Westwood has no kicker).
# Source: founder paste, chat 2026-07-30. Snake order.
round	pick_in_round	manager	player	team	pos
1	1	Joel	Jahmyr Gibbs	Det	RB
1	2	Matthew Vibert	Bijan Robinson	Atl	RB
1	3	Brandon	Christian McCaffrey	SF	RB
1	4	Roshaun	Jaxon Smith-Njigba	Sea	WR
1	5	Matt	Ja'Marr Chase	Cin	WR
1	6	John	Jonathan Taylor	Ind	RB
1	7	josh	Puka Nacua	LAR	WR
1	8	jason	Amon-Ra St. Brown	Det	WR
1	9	Rob	James Cook III	Buf	RB
1	10	Manny	Justin Jefferson	Min	WR
1	11	Robert	Saquon Barkley	Phi	RB
1	12	Jordan	CeeDee Lamb	Dal	WR
2	1	Jordan	Ashton Jeanty	LV	RB
2	2	Robert	Drake London	Atl	WR
2	3	Manny	Brock Bowers	LV	TE
2	4	Rob	George Pickens	Dal	WR
2	5	jason	Omarion Hampton	LAC	RB
2	6	josh	Kenneth Walker III	KC	RB
2	7	John	Chase Brown	Cin	RB
2	8	Matt	Trey McBride	Ari	TE
2	9	Roshaun	A.J. Brown	NE	WR
2	10	Brandon	Malik Nabers	NYG	WR
2	11	Matthew Vibert	Nico Collins	Hou	WR
2	12	Joel	Derrick Henry	Bal	RB
3	1	Joel	Rashee Rice	KC	WR
3	2	Matthew Vibert	De'Von Achane	Mia	RB
3	3	Brandon	Kyren Williams	LAR	RB
3	4	Roshaun	Jeremiyah Love	Ari	RB
3	5	Matt	Josh Jacobs	GB	RB
3	6	John	DeVonta Smith	Phi	WR
3	7	josh	Josh Allen	Buf	QB
3	8	jason	Jaylen Waddle	Den	WR
3	9	Rob	Emeka Egbuka	TB	WR
3	10	Manny	Javonte Williams	Dal	RB
3	11	Robert	Tee Higgins	Cin	WR
3	12	Jordan	Breece Hall	NYJ	RB
4	1	Jordan	Chris Olave	NO	WR
4	2	Robert	Zay Flowers	Bal	WR
4	3	Manny	Cam Skattebo	NYG	RB
4	4	Rob	David Montgomery	Hou	RB
4	5	jason	Ladd McConkey	LAC	WR
4	6	josh	Colston Loveland	Chi	TE
4	7	John	Travis Etienne Jr.	NO	RB
4	8	Matt	DJ Moore	Buf	WR
4	9	Roshaun	Quinshon Judkins	Cle	RB
4	10	Brandon	Bucky Irving	TB	RB
4	11	Matthew Vibert	Tetairoa McMillan	Car	WR
4	12	Joel	Terry McLaurin	Was	WR
5	1	Joel	Davante Adams	LAR	WR
5	2	Matthew Vibert	Lamar Jackson	Bal	QB
5	3	Brandon	Brian Thomas Jr.	Jax	WR
5	4	Roshaun	Garrett Wilson	NYJ	WR
5	5	Matt	Jadarian Price	Sea	RB
5	6	John	D'Andre Swift	Chi	RB
5	7	josh	Mike Evans	SF	WR
5	8	jason	Joe Burrow	Cin	QB
5	9	Rob	TreVeyon Henderson	NE	RB
5	10	Manny	Luther Burden III	Chi	WR
5	11	Robert	Jayden Daniels	Was	QB
5	12	Jordan	Tyler Warren	Ind	TE
6	1	Jordan	Drake Maye	NE	QB
6	2	Robert	Bhayshul Tuten	Jax	RB
6	3	Manny	Jalen Hurts	Phi	QB
6	4	Rob	Christian Watson	GB	WR
6	5	jason	Chuba Hubbard	Car	RB
6	6	josh	Jameson Williams	Det	WR
