projection_source,sleeper_player_id,mfl_id,player_name,position,query_position,team,season,season_type,company,gp,pass_att,pass_cmp,pass_yd,pass_td,pass_int,pass_2pt,cmp_pct,rush_att,rush_yd,rush_td,rush_2pt,rec,rec_yd,rec_td,rec_2pt,fum_lost,pts_std,pts_half_ppr,pts_ppr,source_last_modified,source_updated_at,as_of_date,retrieved_at,ingested_at
sleeper_rotowire,10210,16217,Cameron Latu,TE,TE,PHI,2026,regular,rotowire,18.0,,,,,,,,,,,,2.0,20.0,,,,2.0,3.0,4.0,1785311415642,1785311415642,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,10212,16312,Josh Whyle,TE,TE,GB,2026,regular,rotowire,18.0,,,,,,,,,,,,3.0,32.0,,,,3.2,4.7,6.2,1785311409343,1785311409343,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,10214,16219,Davis Allen,TE,TE,LAR,2026,regular,rotowire,18.0,,,,,,,,,,,,3.0,29.0,,,,2.9,4.4,5.9,1785311418166,1785311418166,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,10220,16220,Will Mallory,TE,TE,IND,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311420718,1785311420718,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,10224,16367,Brayden Willis,TE,TE,SF,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311411820,1785311411820,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,10227,16218,Payne Durham,TE,TE,TB,2026,regular,rotowire,18.0,,,,,,,,,,,,4.0,41.0,,,,4.1,6.1,8.1,1785311410552,1785311410552,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,10231,16333,Elijah Higgins,TE,TE,ARI,2026,regular,rotowire,18.0,,,,,,,,,,,,18.0,179.0,1.0,,,23.9,32.9,41.9,1785311413105,1785311413105,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,10236,16213,Dalton Kincaid,TE,TE,BUF,2026,regular,rotowire,18.0,,,,,,,,,,,,63.0,701.0,4.0,,,94.1,125.6,157.1,1785311414344,1785311414344,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,10859,16214,Sam LaPorta,TE,TE,DET,2026,regular,rotowire,18.0,,,,,,,,1.0,3.0,,,74.0,817.0,6.0,,,118.0,155.0,192.0,1785311411826,1785311411826,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,10871,16221,Luke Schoonmaker,TE,TE,DAL,2026,regular,rotowire,18.0,,,,,,,,,,,,13.0,124.0,1.0,,,18.4,24.9,31.4,1785311419432,1785311419432,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
