projection_source,sleeper_player_id,mfl_id,player_name,position,query_position,team,season,season_type,company,gp,pass_att,pass_cmp,pass_yd,pass_td,pass_int,pass_2pt,cmp_pct,rush_att,rush_yd,rush_td,rush_2pt,rec,rec_yd,rec_td,rec_2pt,fum_lost,pts_std,pts_half_ppr,pts_ppr,source_last_modified,source_updated_at,as_of_date,retrieved_at,ingested_at
sleeper_rotowire,10213,16287,Tre Tucker,WR,WR,LV,2026,regular,rotowire,18.0,,,,,,,,6.0,32.0,,,40.0,506.0,3.0,,,71.8,91.8,111.8,1785311411819,1785311411819,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,10218,16201,Xavier Hutchinson,WR,WR,HOU,2026,regular,rotowire,18.0,,,,,,,,,,,,12.0,145.0,1.0,,,20.5,26.5,32.5,1785311410547,1785311410547,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,10221,16202,Ronnie Bell,WR,WR,NO,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311414339,1785311414339,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,10222,16184,Jayden Reed,WR,WR,GB,2026,regular,rotowire,18.0,,,,,,,,12.0,68.0,,,58.0,730.0,5.0,,1.0,107.8,136.8,165.8,1785311414340,1785311414340,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,10225,16197,Jonathan Mingo,WR,WR,DAL,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311414341,1785311414341,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,10226,16207,Andrei Iosivas,WR,WR,CIN,2026,regular,rotowire,18.0,,,,,,,,2.0,10.0,,,32.0,403.0,3.0,,,59.3,75.3,91.3,1785311409347,1785311409347,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,10228,16203,Charlie Jones,WR,WR,CIN,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311416911,1785311416911,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,10229,16194,Rashee Rice,WR,WR,KC,2026,regular,rotowire,18.0,,,,,,,,6.0,30.0,,,89.0,976.0,7.0,1.0,1.0,142.6,187.1,231.6,1785311409349,1785311409349,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,10232,16206,Michael Wilson,WR,WR,ARI,2026,regular,rotowire,18.0,,,,,,,,1.0,6.0,,,59.0,764.0,5.0,,,107.0,136.5,166.0,1785311416915,1785311416915,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,10234,16299,Derius Davis,WR,WR,LAC,2026,regular,rotowire,18.0,,,,,,,,2.0,11.0,,,,,,,1.0,-0.9,-0.9,-0.9,1785311415643,1785311415643,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,10444,16191,Cedric Tillman,WR,WR,CLE,2026,regular,rotowire,18.0,,,,,,,,,,,,3.0,36.0,,,,3.6,5.1,6.6,1785311418167,1785311418167,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,1067,10738,Marvin Jones,WR,WR,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311414347,1785311414347,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,1071,10723,Mohamed Sanu,WR,WR,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311420724,1785311420724,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,1077,10737,Travis Benjamin,WR,WR,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311420725,1785311420725,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,10860,16157,Malik Cunningham,WR,WR,DET,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311420726,1785311420726,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,10863,16196,A.T. Perry,WR,WR,PIT,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311410558,1785311410558,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,10867,16393,Jake Bobo,WR,WR,SEA,2026,regular,rotowire,18.0,,,,,,,,,,,,2.0,22.0,,,,2.2,3.2,4.2,1785311420729,1785311420729,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,10869,16399,Matt Landers,WR,WR,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311416920,1785311416920,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11024,16374,Grant DuBose,WR,WR,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311419454,1785311419454,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11034,16364,Jalen Brooks,WR,WR,ARI,2026,regular,rotowire,18.0,,,,,,,,,,,,3.0,35.0,,,,3.5,5.0,6.5,1785311409376,1785311409376,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11046,16354,Colton Dowell,WR,WR,SF,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311413136,1785311413136,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11053,16349,Antoine Green,WR,WR,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311415672,1785311415672,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11056,17011,Jared Wayne,WR,WR,HOU,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311409378,1785311409378,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11068,16403,Mitch Tinsley,WR,WR,CIN,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311419459,1785311419459,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11070,16879,Kazmeir Allen,WR,WR,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311418200,1785311418200,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11099,16456,Kearis Jackson,WR,WR,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311419461,1785311419461,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,1110,10729,T.Y. Hilton,WR,WR,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311415677,1785311415677,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11105,16445,Shaquan Davis,WR,WR,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311411855,1785311411855,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11130,16408,Pokey Wilson,WR,WR,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311409388,1785311409388,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11133,16430,Jaray Jenkins,WR,WR,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311409389,1785311409389,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11139,16453,Elijah Cooks,WR,WR,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311410600,1785311410600,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11157,16949,Brycen Tremayne,WR,WR,CAR,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311410602,1785311410602,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11168,16428,Xavier Smith,WR,WR,LAR,2026,regular,rotowire,18.0,,,,,,,,3.0,16.0,,,7.0,95.0,1.0,,,17.1,20.6,24.1,1785311416956,1785311416956,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11184,16442,Daniel Arias,WR,WR,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311418212,1785311418212,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11192,16398,Malik Flowers,WR,WR,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311413156,1785311413156,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11210,16413,Malik Heath,WR,WR,ATL,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311413164,1785311413164,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11232,16382,Isaiah Winstead,WR,WR,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311413170,1785311413170,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11247,16427,Mac Hippenhammer,WR,WR,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311411872,1785311411872,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11257,16533,Shedrick Jackson,WR,WR,LV,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311409410,1785311409410,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11276,16250,Joseph Ngata,WR,WR,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311410620,1785311410620,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11306,16416,Xavier Gipson,WR,WR,NYG,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311418226,1785311418226,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11311,16423,Jason Brownlee,WR,WR,KC,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311415711,1785311415711,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11320,16422,Nikko Remigio,WR,WR,KC,2026,regular,rotowire,18.0,,,,,,,,1.0,6.0,,,,,,,,0.6,0.6,0.6,1785311419497,1785311419497,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11344,16394,Keytaon Thompson,WR,WR,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311419500,1785311419500,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11347,16437,Chase Cota,WR,WR,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311419501,1785311419501,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11377,16451,Tyrell Shavers,WR,WR,BUF,2026,regular,rotowire,18.0,,,,,,,,1.0,6.0,,,10.0,126.0,1.0,,,19.2,24.2,29.2,1785311410637,1785311410637,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11382,16200,Dontay Demus,WR,WR,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311415720,1785311415720,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11421,16958,Ryan Miller,WR,WR,NYG,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311414423,1785311414423,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,1144,10973,Cole Beasley,WR,WR,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311419517,1785311419517,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11474,16429,Dylan Drummond,WR,WR,ATL,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311420830,1785311420830,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,1149,10722,Alshon Jeffery,WR,WR,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311418247,1785311418247,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11495,16852,Bryan Thompson,WR,WR,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311410654,1785311410654,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11505,16389,David Durden,WR,WR,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311420834,1785311420834,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11506,16395,Jalen Moreno-Cropper,WR,WR,NO,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311413211,1785311413211,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11520,17342,Lucky Jackson,WR,WR,DET,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311414436,1785311414436,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11528,16404,Garett Maag,WR,WR,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311417008,1785311417008,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11608,16630,Isaiah Williams,WR,WR,NYJ,2026,regular,rotowire,18.0,,,,,,,,3.0,18.0,,,12.0,135.0,1.0,,1.0,19.3,25.3,31.3,1785311411920,1785311411920,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11610,16684,Malik Washington,WR,WR,MIA,2026,regular,rotowire,18.0,,,,,,,,22.0,121.0,,,37.0,396.0,2.0,,,63.7,82.2,100.7,1785311418262,1785311418262,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11615,16686,Ainias Smith,WR,WR,CAR,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311414460,1785311414460,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11616,16640,Jacob Cowing,WR,WR,SF,2026,regular,rotowire,18.0,,,,,,,,,,,,1.0,7.0,,,,0.7,1.2,1.7,1785311415737,1785311415737,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11617,16636,Malachi Corley,WR,WR,CLE,2026,regular,rotowire,18.0,,,,,,,,5.0,28.0,,,2.0,20.0,,,,4.8,5.8,6.8,1785311419536,1785311419536,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11618,16628,Jalen McMillan,WR,WR,TB,2026,regular,rotowire,18.0,,,,,,,,6.0,35.0,,,46.0,591.0,4.0,,,86.6,109.6,132.6,1785311411921,1785311411921,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11619,16631,Ja'Lynn Polk,WR,WR,NO,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311409454,1785311409454,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11620,16616,Rome Odunze,WR,WR,CHI,2026,regular,rotowire,18.0,,,,,,,,1.0,6.0,,,62.0,891.0,6.0,,,125.7,156.7,187.7,1785311415739,1785311415739,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11621,16623,Brenden Rice,WR,WR,GB,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311420846,1785311420846,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11623,16633,Jordan Whittington,WR,WR,LAR,2026,regular,rotowire,18.0,,,,,,,,1.0,6.0,,,8.0,87.0,1.0,,,15.3,19.3,23.3,1785311410666,1785311410666,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11624,16620,Xavier Worthy,WR,WR,KC,2026,regular,rotowire,18.0,,,,,,,,17.0,90.0,1.0,,55.0,695.0,4.0,,1.0,106.5,134.0,161.5,1785311417016,1785311417016,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11625,16626,Adonai Mitchell,WR,WR,NYJ,2026,regular,rotowire,18.0,,,,,,,,1.0,10.0,,,35.0,443.0,3.0,,,63.3,80.8,98.3,1785311417017,1785311417017,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11626,16639,Xavier Legette,WR,WR,CAR,2026,regular,rotowire,18.0,,,,,,,,1.0,6.0,,,15.0,180.0,1.0,,,24.6,32.1,39.6,1785311413224,1785311413224,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11627,16619,Troy Franklin,WR,WR,DEN,2026,regular,rotowire,18.0,,,,,,,,3.0,17.0,,,30.0,359.0,3.0,,,55.6,70.6,85.6,1785311409455,1785311409455,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
sleeper_rotowire,11628,16614,Marvin Harrison,WR,WR,ARI,2026,regular,rotowire,18.0,,,,,,,,,,,,60.0,857.0,5.0,,,115.7,145.7,175.7,1785311410667,1785311410667,2026-07-29,2026-07-29T21:50:39.469564+00:00,2026-07-29T21:50:39.469564+00:00
