team,season,reason,retrieved_at
NYJ,2015,no_final_staff_template_on_page,2026-07-30T04:17:14.896368+00:00
BUF,2016,no_oc_field_in_template,2026-07-30T04:17:14.896368+00:00
CLE,2016,no_oc_field_in_template,2026-07-30T04:17:14.896368+00:00
CLE,2017,no_oc_field_in_template,2026-07-30T04:17:14.896368+00:00
HOU,2017,no_oc_field_in_template,2026-07-30T04:17:14.896368+00:00
SF,2017,no_oc_field_in_template,2026-07-30T04:17:14.896368+00:00
HOU,2018,no_oc_field_in_template,2026-07-30T04:17:14.896368+00:00
LA,2018,no_oc_field_in_template,2026-07-30T04:17:14.896368+00:00
NE,2018,no_dc_field_in_template,2026-07-30T04:17:14.896368+00:00
SF,2018,no_oc_field_in_template,2026-07-30T04:17:14.896368+00:00
ARI,2019,no_oc_field_in_template,2026-07-30T04:17:14.896368+00:00
ATL,2019,no_dc_field_in_template,2026-07-30T04:17:14.896368+00:00
SF,2019,no_oc_field_in_template,2026-07-30T04:17:14.896368+00:00
ARI,2020,no_oc_field_in_template,2026-07-30T04:17:14.896368+00:00
NE,2020,no_dc_field_in_template,2026-07-30T04:17:14.896368+00:00
PHI,2020,no_oc_field_in_template,2026-07-30T04:17:14.896368+00:00
SF,2020,no_oc_field_in_template,2026-07-30T04:17:14.896368+00:00
TEN,2020,no_dc_field_in_template,2026-07-30T04:17:14.896368+00:00
ARI,2021,no_oc_field_in_template,2026-07-30T04:17:14.896368+00:00
NE,2021,no_dc_field_in_template,2026-07-30T04:17:14.896368+00:00
ARI,2022,no_oc_field_in_template,2026-07-30T04:17:14.896368+00:00
HOU,2022,no_dc_field_in_template,2026-07-30T04:17:14.896368+00:00
NE,2022,no_oc_field_in_template,2026-07-30T04:17:14.896368+00:00
NE,2022,no_dc_field_in_template,2026-07-30T04:17:14.896368+00:00
SF,2022,no_oc_field_in_template,2026-07-30T04:17:14.896368+00:00
TB,2022,no_dc_field_in_template,2026-07-30T04:17:14.896368+00:00
BUF,2023,no_dc_field_in_template,2026-07-30T04:17:14.896368+00:00
NE,2023,no_dc_field_in_template,2026-07-30T04:17:14.896368+00:00
SF,2023,no_oc_field_in_template,2026-07-30T04:17:14.896368+00:00
TB,2023,no_dc_field_in_template,2026-07-30T04:17:14.896368+00:00
SF,2024,no_oc_field_in_template,2026-07-30T04:17:14.896368+00:00
TB,2024,no_dc_field_in_template,2026-07-30T04:17:14.896368+00:00
