adp_source,player_name_raw,position,team,reason,retrieved_at,quarantined_at
ffc_half_ppr_12team,Arizona Defense,DEF,ARI,no_name_match,2026-07-29T23:12:32.870411+00:00,2026-07-29T23:12:32.870411+00:00
ffc_half_ppr_12team,Atlanta Defense,DEF,ATL,no_name_match,2026-07-29T23:12:32.870411+00:00,2026-07-29T23:12:32.870411+00:00
ffc_half_ppr_12team,Baltimore Defense,DEF,BAL,no_name_match,2026-07-29T23:12:32.870411+00:00,2026-07-29T23:12:32.870411+00:00
ffc_half_ppr_12team,Baltimore Defense,DEF,BAL,no_name_match,2026-07-29T23:12:38.843306+00:00,2026-07-29T23:12:38.843306+00:00
ffc_half_ppr_12team,Baltimore Defense,DEF,BAL,no_name_match,2026-07-29T23:12:45.285516+00:00,2026-07-29T23:12:45.285516+00:00
ffc_half_ppr_12team,Baltimore Defense,DEF,BAL,no_name_match,2026-07-29T23:12:51.798309+00:00,2026-07-29T23:12:51.798309+00:00
ffc_half_ppr_12team,Baltimore Defense,DEF,BAL,no_name_match,2026-07-29T23:13:04.509470+00:00,2026-07-29T23:13:04.509470+00:00
ffc_half_ppr_12team,Baltimore Defense,DEF,BAL,no_name_match,2026-07-29T23:13:11.779054+00:00,2026-07-29T23:13:11.779054+00:00
ffc_half_ppr_12team,Buffalo Defense,DEF,BUF,no_name_match,2026-07-29T23:12:38.843306+00:00,2026-07-29T23:12:38.843306+00:00
ffc_half_ppr_12team,Buffalo Defense,DEF,BUF,no_name_match,2026-07-29T23:12:45.285516+00:00,2026-07-29T23:12:45.285516+00:00
ffc_half_ppr_12team,Buffalo Defense,DEF,BUF,no_name_match,2026-07-29T23:12:51.798309+00:00,2026-07-29T23:12:51.798309+00:00
ffc_half_ppr_12team,Buffalo Defense,DEF,BUF,no_name_match,2026-07-29T23:12:59.465093+00:00,2026-07-29T23:12:59.465093+00:00
ffc_half_ppr_12team,Buffalo Defense,DEF,BUF,no_name_match,2026-07-29T23:13:04.509470+00:00,2026-07-29T23:13:04.509470+00:00
ffc_half_ppr_12team,Buffalo Defense,DEF,BUF,no_name_match,2026-07-29T23:13:11.779054+00:00,2026-07-29T23:13:11.779054+00:00
ffc_half_ppr_12team,Carolina Defense,DEF,CAR,no_name_match,2026-07-29T23:12:32.870411+00:00,2026-07-29T23:12:32.870411+00:00
ffc_half_ppr_12team,Chicago Defense,DEF,CHI,no_name_match,2026-07-29T23:12:32.870411+00:00,2026-07-29T23:12:32.870411+00:00
ffc_half_ppr_12team,Chicago Defense,DEF,CHI,no_name_match,2026-07-29T23:12:38.843306+00:00,2026-07-29T23:12:38.843306+00:00
ffc_half_ppr_12team,Chicago Defense,DEF,CHI,no_name_match,2026-07-29T23:12:45.285516+00:00,2026-07-29T23:12:45.285516+00:00
ffc_half_ppr_12team,Chicago Defense,DEF,CHI,no_name_match,2026-07-29T23:12:51.798309+00:00,2026-07-29T23:12:51.798309+00:00
ffc_half_ppr_12team,Chicago Defense,DEF,CHI,no_name_match,2026-07-29T23:13:11.779054+00:00,2026-07-29T23:13:11.779054+00:00
ffc_half_ppr_12team,Chig Okonkwo,TE,WAS,no_name_match,2026-07-29T23:13:04.509470+00:00,2026-07-29T23:13:04.509470+00:00
ffc_half_ppr_12team,Cleveland Defense,DEF,CLE,no_name_match,2026-07-29T23:12:32.870411+00:00,2026-07-29T23:12:32.870411+00:00
ffc_half_ppr_12team,Cleveland Defense,DEF,CLE,no_name_match,2026-07-29T23:12:38.843306+00:00,2026-07-29T23:12:38.843306+00:00
ffc_half_ppr_12team,Cleveland Defense,DEF,CLE,no_name_match,2026-07-29T23:12:51.798309+00:00,2026-07-29T23:12:51.798309+00:00
