Player,Team,Position,Ratcliffe,Popielarz,Orginski,Consensus
Jahmyr Gibbs,DET,RB,1,2,1,1
Bijan Robinson,ATL,RB,2,3,2,2
Ja'Marr Chase,CIN,WR,3,1,3,3
Puka Nacua,LAR,WR,4,4,4,4
Jaxon Smith-Njigba,SEA,WR,6,5,5,5
Christian McCaffrey,SF,RB,5,6,6,6
Amon-Ra St. Brown,DET,WR,8,7,7,7
Jonathan Taylor,IND,RB,7,9,8,8
CeeDee Lamb,DAL,WR,10,8,9,9
James Cook III,BUF,RB,11,11,11,10
Justin Jefferson,MIN,WR,13,10,10,11
Ashton Jeanty,LV,RB,9,12,13,12
Drake London,ATL,WR,21,14,12,13
De'Von Achane,MIA,RB,16,16,16,14
Nico Collins,HOU,WR,19,17,15,15
Omarion Hampton,LAC,RB,12,15,26,16
Trey McBride,ARZ,TE,24,13,18,17
Saquon Barkley,PHI,RB,14,27,14,18
Brock Bowers,LV,TE,22,18,17,19
A.J. Brown,NE,WR,17,21,19,20
Chase Brown,CIN,RB,15,24,20,21
Kenneth Walker III,KC,RB,18,22,24,22
Derrick Henry,BAL,RB,20,28,21,23
George Pickens,DAL,WR,31,19,22,24
Josh Allen,BUF,QB,33,20,25,25
Chris Olave,NO,WR,29,31,23,26
Kyren Williams,LAR,RB,26,30,28,27
Jeremiyah Love,ARZ,RB,23,36,27,28
Tetairoa McMillan,CAR,WR,35,25,35,29
Rashee Rice,KC,WR,25,41,30,30
DeVonta Smith,PHI,WR,27,38,31,31
Tee Higgins,CIN,WR,38,26,33,32
Josh Jacobs,GB,RB,28,32,42,33
Breece Hall,NYJ,RB,30,39,37,34
Malik Nabers,NYG,WR,36,23,48,35
Garrett Wilson,NYJ,WR,42,29,36,36
Zay Flowers,BAL,WR,32,42,34,37
Javonte Williams,DAL,RB,34,35,40,38
Jaylen Waddle,DEN,WR,37,37,39,39
Lamar Jackson,BAL,QB,56,33,29,40
Colston Loveland,CHI,TE,49,40,32,41
Terry McLaurin,WAS,WR,47,43,38,42
Emeka Egbuka,TB,WR,40,45,47,43
Ladd McConkey,LAC,WR,43,48,43,44
Davante Adams,LAR,WR,60,34,45,45
D'Andre Swift,CHI,RB,44,47,49,46
Travis Etienne Jr.,NO,RB,41,59,46,47
David Montgomery,HOU,RB,46,50,50,48
Drake Maye,NE,QB,57,46,44,49
Christian Watson,GB,WR,54,44,53,50
Cam Skattebo,NYG,RB,39,56,59,51
Jayden Daniels,WAS,QB,67,52,41,52
Bucky Irving,TB,RB,53,54,57,53
Quinshon Judkins,CLE,RB,50,64,52,54
Mike Evans,SF,WR,45,60,61,55
Jameson Williams,DET,WR,48,65,54,56
DJ Moore,BUF,WR,61,53,60,57
Tyler Warren,IND,TE,62,49,66,58
Luther Burden III,CHI,WR,52,66,64,59
Carnell Tate,TEN,WR,66,61,56,60
TreVeyon Henderson,NE,RB,51,72,65,61
Bhayshul Tuten,JAX,RB,55,76,58,62
Rome Odunze,CHI,WR,63,55,71,63
Jadarian Price,SEA,RB,58,70,63,64
Marvin Harrison Jr.,ARZ,WR,68,51,78,65
Tony Pollard,TEN,RB,64,67,68,66
Brian Thomas Jr.,JAX,WR,70,58,73,67
Jalen Hurts,PHI,QB,82,57,62,68
Jordyn Tyson,NO,WR,73,73,55,69
Tucker Kraft,GB,TE,75,63,67,70
Joe Burrow,CIN,QB,76,81,51,71
Rhamondre Stevenson,NE,RB,69,69,80,72
Jaylen Warren,PIT,RB,59,80,82,73
Chuba Hubbard,CAR,RB,65,85,74,74
DK Metcalf,PIT,WR,77,71,77,75
Makai Lemon,PHI,WR,72,68,87,76
Rico Dowdle,PIT,RB,71,74,84,77
Parker Washington,JAX,WR,81,78,75,78
Harold Fannin Jr.,CLE,TE,84,75,83,79
Courtland Sutton,DEN,WR,85,77,81,80
Alec Pierce,IND,WR,79,91,79,81
Chris Godwin Jr.,TB,WR,98,62,93,82
Kyle Pitts Sr.,ATL,TE,87,79,88,83
Caleb Williams,CHI,QB,88,95,76,84
Blake Corum,LAR,RB,74,96,92,85
J.K. Dobbins,DEN,RB,80,84,98,86
Kenny Gainwell,TB,RB,89,99,85,87
Sam LaPorta,DET,TE,97,105,72,88
Kyle Monangai,CHI,RB,78,103,95,89
Jakobi Meyers,JAX,WR,95,82,102,90
Jordan Addison,MIN,WR,94,93,97,91
