"Rank","Player","Pos","Team","ADP","Pos Rank"
"1","Jahmyr Gibbs","RB","DET","1.1","RB1"
"2","Bijan Robinson","RB","ATL","2.0","RB2"
"3","Ja'Marr Chase","WR","CIN","3.1","WR1"
"4","Puka Nacua","WR","LAR","4.0","WR2"
"5","Jaxon Smith-Njigba","WR","SEA","5.4","WR3"
"6","Christian McCaffrey","RB","SF","6.4","RB3"
"7","Amon-Ra St. Brown","WR","DET","7.2","WR4"
"8","Jonathan Taylor","RB","IND","7.9","RB4"
"9","CeeDee Lamb","WR","DAL","9.6","WR5"
"10","Justin Jefferson","WR","MIN","10.0","WR6"
"11","Ashton Jeanty","RB","LV","11.2","RB5"
"12","James Cook","RB","BUF","11.6","RB6"
"13","Saquon Barkley","RB","PHI","13.5","RB7"
"14","Omarion Hampton","RB","LAC","14.5","RB8"
"15","Kenneth Walker III","RB","KC","15.7","RB9"
"16","Chase Brown","RB","CIN","16.3","RB10"
"17","De'Von Achane","RB","MIA","17.4","RB11"
"18","Derrick Henry","RB","BAL","17.9","RB12"
"19","A.J. Brown","WR","PHI","18.2","WR7"
"20","Drake London","WR","ATL","19.9","WR8"
"21","Brock Bowers","TE","LV","20.4","TE1"
"22","Nico Collins","WR","HOU","22.4","WR9"
"23","George Pickens","WR","DAL","23.6","WR10"
"24","Jeremiyah Love","RB","ARI","24.5","RB13"
"25","Rashee Rice","WR","KC","25.0","WR11"
"26","DeVonta Smith","WR","PHI","26.3","WR12"
"27","Breece Hall","RB","NYJ","28.4","RB14"
"28","Trey McBride","TE","ARI","28.7","TE2"
"29","Chris Olave","WR","NO","29.8","WR13"
"30","Zay Flowers","WR","BAL","30.3","WR14"
"31","Kyren Williams","RB","LAR","31.6","RB15"
"32","Emeka Egbuka","WR","TB","32.2","WR15"
"33","Tee Higgins","WR","CIN","33.2","WR16"
"34","Ladd McConkey","WR","LAC","34.8","WR18"
"35","Malik Nabers","WR","NYG","34.8","WR17"
"36","Josh Allen","QB","BUF","35.5","QB1"
"37","Javonte Williams","RB","DAL","36.0","RB16"
"38","Travis Etienne Jr.","RB","NO","37.8","RB17"
"39","Tetairoa McMillan","WR","CAR","38.9","WR19"
"40","Garrett Wilson","WR","NYJ","39.9","WR20"
"41","Josh Jacobs","RB","GB","40.5","RB18"
"42","Jaylen Waddle","WR","DEN","41.7","WR21"
"43","Cam Skattebo","RB","NYG","43.7","RB19"
"44","Terry McLaurin","WR","WAS","43.8","WR22"
"45","Luther Burden","WR","CHI","45.0","WR23"
"46","Mike Evans","WR","SF","46.0","WR24"
"47","Colston Loveland","TE","CHI","46.9","TE3"
"48","David Montgomery","RB","HOU","48.2","RB20"
"49","Davante Adams","WR","LAR","49.9","WR25"
"50","D'Andre Swift","RB","CHI","50.4","RB21"
"51","Jameson Williams","WR","DET","50.7","WR26"
"52","TreVeyon Henderson","RB","NE","52.5","RB22"
"53","Quinshon Judkins","RB","CLE","53.6","RB23"
"54","Bhayshul Tuten","RB","JAX","53.9","RB24"
"55","Bucky Irving","RB","TB","55.1","RB25"
"56","Lamar Jackson","QB","BAL","55.6","QB2"
"57","D.J. Moore","WR","BUF","56.5","WR27"
"58","Christian Watson","WR","GB","57.0","WR28"
"59","Carnell Tate","WR","TEN","58.5","WR29"
"60","Rome Odunze","WR","CHI","60.1","WR30"
"61","Brian Thomas","WR","JAX","61.4","WR31"
"62","Jadarian Price","RB","SEA","62.4","RB26"
"63","Jordyn Tyson","WR","NO","63.5","WR32"
"64","Tyler Warren","TE","IND","64.5","TE4"
"65","Drake Maye","QB","NE","66.2","QB3"
"66","Parker Washington","WR","JAX","67.0","WR33"
"67","Jayden Daniels","QB","WAS","67.0","QB4"
"68","Marvin Harrison","WR","ARI","68.0","WR34"
"69","Joe Burrow","QB","CIN","68.0","QB5"
"70","Caleb Williams","QB","CHI","71.7","QB6"
"71","Jalen Hurts","QB","PHI","71.8","QB7"
"72","Tony Pollard","RB","TEN","72.3","RB27"
"73","Makai Lemon","WR","PHI","73.0","WR35"
"74","Jaylen Warren","RB","PIT","73.3","RB28"
"75","Quentin Johnston","WR","LAC","74.4","WR36"
"76","Rhamondre Stevenson","RB","NE","76.3","RB29"
"77","DK Metcalf","WR","PIT","77.0","WR37"
"78","Chuba Hubbard","RB","CAR","79.2","RB30"
"79","Alec Pierce","WR","IND","80.2","WR38"
"80","Dak Prescott","QB","DAL","80.8","QB8"
"81","Justin Herbert","QB","LAC","81.8","QB9"
"82","Tucker Kraft","TE","GB","82.5","TE5"
"83","Courtland Sutton","WR","DEN","83.2","WR39"
"84","Jayden Reed","WR","GB","84.3","WR40"
"85","Trevor Lawrence","QB","JAX","85.5","QB10"
"86","RJ Harvey","RB","DEN","85.9","RB31"
"87","Rico Dowdle","RB","PIT","87.0","RB32"
"88","Chris Godwin","WR","TB","87.6","WR41"
"89","Jordan Addison","WR","MIN","88.9","WR42"
"90","Josh Downs","WR","IND","90.4","WR43"
"91","Blake Corum","RB","LAR","91.3","RB33"
"92","Patrick Mahomes","QB","KC","93.1","QB11"
"93","Kyle Monangai","RB","CHI","93.7","RB34"
"94","Sam LaPorta","TE","DET","94.6","TE6"
"95","Xavier Worthy","WR","KC","94.8","WR44"
"96","Brock Purdy","QB","SF","95.9","QB12"
"97","Ricky Pearsall","WR","SF","96.5","WR45"
"98","Jonathon Brooks","RB","CAR","98.3","RB35"
"99","J.K. Dobbins","RB","DEN","98.7","RB36"
"100","Michael Pittman Jr.","WR","PIT","99.6","WR46"
"101","Michael Wilson","WR","ARI","101.3","WR47"
"102","Jaxson Dart","QB","NYG","101.9","QB13"
"103","Harold Fannin","TE","CLE","104.3","TE7"
"104","Kyle Pitts","TE","ATL","105.1","TE8"
"105","Matthew Stafford","QB","LAR","106.2","QB14"
"106","Jakobi Meyers","WR","JAX","107.1","WR48"
"107","Bo Nix","QB","DEN","107.2","QB15"
"108","Kenneth Gainwell","RB","TB","107.7","RB37"
"109","Rachaad White","RB","WAS","108.3","RB38"
"110","Jared Goff","QB","DET","109.5","QB16"
"111","Matthew Golden","WR","GB","110.6","WR49"
"112","Kyler Murray","QB","MIN","111.4","QB17"
"113","Jordan Love","QB","GB","112.7","QB18"
"114","George Kittle","TE","SF","113.8","TE9"
"115","Jordan Mason","RB","MIN","113.9","RB39"
"116","Wan'Dale Robinson","WR","TEN","113.9","WR50"
"117","Romeo Doubs","WR","NE","116.8","WR51"
"118","Baker Mayfield","QB","TB","118.2","QB19"
"119","KC Concepcion","WR","CLE","118.5","WR52"
"120","Aaron Jones","RB","MIN","120.9","RB40"
"121","Jacory Croskey-Merritt","RB","WAS","121.3","RB41"
"122","Travis Kelce","TE","KC","121.7","TE10"
"123","Tyler Shough","QB","NO","123.4","QB20"
"124","Jayden Higgins","WR","HOU","124.3","WR53"
"125","Mark Andrews","TE","BAL","125.7","TE11"
"126","Khalil Shakir","WR","BUF","126.7","WR54"
"127","Chris Rodriguez","RB","JAX","127.7","RB42"
"128","Dalton Kincaid","TE","BUF","127.8","TE12"
"129","Isaiah Likely","TE","NYG","129.2","TE13"
"130","Jake Ferguson","TE","DAL","130.4","TE14"
"131","Jalen Coker","WR","CAR","131.1","WR55"
"132","Rashid Shaheed","WR","SEA","131.2","WR56"
"133","Tyrone Tracy","RB","NYG","133.5","RB43"
"134","Stefon Diggs","WR","","133.5","WR57"
"135","Malik Willis","QB","MIA","134.7","QB21"
"136","Dallas Goedert","TE","PHI","134.9","TE15"
"137","Keaton Mitchell","RB","LAC","137.0","RB44"
"138","Cam Ward","QB","TEN","139.9","QB22"
"139","Chig Okonkwo","TE","WAS","140.5","TE16"
"140","Sam Darnold","QB","SEA","140.8","QB23"
"141","Travis Hunter","CB","JAX","141.4","WR58"
"142","Woody Marks","RB","HOU","141.9","RB45"
"143","C.J. Stroud","QB","HOU","142.9","QB24"
"144","Omar Cooper","WR","NYJ","143.7","WR59"
"145","Jalen McMillan","WR","TB","145.1","WR60"
"146","Daniel Jones","QB","IND","146.6","QB25"
"147","Jalen Nailor","WR","LV","147.6","WR61"
"148","Isiah Pacheco","RB","DET","149.3","RB46"
"149","Oronde Gadsden","TE","LAC","149.4","TE17"
"150","Brenton Strange","TE","JAX","150.7","TE18"
"151","Hunter Henry","TE","NE","151.4","TE19"
"152","Tyjae Spears","RB","TEN","152.7","RB47"
"153","Jauan Jennings","WR","MIN","152.8","WR62"
"154","Tre Tucker","WR","LV","153.4","WR63"
"155","Denzel Boston","WR","CLE","155.1","WR64"
"156","Jonah Coleman","RB","DEN","156.3","RB48"
"157","Juwan Johnson","TE","NO","156.4","TE20"
"158","Bryce Young","QB","CAR","158.5","QB26"
"159","Ryan Flournoy","WR","DAL","160.4","WR65"
"160","Kenyon Sadiq","TE","NYJ","161.1","TE21"
"161","Zach Charbonnet","RB","SEA","161.5","RB49"
"162","Tyler Allgeier","RB","ARI","162.4","RB50"
"163","Tank Bigsby","RB","PHI","163.1","RB51"
"164","Deebo Samuel","WR","","164.2","WR66"
"165","Alvin Kamara","RB","NO","166.2","RB52"
"166","Tre' Harris","WR","LAC","166.3","WR67"
"167","Isaac TeSlaa","WR","DET","167.0","WR68"
"168","Dalton Schultz","TE","HOU","167.9","TE22"
"169","T.J. Hockenson","TE","MIN","169.6","TE23"
"170","De'Zhaun Stribling","WR","SF","171.9","WR69"
"171","Adonai Mitchell","WR","NYJ","172.0","WR70"
"172","Brian Robinson","RB","ATL","172.5","RB53"
"173","Dylan Sampson","RB","CLE","172.6","RB54"
"174","AJ Barner","TE","SEA","174.2","TE24"
"175","Antonio Williams","WR","WAS","175.1","WR71"
"176","Fernando Mendoza","QB","LV","176.2","QB27"
"177","Aaron Rodgers","QB","PIT","177.7","QB28"
"178","Greg Dulcich","TE","MIA","178.1","TE25"
"179","Jerry Jeudy","WR","CLE","179.1","WR72"
"180","Gunnar Helm","TE","TEN","180.8","TE26"
"181","Zachariah Branch","WR","ATL","182.2","WR73"
"182","Malik Washington","WR","MIA","183.5","WR74"
"183","Geno Smith","QB","NYJ","184.9","QB29"
"184","Sean Tucker","RB","TB","185.4","RB55"
"185","Cade Otton","TE","TB","186.4","TE27"
"186","Terrance Ferguson","TE","LAR","187.3","TE28"
"187","Germie Bernard","WR","PIT","187.7","WR75"
"188","Calvin Ridley","WR","TEN","188.3","WR76"
"189","Dontayvion Wicks","WR","PHI","189.4","WR77"
"190","Ray Davis","RB","BUF","190.9","RB56"
"191","Emmett Johnson","RB","KC","191.1","RB57"
"192","Pat Freiermuth","TE","PIT","192.6","TE29"
"193","Tank Dell","WR","HOU","193.2","WR78"
"194","Jaydon Blue","RB","DAL","194.4","RB58"
"195","Jacoby Brissett","QB","ARI","196.9","QB30"
"196","Darnell Mooney","WR","NYG","197.2","WR79"
"197","MarShawn Lloyd","RB","GB","197.6","RB59"
"198","Mike Washington","RB","LV","198.5","RB60"
"199","Ted Hurst","WR","TB","202.2","WR80"
"200","Kaytron Allen","RB","WAS","202.9","RB61"
"201","Pat Bryant","WR","DEN","203.8","WR81"
"202","Mike Gesicki","TE","CIN","204.4","TE30"
"203","Elijah Sarratt","WR","BAL","205.1","WR82"
"204","Tua Tagovailoa","QB","ATL","206.6","QB31"
"205","Cooper Kupp","WR","SEA","207.5","WR83"
"206","Braelon Allen","RB","NYJ","207.8","RB62"
"207","Keon Coleman","WR","BUF","208.0","WR84"
"208","Rashod Bateman","WR","BAL","209.1","WR85"
"209","Nicholas Singleton","RB","TEN","209.2","RB63"
