"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"1",1,"Jahmyr Gibbs",DET,"RB1","6","Coach Upside rating","Coach Bust rating","5 out of 5 stars","+1"
"2",1,"Bijan Robinson",ATL,"RB2","11","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-1"
"3",1,"Ja'Marr Chase",CIN,"WR1","6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","0"
"4",1,"Puka Nacua",LAR,"WR2","11","Coach Upside rating","Coach Bust rating","1 out of 5 stars","0"
"5",1,"Jaxon Smith-Njigba",SEA,"WR3","11","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+1"
"6",1,"Amon-Ra St. Brown",DET,"WR4","6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+2"
"7",1,"Christian McCaffrey",SF,"RB3","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-2"
"8",2,"CeeDee Lamb",DAL,"WR5","14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+3"
"9",2,"Jonathan Taylor",IND,"RB4","13","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-2"
"10",2,"Justin Jefferson",MIN,"WR6","6","","","5 out of 5 stars","+2"
"11",2,"James Cook III",BUF,"RB5","7","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-2"
"12",2,"Ashton Jeanty",LV,"RB6","13","","","2 out of 5 stars","-2"
"13",2,"Drake London",ATL,"WR7","11","","","3 out of 5 stars","+4"
"14",2,"Saquon Barkley",PHI,"RB7","10","","","4 out of 5 stars","0"
"15",3,"A.J. Brown",NE,"WR8","11","","","2 out of 5 stars","+8"
"16",3,"Brock Bowers",LV,"TE1","13","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+3"
"17",3,"Chase Brown",CIN,"RB8","6","","","2 out of 5 stars","-2"
"18",3,"Nico Collins",HOU,"WR9","8","","","3 out of 5 stars","+6"
"19",3,"De'Von Achane",MIA,"RB9","6","","","3 out of 5 stars","-6"
"20",3,"Omarion Hampton",LAC,"RB10","7","","","3 out of 5 stars","-4"
"21",3,"George Pickens",DAL,"WR10","14","","","2 out of 5 stars","+5"
"22",3,"Trey McBride",ARI,"TE2","14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-4"
"23",3,"Derrick Henry",BAL,"RB11","13","","","3 out of 5 stars","-1"
"24",3,"Kenneth Walker III",KC,"RB12","5","","","3 out of 5 stars","-4"
"25",3,"Rashee Rice",KC,"WR11","5","","","2 out of 5 stars","+5"
"26",3,"Chris Olave",NO,"WR12","8","","","3 out of 5 stars","+2"
"27",3,"Josh Allen",BUF,"QB1","7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-6"
"28",3,"DeVonta Smith",PHI,"WR13","10","","","4 out of 5 stars","+5"
"29",4,"Zay Flowers",BAL,"WR14","13","","","4 out of 5 stars","+11"
"30",4,"Tee Higgins",CIN,"WR15","6","","","4 out of 5 stars","+9"
"31",4,"Kyren Williams",LAR,"RB13","11","","","5 out of 5 stars","-2"
"32",4,"Tetairoa McMillan",CAR,"WR16","5","","","2 out of 5 stars","+4"
"33",4,"Jeremiyah Love",ARI,"RB14","14","","","2 out of 5 stars","-8"
"34",4,"Lamar Jackson",BAL,"QB2","13","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"35",4,"Josh Jacobs",GB,"RB15","11","","","4 out of 5 stars","-8"
"36",4,"Garrett Wilson",NYJ,"WR17","13","","","4 out of 5 stars","+5"
"37",4,"Breece Hall",NYJ,"RB16","13","","","3 out of 5 stars","-5"
"38",4,"Emeka Egbuka",TB,"WR18","10","","","4 out of 5 stars","+5"
"39",4,"Javonte Williams",DAL,"RB17","14","","","4 out of 5 stars","-8"
"40",4,"Colston Loveland",CHI,"TE3","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+2"
"41",4,"Drake Maye",NE,"QB3","11","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+9"
"42",4,"Ladd McConkey",LAC,"WR19","7","","","2 out of 5 stars","+3"
"43",4,"Malik Nabers",NYG,"WR20","8","","","4 out of 5 stars","-6"
"44",4,"Jaylen Waddle",DEN,"WR21","10","","","2 out of 5 stars","+5"
"45",4,"Terry McLaurin",WAS,"WR22","7","","","2 out of 5 stars","+10"
"46",4,"Joe Burrow",CIN,"QB4","6","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+5"
"47",4,"Travis Etienne Jr.",NO,"RB18","8","","","3 out of 5 stars","-9"
"48",4,"Davante Adams",LAR,"WR23","11","","","1 out of 5 stars","+9"
"49",5,"Cam Skattebo",NYG,"RB19","8","","","4 out of 5 stars","-14"
"50",5,"Luther Burden III",CHI,"WR24","10","","","3 out of 5 stars","-3"
