"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+2"
"2",1,"Puka Nacua",LAR,"WR2","11","Coach Upside rating","Coach Bust rating","1 out of 5 stars","+2"
"3",1,"Jahmyr Gibbs",DET,"RB1","6","Coach Upside rating","Coach Bust rating","5 out of 5 stars","-2"
"4",1,"Bijan Robinson",ATL,"RB2","11","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-2"
"5",1,"Jaxon Smith-Njigba",SEA,"WR3","11","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"6",2,"Amon-Ra St. Brown",DET,"WR4","6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+2"
"7",2,"Christian McCaffrey",SF,"RB3","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-1"
"8",2,"CeeDee Lamb",DAL,"WR5","14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+2"
"9",2,"Justin Jefferson",MIN,"WR6","6","","","5 out of 5 stars","+2"
"10",2,"Drake London",ATL,"WR7","11","","","3 out of 5 stars","+5"
"11",2,"Jonathan Taylor",IND,"RB4","13","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-4"
"12",3,"A.J. Brown",NE,"WR8","11","","","2 out of 5 stars","+11"
"13",3,"Nico Collins",HOU,"WR9","8","","","3 out of 5 stars","+11"
"14",3,"Ashton Jeanty",LV,"RB5","13","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-2"
"15",3,"George Pickens",DAL,"WR10","14","","","2 out of 5 stars","+10"
"16",3,"Trey McBride",ARI,"TE1","14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+3"
"17",3,"James Cook III",BUF,"RB6","7","","","2 out of 5 stars","-8"
"18",3,"Chase Brown",CIN,"RB7","6","","","2 out of 5 stars","-1"
"19",3,"Rashee Rice",KC,"WR11","5","","","2 out of 5 stars","+7"
"20",3,"Brock Bowers",LV,"TE2","13","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+1"
"21",3,"De'Von Achane",MIA,"RB8","6","","","3 out of 5 stars","-8"
"22",3,"Chris Olave",NO,"WR12","8","","","3 out of 5 stars","+7"
"23",4,"Omarion Hampton",LAC,"RB9","7","","","3 out of 5 stars","-7"
"24",4,"DeVonta Smith",PHI,"WR13","10","","","4 out of 5 stars","+9"
"25",4,"Saquon Barkley",PHI,"RB10","10","","","4 out of 5 stars","-11"
"26",4,"Josh Allen",BUF,"QB1","7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+1"
