"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"1",1,"Jahmyr Gibbs",DET,"RB1","6","Coach Upside rating","Coach Bust rating","5 out of 5 stars","0"
"2",1,"Bijan Robinson",ATL,"RB2","11","Coach Upside rating","Coach Bust rating","2 out of 5 stars","0"
"3",1,"Ja'Marr Chase",CIN,"WR1","6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","0"
"4",1,"Puka Nacua",LAR,"WR2","11","Coach Upside rating","Coach Bust rating","1 out of 5 stars","+2"
"5",2,"Jaxon Smith-Njigba",SEA,"WR3","11","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+3"
"6",2,"Amon-Ra St. Brown",DET,"WR4","6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+5"
"7",2,"Jonathan Taylor",IND,"RB3","13","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-2"
"8",2,"Christian McCaffrey",SF,"RB4","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-4"
"9",2,"CeeDee Lamb",DAL,"WR5","14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+6"
"10",2,"James Cook III",BUF,"RB5","7","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-3"
"11",2,"Justin Jefferson",MIN,"WR6","6","","","5 out of 5 stars","+5"
"12",3,"Derrick Henry",BAL,"RB6","13","","","3 out of 5 stars","+9"
"13",3,"Drake London",ATL,"WR7","11","","","3 out of 5 stars","+7"
"14",3,"Nico Collins",HOU,"WR8","8","","","3 out of 5 stars","+11"
"15",3,"A.J. Brown",NE,"WR9","11","","","2 out of 5 stars","+13"
"16",3,"Saquon Barkley",PHI,"RB7","10","","","4 out of 5 stars","-2"
"17",3,"Brock Bowers",LV,"TE1","13","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+7"
"18",3,"Ashton Jeanty",LV,"RB8","13","","","2 out of 5 stars","-9"
"19",3,"George Pickens",DAL,"WR10","14","","","2 out of 5 stars","+7"
"20",3,"Omarion Hampton",LAC,"RB9","7","","","3 out of 5 stars","-7"
"21",4,"Trey McBride",ARI,"TE2","14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-2"
"22",4,"Kenneth Walker III",KC,"RB10","5","","","3 out of 5 stars","-10"
"23",4,"Josh Allen",BUF,"QB1","7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"24",4,"Rashee Rice",KC,"WR11","5","","","2 out of 5 stars","+11"
"25",4,"Chase Brown",CIN,"RB11","6","","","2 out of 5 stars","-8"
"26",4,"De'Von Achane",MIA,"RB12","6","","","3 out of 5 stars","-16"
"27",4,"Chris Olave",NO,"WR12","8","","","3 out of 5 stars","+2"
"28",4,"Lamar Jackson",BAL,"QB2","13","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+10"
"29",4,"Tee Higgins",CIN,"WR13","6","","","4 out of 5 stars","+12"
"30",4,"Zay Flowers",BAL,"WR14","13","","","4 out of 5 stars","+15"
"31",4,"Kyren Williams",LAR,"RB13","11","","","5 out of 5 stars","-4"
"32",4,"DeVonta Smith",PHI,"WR15","10","","","4 out of 5 stars","+12"
"33",4,"Tetairoa McMillan",CAR,"WR16","5","","","2 out of 5 stars","+4"
"34",4,"Drake Maye",NE,"QB3","11","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+20"
"35",4,"Josh Jacobs",GB,"RB14","11","","","4 out of 5 stars","-13"
"36",5,"Emeka Egbuka",TB,"WR17","10","","","4 out of 5 stars","+10"
"37",5,"Javonte Williams",DAL,"RB15","14","","","4 out of 5 stars","-6"
"38",5,"Colston Loveland",CHI,"TE3","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+9"
"39",5,"Breece Hall",NYJ,"RB16","13","","","3 out of 5 stars","-9"
"40",5,"Joe Burrow",CIN,"QB4","6","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+18"
"41",5,"Malik Nabers",NYG,"WR18","8","","","4 out of 5 stars","-7"
"42",5,"Jeremiyah Love",ARI,"RB17","14","","","2 out of 5 stars","-24"
"43",5,"Davante Adams",LAR,"WR19","11","","","1 out of 5 stars","+13"
"44",5,"Terry McLaurin",WAS,"WR20","7","","","2 out of 5 stars","+16"
"45",5,"Ladd McConkey",LAC,"WR21","7","","","2 out of 5 stars","+5"
"46",5,"Jameson Williams",DET,"WR22","6","","","4 out of 5 stars","+11"
"47",5,"Jaylen Waddle",DEN,"WR23","10","","","2 out of 5 stars","+5"
"48",5,"Christian Watson",GB,"WR24","11","","","5 out of 5 stars","+19"
"49",5,"Travis Etienne Jr.",NO,"RB18","8","","","3 out of 5 stars","-17"
"50",5,"Jayden Daniels",WAS,"QB5","7","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+14"
"51",5,"Garrett Wilson",NYJ,"WR25","13","","","4 out of 5 stars","-8"
"52",6,"Cam Skattebo",NYG,"RB19","8","","","4 out of 5 stars","-16"
"53",6,"Mike Evans",SF,"WR26","8","","","2 out of 5 stars","+9"
"54",6,"Quinshon Judkins",CLE,"RB20","11","","","3 out of 5 stars","-15"
"55",6,"Bucky Irving",TB,"RB21","10","","","2 out of 5 stars","-22"
"56",6,"Luther Burden III",CHI,"WR27","10","","","3 out of 5 stars","-16"
"57",6,"D'Andre Swift",CHI,"RB22","10","","","2 out of 5 stars","-4"
"58",6,"Tucker Kraft",GB,"TE4","11","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+20"
"59",6,"Jalen Hurts",PHI,"QB6","10","","","5 out of 5 stars","+10"
"60",6,"Rome Odunze",CHI,"WR28","10","","","3 out of 5 stars","+6"
"61",6,"David Montgomery",HOU,"RB23","8","","","4 out of 5 stars","-12"
"62",6,"TreVeyon Henderson",NE,"RB24","11","","","2 out of 5 stars","-20"
"63",6,"DJ Moore",BUF,"WR29","7","","","4 out of 5 stars","-12"
"64",6,"Tyler Warren",IND,"TE5","13","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-5"
"65",6,"Bhayshul Tuten",JAC,"RB25","7","","","4 out of 5 stars","-17"
"66",6,"Jadarian Price",SEA,"RB26","11","","","4 out of 5 stars","+14"
"67",6,"Caleb Williams",CHI,"QB7","10","","","3 out of 5 stars","+17"
"68",6,"Justin Herbert",LAC,"QB8","7","","","2 out of 5 stars","+21"
"69",7,"Alec Pierce",IND,"WR30","13","","","4 out of 5 stars","+22"
"70",7,"Tony Pollard",TEN,"RB27","9","","","3 out of 5 stars","0"
"71",7,"Trevor Lawrence",JAC,"QB9","7","","","4 out of 5 stars","+19"
"72",7,"Marvin Harrison Jr.",ARI,"WR31","14","","","2 out of 5 stars","+7"
"73",7,"Carnell Tate",TEN,"WR32","9","","","3 out of 5 stars","-1"
"74",7,"Jaylen Warren",PIT,"RB28","9","","","2 out of 5 stars","-13"
"75",7,"Brian Thomas Jr.",JAC,"WR33","7","","","4 out of 5 stars","-1"
"76",7,"Dak Prescott",DAL,"QB10","14","","","2 out of 5 stars","+16"
"77",7,"DK Metcalf",PIT,"WR34","9","","","3 out of 5 stars","+6"
"78",7,"Sam LaPorta",DET,"TE6","6","","","3 out of 5 stars","+8"
"79",7,"Rhamondre Stevenson",NE,"RB29","11","","","2 out of 5 stars","-14"
"80",7,"Chuba Hubbard",CAR,"RB30","5","","","1 out of 5 stars","-5"
"81",7,"Rico Dowdle",PIT,"RB31","9","","","2 out of 5 stars","-13"
"82",7,"Courtland Sutton",DEN,"WR35","10","","","2 out of 5 stars","-6"
"83",7,"Parker Washington",JAC,"WR36","7","","","4 out of 5 stars","+11"
"84",7,"J.K. Dobbins",DEN,"RB32","10","","","2 out of 5 stars","-3"
"85",7,"Blake Corum",LAR,"RB33","11","","","5 out of 5 stars","-3"
"86",7,"Kyle Pitts Sr.",ATL,"TE7","11","","","3 out of 5 stars","-13"
"87",7,"Harold Fannin Jr.",CLE,"TE8","11","","","3 out of 5 stars","-24"
"88",7,"Quentin Johnston",LAC,"WR37","7","","","2 out of 5 stars","+26"
"89",7,"Kyle Monangai",CHI,"RB34","10","","","2 out of 5 stars","-18"
"90",7,"Jaxson Dart",NYG,"QB11","8","","","4 out of 5 stars","-3"
"91",7,"Brock Purdy",SF,"QB12","8","","","1 out of 5 stars","+20"
"92",7,"Jordyn Tyson",NO,"WR38","8","","","3 out of 5 stars","-7"
"93",7,"Chris Godwin Jr.",TB,"WR39","10","","","4 out of 5 stars","-5"
"94",8,"RJ Harvey",DEN,"RB35","10","","","2 out of 5 stars","-39"
"95",8,"Jordan Addison",MIN,"WR40","6","","","5 out of 5 stars","+13"
"96",8,"George Kittle",SF,"TE9","8","","","3 out of 5 stars","+6"
"97",8,"Patrick Mahomes II",KC,"QB13","5","","","2 out of 5 stars","+12"
"98",8,"Bo Nix",DEN,"QB14","10","","","3 out of 5 stars","+19"
"99",8,"Michael Wilson",ARI,"WR41","14","","","2 out of 5 stars","-22"
"100",8,"Dalton Kincaid",BUF,"TE10","7","","","3 out of 5 stars","-1"
"101",8,"Makai Lemon",PHI,"WR42","10","","","4 out of 5 stars","-5"
