ecr_rank,player,pos,pos_rank,team,tier,bye,rank_min,rank_max,rank_std,rank_ave,ecr_delta,eligibility
1,Jahmyr Gibbs,RB,RB1,DET,1,6,1,5,0.69,1.53,,RB
2,Bijan Robinson,RB,RB2,ATL,1,11,1,5,0.73,2.26,,RB
3,Ja'Marr Chase,WR,WR1,CIN,1,6,1,7,1.17,2.55,,WR
4,Puka Nacua,WR,WR2,LAR,1,11,1,11,1.50,4.56,,WR
5,Jaxon Smith-Njigba,WR,WR3,SEA,1,11,1,11,1.51,5.86,,WR
6,Amon-Ra St. Brown,WR,WR4,DET,1,6,4,11,1.31,6.56,,WR
7,Christian McCaffrey,RB,RB3,SF,1,8,3,20,3.75,8.12,1,RB
8,Jonathan Taylor,RB,RB4,IND,1,13,3,18,2.91,8.48,-1,RB
9,James Cook III,RB,RB5,BUF,1,7,5,24,3.25,10.03,,RB
10,CeeDee Lamb,WR,WR5,DAL,1,14,6,27,3.09,10.59,,WR
11,Justin Jefferson,WR,WR6,MIN,2,6,6,32,4.40,11.59,,WR
12,Chase Brown,RB,RB6,CIN,2,6,8,37,5.20,15.24,,RB
13,A.J. Brown,WR,WR7,NE,2,11,7,46,5.93,15.94,,WR
14,Saquon Barkley,RB,RB7,PHI,2,10,8,34,5.21,16.02,,RB
15,Drake London,WR,WR8,ATL,2,11,8,32,4.94,17.01,,WR
16,De'Von Achane,RB,RB8,MIA,2,6,7,42,6.29,18.21,,RB
17,Brock Bowers,TE,TE1,LV,2,13,10,56,4.76,18.56,,TE
18,Kenneth Walker III,RB,RB9,KC,2,5,9,48,7.23,18.76,,RB
19,Nico Collins,WR,WR9,HOU,2,8,9,37,4.79,19.03,,WR
20,Omarion Hampton,RB,RB10,LAC,2,7,9,55,6.43,19.47,,RB
21,Derrick Henry,RB,RB11,BAL,2,13,11,37,5.43,20.43,,RB
22,George Pickens,WR,WR10,DAL,2,14,9,40,5.91,22.88,,WR
23,Chris Olave,WR,WR11,NO,2,8,10,38,5.84,23.17,,WR
24,Ashton Jeanty,RB,RB12,LV,2,13,7,44,6.75,23.86,,RB
25,Trey McBride,TE,TE2,ARI,3,14,12,60,6.91,24.27,,TE
26,DeVonta Smith,WR,WR12,PHI,3,10,9,43,5.64,28.33,,WR
27,Malik Nabers,WR,WR13,NYG,3,8,11,47,8.19,28.50,,WR
28,Josh Allen,QB,QB1,BUF,3,7,20,46,6.32,28.72,,QB
29,Rashee Rice,WR,WR14,KC,3,5,9,74,9.15,32.08,,WR
30,Zay Flowers,WR,WR15,BAL,3,13,20,53,6.02,32.27,,WR
31,Kyren Williams,RB,RB13,LAR,3,11,14,55,8.25,33.35,,RB
32,Javonte Williams,RB,RB14,DAL,3,14,17,52,7.44,33.75,,RB
33,Breece Hall,RB,RB15,NYJ,3,13,23,52,6.35,36.77,,RB
34,Tee Higgins,WR,WR16,CIN,3,6,19,52,6.14,36.86,,WR
35,Jaylen Waddle,WR,WR17,DEN,3,10,18,63,8.15,38.16,,WR
36,Lamar Jackson,QB,QB2,BAL,3,13,24,78,12.95,38.26,,QB
37,Ladd McConkey,WR,WR18,LAC,3,7,18,61,7.60,38.62,,WR
38,Garrett Wilson,WR,WR19,NYJ,3,13,19,63,6.77,38.87,,WR
39,Jeremiyah Love,RB,RB16,ARI,3,14,23,67,8.55,39.07,,RB
40,Tetairoa McMillan,WR,WR20,CAR,3,5,23,54,6.49,39.28,,WR
41,Colston Loveland,TE,TE3,CHI,3,10,22,96,12.53,39.74,,TE
42,Emeka Egbuka,WR,WR21,TB,3,10,19,63,7.61,41.37,,WR
43,Drake Maye,QB,QB3,NE,4,11,27,76,13.99,42.56,,QB
44,Travis Etienne Jr.,RB,RB17,NO,4,8,19,71,7.90,42.98,,RB
45,D'Andre Swift,RB,RB18,CHI,4,10,27,65,7.34,46.89,,RB
46,Davante Adams,WR,WR22,LAR,4,11,31,80,7.73,49.97,,WR
47,Luther Burden III,WR,WR23,CHI,4,10,28,81,10.52,50.35,,WR
48,Terry McLaurin,WR,WR24,WAS,4,7,35,74,7.31,50.69,,WR
49,Joe Burrow,QB,QB4,CIN,4,6,27,96,14.65,51.03,,QB
50,Bucky Irving,RB,RB19,TB,4,10,28,71,7.55,51.46,,RB
51,Jameson Williams,WR,WR25,DET,4,6,32,88,10.25,51.81,,WR
52,DJ Moore,WR,WR26,BUF,4,7,26,95,11.08,53.20,,WR
53,Cam Skattebo,RB,RB20,NYG,4,8,33,97,8.95,53.49,,RB
54,David Montgomery,RB,RB21,HOU,4,8,35,72,7.56,53.94,,RB
55,Tyler Warren,TE,TE4,IND,4,13,22,84,10.79,54.06,,TE
56,Quinshon Judkins,RB,RB22,CLE,4,11,33,76,7.78,54.38,,RB
57,Christian Watson,WR,WR27,GB,4,11,32,89,10.43,55.20,,WR
58,Rome Odunze,WR,WR28,CHI,4,10,41,91,9.17,58.98,,WR
59,Jadarian Price,RB,RB23,SEA,4,11,33,82,8.29,59.39,,RB
60,Jalen Hurts,QB,QB5,PHI,4,10,29,93,13.38,59.75,,QB
61,Bhayshul Tuten,RB,RB24,JAC,4,7,38,92,9.73,59.97,,RB
62,Parker Washington,WR,WR29,JAC,4,7,35,108,12.60,61.56,,WR
63,Mike Evans,WR,WR30,SF,4,8,35,134,13.47,62.29,,WR
64,Jayden Daniels,QB,QB6,WAS,4,7,29,113,15.21,62.32,,QB
65,TreVeyon Henderson,RB,RB25,NE,5,11,42,100,9.58,67.07,,RB
66,Caleb Williams,QB,QB7,CHI,5,10,29,103,14.13,67.80,,QB
67,Rhamondre Stevenson,RB,RB26,NE,5,11,51,98,9.06,68.41,,RB
68,Tucker Kraft,TE,TE5,GB,5,11,34,110,11.44,71.65,,TE
69,Jaylen Warren,RB,RB27,PIT,5,9,36,113,10.69,71.76,,RB
70,Marvin Harrison Jr.,WR,WR31,ARI,5,14,45,124,13.20,73.26,,WR
71,Justin Herbert,QB,QB8,LAC,5,7,36,103,14.29,74.01,,QB
72,Carnell Tate,WR,WR32,TEN,5,9,47,134,15.54,75.29,,WR
73,Trevor Lawrence,QB,QB9,JAC,5,7,36,117,13.58,77.72,,QB
74,Tony Pollard,RB,RB28,TEN,5,9,56,115,10.68,78.34,,RB
75,DK Metcalf,WR,WR33,PIT,5,9,51,118,11.08,79.40,,WR
76,Dak Prescott,QB,QB10,DAL,5,14,36,123,14.17,79.65,,QB
77,Rico Dowdle,RB,RB29,PIT,5,9,57,119,12.13,80.72,,RB
78,Brian Thomas Jr.,WR,WR34,JAC,5,7,54,127,12.58,81.56,,WR
79,Harold Fannin Jr.,TE,TE6,CLE,5,11,34,130,12.95,81.72,,TE
80,Chris Godwin Jr.,WR,WR35,TB,5,10,54,132,14.35,82.32,,WR
81,Sam LaPorta,TE,TE7,DET,5,6,55,130,13.42,82.44,,TE
82,Kyle Pitts Sr.,TE,TE8,ATL,5,11,56,120,10.92,83.02,,TE
83,Jonathon Brooks,RB,RB30,CAR,5,5,52,218,22.28,84.31,,RB
84,Courtland Sutton,WR,WR36,DEN,5,10,59,126,14.48,87.15,,WR
85,Quentin Johnston,WR,WR37,LAC,5,7,66,135,13.71,90.47,,WR
86,J.K. Dobbins,RB,RB31,DEN,5,10,64,132,13.59,90.81,,RB
87,Michael Pittman Jr.,WR,WR38,PIT,5,9,62,138,14.31,93.07,,WR
