arm,name,control,endpoint,metric,position,delta,lo,hi,n_seasons,p,ctrl_mean,arm_mean,verdict,bh_reject_campaign,vs_placebo,placebo_delta
P0,"PLACEBO seeded N(0,1), n=7 window",CTRL-A,E1,rho_points vs G0,QB,0.004401156215474623,-0.023682643770090665,0.03073686828590397,7,0.7575,0.2449679828725268,0.24936913908800146,NULL,False,inside,0.004401156215474623
P0,"PLACEBO seeded N(0,1), n=7 window",naive,E2,rho_games vs naive persistence,QB,-0.023801590387977776,-0.13725747344690173,0.07574773114989854,7,0.702,0.0953924737883113,0.07159088340033351,NULL,False,inside,-0.023801590387977776
P0,"PLACEBO seeded N(0,1), n=7 window",CTRL-A,E1,rho_points vs G0,RB,-0.0002710127021589015,-0.005520689256770993,0.004823833291253481,7,0.9215,0.4397840628926068,0.439513050190448,NULL,False,inside,-0.0002710127021589015
P0,"PLACEBO seeded N(0,1), n=7 window",naive,E2,rho_games vs naive persistence,RB,0.06995466317450648,0.016809626144778253,0.12782444865625284,7,0.007,0.12878121895243394,0.19873588212694043,WIN*,False,inside,0.06995466317450648
P0,"PLACEBO seeded N(0,1), n=7 window",CTRL-A,E1,rho_points vs G0,WR,0.004291188730358101,-0.007819417234627988,0.014293299841599803,7,0.4475,0.5601941224888433,0.5644853112192013,NULL,False,inside,0.004291188730358101
P0,"PLACEBO seeded N(0,1), n=7 window",naive,E2,rho_games vs naive persistence,WR,0.06534482627832312,-0.017451096245791352,0.13753498613339998,7,0.1165,0.16963220464730472,0.23497703092562783,NULL,False,inside,0.06534482627832312
P0,"PLACEBO seeded N(0,1), n=7 window",CTRL-A,E1,rho_points vs G0,TE,0.005108127167348585,-0.007563025210084007,0.016977140508143782,7,0.371,0.3966367224146321,0.4017448495819807,NULL,False,inside,0.005108127167348585
P0,"PLACEBO seeded N(0,1), n=7 window",naive,E2,rho_games vs naive persistence,TE,-0.07689437226673111,-0.3590427632101612,0.18941296089762685,7,0.563,0.1749771562500155,0.09808278398328436,NULL,False,inside,-0.07689437226673111
B0,ESTIMATOR FORM ONLY: binomial GLM on the incumbent feature list,CTRL-A,E1,rho_points vs G0,QB,0.028142294667302836,0.00959018098606199,0.05099132098151385,7,0.00025,0.2449679828725268,0.2731102775398297,WIN*,True,clears,0.004401156215474623
B0,ESTIMATOR FORM ONLY: binomial GLM on the incumbent feature list,naive,E2,rho_games vs naive persistence,QB,-0.006761308389486168,-0.12495447418750624,0.11074686228233555,7,0.9125,0.0953924737883113,0.08863116539882511,NULL,False,clears,-0.023801590387977776
B0,ESTIMATOR FORM ONLY: binomial GLM on the incumbent feature list,CTRL-A,E1,rho_points vs G0,RB,-0.0016158644894994079,-0.00709985719258287,0.0034592385254481185,7,0.5735,0.4397840628926068,0.4381681984031074,NULL,False,inside,-0.0002710127021589015
B0,ESTIMATOR FORM ONLY: binomial GLM on the incumbent feature list,naive,E2,rho_games vs naive persistence,RB,0.06723098713312271,0.016369945200967573,0.12247239335509831,7,0.008,0.12878121895243394,0.1960122060855567,WIN*,False,inside,0.06995466317450648
B0,ESTIMATOR FORM ONLY: binomial GLM on the incumbent feature list,CTRL-A,E1,rho_points vs G0,WR,0.003621853364681349,-0.007584315781354664,0.012752712726598921,7,0.492,0.5601941224888433,0.5638159758535245,NULL,False,inside,0.004291188730358101
B0,ESTIMATOR FORM ONLY: binomial GLM on the incumbent feature list,naive,E2,rho_games vs naive persistence,WR,0.06695739616077524,-0.014367142143852013,0.13759190761052104,7,0.106,0.16963220464730472,0.23658960080807995,NULL,False,clears,0.06534482627832312
B0,ESTIMATOR FORM ONLY: binomial GLM on the incumbent feature list,CTRL-A,E1,rho_points vs G0,TE,0.009308905748743653,-0.0096638655462185,0.03549516015501654,7,0.512,0.3966367224146321,0.4059456281633758,NULL,False,clears,0.005108127167348585
B0,ESTIMATOR FORM ONLY: binomial GLM on the incumbent feature list,naive,E2,rho_games vs naive persistence,TE,-0.07220676320896481,-0.3612816950157181,0.19723735624917005,7,0.6215,0.1749771562500155,0.10277039304105066,NULL,False,clears,-0.07689437226673111
A1,practice participation (DNP / Limited / Full),CTRL-A,E1,rho_points vs G0,QB,-0.04079976360133276,-0.09112611073137392,0.005411738474013708,7,0.084,0.2449679828725268,0.20416821927119402,NULL,False,inside,0.004401156215474623
A1,practice participation (DNP / Limited / Full),naive,E2,rho_games vs naive persistence,QB,-0.0392787152547598,-0.16409375131695159,0.0692850215620673,7,0.5445,0.0953924737883113,0.056113758533551474,NULL,False,inside,-0.023801590387977776
A1,practice participation (DNP / Limited / Full),CTRL-A,E1,rho_points vs G0,RB,-0.008215491217703279,-0.02264693322141845,0.007774208607078622,7,0.32,0.4397840628926068,0.43156857167490353,NULL,False,inside,-0.0002710127021589015
A1,practice participation (DNP / Limited / Full),naive,E2,rho_games vs naive persistence,RB,0.006890908650818149,-0.07061440053057552,0.0752705499137998,7,0.8195,0.12878121895243394,0.13567212760325212,NULL,False,inside,0.06995466317450648
A1,practice participation (DNP / Limited / Full),CTRL-A,E1,rho_points vs G0,WR,-0.011011557906763567,-0.034528771247189845,0.01125381907925633,7,0.381,0.5601941224888433,0.5491825645820796,NULL,False,inside,0.004291188730358101
A1,practice participation (DNP / Limited / Full),naive,E2,rho_games vs naive persistence,WR,0.06016387928026148,-0.049516019222534596,0.16272195930116576,7,0.2665,0.16963220464730472,0.22979608392756617,NULL,False,inside,0.06534482627832312
A1,practice participation (DNP / Limited / Full),CTRL-A,E1,rho_points vs G0,TE,-0.023460105426280065,-0.06584050624344373,0.03097032289175678,7,0.3645,0.3966367224146321,0.37317661698835203,NULL,False,inside,0.005108127167348585
A1,practice participation (DNP / Limited / Full),naive,E2,rho_games vs naive persistence,TE,-0.05113662053196565,-0.3326003731493818,0.19159549036406728,7,0.7225,0.1749771562500155,0.12384053571804987,NULL,False,clears,-0.07689437226673111
A1k,CONTROL - bare 'appeared on an injury report in N-1',CTRL-A,E1,rho_points vs G0,QB,0.0227340111125662,-0.014508799471205511,0.05664636374304568,7,0.221,0.2449679828725268,0.26770199398509303,NULL,False,clears,0.004401156215474623
A1k,CONTROL - bare 'appeared on an injury report in N-1',naive,E2,rho_games vs naive persistence,QB,-0.0025175707538983116,-0.11535417286689038,0.10369462527909103,7,0.968,0.0953924737883113,0.092874903034413,NULL,False,clears,-0.023801590387977776
A1k,CONTROL - bare 'appeared on an injury report in N-1',CTRL-A,E1,rho_points vs G0,RB,-0.006568631626914234,-0.02004476135693454,0.0053917166827333034,7,0.3,0.4397840628926068,0.4332154312656927,NULL,False,inside,-0.0002710127021589015
A1k,CONTROL - bare 'appeared on an injury report in N-1',naive,E2,rho_games vs naive persistence,RB,0.03903382956015538,-0.03104680736892666,0.09832411812503376,7,0.242,0.12878121895243394,0.16781504851258933,NULL,False,inside,0.06995466317450648
A1k,CONTROL - bare 'appeared on an injury report in N-1',CTRL-A,E1,rho_points vs G0,WR,0.0015392734089350205,-0.012222252872708965,0.012379609828609575,7,0.7595,0.5601941224888433,0.5617333958977782,NULL,False,inside,0.004291188730358101
A1k,CONTROL - bare 'appeared on an injury report in N-1',naive,E2,rho_games vs naive persistence,WR,0.05941828845982844,-0.017960839817292257,0.12808211879248785,7,0.131,0.16963220464730472,0.22905049310713316,NULL,False,inside,0.06534482627832312
A1k,CONTROL - bare 'appeared on an injury report in N-1',CTRL-A,E1,rho_points vs G0,TE,0.010360099137503057,-0.008963585434173669,0.03690600099137381,7,0.4455,0.3966367224146321,0.4069968215521352,NULL,False,clears,0.005108127167348585
A1k,CONTROL - bare 'appeared on an injury report in N-1',naive,E2,rho_games vs naive persistence,TE,-0.08070648531742639,-0.37822746921399386,0.19854144483922787,7,0.57,0.1749771562500155,0.09427067093258912,NULL,False,inside,-0.07689437226673111
A2,injury class (structural/soft/head/rest) + cross-season recurrence,CTRL-A,E1,rho_points vs G0,QB,0.02080642469658488,0.00363227733365034,0.03938692886061306,7,0.014,0.2449679828725268,0.2657744075691117,WIN*,False,clears,0.004401156215474623
A2,injury class (structural/soft/head/rest) + cross-season recurrence,naive,E2,rho_games vs naive persistence,QB,-0.026822661807944563,-0.1397505637768975,0.08610903325985345,7,0.6595,0.0953924737883113,0.06856981198036673,NULL,False,inside,-0.023801590387977776
A2,injury class (structural/soft/head/rest) + cross-season recurrence,CTRL-A,E1,rho_points vs G0,RB,-0.008152826794013817,-0.01714287626071854,0.003395412201471667,7,0.152,0.4397840628926068,0.43163123609859305,NULL,False,inside,-0.0002710127021589015
A2,injury class (structural/soft/head/rest) + cross-season recurrence,naive,E2,rho_games vs naive persistence,RB,0.051304539944617096,-0.0031412995831683727,0.10327754184627655,7,0.0635,0.12878121895243394,0.18008575889705106,NULL,False,inside,0.06995466317450648
A2,injury class (structural/soft/head/rest) + cross-season recurrence,CTRL-A,E1,rho_points vs G0,WR,-0.011924320816187542,-0.02623109097945989,0.0037006865756094415,7,0.126,0.5601941224888433,0.5482698016726556,NULL,False,inside,0.004291188730358101
A2,injury class (structural/soft/head/rest) + cross-season recurrence,naive,E2,rho_games vs naive persistence,WR,0.04855702903000601,-0.03771925371588105,0.13676173856019333,7,0.245,0.16963220464730472,0.21818923367731077,NULL,False,inside,0.06534482627832312
A2,injury class (structural/soft/head/rest) + cross-season recurrence,CTRL-A,E1,rho_points vs G0,TE,-0.02156169423950339,-0.07756753050870697,0.027191513337233648,7,0.4515,0.3966367224146321,0.3750750281751288,NULL,False,inside,0.005108127167348585
A2,injury class (structural/soft/head/rest) + cross-season recurrence,naive,E2,rho_games vs naive persistence,TE,-0.09448065398756442,-0.40674973095576755,0.19751802581336217,7,0.5415,0.1749771562500155,0.08049650226245107,NULL,False,inside,-0.07689437226673111
