season,n,position,n_adp,k,rho_model,top_model,pts_top_model,rho_model_no_bonus,top_model_no_bonus,pts_top_model_no_bonus,rho_b2_prior_points,top_b2_prior_points,pts_top_b2_prior_points,rho_b3_wavg_ppg,top_b3_wavg_ppg,pts_top_b3_wavg_ppg,rho_b1_adp,mae_games_x,bias_games_x,mae_naive_games,mae_carries,bias_carries,mae_naive_carries,mae_rush_yards,bias_rush_yards,mae_naive_rush_yards,mae_rush_tds,bias_rush_tds,mae_naive_rush_tds,mae_targets,bias_targets,mae_naive_targets,mae_receptions,bias_receptions,mae_naive_receptions,mae_rec_yards,bias_rec_yards,mae_naive_rec_yards,bonus_actual_rec,bonus_actual_rush,bonus_actual_pass,bonus_pred_total,bonus_actual_total,top_b1_adp,pts_top_b1_adp,adpsub_rho_model,adpsub_top_model,adpsub_pts_top_model,adpsub_rho_model_no_bonus,adpsub_top_model_no_bonus,adpsub_pts_top_model_no_bonus,adpsub_rho_b2_prior_points,adpsub_top_b2_prior_points,adpsub_pts_top_b2_prior_points,adpsub_rho_b3_wavg_ppg,adpsub_top_b3_wavg_ppg,adpsub_pts_top_b3_wavg_ppg,adpsub_rho_b1_adp,adpsub_top_b1_adp,adpsub_pts_top_b1_adp,arm,mae_games_y,bias_games_y,n_returning,mae_games_returning,bias_games_returning,rho_returning,mae_attempts,bias_attempts,mae_naive_attempts,mae_pass_yards,bias_pass_yards,mae_naive_pass_yards,mae_pass_tds,bias_pass_tds,mae_naive_pass_tds,mae_interceptions,bias_interceptions,mae_naive_interceptions,mae_rec_tds,bias_rec_tds,mae_naive_rec_tds
2014,130,RB,0,20,0.6216610033410379,0.5,156.815,0.6216499506074021,0.5,156.815,0.5172720854854694,0.6,162.155,0.3306987327570631,0.6,161.8,,4.413580016203427,0.17383663085993845,5.053846153846154,50.145995876982894,-4.892097388805052,59.15384615384615,216.16640818678832,-24.867672451652364,251.2153846153846,1.7480560867373363,-0.0950523755954253,1.9692307692307693,14.425275056174304,-2.204412805423739,16.223076923076924,10.602744593431927,-1.4783458918913233,12.338461538461539,90.03946699071695,-13.561456281602382,99.23076923076923,8.0,113.0,0.0,75.5665258396522,121.0,,,,,,,,,,,,,,,,,,A,4.413580016203427,0.17383663085993845,28,3.154932302953798,1.8195000687187852,0.31063512886223643,,,,,,,,,,,,,,,
2015,125,RB,0,20,0.6190637847341541,0.35,123.955,0.617462363265884,0.35,123.955,0.4483228902732953,0.4,123.79499999999999,0.308934530950592,0.4,120.49499999999998,,4.090702258258503,-0.16082393767671835,4.928,50.66281138590519,-2.288109441618829,65.768,217.41400288855772,-7.476324779081758,284.808,1.8192662555847223,0.19051636671659014,2.264,15.029608400350222,-2.076391531164391,18.712,11.225831780732829,-1.6283232884840528,14.16,98.2551656872878,-17.712645168027493,124.576,5.0,107.5,0.0,110.03850927277549,112.5,,,,,,,,,,,,,,,,,,A,4.090702258258503,-0.16082393767671835,25,3.5879719752545043,1.3893262665711064,0.2891912610071009,,,,,,,,,,,,,,,
2016,130,RB,0,20,0.5921997055107514,0.5,165.91,0.5925021891430744,0.5,165.91,0.5390688372829542,0.5,155.20000000000002,0.32674030870600956,0.45,137.49,,4.4532052413287,0.40599808332260057,5.3076923076923075,52.01921442450836,-3.83794009980588,56.83076923076923,226.64982509535838,-18.226372713197364,252.2,2.1399787024879897,-0.5870547908024669,2.2384615384615385,14.811917202288987,-0.057843832111897066,16.26153846153846,11.473276640052958,-0.29358571391562255,12.623076923076923,93.83465036894144,-2.665750071938286,112.72307692307692,5.0,114.0,0.0,101.50582206614439,119.0,,,,,,,,,,,,,,,,,,A,4.4532052413287,0.40599808332260057,24,2.940571199977986,0.4004971796686814,0.6868283143794258,,,,,,,,,,,,,,,
2017,137,RB,0,20,0.5985680172634512,0.55,165.16,0.5987499772522757,0.6,166.515,0.3873368962934441,0.55,173.61,0.29313399189035844,0.55,168.05,,4.853269529160558,-0.19508972522846485,5.766423357664234,52.41155431793363,-6.601107288715205,58.86861313868613,217.2260640950629,-19.238742389616984,250.2189781021898,1.6622028134613949,0.04786023024084015,2.218978102189781,15.940559481194287,-3.612532199250286,17.605839416058394,12.074105345451686,-2.815762154723512,13.27007299270073,99.28155672245862,-25.02020015390298,113.64963503649635,10.0,103.5,0.0,114.9830880836112,113.5,,,,,,,,,,,,,,,,,,A,4.853269529160558,-0.19508972522846485,32,3.8813140336996783,-1.8715074451550495,0.45817820259294645,,,,,,,,,,,,,,,
2018,135,RB,38,20,0.6150669169870988,0.45,172.54,0.6167179450453519,0.45,172.54,0.4517225975147962,0.35,157.95499999999998,0.2995811077669135,0.4,160.01500000000001,0.5480111623894416,4.230178722301172,0.21382223522113292,5.37037037037037,46.6896521499001,3.238440937651757,60.888888888888886,206.737586702413,-4.189880984762214,268.1777777777778,1.8703340058835047,-0.3213295812006535,2.2074074074074073,15.947940164309736,-1.3279308510615164,18.733333333333334,12.45173316587136,-1.4571609985019829,14.57037037037037,104.20061735312183,-10.928908034441054,116.28888888888889,10.5,122.5,0.0,119.3343892308898,133.0,0.65,186.683,0.4754349491191596,0.6,175.182,0.4754349491191596,0.6,175.182,0.3593148590644575,0.6,171.85500000000002,0.4160240645131881,0.65,180.85,0.5480111623894416,0.65,186.683,A,4.230178722301172,0.21382223522113292,30,2.968874527867039,-0.8014198445794816,0.6337143556629696,,,,,,,,,,,,,,,
2019,130,RB,45,20,0.6993502515957943,0.55,185.33099999999996,0.6988699039724174,0.55,185.33099999999996,0.5470374579942241,0.6,196.75600000000003,0.4562003200087898,0.5,176.521,0.759291012141463,4.489693382982669,-0.19393703881161292,4.923076923076923,50.2513014326184,-3.947672934796142,54.36153846153846,224.8855503573986,-28.429494595344725,232.51538461538462,1.9018115827165487,-0.3045192491382303,2.1,14.685588531600793,-1.233421618954936,16.907692307692308,11.696687057215202,-1.3901065351803588,13.107692307692307,94.80075875287156,-8.097924502346437,112.07692307692308,7.5,125.0,0.0,114.50179754370822,132.5,0.75,213.87600000000003,0.5505928853754941,0.65,193.386,0.5486166007905138,0.65,193.386,0.5475925573560981,0.65,198.74600000000004,0.5335244984419569,0.65,195.82099999999997,0.759291012141463,0.75,213.87600000000003,A,4.489693382982669,-0.19393703881161292,28,3.4871838513560136,0.25120714811298134,0.5154980593862006,,,,,,,,,,,,,,,
2020,133,RB,56,20,0.6605801487088493,0.45,159.445,0.6603881456427801,0.45,159.445,0.48496070208116904,0.45,158.335,0.32211209503540567,0.5,167.20000000000002,0.5736166799796691,3.7478310687358385,-0.5351386372762724,4.7669172932330826,45.877245094506144,-2.482196427624794,56.46616541353384,212.23992618011593,-26.62416006825237,251.93984962406014,1.9384441367751628,-0.5582073636077611,2.2030075187969924,13.448629612182778,0.5111381165125487,17.015037593984964,10.398064748890487,0.18055991430136695,13.25563909774436,81.90312760013008,9.639352546631493,111.05263157894737,2.0,116.0,0.0,120.57059887368231,118.0,0.65,179.78500000000003,0.43677375256322626,0.6,165.75,0.4367053998632946,0.6,165.75,0.2706698851843164,0.55,164.8,0.2832267164018069,0.6,170.23999999999998,0.5736166799796691,0.65,179.78500000000003,A,3.7478310687358385,-0.5351386372762724,31,3.136490884977266,0.36691170080981766,0.2559385319266459,,,,,,,,,,,,,,,
2021,126,RB,64,20,0.5822774531807686,0.55,165.66799999999998,0.5829183236453445,0.55,165.66799999999998,0.47825653572262333,0.55,160.853,0.4638450381425163,0.6,180.03799999999998,0.7114118628366142,4.607436903745963,0.3121356687526794,5.412698412698413,50.05715512624341,-0.8033564881099546,57.26190476190476,219.57633050396413,-7.929010264971101,252.26984126984127,2.016464339744094,-0.178262862940705,2.5873015873015874,14.675538964950423,0.02588654087862524,16.753968253968253,11.531996787753721,-0.41019127051016185,12.698412698412698,89.64729759896336,3.280931361145037,105.02380952380952,5.0,107.0,0.0,122.7026495536302,112.0,0.7,199.96800000000002,0.6488850228882324,0.7,183.878,0.648564495391216,0.7,183.878,0.43294394851006457,0.6,168.733,0.43451177140643943,0.7,192.088,0.7114118628366142,0.7,199.96800000000002,A,4.607436903745963,0.3121356687526794,19,4.25634806292702,-0.04811142897337125,0.4080375816547487,,,,,,,,,,,,,,,
2022,137,RB,43,20,0.7047666895691453,0.6,185.38299999999998,0.7046425878409899,0.6,185.38299999999998,0.4972098804315324,0.6,187.24099999999999,0.4387798972312494,0.65,187.64399999999998,0.41340635502327827,4.538315527338419,-0.2511294358509633,5.45985401459854,51.710571135500174,-4.748487468574529,59.45985401459854,233.17738115063364,-39.11470165337366,270.73722627737226,1.8795430082776916,-0.14635993438943934,2.27007299270073,13.961444219867083,-0.40739236549032337,15.503649635036496,10.769277708678073,-0.47479766276144036,11.978102189781023,85.47963443745002,5.530729367872965,93.91240875912409,3.0,130.5,0.0,117.01325720517734,133.5,0.7,182.434,0.38630271481452444,0.8,195.059,0.3908332392259536,0.8,195.059,0.2960166826611361,0.7,179.19099999999997,0.42870139753194947,0.7,183.814,0.41340635502327827,0.7,182.434,A,4.538315527338419,-0.2511294358509633,26,3.5621419748123477,0.7907015557922455,0.4707067768763266,,,,,,,,,,,,,,,
2023,136,RB,58,20,0.7459320246053253,0.5,178.90300000000002,0.7462627506279825,0.5,178.903,0.5636052204541047,0.45,158.41799999999998,0.4176398723381786,0.5,169.70299999999997,0.24453504065642806,4.294484905759662,0.07420605108942879,4.8161764705882355,45.84955391122222,-6.642584240389173,53.095588235294116,200.2889394611536,-19.780173058693762,245.46323529411765,1.86341967870386,-0.1307291929542161,2.2941176470588234,12.949758732760177,-0.9368103263870943,16.74264705882353,10.163338334109582,-1.0681384688238322,13.147058823529411,77.04139536420882,0.17839118732951634,97.13235294117646,2.0,102.5,0.0,115.08093212650218,104.5,0.55,162.21999999999997,0.418130363899228,0.55,181.07799999999997,0.418130363899228,0.55,181.07799999999997,0.20756520374624912,0.5,162.091,0.20623858461306183,0.5,166.91299999999998,0.24453504065642806,0.55,162.21999999999997,A,4.294484905759662,0.07420605108942879,33,3.006187758173254,1.3832830661223938,0.35755708345740495,,,,,,,,,,,,,,,
