feature,importance_mean,importance_std,gini_importance,rank
depth_chart_starter_wk1,0.3229073079544407,0.0250343710226567,0.2669955267259357,1
proj_games,0.2011693772564392,0.014708129811797532,0.24601774747200367,2
att_1,0.1020858276544407,0.012128755065376747,0.14931819275684222,3
evidence,0.040950473415120835,0.006005446266831494,0.08741800454246602,4
average_pick,0.024966113287739268,0.004942117811390053,0.049992589094424146,5
carries_1,0.01078764530453814,0.0014634685763614157,0.018148407178465865,6
ppg_w,0.010771081709289022,0.0009540100826534175,0.027223355794898273,7
NOISE_CONTROL,0.0073297721078771525,0.0026906226806048196,0.018678025961033344,8
passyds_1,0.006715472015938006,0.0012436573506546026,0.02667067803094742,9
rushyds_1,0.005663234977376097,0.0008491853679916517,0.009434697640571152,10
ints_1,0.00535052399563245,0.0020113536296341022,0.034946940324604416,11
gshare_w,0.0033231203906306404,0.0006777228763326626,0.01602383099249491,12
depth_first_share_1,0.0024726092788544653,0.0006678718823242875,0.009507988348149836,13
chronic_missed_share,0.0018296979413432335,0.00042006498595651836,0.007991663904510544,14
age,0.0017942080681366158,0.0005296706503025982,0.006368410671407207,15
rostered_absent_share_1,0.0011077756592380416,0.000252307356576959,0.0020924665492499848,16
passtd_1,0.0008952516031539681,0.00031482962301994627,0.0023549949955214825,17
gshare_1,0.000703082943843758,0.0005326016791123537,0.00517093279844125,18
pts_1,0.0006225359370714001,0.0003014077106931774,0.004321339086647398,19
n_train_seasons,0.0005237049484079437,0.00023198552431546787,0.002078023979260244,20
games_1,0.00043818301371852943,0.00017125615667843688,0.0020248337162558977,21
gshare_max3,0.00043634101069724986,0.0001218889295956575,0.0015474788352586853,22
missed_wks_1,0.0003757311100072602,9.407535853020101e-05,0.0004093579351069646,23
unexp_missed_share_1,0.00032341131915090136,0.00012831256908029984,0.001114728099305967,24
rushtd_1,0.0003000600507350182,7.504142023516851e-05,0.0009662905575084349,25
miss1_x_resolved,0.00027779309005963035,0.00010350989124134886,0.0015647623505664872,26
endgap_share_1,0.00021915774129981357,8.371573001766524e-05,0.000817417660459937,27
late4_share_1,0.000160816451291923,6.19279718367673e-05,0.00019831944997596214,28
offroster_share_1,0.00014415499762450158,4.395180319968778e-05,0.00037869332487840336,29
miss1_x_endgap,2.7797623721392827e-05,2.7507562386896725e-05,0.00022430122280813036,30
inj_out_wks_1,0.0,0.0,0.0,31
recyds_1,0.0,0.0,0.0,32
rectd_1,0.0,0.0,0.0,33
tgt_1,0.0,0.0,0.0,34
rec_1,0.0,0.0,0.0,35
inj_missed_share_1,0.0,0.0,0.0,36
present_1,0.0,0.0,0.0,37
played_thru_1,0.0,0.0,0.0,38
wk1_injury_report_flag,0.0,0.0,0.0,39
