feature,importance_mean,importance_std,gini_importance,rank
proj_games,0.21607688287784388,0.03182611303855268,0.31964365523135374,1
average_pick,0.08599384590818057,0.01099679596100019,0.09069470148857985,2
ppg_w,0.06832547998806018,0.00648548162946743,0.11187572478340545,3
depth_chart_starter_wk1,0.049327989498880544,0.003411902659704659,0.05556122892836892,4
carries_1,0.03706478578465659,0.004668674627541954,0.08671293898115044,5
tgt_1,0.028494710165433024,0.006245788993067928,0.07633781273480458,6
gshare_w,0.011462461025915615,0.0030961780983564486,0.03540766538244308,7
NOISE_CONTROL,0.010111338471370435,0.0017878609840477364,0.0255708501223111,8
pts_1,0.009308395106233058,0.0015254721288401048,0.04024832554668624,9
depth_first_share_1,0.006171736850870557,0.0014153370299472884,0.01825764452771051,10
evidence,0.005772539615471928,0.0017018555107491833,0.026286149149077894,11
recyds_1,0.005754052534996823,0.0015738780990431826,0.021588194210332978,12
age,0.004220465077862445,0.0004509270445310251,0.019344447023411385,13
rec_1,0.0034013853962786113,0.0011650909307055668,0.012798275173975384,14
rushyds_1,0.003341128348061517,0.0008806860902114327,0.013435940870869825,15
chronic_missed_share,0.003009910261486637,0.0005834805412810714,0.008256657590851436,16
rostered_absent_share_1,0.00196938707647869,0.0005233423164999754,0.005937045018409737,17
miss1_x_resolved,0.001752512114042526,0.0002939404187181186,0.00651047217696199,18
late4_share_1,0.0012278605997712577,0.00025411971501272814,0.0023616124595849915,19
rushtd_1,0.0010059297651690113,0.00016389244117912875,0.002378507195816286,20
miss1_x_endgap,0.000819004459520023,0.0001263857580352322,0.0022198678933317453,21
gshare_max3,0.0007984795122876976,0.0001463977587260753,0.002567386232074494,22
offroster_share_1,0.0007624147650743707,0.00024109327376136845,0.003986420845784314,23
n_train_seasons,0.0007620690743533887,0.0003683822844685748,0.003655591993746616,24
unexp_missed_share_1,0.0007554881468521346,0.00013139617898775345,0.0017642470800580345,25
inj_missed_share_1,0.0006630115234514178,8.194515574218038e-05,0.0017340055975023205,26
endgap_share_1,0.000551730304048792,0.00012375374619376356,0.0012442140389533466,27
missed_wks_1,0.00033506150716899885,7.807417801934208e-05,0.0007909356657438102,28
inj_out_wks_1,0.0002976252472058127,0.0001143469768029728,0.0011871931852866157,29
gshare_1,0.0002314789656744587,5.233083501059976e-05,0.0005795259091466775,30
rectd_1,0.00011595755808428976,7.342393331774272e-05,0.0005916679878125456,31
games_1,9.981313351332677e-05,3.5691403505113736e-05,0.00041663624849390385,32
att_1,0.0,0.0,0.0,33
played_thru_1,0.0,0.0,0.0,34
passtd_1,0.0,0.0,0.0,35
passyds_1,0.0,0.0,0.0,36
ints_1,0.0,0.0,0.0,37
wk1_injury_report_flag,0.0,0.0,0.0,38
present_1,-4.087398438390455e-06,1.527615366746222e-05,5.445872595973897e-05,39
