feature,importance_mean,importance_std,gini_importance,rank
proj_games,0.17445245734627704,0.013229459202446872,0.30813806314606557,1
depth_chart_starter_wk1,0.11460088882701562,0.01580471767729774,0.1155958927771905,2
tgt_1,0.033388480012215206,0.0114216943736979,0.11575496545912772,3
evidence,0.024120987434750794,0.005323664937353654,0.07021912386751679,4
ppg_w,0.021002418364649167,0.005793952425587052,0.052233485302166274,5
pts_1,0.017524218103139543,0.005873163808963674,0.09203862750583244,6
NOISE_CONTROL,0.011031058938721184,0.0014242223645350512,0.03179648664210637,7
gshare_w,0.008210103253400746,0.0015132562378480077,0.02437864657021279,8
chronic_missed_share,0.007768545698772789,0.0018844799010893764,0.020858147961575264,9
recyds_1,0.007612820832845324,0.002464084687004864,0.04065184855522646,10
age,0.006824673831554007,0.0020136899218172006,0.024892540443643713,11
rec_1,0.004707925188957862,0.0026537232712033577,0.026514145969776835,12
unexp_missed_share_1,0.004280081326144547,0.001764236649611326,0.018842240579271263,13
gshare_max3,0.0038819334570556197,0.0009231547187102112,0.009304116581271425,14
n_train_seasons,0.002650254357164683,0.0010986402398474714,0.008888165191224675,15
depth_first_share_1,0.0022448717230610037,0.00047263191359539085,0.008305081733217503,16
late4_share_1,0.00195665376395997,0.00032239788285670905,0.0036477638557406537,17
miss1_x_resolved,0.0019151218701684903,0.00042085757548768714,0.0038667469382811202,18
rectd_1,0.0015809407877314663,0.0011155416396419913,0.012489321494690155,19
rostered_absent_share_1,0.0013962201687414244,0.00045875922000970294,0.0027706779857296806,20
games_1,0.0009902474637631387,0.0002561439806652186,0.004412480435971586,21
miss1_x_endgap,0.00042774577159375714,9.903514921375946e-05,0.0018402020269420007,22
average_pick,0.0004006319492134591,8.033637698934856e-05,0.0006197382297568529,23
offroster_share_1,0.00021837424416740748,5.488202244635742e-05,0.0006294268017641926,24
endgap_share_1,0.0002174507241279322,0.00010018951254528487,0.0009199902137404418,25
gshare_1,0.00013114331316331772,6.336221615625311e-05,0.0002120359368252487,26
inj_missed_share_1,8.942720622949763e-05,4.6645364151556204e-05,0.00018003779513235465,27
present_1,0.0,0.0,0.0,28
carries_1,0.0,0.0,0.0,29
missed_wks_1,0.0,0.0,0.0,30
inj_out_wks_1,0.0,0.0,0.0,31
rushyds_1,0.0,0.0,0.0,32
ints_1,0.0,0.0,0.0,33
played_thru_1,0.0,0.0,0.0,34
passtd_1,0.0,0.0,0.0,35
att_1,0.0,0.0,0.0,36
rushtd_1,0.0,0.0,0.0,37
passyds_1,0.0,0.0,0.0,38
wk1_injury_report_flag,0.0,0.0,0.0,39
