feature,importance_mean,importance_std,gini_importance,rank
depth_chart_starter_wk1,0.14636487476393126,0.015762195278128163,0.10187235827403625,1
proj_games,0.1339656451633507,0.00884184276759362,0.23967481098911883,2
chronic_missed_share,0.02584476565860061,0.003167027625681937,0.09212938629205032,3
recyds_1,0.02284299068488359,0.002786130529266771,0.058535831700094985,4
average_pick,0.021823049076312905,0.0012760952871166563,0.03658877572650927,5
evidence,0.021642160164559155,0.002610744064608705,0.05109938093876972,6
ppg_w,0.021258287793931817,0.003574810603771411,0.05446053547560426,7
pts_1,0.01920001623128541,0.0029250655019920266,0.05410458200074462,8
tgt_1,0.016486084127017343,0.003167190565253381,0.039199811967337635,9
depth_first_share_1,0.016380022254905945,0.0021713700943034086,0.03938568711569327,10
missed_wks_1,0.0135319465689837,0.001570588168302308,0.04187869504953631,11
gshare_w,0.010739042588539893,0.001446778168572156,0.04036874279756093,12
NOISE_CONTROL,0.007634280259179671,0.0008453741270534718,0.02163605288850469,13
age,0.007029248735047766,0.0011598894414898934,0.016785057512275707,14
rectd_1,0.006799095262897681,0.001021063914752547,0.015343439323255336,15
games_1,0.005014042842496869,0.00084328742911044,0.015362424485191687,16
rec_1,0.004693218129476417,0.0011031952694333354,0.017850511844906516,17
n_train_seasons,0.003956437011668912,0.0008143788708673315,0.009592916299626572,18
gshare_1,0.0028041631149982814,0.00038560220562761164,0.012497720860646225,19
late4_share_1,0.002239319731607925,0.0007013807831534623,0.005510839964374389,20
rushyds_1,0.0020102764163621003,0.0004426000464603415,0.006109194401770658,21
miss1_x_resolved,0.0018558703830579225,0.00017902608607203542,0.00549776092013761,22
offroster_share_1,0.0016757861134163777,0.00026933994275974083,0.003247209930437429,23
unexp_missed_share_1,0.0014810088363977568,0.00035964672830890237,0.007467701198820676,24
rostered_absent_share_1,0.0008297707588954762,0.0001291562027596419,0.0032293737121856445,25
gshare_max3,0.0008218728751599568,0.0002480525864368626,0.0030872638638945633,26
inj_out_wks_1,0.0005822874332372163,0.00023171548503182323,0.00235224288859813,27
carries_1,0.0004469659088927602,7.416049764644457e-05,0.0018813447540211813,28
endgap_share_1,0.00036859497780425963,0.0001549369695965324,0.001218560475426969,29
inj_missed_share_1,0.00018949402713126507,3.296404906395241e-05,0.0007579924684881981,30
played_thru_1,0.00018695930151371165,0.0001118430383874466,0.0005746515050840832,31
miss1_x_endgap,0.00018161861460417317,7.81823886773327e-05,0.0006991423752971416,32
present_1,0.0,0.0,0.0,33
ints_1,0.0,0.0,0.0,34
passtd_1,0.0,0.0,0.0,35
rushtd_1,0.0,0.0,0.0,36
att_1,0.0,0.0,0.0,37
passyds_1,0.0,0.0,0.0,38
wk1_injury_report_flag,0.0,0.0,0.0,39
