feature,importance_mean,importance_std,gini_importance,rank
depth_chart_starter_wk1,0.3286158173497264,0.015485696460637018,0.15440179035738194,1
proj_games,0.15163743249722625,0.011657913409081812,0.23336114829766091,2
proj_points,0.06008959845998946,0.005012930993117369,0.1031300419163292,3
proj_points_base,0.05673107440899531,0.005010356159211828,0.10617714347378525,4
average_pick,0.025168359322203494,0.0014852662289707998,0.03932495147631005,5
depth_first_share_1,0.011656932701759803,0.0011482391898007987,0.023819249579329876,6
pts_1,0.01157267197603975,0.0008190423413855025,0.03210219981117501,7
evidence,0.00965622312049319,0.0010892740916197353,0.023738565956877785,8
ppg_w,0.008813901135419012,0.0007278099745257956,0.02204537608342288,9
tgt_1,0.008757734823357722,0.0008150649942121315,0.020198526306609784,10
proj_receptions,0.007077338192032112,0.0005729558558636412,0.01910313295128483,11
proj_rec_tds,0.005461775501004307,0.0006409120837131666,0.015661220253839838,12
proj_catch_rate,0.004341977822028842,0.0003685470873311871,0.009999304031656114,13
proj_targets,0.004158853387238015,0.0004369707234442952,0.013571078724195076,14
proj_bonus_points,0.0038601869202105066,0.0003811484025411737,0.010600926656792306,15
rec_1,0.0038279049894840655,0.0006829350908997335,0.012008784066422508,16
proj_rec_yards,0.003752643440003545,0.00047983925906257876,0.010742454336350005,17
age,0.002869155639695553,0.00027870996093926217,0.009614723291523198,18
missed_wks_1,0.0027926888808653128,0.0002853234799803122,0.011540470563547676,19
proj_ypr,0.0027325556523034476,0.00042190027195646484,0.007312391181492144,20
proj_rush_yards,0.002455143258049508,0.00024666089948631274,0.0072759792178482725,21
proj_cpg,0.0023422722047219957,0.0003418106584678475,0.0068505600776715605,22
proj_tpg,0.002331681401458785,0.0002511247811228138,0.007333199566406045,23
NOISE_CONTROL,0.0020834226062794946,0.0003170737851346868,0.007121348507854547,24
recyds_1,0.002051102939835403,0.00031240868807844586,0.007206073817417656,25
games_1,0.002007434344594916,0.000256834988603651,0.007039711017225816,26
proj_td_per_target,0.001996208259578558,0.00023145195865168685,0.006064330070696619,27
unexp_missed_share_1,0.0019792575401590407,0.0004776198133716032,0.007129937739369292,28
gshare_1,0.0018079021677486428,0.0002777544512116906,0.008354192315742715,29
proj_carries,0.0017318077663663555,0.00021381968511989576,0.004928710284976229,30
miss1_x_resolved,0.0015839691971973103,0.0001714960720946978,0.0036040555916425497,31
gshare_w,0.0015570132378041057,0.00023251252607337525,0.0062217759501946275,32
proj_rush_tds,0.0015372718838489118,0.00011146578707047031,0.005350316751502506,33
proj_fumbles_lost,0.0014438963907374425,0.00015389844033573207,0.004885239616886962,34
offroster_share_1,0.0014175248173705969,0.0006072100094177789,0.003963234068429881,35
chronic_missed_share,0.0013540870987384767,0.0001654690876883955,0.0037764499044949575,36
gshare_max3,0.001185134288688139,0.00015586369040083422,0.0024808744054760213,37
rushyds_1,0.001026777063348938,8.629639706460735e-05,0.0031586440188587197,38
late4_share_1,0.0009721707440783267,0.00012210321403655376,0.002165370666583491,39
carries_1,0.0009637973546381851,0.00015051215013991173,0.002504396258757518,40
n_train_seasons,0.0006252197903064971,0.00011525305338081763,0.0018901102763134098,41
rostered_absent_share_1,0.0005661774756339,0.00010538052091603783,0.002293706723922363,42
proj_interceptions,0.0005146806138755955,6.255571503473017e-05,0.0017152535148194674,43
rushtd_1,0.0003516466402838536,6.152083787942172e-05,0.0007152915205433464,44
passyds_1,0.0002911767273023003,9.913274658267616e-05,0.0011023636863775185,45
rectd_1,0.0002894660780967784,3.3245526508629105e-05,0.0009409795337080942,46
endgap_share_1,0.0002567914640733915,3.5429767477420994e-05,0.0006931837964397211,47
proj_ypc,0.00024695068222557737,3.531390238503346e-05,0.0009437023177717961,48
proj_td_per_att,0.00023902514372968752,5.380736067668467e-05,0.0007303286650725285,49
miss1_x_endgap,0.0001924415069203378,2.7018566681108872e-05,0.0004181425910678291,50
proj_pass_tds,0.00015374061031888652,2.2960485249594233e-05,0.0005766459633234657,51
att_1,0.00011629959595046424,5.064913331922596e-05,0.0003738444349865839,52
inj_missed_share_1,0.00010284008168167657,3.898397356725884e-05,0.00016392231125114787,53
proj_pass_yards,0.00010038629536969212,2.72981115223048e-05,0.001009634244926525,54
inj_out_wks_1,8.481158095775543e-05,4.905246881950935e-05,0.00047266252993361576,55
proj_ypa,3.260673007746684e-05,1.3467417440778045e-05,7.304631416225298e-05,56
proj_apg,0.0,0.0,0.0,57
played_thru_1,0.0,0.0,0.0,58
present_1,0.0,0.0,0.0,59
passtd_1,0.0,0.0,0.0,60
ints_1,0.0,0.0,0.0,61
wk1_injury_report_flag,0.0,0.0,0.0,62
proj_attempts,-4.744652497168378e-06,2.13534444606488e-06,1.9302411357938204e-05,63
