column,target,n,spearman_rho,p_raw,abs_rho,rank,position
proj_carries,abs_resid,313,0.33987015070379456,6.675305435680879e-10,0.33987015070379456,1,QB
proj_rush_tds,abs_resid,313,0.31174203739228584,1.7583718989474226e-08,0.31174203739228584,2,QB
ppg_w,abs_resid,283,0.3108288033030792,9.365271452454787e-08,0.3108288033030792,3,QB
proj_rush_yards,abs_resid,313,0.30738600715590086,2.833358660017702e-08,0.30738600715590086,4,QB
carries_1,abs_resid,313,0.302947162130356,4.5707513840528e-08,0.302947162130356,5,QB
proj_interceptions,abs_resid,313,0.301729938068984,5.2039883870998865e-08,0.301729938068984,6,QB
proj_fumbles_lost,abs_resid,313,0.2867814479989605,2.440439091844076e-07,0.2867814479989605,7,QB
proj_points_base,abs_resid,313,0.28559646376072734,2.7481276980996964e-07,0.28559646376072734,8,QB
proj_points,abs_resid,313,0.2846447194848412,3.0219262749496067e-07,0.2846447194848412,9,QB
proj_bonus_points,abs_resid,313,0.28338851096280404,3.4236718347502684e-07,0.28338851096280404,10,QB
proj_apg,abs_resid,313,0.2812970187698577,4.208784019827286e-07,0.2812970187698577,11,QB
proj_games,abs_resid,313,0.2756348475836382,7.298499360478269e-07,0.2756348475836382,12,QB
proj_pass_tds,abs_resid,313,0.27466118814350476,8.013244196794483e-07,0.27466118814350476,13,QB
proj_attempts,abs_resid,313,0.2745332192379888,8.112029157712948e-07,0.2745332192379888,14,QB
proj_pass_yards,abs_resid,313,0.2741950995610293,8.378687089452648e-07,0.2741950995610293,15,QB
rushyds_1,abs_resid,313,0.26889932710575215,1.382680974514795e-06,0.26889932710575215,16,QB
ints_1,abs_resid,313,0.25753491609474616,3.909713106437938e-06,0.25753491609474616,17,QB
gshare_w,abs_resid,283,0.2526604753720813,1.69576879392894e-05,0.2526604753720813,18,QB
depth_first_share_1,abs_resid,313,0.24805725692948288,8.970028051464057e-06,0.24805725692948288,19,QB
depth_chart_starter_wk1,abs_resid,313,0.24654288963798615,1.0211831182772252e-05,0.24654288963798615,20,QB
unexp_missed_share_1,abs_resid,313,-0.241115668526151,1.6142079978689594e-05,0.241115668526151,21,QB
pts_1,abs_resid,313,0.23097833077084903,3.691234110255548e-05,0.23097833077084903,22,QB
