column,target,n,spearman_rho,p_raw,abs_rho,rank
proj_interceptions,signed_resid,313,-0.4686056956261693,1.7206436116543384e-18,0.4686056956261693,1
proj_attempts,signed_resid,313,-0.44374920326301903,1.560056693591647e-16,0.44374920326301903,2
proj_pass_yards,signed_resid,313,-0.4332952785748014,9.32826759979529e-16,0.4332952785748014,3
proj_pass_tds,signed_resid,313,-0.4170232691211237,1.3383711388757872e-14,0.4170232691211237,4
proj_games,signed_resid,2054,-0.3894106960153328,2.382985150315481e-75,0.3894106960153328,5
proj_points_base,signed_resid,2054,-0.3840632959515325,3.549862614060819e-73,0.3840632959515325,6
proj_points,signed_resid,2054,-0.3834797763469041,6.094024305894016e-73,0.3834797763469041,7
proj_receptions,signed_resid,1741,-0.3806737370682619,3.8273470445303986e-61,0.3806737370682619,8
proj_targets,signed_resid,1741,-0.3715902646255477,3.971330817356237e-58,0.3715902646255477,9
proj_rec_yards,signed_resid,1741,-0.3523855374210778,4.619537785747322e-52,0.3523855374210778,10
proj_apg,signed_resid,313,-0.34944557536001164,2.0283146960628343e-10,0.34944557536001164,11
proj_rec_tds,signed_resid,1741,-0.32627735760723425,1.8238866885723977e-44,0.32627735760723425,12
proj_bonus_points,signed_resid,2054,-0.32329667242840593,3.494463876372733e-51,0.32329667242840593,13
gshare_w,signed_resid,1870,-0.3157369584297454,1.4691646799037476e-44,0.3157369584297454,14
missed_wks_1,signed_resid,2054,0.3122289801718248,1.1083511033738096e-47,0.3122289801718248,15
games_1,signed_resid,2054,-0.3120557976687867,1.253981369608001e-47,0.3120557976687867,16
gshare_1,signed_resid,2054,-0.3120557976687867,1.253981369608001e-47,0.3120557976687867,17
unexp_missed_share_1,signed_resid,2054,0.3010079602977664,2.7852497093183823e-44,0.3010079602977664,18
pts_1,signed_resid,2054,-0.2963941167489827,6.3096251112240185e-43,0.2963941167489827,19
evidence,signed_resid,2054,-0.2854219173545089,8.391340708959056e-40,0.2854219173545089,20
proj_fumbles_lost,signed_resid,2054,-0.26653976941023383,9.563055137590318e-35,0.26653976941023383,21
proj_cpg,signed_resid,524,-0.25860800786277843,1.8762474838414205e-09,0.25860800786277843,22
depth_first_share_1,signed_resid,2054,-0.2569754928282536,2.4631647594815044e-32,0.2569754928282536,23
rec_1,signed_resid,2054,-0.2505361927898449,9.094459275316394e-31,0.2505361927898449,24
tgt_1,signed_resid,2054,-0.24480361186277116,2.0732336361891737e-29,0.24480361186277116,25
late4_share_1,signed_resid,2054,-0.23992686062402557,2.781732834130086e-28,0.23992686062402557,26
recyds_1,signed_resid,2054,-0.2318174310623297,1.836876927251041e-26,0.2318174310623297,27
