column,target,n,spearman_rho,p_raw,abs_rho,rank,position
proj_interceptions,signed_resid,313,-0.4686056956261693,1.7206436116543384e-18,0.4686056956261693,1,QB
proj_attempts,signed_resid,313,-0.44374920326301903,1.560056693591647e-16,0.44374920326301903,2,QB
proj_games,signed_resid,313,-0.44234624140896817,1.9903606013300456e-16,0.44234624140896817,3,QB
proj_fumbles_lost,signed_resid,313,-0.437741317521488,4.392940608877866e-16,0.437741317521488,4,QB
proj_pass_yards,signed_resid,313,-0.4332952785748014,9.32826759979529e-16,0.4332952785748014,5,QB
proj_points,signed_resid,313,-0.41895141223267424,9.834268719639152e-15,0.41895141223267424,6,QB
proj_points_base,signed_resid,313,-0.41874752293672984,1.016096204773379e-14,0.41874752293672984,7,QB
proj_pass_tds,signed_resid,313,-0.4170232691211237,1.3383711388757872e-14,0.4170232691211237,8,QB
proj_bonus_points,signed_resid,313,-0.4073856843011209,6.064561460677255e-14,0.4073856843011209,9,QB
gshare_w,signed_resid,283,-0.39698688859768116,4.036508003200208e-12,0.39698688859768116,10,QB
proj_carries,signed_resid,313,-0.38276164921588024,2.3236882273366103e-12,0.38276164921588024,11,QB
proj_rush_tds,signed_resid,313,-0.37545881207266046,6.470181257109396e-12,0.37545881207266046,12,QB
proj_rush_yards,signed_resid,313,-0.3507756843123957,1.7134756483949012e-10,0.3507756843123957,13,QB
proj_apg,signed_resid,313,-0.34944557536001164,2.0283146960628343e-10,0.34944557536001164,14,QB
ints_1,signed_resid,313,-0.3491645384091629,2.1016961949618856e-10,0.3491645384091629,15,QB
depth_first_share_1,signed_resid,313,-0.3186536787057797,8.11743230904418e-09,0.3186536787057797,16,QB
evidence,signed_resid,313,-0.3178682806136715,8.871499972334438e-09,0.3178682806136715,17,QB
att_1,signed_resid,313,-0.3094050902176686,2.2734411441619512e-08,0.3094050902176686,18,QB
missed_wks_1,signed_resid,313,0.30578575226525845,3.369564906412518e-08,0.30578575226525845,19,QB
gshare_1,signed_resid,313,-0.30578575226525845,3.369564906412518e-08,0.30578575226525845,20,QB
games_1,signed_resid,313,-0.30578575226525845,3.369564906412518e-08,0.30578575226525845,21,QB
passtd_1,signed_resid,313,-0.29236716975518523,1.384125948430523e-07,0.29236716975518523,22,QB
passyds_1,signed_resid,313,-0.2910654503515542,1.5814210206122551e-07,0.2910654503515542,23,QB
unexp_missed_share_1,signed_resid,313,0.2910349393371484,1.5863554163150996e-07,0.2910349393371484,24,QB
late4_share_1,signed_resid,313,-0.28062083114590947,4.4976818528045644e-07,0.28062083114590947,25,QB
chronic_missed_share,signed_resid,313,0.28026856045688514,4.655635555232448e-07,0.28026856045688514,26,QB
pts_1,signed_resid,313,-0.27927731603992245,5.129185316832327e-07,0.27927731603992245,27,QB
carries_1,signed_resid,313,-0.2545937394788537,5.076811452984226e-06,0.2545937394788537,28,QB
gshare_max3,signed_resid,313,-0.2505225366088699,7.250255949282828e-06,0.2505225366088699,29,QB
ppg_w,signed_resid,283,-0.2352444813357228,6.438578324384553e-05,0.2352444813357228,30,QB
rushtd_1,signed_resid,313,-0.2254198179771447,5.720823404094645e-05,0.2254198179771447,31,QB
played_thru_1,signed_resid,313,-0.21822811539232334,9.924995076790149e-05,0.21822811539232334,32,QB
miss1_x_endgap,signed_resid,313,0.2153964848348623,0.00012269184589894523,0.2153964848348623,33,QB
rushyds_1,signed_resid,313,-0.213105252368977,0.00014536329084079047,0.213105252368977,34,QB
endgap_share_1,signed_resid,313,0.20839955544051536,0.00020476683211759035,0.20839955544051536,35,QB
rostered_absent_share_1,signed_resid,313,0.20151874787407376,0.0003334255000232441,0.20151874787407376,36,QB
proj_td_per_att,signed_resid,313,0.186737167138545,0.0009009873614530525,0.186737167138545,37,QB
proj_ypa,signed_resid,313,0.16014082345340047,0.004508565203287514,0.16014082345340047,38,QB
offroster_share_1,signed_resid,313,0.14046368068416074,0.012865977572258486,0.14046368068416074,39,QB
present_1,signed_resid,313,-0.09084738521157931,0.10868265070136247,0.09084738521157931,40,QB
rec_1,signed_resid,313,-0.0891640253774886,0.11541849059655708,0.0891640253774886,41,QB
wk1_injury_report_flag,signed_resid,313,-0.0784031307179764,0.16645828721452222,0.0784031307179764,42,QB
average_pick,signed_resid,83,-0.0772771418418568,0.48743727331494957,0.0772771418418568,43,QB
NOISE_CONTROL,signed_resid,313,-0.0746665033478995,0.18765771339349052,0.0746665033478995,44,QB
age,signed_resid,313,0.05955361303457775,0.29356733625946124,0.05955361303457775,45,QB
miss1_x_resolved,signed_resid,313,-0.05472665942196082,0.33451322405392425,0.05472665942196082,46,QB
depth_chart_starter_wk1,signed_resid,313,0.05121942899530423,0.3664560526219284,0.05121942899530423,47,QB
rectd_1,signed_resid,313,0.042087381239622954,0.4581167358671183,0.042087381239622954,48,QB
inj_out_wks_1,signed_resid,313,-0.03038450032540421,0.592283690964043,0.03038450032540421,49,QB
inj_missed_share_1,signed_resid,313,-0.03038450032540421,0.592283690964043,0.03038450032540421,50,QB
n_train_seasons,signed_resid,313,0.028409415107046396,0.6165794586173552,0.028409415107046396,51,QB
tgt_1,signed_resid,313,-0.005410734492242235,0.9240420973013761,0.005410734492242235,52,QB
recyds_1,signed_resid,313,0.005229562697560811,0.9265781739096469,0.005229562697560811,53,QB
proj_cpg,signed_resid,0,,,,54,QB
proj_tpg,signed_resid,0,,,,55,QB
proj_targets,signed_resid,0,,,,56,QB
proj_receptions,signed_resid,0,,,,57,QB
proj_rec_yards,signed_resid,0,,,,58,QB
proj_rec_tds,signed_resid,0,,,,59,QB
proj_ypc,signed_resid,0,,,,60,QB
proj_catch_rate,signed_resid,0,,,,61,QB
proj_ypr,signed_resid,0,,,,62,QB
proj_td_per_target,signed_resid,0,,,,63,QB
proj_points_base,signed_resid,524,-0.41122107494734905,8.446715515769405e-23,0.41122107494734905,1,RB
proj_points,signed_resid,524,-0.41114475960074337,8.616442601946392e-23,0.41114475960074337,2,RB
proj_targets,signed_resid,524,-0.4036250707104436,5.968407558593911e-22,0.4036250707104436,3,RB
proj_receptions,signed_resid,524,-0.40273639309505144,7.478039452227147e-22,0.40273639309505144,4,RB
proj_rec_yards,signed_resid,524,-0.40114886707615194,1.1168513312963155e-21,0.40114886707615194,5,RB
