slice_var,level,n,mean_resid,se,t_stat,abs_t
position,RB,524,0.08296118969012292,0.04371312017219731,1.897855594917894,1.897855594917894
age_bucket,27-29,490,-0.07762196900351889,0.04719841249246885,-1.6445885550897401,1.6445885550897401
evidence_tier,1-2,57,0.23111622526608197,0.14314189571054242,1.61459525262568,1.61459525262568
unexpected_absence_tier,moderate,347,-0.07629237250090902,0.05201067934846579,-1.4668597575847564,1.4668597575847564
position,TE,390,-0.06804730544453472,0.04848657800228633,-1.4034256127814593,1.4034256127814593
unexpected_absence_tier,heavy,1004,0.04236344394314064,0.032547172331858734,1.301601365279689,1.301601365279689
entry,rookie,184,0.08337971831784281,0.07326082362062017,1.138121497918494,1.138121497918494
prior_games_bucket,0-4,595,0.036945315972073144,0.041354576842267045,0.8933791322055712,0.8933791322055712
age_bucket,30+,433,0.041282531193480285,0.04766072663234614,0.8661750273329417,0.8661750273329417
age_bucket,<24,402,0.04194936868074263,0.04853388783529707,0.8643315125114345,0.8643315125114345
prior_injury_tier,heavy (30%+),47,-0.1221967547634835,0.14578604690195662,-0.8381923878192726,0.8381923878192726
age_bucket,24-26,729,0.02921200388981059,0.03733795745762819,0.7823674854994657,0.7823674854994657
workload_tier,Q1 low,515,0.02985135917085773,0.04569132787168505,0.6533265843069674,0.6533265843069674
prior_games_bucket,10-13,426,-0.027369351162660736,0.047981862340966214,-0.5704103556500179,0.5704103556500179
depth_role,wk1 non-starter/unlisted,1279,0.015614204874163633,0.028430869505110888,0.5491989920096091,0.5491989920096091
prior_injury_tier,light (0-10%),1778,0.013085936927254738,0.02398157220518061,0.5456663481149018,0.5456663481149018
workload_tier,Q3,512,0.022312091495603297,0.043973723860502134,0.5073959978096,0.5073959978096
position,QB,313,0.02573279029868611,0.05653330094209344,0.4551793344783454,0.4551793344783454
wk1_injury_report,flagged,79,0.040960303079262614,0.10308611213220671,0.39734065270335844,0.39734065270335844
workload_tier,Q2,513,-0.014925774861428168,0.04422019603785189,-0.3375329871593492,0.3375329871593492
wk1_injury_report,clear,1975,0.007475394580820969,0.022748748863502036,0.32860684452033534,0.32860684452033534
prior_games_bucket,14-17,707,0.010518409094426468,0.03702524065439688,0.28408752808949994,0.28408752808949994
position,WR,827,-0.008449588146749036,0.03599752389278738,-0.23472692654957947,0.23472692654957947
evidence_tier,0,1997,0.0024166967452260864,0.022482824192667727,0.10749079939940277,0.10749079939940277
unexpected_absence_tier,light,703,0.00276006227494366,0.037336210927815146,0.07392454152029225,0.07392454152029225
depth_role,wk1 starter,775,-0.0025429674757059674,0.03563546385685626,-0.0713605829833109,0.0713605829833109
entry,veteran,1870,0.0014213369357754363,0.023323783745118155,0.06093938064714448,0.06093938064714448
workload_tier,Q4 high,514,-0.00221896901642957,0.04399248344047749,-0.05043973067426096,0.05043973067426096
prior_injury_tier,moderate (10-30%),229,0.0020795626969780153,0.06480272345067999,0.03209066820410299,0.03209066820410299
prior_games_bucket,5-9,326,0.0007366061427410882,0.05961730999168216,0.012355574963779141,0.012355574963779141
