slice_var,level,n,mean_resid,se,t_stat,abs_t
unexpected_absence_tier,heavy,1004,0.1997823545704841,0.018907472665950928,10.56631724927771,10.56631724927771
prior_games_bucket,0-4,595,0.22503884724448617,0.024069806753744896,9.349424760523828,9.349424760523828
unexpected_absence_tier,light,703,-0.29424278612858923,0.03297632260081256,-8.922850182249821,8.922850182249821
prior_games_bucket,14-17,707,-0.2864657846518484,0.0326733814719681,-8.767558536835857,8.767558536835857
workload_tier,Q2,513,0.22826299459940572,0.02641296036642534,8.642082955970384,8.642082955970384
workload_tier,Q1 low,515,0.20581999989940603,0.025094943771631885,8.201652164372309,8.201652164372309
workload_tier,Q4 high,514,-0.3247039798192112,0.04250402548083895,-7.639370063091778,7.639370063091778
prior_games_bucket,5-9,326,0.23164582161816805,0.03592081850775785,6.448790179102943,6.448790179102943
prior_injury_tier,heavy (30%+),47,0.4501976030493736,0.12563431005543063,3.5833969466680213,3.5833969466680213
evidence_tier,1-2,57,-0.404826916200552,0.11370769549282263,-3.5602420262409167,3.5602420262409167
workload_tier,Q3,512,-0.1097624424816694,0.033416519603745046,-3.2846760758821856,3.2846760758821856
age_bucket,30+,433,0.08799913003015837,0.03307915041026718,2.660259678339411,2.660259678339411
wk1_injury_report,flagged,79,-0.22829251012718413,0.08898172222093419,-2.5656112786888174,2.5656112786888174
age_bucket,24-26,729,-0.04748883193049359,0.02971373252354914,-1.5982115977135176,1.5982115977135176
depth_role,wk1 non-starter/unlisted,1279,-0.022793247511204602,0.018434015957752552,-1.2364775838017403,1.2364775838017403
depth_role,wk1 starter,775,0.03761621105397502,0.033424836957603336,1.1253969945070517,1.1253969945070517
entry,rookie,184,-0.05571777502096116,0.05284832966630154,-1.0542958570834322,1.0542958570834322
evidence_tier,0,1997,0.011554899460907077,0.01718007901507146,0.6725754550238322,0.6725754550238322
prior_injury_tier,light (0-10%),1778,-0.009581066109289717,0.01795189427393382,-0.533707806156225,0.533707806156225
wk1_injury_report,clear,1975,0.009131700405087347,0.017355307843193928,0.5261618225152049,0.5261618225152049
prior_games_bucket,10-13,426,-0.016158080303134474,0.03695742219341918,-0.43720799082170997,0.43720799082170997
unexpected_absence_tier,moderate,347,0.018072607088277303,0.043736409258622794,0.41321652587916147,0.41321652587916147
prior_injury_tier,moderate (10-30%),229,-0.018009396510932182,0.05626101738342158,-0.32010435197425,0.32010435197425
entry,veteran,1870,0.005482390697249641,0.018002459233243888,0.3045356540580685,0.3045356540580685
age_bucket,<24,402,-0.012221726235077756,0.04264190723320731,-0.2866130299528467,0.2866130299528467
age_bucket,27-29,490,0.002916059430147907,0.03268256673736657,0.08922369695076376,0.08922369695076376
position,RB,524,1.5678722103485035e-16,0.036605631090522554,4.283144870447094e-15,4.283144870447094e-15
position,WR,827,-8.054822427752043e-17,0.024786634780979953,-3.24966357834623e-15,3.24966357834623e-15
position,TE,390,-1.3208807267335196e-16,0.04184997305742134,-3.1562283801740352e-15,3.1562283801740352e-15
position,QB,313,1.4188153669331073e-17,0.04230283138024298,3.35394894535534e-16,3.35394894535534e-16
