idx,factor,arm,position,e1_comp,in_family,e1b_d,e1b_lo,e1b_hi,e1b_p,e1b_n,e1b_pct,e1a_d,e1a_lo,e1a_hi,e1a_p,e1a_n,e1a_pct,e2_d,e2_lo,e2_hi,e2_n,proxy_reads,n_players,primary_mae,primary_adpsub_mae,oc_coverage,grade,bh_10,bh_05
1,#28 vacated opportunity,"V2 departure share (team, REAL ROSTERS)",WR,targets,True,0.03521464241479017,-0.045536021118421796,0.11912572926173011,0.4783501949849257,7,0.11203685898287348,0.028433705112686815,-0.046930043626856106,0.10825635703800504,0.5123665347187565,11,0.11807711108305637,-0.0026995362380289717,-0.0063791915632333265,0.002043067202819398,7,134,2271,24.08062396842206,31.431301032969213,0.8863100516398287,NULL,False,False
2,#28 vacated opportunity,"V2 departure share (team, REAL ROSTERS)",TE,targets,True,-0.010250854370990936,-0.04428307663662304,0.02481262099946286,0.6196298609380495,7,-0.03626994023336299,0.015256454414782506,-0.010239233327019167,0.04816666949487808,0.3590248990888759,11,0.07784884299747633,-0.0006936990667147607,-0.006098132796127206,0.005314327993943871,7,134,1041,19.597535207141206,28.2626723535697,0.8997161539095686,NULL,False,False
3,#28 vacated opportunity,"V2 departure share (team, REAL ROSTERS)",RB,carries,True,-0.0426545772145762,-0.10129972969131172,0.01418269576300243,0.23214049836439654,7,-0.06552172987458213,-0.012292509617515955,-0.04146681794853086,0.015067489956561585,0.44727420383362443,11,-0.02478350334208206,-0.00011043616516161401,-0.003302982946539527,0.0029893003750925884,7,134,1441,49.5995640642275,65.09989479249572,0.8972997038988997,NULL,False,False
4,#28 vacated opportunity,"V3 absence share (team, REAL ROSTERS)",WR,targets,True,0.12624887292288584,0.049772323793730165,0.21485875987550626,0.03447737341661577,7,0.40166607418019284,0.03606701451724994,-0.04063830846277709,0.1312098579070723,0.4602132880007488,11,0.14977607957562122,8.329871718965043e-05,-0.0041115447943935735,0.004482636818687903,7,134,2271,24.08062396842206,31.431301032969213,0.8863100516398287,NULL,False,False
5,#28 vacated opportunity,"V3 absence share (team, REAL ROSTERS)",TE,targets,True,0.18692052451786725,0.10116137338341775,0.2776056821735678,0.009006549094907487,7,0.6613688973904067,0.04062024946203251,0.018850020160145645,0.06335074929105622,0.006690660325301509,11,0.20727223619034893,0.0035828464621034,-0.0002615032026796788,0.008006029058660578,7,134,1041,19.597535207141206,28.2626723535697,0.8997161539095686,HARMFUL,True,True
6,#28 vacated opportunity,"V3 absence share (team, REAL ROSTERS)",RB,carries,True,-0.010552736266311464,-0.1061517142963189,0.08729219641218133,0.8529418362517862,7,-0.016210066544574374,0.03273648038965278,-0.00869241928365226,0.07332159343759537,0.17809404827223524,11,0.06600154861696292,-0.0029131038061515862,-0.006255973361757137,-2.1466235535719642e-05,7,134,1441,49.5995640642275,65.09989479249572,0.8972997038988997,NULL,False,False
7,#28 vacated opportunity,V4 opportunity ahead of me (PLAYER),WR,targets,True,0.07349287566973928,0.02950711565063816,0.10708450781135578,0.01550518049250382,7,0.233820660470435,0.07734735876922985,0.008981141000774196,0.15912733136270535,0.08589702967624152,11,0.32120163858984185,-1.5007106240289797e-05,-0.0030869857729574663,0.002769002518279642,7,134,2271,24.08062396842206,31.431301032969213,0.8863100516398287,MARGINAL-HARMFUL,False,False
8,#28 vacated opportunity,V4 opportunity ahead of me (PLAYER),TE,targets,True,-0.11400402795361433,-0.24982635864203523,-0.011473998499794342,0.1513701900727768,7,-0.4033731365789092,-0.006505144871120194,-0.060166557019065606,0.062098102661993525,0.850512152770732,11,-0.03319368891221466,8.9330185350432e-07,-0.005745991392399634,0.005501549998207289,7,134,1041,19.597535207141206,28.2626723535697,0.8997161539095686,NULL,False,False
9,#28 vacated opportunity,V4 opportunity ahead of me (PLAYER),RB,carries,True,0.016352607269866887,-0.022380438422999305,0.06515148982236241,0.5313808422303635,7,0.02511925299109993,-0.08035847242226556,-0.197606283485824,0.004538993522169819,0.1742293895893016,11,-0.16201447318812665,-7.971142012171337e-05,-0.0016796274926763372,0.0011505428206040693,7,134,1441,49.5995640642275,65.09989479249572,0.8972997038988997,NULL,False,False
10,#28 vacated opportunity,M1 this player moved clubs (PLAYER),WR,targets,True,-0.15844538467679317,-0.21197294377654533,-0.11249036373234032,0.001259361089310292,7,-0.5041006241217797,-0.5782971416675241,-0.7533720624933565,-0.4337846499230646,6.592173232449172e-05,11,-2.401503974423045,-0.00039021468724238984,-0.003587139024656405,0.002040096241786376,7,134,2271,24.08062396842206,31.431301032969213,0.8863100516398287,PROJECTION-ONLY,True,True
11,#28 vacated opportunity,M1 this player moved clubs (PLAYER),TE,targets,True,-0.12607563467623603,-0.19284027627711187,-0.05358430752942837,0.01946625774207171,7,-0.44608532802211154,-0.33952469352183523,-0.48127266015907266,-0.2248816836714772,0.0006195740196765759,11,-1.7324867129112989,0.012418197715509996,-0.008228888098659792,0.040418852189947355,7,134,1041,19.597535207141206,28.2626723535697,0.8997161539095686,SURVIVES,True,True
12,#28 vacated opportunity,M1 this player moved clubs (PLAYER),RB,carries,True,-0.35474886273081346,-0.7307856378409325,0.018006923060089684,0.14288650251280735,7,-0.5449300092750788,-0.9477440734910129,-1.2586380540150828,-0.6872004774583287,0.00012719237518727682,11,-1.9107911357119176,0.007963427920767137,0.0034452406184219014,0.014377186688514463,7,134,1441,49.5995640642275,65.09989479249572,0.8972997038988997,SURVIVES,True,True
13,#29 coordinator continuity,C1 new offensive coordinator (PLAYER),WR,targets,True,0.1274215690646783,0.09116865990632712,0.16414240810520805,0.0008247336797931172,7,0.4053970560462072,-0.005542470990389797,-0.032406540446920935,0.021961746645060506,0.7131959915145318,11,-0.023016309700520526,-0.0019889882048236196,-0.004326512062647765,-7.29989725511891e-05,7,134,2271,24.08062396842206,31.431301032969213,0.8863100516398287,NULL,False,False
14,#29 coordinator continuity,C1 new offensive coordinator (PLAYER),TE,targets,True,0.15132376247091425,0.02711691341109571,0.26007401715868284,0.060205172549260846,7,0.535419158449825,-0.0030964699558363147,-0.0346129477540207,0.031533278672756425,0.8674500503953484,11,-0.015800303064173002,-0.005695714595046071,-0.01568572458505609,0.0,7,134,1041,19.597535207141206,28.2626723535697,0.8997161539095686,NULL,False,False
15,#29 coordinator continuity,C1 new offensive coordinator (PLAYER),RB,carries,True,0.14702909658322685,-0.3152381485962345,0.5787238097699365,0.5812496914487532,7,0.2258515118217601,0.09323774956103134,-0.06368122771062738,0.24063453145232924,0.2877078136466261,11,0.18798098596248922,0.0009020014093381759,-0.007042246683154285,0.008603168752889948,7,134,1441,49.5995640642275,65.09989479249572,0.8972997038988997,NULL,False,False
16,#28 vacated opportunity,V1 depth-chart proxy (BATCH 1 REFERENCE),WR,targets,False,-0.0327422676907716,-0.1420862504035784,0.07020454070352297,0.6047005972773026,7,-0.1041708953009208,0.08181342205903035,-0.007483057149115298,0.1795496539471718,0.12627878018944935,11,0.3397479324718319,-0.0006978941895227155,-0.006981763557315382,0.0059974475452290255,7,88,2271,24.08062396842206,31.431301032969213,0.8863100516398287,REFERENCE,False,False
17,#28 vacated opportunity,V1 depth-chart proxy (BATCH 1 REFERENCE),TE,targets,False,0.06516789120607822,0.022999319044852178,0.10932932151479793,0.034381354699644075,7,0.23057936769325785,0.044772860128012,0.010592735062089296,0.07728240353971216,0.0327006736266701,11,0.228461689976692,0.005683686798237854,0.001998001998001978,0.009693711860894476,7,88,1041,19.597535207141206,28.2626723535697,0.8997161539095686,REFERENCE,False,False
18,#28 vacated opportunity,V1 depth-chart proxy (BATCH 1 REFERENCE),RB,carries,False,-0.1264376309702848,-0.37304513373730075,0.10185465329308731,0.37094994077268756,7,-0.19422094516942243,0.20313902238232373,0.11499289266027711,0.29631110327060745,0.0020229456909540734,11,0.4095580802268238,-0.0010413506074250115,-0.0053484350811171056,0.0033170348043362846,7,88,1441,49.5995640642275,65.09989479249572,0.8972997038988997,REFERENCE,False,False
