position,season,n,rho_b2,rho_b2r,rho_b2ra,rho_b3,adpsub_rho_b2,adpsub_rho_b2r,adpsub_rho_b2ra,adpsub_rho_b3
TE,2014,87,0.6037211048467278,0.5922963033564582,0.6037211048467278,0.4835083714695828,,,,
TE,2015,84,0.5572188480793734,0.5511549551261926,0.5572188480793734,0.42327320086306375,,,,
TE,2016,89,0.5690218474363445,0.5061091288876498,0.5690218474363445,0.5100881678691896,,,,
TE,2017,99,0.48055743869217177,0.42634093137910706,0.48055743869217177,0.33874398432301667,,,,
TE,2018,99,0.4524007170072258,0.42994389484215684,0.4524007170072258,0.2659432904575931,0.5454545454545455,0.4685314685314686,0.5454545454545455,0.5874125874125874
TE,2019,100,0.46573783357454346,0.44554423421053935,0.46573783357454346,0.366968171650557,0.5284751751907181,0.5102518932875899,0.5284751751907181,0.6090909090909091
TE,2020,94,0.5593624282125254,0.4848181723367846,0.5593624282125254,0.5272030560311741,0.3235294117647059,0.15294117647058825,0.3235294117647059,0.15
TE,2021,97,0.542420239186442,0.5691742948748783,0.542420239186442,0.4734574095423547,-0.12988153948893946,0.18604652953821058,-0.12988153948893946,0.49144366293112235
TE,2022,99,0.5425227896356883,0.49856686029020897,0.5425853358562264,0.3887545291584053,0.2027972027972028,0.41958041958041964,0.2027972027972028,0.1258741258741259
TE,2023,98,0.6096271726049142,0.5726307920276457,0.6092966355284454,0.43719548910009715,0.37911368283258007,0.33347962841754725,0.37911368283258007,0.2580079230388392
TE,2024,95,0.6127041615602601,0.5883225796018162,0.6127041615602601,0.5613879891626942,0.08951565140524574,0.148375257808695,0.08951565140524574,0.14224404880833572
