position,season,n,rho_b2,rho_b2r,rho_b2ra,rho_b3,adpsub_rho_b2,adpsub_rho_b2r,adpsub_rho_b2ra,adpsub_rho_b3
WR,2014,200,0.5344157156650918,0.5084608268820756,0.5344157156650918,0.4746354299631631,,,,
WR,2015,199,0.643600770645367,0.6076710198040043,0.643600770645367,0.5369290766302856,,,,
WR,2016,202,0.5459416301573978,0.5170549953044866,0.5459416301573978,0.4944151292238921,,,,
WR,2017,214,0.6126577171853311,0.6135692031196053,0.6126577171853311,0.4728172396371664,,,,
WR,2018,201,0.5624931029814099,0.5744870070286912,0.5624931029814099,0.4855320065146505,0.5873930505879397,0.6660496352472876,0.5873930505879397,0.6152994683791683
WR,2019,201,0.6224867951115829,0.5927589359679883,0.6224865633136305,0.4699505616920104,0.4656639475268808,0.38864471131486644,0.4656639475268808,0.45050204552912304
WR,2020,208,0.568163289649289,0.5465796230974967,0.568163289649289,0.4539749042269589,0.21412364928083502,0.20945044444657612,0.21412364928083502,0.41014678913033376
WR,2021,217,0.5860566231530691,0.5578566083904262,0.5860819928252184,0.49151901042485496,0.3123346906402041,0.2888782226202775,0.3123346906402041,0.28867209370538155
WR,2022,213,0.5678010491630514,0.5323682882857742,0.5677079955520574,0.46697010763092667,0.5797409586929249,0.48445246170233847,0.5797409586929249,0.5385806860229227
WR,2023,206,0.6175143528303332,0.6076661939900737,0.6175385000987224,0.5302542005998704,0.597234225811091,0.6096240623052307,0.5977674700786317,0.6899876639818693
WR,2024,210,0.6278513562400171,0.5993903404963283,0.6278513562400171,0.5114336769533842,0.2310105048256084,0.2097826786180169,0.2310105048256084,0.2519614866045354
