position,predictor,label,population,proxy,n_pairs,seasons,r_spearman,r_pearson,base_spearman,delta_vs_prior_fpg,n_players_mean,delta_lo,delta_hi,per_season
WR,fpg,prior FPG  [THE INCUMBENT -- Hoopes 0.68],S,False,18,"1999,2000,2001,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",0.6116995039736491,0.6306704678455358,0.6116995039736491,0.0,80.33333333333333,0.0,0.0,
WR,fpg,prior FPG  [THE INCUMBENT -- Hoopes 0.68],U,False,20,"1999,2000,2001,2002,2003,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",0.5920603405600662,0.634212038484723,0.5920603405600662,0.0,190.45,0.0,0.0,
WR,tshare,target share,S,False,18,"1999,2000,2001,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",0.5327517596557878,0.5365156949033875,0.6116995039736491,-0.07894774431786139,80.33333333333333,-0.10982698704397809,-0.04992228418894062,
WR,tshare,target share,U,False,20,"1999,2000,2001,2002,2003,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",0.5554918688534478,0.5931588072428701,0.5920603405600662,-0.036568471706618415,190.45,-0.09722029877226422,-5.062926626909335e-05,
WR,tpg,targets per game,S,False,18,"1999,2000,2001,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",0.5649045361320458,0.5741077525588296,0.6116995039736491,-0.04679496784160335,80.33333333333333,-0.06934036683533934,-0.02264160078663126,
WR,tpg,targets per game,U,False,20,"1999,2000,2001,2002,2003,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",0.5306692287944944,0.5577318588884406,0.5920603405600662,-0.06139111176557184,190.45,-0.11560245394541448,-0.030223625472609563,
WR,first_read_share,first-read target share  [PROXY],S,True,2,"2022,2023",0.6366331543569467,0.6231836142677758,0.6679443280581785,-0.031311173701231765,83.0,,,"2022->2023 r=+0.686 (prior FPG +0.765, n=82) | 2023->2024 r=+0.587 (prior FPG +0.571, n=84)"
WR,first_read_share,first-read target share  [PROXY],U,True,2,"2022,2023",0.6073956803624019,0.6748248431827879,0.604937168054422,0.0024585123079797766,207.0,,,"2022->2023 r=+0.604 (prior FPG +0.610, n=204) | 2023->2024 r=+0.610 (prior FPG +0.599, n=210)"
WR,catchable_share,catchable target share  [PROXY],S,True,2,"2022,2023",0.634133471118907,0.6394971226775823,0.6679443280581785,-0.03381085693927138,83.0,,,"2022->2023 r=+0.684 (prior FPG +0.765, n=82) | 2023->2024 r=+0.585 (prior FPG +0.571, n=84)"
WR,catchable_share,catchable target share  [PROXY],U,True,2,"2022,2023",0.6056494431271108,0.6695035946709821,0.604937168054422,0.0007122750726887284,207.0,,,"2022->2023 r=+0.603 (prior FPG +0.610, n=204) | 2023->2024 r=+0.608 (prior FPG +0.599, n=210)"
WR,catchable_rate,catchable rate  [PROXY],S,True,2,"2022,2023",0.21719048934056776,0.20924909634353145,0.6679443280581785,-0.45075383871761066,83.0,,,"2022->2023 r=+0.068 (prior FPG +0.765, n=82) | 2023->2024 r=+0.367 (prior FPG +0.571, n=84)"
WR,catchable_rate,catchable rate  [PROXY],U,True,2,"2022,2023",0.22386987293173863,0.18265096406475598,0.604937168054422,-0.3810672951226834,207.0,,,"2022->2023 r=+0.219 (prior FPG +0.610, n=204) | 2023->2024 r=+0.229 (prior FPG +0.599, n=210)"
WR,tprr,TPRR  [PROXY routes],S,True,8,"2016,2017,2018,2019,2020,2021,2022,2023",0.4756791714749457,0.48783993486584354,0.6474751836699881,-0.17179601219504248,71.875,-0.21040451935787036,-0.13240541375505344,
WR,tprr,TPRR  [PROXY routes],U,True,8,"2016,2017,2018,2019,2020,2021,2022,2023",0.4246152262645671,0.3631995867987154,0.5794799176089123,-0.15486469134434522,208.375,-0.18253232964352836,-0.12700429774981434,
WR,yprr,YPRR  [PROXY routes],S,True,8,"2016,2017,2018,2019,2020,2021,2022,2023",0.5350243290137028,0.5394890113145951,0.6474751836699881,-0.11245085465628543,71.875,-0.15680948587075788,-0.06991944749093182,
WR,yprr,YPRR  [PROXY routes],U,True,8,"2016,2017,2018,2019,2020,2021,2022,2023",0.4898421027635439,0.43114090596560006,0.5794799176089123,-0.0896378148453684,208.375,-0.10572668279265372,-0.07315212475902735,
WR,fdrr,1D per route run  [PROXY routes],S,True,8,"2016,2017,2018,2019,2020,2021,2022,2023",0.5284533655658783,0.5382662945495031,0.6474751836699881,-0.11902181810410992,71.875,-0.1564280098419074,-0.08015058226725005,
WR,fdrr,1D per route run  [PROXY routes],U,True,8,"2016,2017,2018,2019,2020,2021,2022,2023",0.48265077961695013,0.42416041360769513,0.5794799176089123,-0.09682913799196222,208.375,-0.11566992028410898,-0.07993014980709277,
WR,fd_pg,1D per game,S,False,15,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",0.5829724461637241,0.5998656417695175,0.6208466540603383,-0.03787420789661414,81.2,-0.05211677254005954,-0.020553726866868294,
WR,fd_pg,1D per game,U,False,15,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",0.5603122225297196,0.607318932197272,0.5771834093228122,-0.016871186793092692,199.53333333333333,-0.02406269902411311,-0.0098584863709427,
WR,fdpt,1D per target,S,False,15,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",0.2627284990261924,0.2593613330231632,0.6208466540603383,-0.35811815503414596,81.2,-0.40922752219896913,-0.30595443269901096,
WR,fdpt,1D per target,U,False,15,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",0.37824605378176607,0.3100099387257196,0.5771834093228122,-0.19893735554104633,199.53333333333333,-0.22506266419899998,-0.17326171239017452,
TE,fpg,prior FPG  [THE INCUMBENT -- Hoopes 0.68],S,False,15,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",0.5860109417103063,0.6356325548355913,0.5860109417103063,0.0,30.866666666666667,0.0,0.0,
TE,fpg,prior FPG  [THE INCUMBENT -- Hoopes 0.68],U,False,20,"1999,2000,2001,2002,2003,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",0.5276674062727461,0.5979929736605276,0.5276674062727461,0.0,85.35,0.0,0.0,
