family,idx,factor,arm,position,e1_comp,role,pair,coverage,block,n_target_seasons,p,d,lo,hi,n,pct,e1b_d,e1b_n,e1b_pct,e2_d,e2_lo,e2_hi,e2_n,proxy_reads,n_players,primary_err,primary_adpsub_err,grade,bh_campaign_10,bh_campaign_05,bh_batch_10,bh_batch_05,void_interpretation,too_good,m_campaign,m_batch
F1,1,N3 targets per route run,R1 TPRR,WR,targets,treatment,,0.8971724155362368,routes,7,0.20005408907664668,-0.013178303997926934,-0.028240887168588902,0.00415435343487301,7,-0.05717964478089093,0.2150395042723931,7,0.68415718473388,-0.0005253747930559216,-0.0014530154022289951,0.0003043621586534521,7,0,1456,23.04719458895806,31.431301032969213,NULL,False,False,False,False,True,False,80,17
F1,2,N3 targets per route run,R1 TPRR,TE,targets,treatment,,0.9366296757937624,routes,7,0.21752005659174692,-0.04738053088263986,-0.11840220510552399,-0.003240443190367279,7,-0.2511997897765572,0.5125576982893821,7,1.8135500135203733,-0.001699710599042075,-0.003996003996004051,0.0,7,0,682,18.8616920916952,28.2626723535697,MARGINAL,False,False,False,False,True,False,80,17
F1,3,N3 targets per route run,R1 TPRR,RB,targets,treatment,,0.8369224414992275,routes,7,0.18184691783586163,0.005869982307196153,0.0001039639214948096,0.013703114653714623,7,0.042157827405790084,-0.02685481863905283,7,-0.15538695755812743,0.0007154025855929233,-9.76467141880726e-05,0.0020441054834360478,7,0,919,13.923825463524603,17.28254356805135,MARGINAL-HARMFUL,False,False,False,False,True,False,80,17
F1,4,N3 route VOLUME,R2 routes per game,WR,targets,treatment,,0.8971724155362368,routes,7,0.6939880166372794,0.014680440150261376,-0.03653735041965067,0.08619436469403098,7,0.06369729770622405,0.5256195388224185,7,1.6722805660226434,-0.0012765880341985161,-0.004303453897616643,0.0017834405245959095,7,0,1456,23.04719458895806,31.431301032969213,NULL,False,False,False,False,True,False,80,17
F1,5,N3 route VOLUME,R2 routes per game,TE,targets,treatment,,0.9366296757937624,routes,7,0.25765725280015644,-0.14223640754092617,-0.37548959974591006,0.003312009426796587,7,-0.7541020543090767,1.5867459227824152,7,5.614281278613777,0.004176473266384476,-0.0010025062656641795,0.01203517719964772,7,0,682,18.8616920916952,28.2626723535697,NULL,False,False,False,False,True,False,80,17
F1,6,N3 route VOLUME,R2 routes per game,RB,targets,treatment,,0.8369224414992275,routes,7,0.49722161711941926,0.012022742875841834,-0.014292585514564518,0.04459443826912616,7,0.0863465497132026,-0.035791646824139836,7,-0.2070971016691349,-0.0007788568907586359,-0.0024599550143930876,0.00034380808258934907,7,0,919,13.923825463524603,17.28254356805135,NULL,False,False,False,False,True,False,80,17
F1,7,N4 first downs per route run,R3 1D/RR,WR,targets,treatment,,0.8971724155362368,routes,7,0.7876814878243436,0.002767759622614615,-0.013321442733617874,0.021791207789229463,7,0.01200909556228875,0.2081814166324791,7,0.6623378918171777,-0.00037308180001164156,-0.001508330632589591,0.0006942387424957731,7,0,1456,23.04719458895806,31.431301032969213,NULL,False,False,False,False,True,False,80,17
F1,8,N4 first downs per route run,R3 1D/RR,TE,targets,treatment,,0.9366296757937624,routes,7,0.4750933011789486,-0.021373457888615173,-0.0784122969103295,0.017216334222003075,7,-0.11331675750356407,0.4962602069843522,7,1.7558856458302052,0.0009799626688665028,-0.002102128800123187,0.005042016806722695,7,0,682,18.8616920916952,28.2626723535697,NULL,False,False,False,False,True,False,80,17
F1,9,N3 targets per route run,R1c CONTROL routes_known,WR,targets,control,1.0,0.8971724155362368,routes,7,0.031123756014019177,-0.0543997914947667,-0.08947871607718201,-0.020982780643340755,7,-0.23603650016835329,0.3501912333297881,7,1.114148068393549,0.00026725123542912865,-0.0015013670062299525,0.0023260589045228175,7,0,1456,23.04719458895806,31.431301032969213,MARGINAL,False,False,False,False,False,False,80,17
F1,10,N3 targets per route run,R1c CONTROL routes_known,TE,targets,control,2.0,0.9366296757937624,routes,7,0.07562998216967098,-0.15141193072508433,-0.2944499728556883,-0.06495261810628097,7,-0.8027483960028748,0.9091847305188507,7,3.2169099904808425,-0.006694715594047075,-0.014686723586055082,-0.0007007096000410622,7,0,682,18.8616920916952,28.2626723535697,MARGINAL,False,False,False,False,False,False,80,17
F1,11,N3 targets per route run,R1c CONTROL routes_known,RB,targets,control,3.0,0.8369224414992275,routes,7,0.37952545010262245,0.01607475865252336,-0.004674810685084907,0.05056241690292644,7,0.11544786089594003,-0.057386836010221334,7,-0.33205086846306064,0.00048659577003870184,3.640412954318352e-05,0.0009834276101486111,7,0,919,13.923825463524603,17.28254356805135,NULL,False,False,False,False,False,False,80,17
F1,12,N4 receiving first downs,D1 1D per game,WR,targets,treatment,,1.0,firstdown,11,0.13956822809408068,-0.05170911718088627,-0.11285028947271662,0.00863155254514782,11,-0.21473329448894107,-0.15203211396304894,7,-0.48369653487642145,0.00316479708664905,-0.005653803855616476,0.012524613744658153,7,0,2271,24.08062396842206,31.431301032969213,NULL,False,False,False,False,False,False,80,17
F1,13,N4 receiving first downs,D1 1D per game,TE,targets,treatment,,1.0,firstdown,11,0.048964750360750736,-0.17621602466785385,-0.32535823385688944,-0.0412767776549135,11,-0.8991744257902492,-0.0212951780808258,7,-0.07534736211218937,0.021334359072147844,-0.004941772500250677,0.04881083828452252,7,0,1041,19.597535207141206,28.2626723535697,MARGINAL,False,False,False,False,False,False,80,17
F1,14,N4 receiving first downs,D1 1D per game,RB,targets,treatment,,1.0,firstdown,11,0.2195627797555256,-0.06354766365405223,-0.1594709486922152,0.024805361055008825,11,-0.4433347835959973,-0.0023290177251390327,7,-0.0134761281866199,-0.005045803766375915,-0.013754933012943114,0.0031823547344833566,7,0,1441,14.334012580425457,17.28254356805135,NULL,False,False,False,False,False,False,80,17
F1,15,N4 receiving first downs,D2 1D per target,WR,targets,treatment,,1.0,firstdown,11,0.13897620282589443,-0.058983872339067614,-0.13005902135698566,0.008949276197238723,11,-0.24494328891317624,-0.14645797115727938,7,-0.4659621661974963,0.0011148315057602656,-0.005108618520038674,0.007800233222651934,7,0,2271,24.08062396842206,31.431301032969213,NULL,False,False,False,False,False,False,80,17
F1,16,N4 receiving first downs,D2 1D per target,TE,targets,treatment,,1.0,firstdown,11,0.008373269991285985,-0.13859971383402192,-0.21807324424848834,-0.06250698145307257,11,-0.707230334677583,0.04063408999877386,7,0.14377299319199585,0.002462810726392587,-0.02029843215868931,0.022128443080172266,7,0,1041,19.597535207141206,28.2626723535697,MARGINAL,False,False,False,False,False,False,80,17
F1,17,N4 receiving first downs,D2 1D per target,RB,targets,treatment,,1.0,firstdown,11,0.4231273905443907,-0.03706121694278346,-0.129674053824388,0.03655957018023341,11,-0.2585543771141537,-0.010518081526755754,7,-0.060859568994228175,-0.003335763305360578,-0.009127890337718563,0.0020035035331269473,7,0,1441,14.334012580425457,17.28254356805135,NULL,False,False,False,False,False,False,80,17
