idx,factor,arm,position,e1_comp,is_control,control_for,e1a_d,e1a_lo,e1a_hi,e1a_p,e1a_n,e1a_pct,e1b_d,e1b_lo,e1b_hi,e1b_n,e2_d,e2_lo,e2_hi,e2_n,rho_d,rho_lo,rho_hi,passyds_d,proxy_reads,n_players,primary_mae,primary_adpsub_mae,coverage,grade,bh_c47_10_orig,bh_camp05,bh_batch10,breaking_m,leak_trigger,bh_c47_10,bh_c47_05,bh_c80_10,bh_c80_05,grade_m47
1,N10 passing efficiency,P1 EPA per dropback,QB,attempts,False,Pc,-1.2183483809998523,-2.018094488190577,-0.4012036407344896,0.02004612877272,11,-1.0788068812188951,0.6014263780026425,-0.7735816547443619,2.18623460804381,7,-0.0128306127783081,-0.048942584058635,0.0263767442647795,7,0.0024677756447041,-7.974150368789115e-06,0.0048191444243078,-6.88398877727652,0,869,112.93479882361294,136.93830961295757,0.9375776397515526,MARGINAL,False,False,True,,False,False,False,False,False,MARGINAL
2,N10 passing efficiency,P2 ANY/A,QB,attempts,False,Pc,-1.424885292525634,-2.054049109056392,-0.8435563210191046,0.0012952957933612,11,-1.2616884320581196,-3.058071376881687,-4.749909229082872,-1.1413558173291796,7,-0.0117503320478148,-0.0468930383118026,0.0220946136243619,7,0.0017216531964389,-0.0003661394984104,0.0039751437697871,-8.535453125946022,0,869,112.93479882361294,136.93830961295757,0.9375776397515526,PROJECTION-ONLY,True,True,True,308.0,False,True,True,True,True,PROJECTION-ONLY
3,N10 passing efficiency,P3 passer rating,QB,attempts,False,Pc,-0.9596486016326896,-1.321471688866518,-0.5476570285568163,0.000980140453806,11,-0.8497368496060418,-3.4530708520888447,-5.000814549533225,-1.5102214985805082,7,-0.0180163772154618,-0.034962785988121,-0.0005365539984696,7,0.0008233786752882,-0.0003448590128354,0.0020995505200993,-6.845251722448438,0,869,112.93479882361294,136.93830961295757,0.9375776397515526,PROJECTION-ONLY,True,True,True,308.0,False,True,True,True,True,PROJECTION-ONLY
4,N10 passing efficiency,P4 CPOE,QB,attempts,False,P4c,0.0902086804395374,-0.4424805968016539,0.5785286106758176,0.7505472422344031,11,0.0798767796810173,0.2311765627855777,-0.9761530516256036,1.5428971010103558,7,0.0024617455117618,-0.0091714464025676,0.0179363291171071,7,-0.0011128418753577,-0.0037492891796648,0.0014573295128022,0.4124243605054868,0,869,112.93479882361294,136.93830961295757,0.9375776397515526,NULL,False,False,False,,False,False,False,False,False,NULL
5,N10 passing efficiency,P4c CPOE coverage CONTROL,QB,attempts,True,,1.8086542364802563e-14,-1.937843824800273e-14,5.684341886080804e-14,0.399603795763279,11,1.601503040090503e-14,-2.842170943040401e-13,-5.928971599392497e-13,-1.6240976817373718e-14,7,0.0,0.0,0.0,7,0.0,0.0,0.0,2.5837917664003645e-13,0,869,112.93479882361294,136.93830961295757,,NULL,False,False,False,,False,False,False,False,False,NULL
6,N10 passing efficiency,Pc QB-efficiency coverage CONTROL,QB,attempts,True,,1.8086542364802563e-14,-1.937843824800273e-14,5.684341886080804e-14,0.399603795763279,11,1.601503040090503e-14,-2.842170943040401e-13,-5.928971599392497e-13,-1.6240976817373718e-14,7,0.0,0.0,0.0,7,0.0,0.0,0.0,2.5837917664003645e-13,0,869,112.93479882361294,136.93830961295757,,NULL,False,False,False,,False,False,False,False,False,NULL
7,N11 sack avoidance,K1 sack rate per dropback,QB,attempts,False,Pc,-0.532182470219992,-0.9448826318729352,-0.1117764207330725,0.037965235996982,11,-0.4712298386002178,0.57193114881507,-1.1128698587320986,2.437804654636141,7,0.0040690430850613,-0.0339045832395783,0.0348784170226634,7,0.0023342853862351,-0.0018370265546327,0.0059125371237701,-2.146621666543348,0,869,112.93479882361294,136.93830961295757,0.9375776397515526,MARGINAL,False,False,True,,False,False,False,False,False,MARGINAL
8,#18 expected fantasy points,X1 add xFP per game,QB,attempts,False,X4c,-1.027716810123659,-1.868137246207185,-0.2097166853765082,0.0472816717438156,11,-0.9100089793658702,0.7302763166358963,-2.181705293468375,3.587797622456768,7,0.0065746370878767,-0.0138147740893736,0.0322900244573994,7,-0.0012238224579287,-0.0025797274651651,-3.775757809036277e-06,-7.47194099944202,0,869,112.93479882361294,136.93830961295757,0.9375776397515526,MARGINAL,False,False,True,,False,False,False,False,False,MARGINAL
9,#18 expected fantasy points,X1 add xFP per game,RB,carries,False,X4c,-0.4724364520498683,-0.8786466136143033,-0.0869615346760777,0.0468397998344536,11,-0.9525012184343004,0.3756541595030163,-0.7776370467397463,1.532599965855341,7,0.0043702859831521,-0.0033336233329627,0.0112816506265689,7,0.0076601521377306,0.0056324391165065,0.009815124347426,,0,1441,49.5995640642275,65.09989479249572,0.8362108925118161,MARGINAL,False,False,True,,False,False,False,False,False,MARGINAL
10,#18 expected fantasy points,X1 add xFP per game,WR,targets,False,X4c,-0.0075740025003783,-0.031844077013563,0.0208782395153866,0.5986015206684334,11,-0.0314526837440362,0.1010669878739141,-0.0607165728971017,0.3244655653759913,7,-0.0035509872318129,-0.0092861449394628,0.0009075550217197,7,-0.00049250825666,-0.0010852195440287,5.79413847289944e-05,,0,2271,24.08062396842206,31.431301032969213,0.8971724155362368,NULL,False,False,False,,False,False,False,False,False,NULL
