idx,factor,arm,position,e1_comp,role,pair,coverage,col,indep_r2_model,indep_r2_age,p,d,lo,hi,n,pct,e1b_d,e1b_n,e1b_pct,e2_d,e2_lo,e2_hi,e2_n,e4_deficit,e4_primary,proxy_reads,n_players,primary_err,primary_adpsub_err,first,repro_vs_batch3,grade,bh_c10,bh_c05,bh_b10,void_interpretation,too_good
1,N14 red-zone snap rate,Z1 RZ-20 snap rate -> carries,RB,carries,treatment,,0.8393854956864196,rz20_snap_w,0.8761693638341156,0.21054989651845646,0.23582266448466582,-0.05759238599481315,-0.13200548388775143,0.02710314841102918,7,-0.11844866603268352,0.877104261177423,7,1.3473205509366348,-0.003804009472444295,-0.0070949795126776,-0.00019307176079085787,7,-0.056108203615250284,-0.05230419414280598,0,919,48.62223267159606,65.09989479249572,2018,0.0,NULL,False,False,False,True,False
2,N14 red-zone snap rate,Z2 INSIDE-5 snap rate -> carries,RB,carries,treatment,,0.8393854956864196,i5_snap_w,0.8185363885788838,0.17775771915253358,0.1006418660718639,-0.053271507278149145,-0.09895255579604521,-0.0004242732120951181,7,-0.10956203438446602,0.7164449001403231,7,1.100531579081615,-0.003606362513160092,-0.007260056293673918,-6.680008923838037e-05,7,-0.05591055665596608,-0.05230419414280598,0,919,48.62223267159606,65.09989479249572,2018,0.0,MARGINAL,False,False,False,False,False
3,N14 red-zone snap rate,Z3 RZ-20 snap rate -> targets,RB,targets,treatment,,0.8393854956864196,rz20_snap_w,0.8761693638341156,0.21054989651845646,0.32320103892598634,0.009708115062708902,-0.002641315250668561,0.028018513713733335,7,0.06972304477774918,0.05446144891185562,7,0.31512403655983545,-0.0007249194485707743,-0.0020988432949120084,0.0004418672447240944,7,-0.05302911359137676,-0.05230419414280598,0,919,13.923825463524603,17.28254356805135,2018,0.0,NULL,False,False,False,False,False
4,N14 red-zone snap rate,Z1c CONTROL coverage flag,RB,carries,control,1.0,0.8393854956864196,rzsnap_known,0.08566719491013142,0.5029751659064576,0.03833753518580484,-0.12393768992167407,-0.21429274124655656,-0.04481473242520601,7,-0.25489921608243116,0.49301169939867556,7,0.7573156622912187,-0.0010313398407091018,-0.0038121222316657077,0.001946475974351769,7,-0.05333553398351509,-0.05230419414280598,0,919,48.62223267159606,65.09989479249572,2018,0.0,MARGINAL,False,False,False,False,False
5,N15 inside-5 TD conversion,G1 conversion vs base -> tdpc,RB,rush_tds,treatment,,0.8128005871336297,i5_conv_w,0.14246622250030172,0.020462940233471172,0.144337690491696,-0.0009630937365208551,-0.0020688832435085346,0.00023163351308779794,11,-0.05038078057653097,-0.0035506937783266984,7,-0.12280346084003228,0.000848482991331001,-0.0001024498717502568,0.0018401131379952999,7,-0.051455711151474993,-0.05230419414280598,0,1441,1.9116292473036751,2.8913629583713,2014,0.0,NULL,False,False,False,False,False
6,N15 inside-5 TD conversion,G1p CONTROL binomial placebo,RB,rush_tds,control,5.0,0.8128005871336297,i5_conv_placebo_w,0.030568254232356207,0.005777512418554842,0.8932939843152403,0.00012403375162595154,-0.0013364349845551948,0.0019685359624109617,11,0.006488379051581227,0.0011779698757623208,7,0.040740989378444184,0.00024202121935948,-0.0016763002119291762,0.002100583272791826,7,-0.052062172923446504,-0.05230419414280598,0,1441,1.9116292473036751,2.8913629583713,2014,0.0,NULL,False,False,False,False,False
7,N15 inside-5 TD conversion,G1c CONTROL coverage flag,RB,rush_tds,control,5.0,0.8128005871336297,i5_known,0.3395510032935113,0.48811967116804944,0.5456643264954543,0.00046191613215101397,-0.0009121526554851504,0.0018265267986509277,11,0.024163479022019558,0.00041263152300803033,7,0.014271176913757828,0.0002952867429185181,0.0,0.0006541377490127635,7,-0.052008907399887463,-0.05230419414280598,0,1441,1.9116292473036751,2.8913629583713,2014,0.0,NULL,False,False,False,False,False
8,N16 YAC per reception,Y1 YAC/rec vs base -> ypr,RB,rec_yards,treatment,,0.8227422223758853,yac_per_rec_w,0.4384398880635334,0.2667242494893277,0.9615986901288072,0.002816607723433022,-0.10820505590660756,0.10268464320873141,11,0.003119691130308934,-0.0034710473660664676,7,-0.0030955286105032046,0.0002072151208837065,-9.76467141880726e-05,0.0005270092226613089,7,-0.052096979021922285,-0.05230419414280598,0,1441,90.28482647107764,112.13100580912477,2014,0.0,NULL,False,False,False,True,False
9,N16 YAC per reception,Y1c CONTROL coverage flag,RB,rec_yards,control,8.0,0.8227422223758853,yac_known,0.40054682058296975,0.4953842031153862,0.5481975372079283,-0.002857609668728339,-0.011317703548493506,0.006086013504464269,11,-0.0031651051238867495,-0.02603812041815193,7,-0.023221160133420522,0.00013175230566532723,0.0,0.0003952569169959817,7,-0.052172441837140655,-0.05230419414280598,0,1441,90.28482647107764,112.13100580912477,2014,0.0,NULL,False,False,False,False,False
10,N17 receiving share of own points,S1 receiving points share,RB,targets,treatment,,0.8362108925118161,recpts_share_w,0.75864498230492,0.017744011868776055,0.020603422000335176,0.029521815820405483,0.009395537442781024,0.050312425018870996,11,0.20595639675048497,0.03370326050524598,7,0.195013311394453,-0.00127814773398875,-0.0038505075334442124,0.0002775113795822626,7,-0.053582341876794747,-0.05230419414280598,0,1441,14.334012580425457,17.28254356805135,2014,0.0,MARGINAL-HARMFUL,False,False,False,False,False
