run,position,season,n_board_vet,n_vet,rho_points,rho_points_fullvet,coverage,universe,targets,S,first_feature_season
CTRL-A,QB,2018,19,65,-0.0842105263157894,0.6149548716823983,,m_panel_halfppr12,2018-2024,7,2012
CTRL-A,QB,2019,19,72,0.3578947368421052,0.6761919335821783,,m_panel_halfppr12,2018-2024,7,2012
CTRL-A,QB,2020,19,73,0.3947368421052631,0.7568731458199719,,m_panel_halfppr12,2018-2024,7,2012
CTRL-A,QB,2021,19,73,0.1245614035087719,0.7119570706900962,,m_panel_halfppr12,2018-2024,7,2012
CTRL-A,QB,2022,14,77,0.4153846153846154,0.740579977774305,,m_panel_halfppr12,2018-2024,7,2012
CTRL-A,QB,2023,23,79,0.0622529644268774,0.6077211450681542,,m_panel_halfppr12,2018-2024,7,2012
CTRL-A,QB,2024,21,85,0.4441558441558441,0.7095214959657009,,m_panel_halfppr12,2018-2024,7,2012
CTRL-A,RB,2018,29,120,0.4532019704433496,0.6170861478540549,,m_panel_halfppr12,2018-2024,7,2012
CTRL-A,RB,2019,35,118,0.3991596638655462,0.6988857658556673,,m_panel_halfppr12,2018-2024,7,2012
CTRL-A,RB,2020,45,119,0.414756258234519,0.6602805435724546,,m_panel_halfppr12,2018-2024,7,2012
CTRL-A,RB,2021,59,118,0.6481384077936435,0.597457468282109,,m_panel_halfppr12,2018-2024,7,2012
CTRL-A,RB,2022,37,123,0.3686581318160265,0.7078094153024649,,m_panel_halfppr12,2018-2024,7,2012
CTRL-A,RB,2023,52,128,0.3722359771194399,0.7338682968338405,,m_panel_halfppr12,2018-2024,7,2012
CTRL-A,RB,2024,46,112,0.4223380309757233,0.7839059863761692,,m_panel_halfppr12,2018-2024,7,2012
CTRL-A,TE,2018,11,89,0.2454545454545454,0.6164898924677821,,m_panel_halfppr12,2018-2024,7,2012
CTRL-A,TE,2019,10,90,0.5757575757575757,0.5684153309233928,,m_panel_halfppr12,2018-2024,7,2012
CTRL-A,TE,2020,16,85,0.3647058823529411,0.6325912797213402,,m_panel_halfppr12,2018-2024,7,2012
CTRL-A,TE,2021,17,90,0.375,0.6709890662523593,,m_panel_halfppr12,2018-2024,7,2012
CTRL-A,TE,2022,12,89,0.3496503496503497,0.7834887384070233,,m_panel_halfppr12,2018-2024,7,2012
CTRL-A,TE,2023,17,89,0.590686274509804,0.7628992880783418,,m_panel_halfppr12,2018-2024,7,2012
