factor,name,control,position,delta,lo,hi,n_seasons,p,coverage,ctrl_mean_rho,arm_mean_rho,games_arm,verdict,bh_reject_campaign,universe,targets,S,first_feature_season
F0,"PLACEBO (seeded N(0,1) noise)",CTRL-A,QB,0.0135470119942169,-0.0042750156022466,0.0394309950700927,7,0.2645,,0.2449679828725268,0.2585149948667438,G0,NULL,False,m_panel_halfppr12,2018-2024,7,2012
F0,"PLACEBO (seeded N(0,1) noise)",CTRL-A,RB,0.0007373394302215,-0.0007396095698693,0.0020212934167122,7,0.311,,0.4397840628926068,0.4405214023228284,G0,NULL,False,m_panel_halfppr12,2018-2024,7,2012
F0,"PLACEBO (seeded N(0,1) noise)",CTRL-A,WR,0.0004520431904753,-0.0004827328459053,0.0016047105507445,7,0.5395,,0.5601941224888433,0.5606461656793186,G0,NULL,False,m_panel_halfppr12,2018-2024,7,2012
F0,"PLACEBO (seeded N(0,1) noise)",CTRL-A,TE,0.0302935712386185,0.0133941142706816,0.0458648465842561,7,0.00025,,0.3966367224146321,0.4269302936532506,G0,WIN,True,m_panel_halfppr12,2018-2024,7,2012
F1,"offensive snap share, recency-weighted",CTRL-B,RB,0.0027467682506825,-0.0029688674419019,0.0085438158183619,7,0.3725,0.9975786924939468,0.431415747708238,0.4341625159589205,G0,NULL,False,m_panel_halfppr12,2018-2024,7,2015
F1,"offensive snap share, recency-weighted",CTRL-B,WR,-0.0025083972690017,-0.00906256938789,0.0029897430692254,7,0.4605,1.0,0.5492932186705273,0.5467848214015255,G0,NULL,False,m_panel_halfppr12,2018-2024,7,2015
F1,"offensive snap share, recency-weighted",CTRL-B,TE,-0.0285215816177034,-0.0547046091163738,-0.0051800953179226,7,0.0075,1.0,0.4002666580107424,0.3717450763930389,G0,HARM,False,m_panel_halfppr12,2018-2024,7,2015
F2,red-zone (inside-20) usage share of team,CTRL-A,RB,-0.0001263704957673,-0.0072090655293785,0.0065152332320755,7,0.9815,0.9851538964129763,0.4397840628926068,0.4396576923968394,G0,NULL,False,m_panel_halfppr12,2018-2024,7,2012
F2,red-zone (inside-20) usage share of team,CTRL-A,WR,-0.0009717036190581,-0.0028110842975283,0.0007769473725194,7,0.3065,0.9940866510538642,0.5601941224888433,0.559222418869785,G0,NULL,False,m_panel_halfppr12,2018-2024,7,2012
F2,red-zone (inside-20) usage share of team,CTRL-A,TE,0.001998001998002,0.0,0.005994005994006,7,0.6885,1.0,0.3966367224146321,0.3986347244126341,G0,NULL,False,m_panel_halfppr12,2018-2024,7,2012
F3,expected fantasy points per game + realised-minus-expected residual,CTRL-A,QB,0.0034317812513301,-0.0300361292842495,0.0371340439009611,7,0.863,1.0,0.2449679828725268,0.2483997641238569,G0,NULL,False,m_panel_halfppr12,2018-2024,7,2012
F3,expected fantasy points per game + realised-minus-expected residual,CTRL-A,RB,0.0185961800318172,-0.0003161472788685,0.0404165051320505,7,0.0585,0.9934970598408857,0.4397840628926068,0.4583802429244241,G0,NULL,False,m_panel_halfppr12,2018-2024,7,2012
F3,expected fantasy points per game + realised-minus-expected residual,CTRL-A,WR,-0.0008350716270157,-0.0075772353360501,0.0048014984336089,7,0.7805,1.0,0.5601941224888433,0.5593590508618275,G0,NULL,False,m_panel_halfppr12,2018-2024,7,2012
