factor,name,control,position,delta,lo,hi,n_seasons,p,coverage,n_ge350_carries,ctrl_mean_rho,arm_mean_rho,games_arm,verdict,bh_reject_campaign,vs_placebo,universe,targets,S,first_feature_season
A1,"WOPR, recency-weighted (WR/TE)",CTRL-A2,WR,-0.0020729056283766,-0.0088570793986711,0.0048212893567049,7,0.525,,,0.5601941224888433,0.5581212168604666,G0,NULL,False,inside/below (placebo +0.0005),m_panel_halfppr12,2018-2024,7,2012
A1,"WOPR, recency-weighted (WR/TE)",CTRL-A2,TE,-0.0004950158198838,-0.0077922077922077,0.0063071603325563,7,0.8995,,,0.3966367224146321,0.3961417065947483,G0,NULL,False,inside/below (placebo +0.0303),m_panel_halfppr12,2018-2024,7,2012
A2,"YAC per reception, EB-shrunk (RB) -- batch-7 block, reused",CTRL-A2,RB,0.0003628897344183,-0.0060656683309741,0.0069766110728201,7,0.8865,0.9774805352913392,,0.4397840628926068,0.4401469526270252,G0,NULL,False,inside/below (placebo +0.0007),m_panel_halfppr12,2018-2024,7,2012
A3,"receiving share of RB's own points (RB) -- batch-7 block, reused",CTRL-A2,RB,0.0100541926239673,-0.0124428044647688,0.0285825174620515,7,0.3445,0.9934970598408857,,0.4397840628926068,0.4498382555165743,G0,NULL,False,clears (placebo +0.0007),m_panel_halfppr12,2018-2024,7,2012
A4,"late-season role trajectory (RB/WR/TE) -- batch-7 block, reused",CTRL-A2,RB,-0.0044161644756568,-0.0089090095443327,-0.0001301366411846,7,0.0405,0.972554426916955,,0.4397840628926068,0.43536789841695,G0,HARM,False,inside/below (placebo +0.0007),m_panel_halfppr12,2018-2024,7,2012
A4,"late-season role trajectory (RB/WR/TE) -- batch-7 block, reused",CTRL-A2,WR,0.0001409703183136,-0.0011542636554252,0.0012936093523833,7,0.7975,0.9797552047100392,,0.5601941224888433,0.5603350928071569,G0,NULL,False,inside/below (placebo +0.0005),m_panel_halfppr12,2018-2024,7,2012
A4,"late-season role trajectory (RB/WR/TE) -- batch-7 block, reused",CTRL-A2,TE,0.0086070791953144,0.0,0.0224598930481283,7,0.191,1.0,,0.3966367224146321,0.4052438016099466,G0,NULL,False,inside/below (placebo +0.0303),m_panel_halfppr12,2018-2024,7,2012
A5,"implied team total, lagged (QB/RB/WR/TE)",CTRL-D,QB,0.0139999779015797,0.0072492724666637,0.020352016404648,4,0.00025,1.0,,0.2976455942989123,0.311645572200492,G0,WIN,False,inside/below (placebo +0.0216),m_panel_halfppr12,2021-2024,4,2018
A5,"implied team total, lagged (QB/RB/WR/TE)",CTRL-D,RB,-4.964791143202696e-05,-0.0065428964034646,0.0038565135798539,4,0.969,1.0,,0.4126060224451669,0.4125563745337349,G0,NULL,False,inside/below (placebo +0.0080),m_panel_halfppr12,2021-2024,4,2018
A5,"implied team total, lagged (QB/RB/WR/TE)",CTRL-D,WR,0.0040012354731547,-0.009049724507786,0.0175020290994214,4,0.741,1.0,,0.5420762829511837,0.5460775184243385,G0,NULL,False,clears (placebo +0.0006),m_panel_halfppr12,2021-2024,4,2018
A5,"implied team total, lagged (QB/RB/WR/TE)",CTRL-D,TE,0.0034885199939012,-0.0080385300973536,0.0147058823529412,4,0.524,1.0,,0.3283767960667689,0.3318653160606702,G0,NULL,False,inside/below (placebo +0.0366),m_panel_halfppr12,2021-2024,4,2018
B1,RB high-carry-season breakpoint (350/375/400 hinge spline),CTRL-A2,RB,-0.0001538945212813,-0.0026816141351792,0.0024204905913258,7,0.8875,,1.0,0.4397840628926068,0.4396301683713255,G0,NULL,False,inside/below (placebo +0.0007),m_panel_halfppr12,2018-2024,7,2012
