position,season,n,n_train_seasons,mae_incumbent,mae_component,delta
QB,2019,20,1,55.84507122562329,79.5811742547459,23.73610302912261
QB,2020,20,2,69.91833973628977,94.8819252775915,24.96358554130174
QB,2021,24,3,75.91299708518186,93.27265333962093,17.359656254439074
QB,2022,14,4,90.1718609822971,67.45080975060341,-22.721051231693693
QB,2023,24,5,89.23684409381728,95.42793171986501,6.191087626047732
QB,2024,23,6,73.02638508121925,83.71943147185038,10.693046390631139
RB,2019,45,1,53.40368003594756,64.60855455974803,11.20487452380047
RB,2020,56,2,56.64148229614818,64.90643487287134,8.26495257672316
RB,2021,64,3,51.48162417392646,52.708139581988945,1.2265154080624825
RB,2022,43,4,52.82049585142977,67.53494260093431,14.714446749504546
RB,2023,58,5,67.58662979537215,62.90884408648425,-4.677785708887896
RB,2024,53,6,69.73092100420598,76.07392587600394,6.343004871797959
WR,2019,53,1,51.167846295294225,54.4430386996713,3.275192404377073
WR,2020,57,2,51.65850634301957,56.155952847067056,4.497446504047488
WR,2021,64,3,50.20982035405101,54.973583606131356,4.763763252080345
WR,2022,43,4,49.99405449051528,46.74710570945162,-3.246948781063665
WR,2023,67,5,54.961717071661255,52.8553184730858,-2.1063985985754528
WR,2024,61,6,45.27667646791039,48.014777379153,2.7381009112426113
TE,2019,11,1,38.32005765423165,46.81073517981402,8.49067752558237
TE,2020,16,2,45.81979096389247,49.22920004502622,3.409409081133745
TE,2021,19,3,38.83374327172039,43.657401205669935,4.823657933949548
TE,2022,12,4,37.920463068657476,41.553095997857874,3.6326329292003976
TE,2023,19,5,41.212349075283576,44.89407610780685,3.681727032523277
TE,2024,17,6,36.74956361390858,41.8708229518956,5.12125933798702
