n_universe,n_covered,rho_crowd,rho_b2,rho_b3,top12_pts,rank13_24_pts,season,null_se,null_half_width_95,gap_vs_b3,outside_null_band,poor,strong,baseline,position
79,0,,,,,,2013,,,,False,False,False,market_adp,QB
68,0,,,,,,2014,,,,False,False,False,market_adp,QB
72,0,,,,,,2015,,,,False,False,False,market_adp,QB
76,0,,,,,,2016,,,,False,False,False,market_adp,QB
80,0,,,,,,2017,,,,False,False,False,market_adp,QB
72,19,0.39067497183495997,-0.005263157894736842,0.09473684210526316,280.6716666666667,200.60571428571424,2018,0.19311700405848053,0.37850932795462183,0.2959381297296968,False,False,True,market_adp,QB
79,20,0.1572611430889571,0.12180451127819547,0.15939849624060148,284.53833333333336,270.28000000000003,2019,0.232309782600009,0.4553271738960176,-0.0021373531516443722,False,False,False,market_adp,QB
80,20,0.41654135338345866,0.4917293233082706,0.4917293233082706,313.7833333333333,242.665,2020,0.19506866848960303,0.3823345902396219,-0.07518796992481197,False,False,False,market_adp,QB
82,24,0.6192650722605039,0.5668176314366014,0.4890876326725683,326.0116666666667,171.21333333333334,2021,0.12013823620100256,0.235470942953965,0.1301774395879356,False,False,False,market_adp,QB
82,14,0.3322334243638211,0.45494505494505494,0.3406593406593406,263.5416666666667,204.93,2022,0.24299866146928287,0.4762773764797944,-0.008425916295519531,False,False,False,market_adp,QB
87,24,0.11007180938638823,0.19565217391304346,0.1652173913043478,236.95999999999995,216.91666666666663,2023,0.20223732639005618,0.3963851597245101,-0.055145581917959555,False,False,False,market_adp,QB
91,23,0.30548693796512577,0.24530180149995037,0.32616754146218147,280.37000000000006,224.3909090909091,2024,0.22428380082095728,0.4395962496090763,-0.020680603497055694,False,False,False,market_adp,QB
130,0,,,,,,2013,,,,False,False,False,market_adp,RB
130,0,,,,,,2014,,,,False,False,False,market_adp,RB
125,0,,,,,,2015,,,,False,False,False,market_adp,RB
130,0,,,,,,2016,,,,False,False,False,market_adp,RB
137,0,,,,,,2017,,,,False,False,False,market_adp,RB
135,38,0.5480111623894416,0.3593148590644575,0.4160240645131881,220.18333333333337,142.92499999999998,2018,0.13837124390564753,0.27120763805506914,0.1319870978762535,False,False,False,market_adp,RB
130,45,0.759291012141463,0.5475925573560981,0.5335244984419569,224.42666666666665,196.6916666666667,2019,0.06622655654109041,0.1298040508205372,0.22576651369950607,True,False,True,market_adp,RB
133,56,0.5736166799796691,0.2706698851843164,0.2832267164018069,193.90833333333333,161.53333333333336,2020,0.1073119132461317,0.21033134996241812,0.29038996357786223,True,False,True,market_adp,RB
126,64,0.7114118628366142,0.43294394851006457,0.43451177140643943,219.13833333333332,158.10833333333332,2021,0.06186080847365046,0.1212471846083549,0.27690009143017474,True,False,True,market_adp,RB
137,43,0.41340635502327827,0.2960166826611361,0.42870139753194947,224.59833333333333,129.56666666666666,2022,0.14976904548984252,0.29354732916009135,-0.015295042508671197,False,False,False,market_adp,RB
136,58,0.24453504065642806,0.20756520374624912,0.20623858461306183,158.05833333333337,153.11333333333332,2023,0.1292638393294104,0.2533571250856444,0.038296456043366234,False,False,False,market_adp,RB
122,53,0.47993790797337277,0.48430939402062645,0.49209935260434023,237.24166666666665,161.60999999999999,2024,0.12410133404443643,0.2432386147270954,-0.012161444630967466,False,False,False,market_adp,RB
197,0,,,,,,2013,,,,False,False,False,market_adp,WR
200,0,,,,,,2014,,,,False,False,False,market_adp,WR
199,0,,,,,,2015,,,,False,False,False,market_adp,WR
202,0,,,,,,2016,,,,False,False,False,market_adp,WR
214,0,,,,,,2017,,,,False,False,False,market_adp,WR
201,46,0.6311081380111779,0.5873930505879397,0.6152994683791683,241.57000000000002,142.06833333333333,2018,0.10875688011955159,0.21316348503432112,0.015808669632009664,False,False,False,market_adp,WR
201,53,0.5413339943921042,0.4656639475268808,0.45050204552912304,182.64166666666665,181.79666666666665,2019,0.10632087950633487,0.20838892383241633,0.09083194886298113,False,False,False,market_adp,WR
208,57,0.4064186879309588,0.21412364928083502,0.41014678913033376,191.10833333333335,171.95166666666663,2020,0.1289209503441566,0.25268506267454693,-0.0037281011993749447,False,False,False,market_adp,WR
217,64,0.5226580656036864,0.3123346906402041,0.28867209370538155,188.39999999999998,190.67499999999998,2021,0.09767280658030521,0.1914387008973982,0.2339859718983049,True,False,True,market_adp,WR
213,43,0.49103131421716445,0.5797409586929249,0.5385806860229227,217.08,164.82500000000002,2022,0.12154438593130464,0.23822699642535708,-0.0475493718057583,False,False,False,market_adp,WR
206,67,0.580440115864124,0.597234225811091,0.6899876639818693,198.80666666666664,180.50333333333333,2023,0.08132365477354785,0.15939436335615378,-0.10954754811774525,False,False,False,market_adp,WR
210,61,0.3735933939495747,0.2310105048256084,0.2519614866045354,216.61333333333334,135.78500000000003,2024,0.1259866029634777,0.24693374180841626,0.12163190734503931,False,False,False,market_adp,WR
78,0,,,,,,2013,,,,False,False,False,market_adp,TE
87,0,,,,,,2014,,,,False,False,False,market_adp,TE
84,0,,,,,,2015,,,,False,False,False,market_adp,TE
89,0,,,,,,2016,,,,False,False,False,market_adp,TE
99,0,,,,,,2017,,,,False,False,False,market_adp,TE
99,12,0.6409817185295869,0.5454545454545455,0.5874125874125874,130.14166666666668,,2018,0.25721291233416405,0.5041373081749615,0.05356913111699946,False,False,False,market_adp,TE
100,11,0.5818181818181819,0.5284751751907181,0.6090909090909091,,,2019,0.2737899165736625,0.5366282364843784,-0.027272727272727226,False,False,False,market_adp,TE
94,16,0.07358353721315752,0.3235294117647059,0.15,127.28000000000002,113.375,2020,0.29092721770387675,0.5702173466995984,-0.07641646278684247,False,False,False,market_adp,TE
97,19,0.3543859649122807,-0.12988153948893946,0.49144366293112235,134.10833333333335,97.31428571428572,2021,0.2209165620757074,0.4329964616683865,-0.13705769801884166,False,False,False,market_adp,TE
