season,n,position,n_adp,k,rho_model,top_model,pts_top_model,rho_model_no_bonus,top_model_no_bonus,pts_top_model_no_bonus,rho_b2_prior_points,top_b2_prior_points,pts_top_b2_prior_points,rho_b3_wavg_ppg,top_b3_wavg_ppg,pts_top_b3_wavg_ppg,rho_b1_adp,mae_games,bias_games,mae_naive_games,mae_attempts,bias_attempts,mae_naive_attempts,mae_pass_yards,bias_pass_yards,mae_naive_pass_yards,mae_pass_tds,bias_pass_tds,mae_naive_pass_tds,mae_interceptions,bias_interceptions,mae_naive_interceptions,mae_carries,bias_carries,mae_naive_carries,mae_rush_yards,bias_rush_yards,mae_naive_rush_yards,bonus_actual_rec,bonus_actual_rush,bonus_actual_pass,bonus_pred_total,bonus_actual_total,top_b1_adp,pts_top_b1_adp,adpsub_rho_model,adpsub_top_model,adpsub_pts_top_model,adpsub_rho_model_no_bonus,adpsub_top_model_no_bonus,adpsub_pts_top_model_no_bonus,adpsub_rho_b2_prior_points,adpsub_top_b2_prior_points,adpsub_pts_top_b2_prior_points,adpsub_rho_b3_wavg_ppg,adpsub_top_b3_wavg_ppg,adpsub_pts_top_b3_wavg_ppg,adpsub_rho_b1_adp,adpsub_top_b1_adp,adpsub_pts_top_b1_adp
2014,68,QB,0,10,0.7787506208297263,0.6,284.172,0.7788272393481078,0.6,284.172,0.7050464538917739,0.5,295.78000000000003,0.6795215853713177,0.7,307.882,,3.3031002107229446,-0.16827754606511655,3.485294117647059,113.61419290464457,-0.48084869007431263,126.22058823529412,846.1046463106089,-32.73015613326673,874.5441176470588,5.776748932823154,-0.45124458192690653,6.117647058823529,3.3958963902860693,0.3089053729888817,5.029411764705882,11.4729519449085,-1.3686976369478443,12.323529411764707,54.03860233799927,-6.350946960453981,62.161764705882355,0.0,6.5,201.5,199.15310338544418,208.0,,,,,,,,,,,,,,,,,
2015,72,QB,0,10,0.6627549485459183,0.3,244.728,0.6616252892881456,0.3,244.728,0.6300732470110181,0.5,261.136,0.6249110633864847,0.6,273.872,,3.567702784740358,-0.07397824701708916,3.6805555555555554,122.15555797255632,-8.723148763770562,123.06944444444444,900.2752270358471,-88.2598009673118,931.6666666666666,6.416709480772751,-0.751143495473044,7.208333333333333,2.8995820550419382,0.23347315975173089,3.388888888888889,12.24299705998555,0.40481691187277896,12.5,54.73659974889836,4.3630068623544975,60.77777777777778,0.0,3.0,230.0,176.89414054391304,233.0,,,,,,,,,,,,,,,,,
2016,76,QB,0,10,0.7203586600068004,0.5,264.96799999999996,0.7197240192399356,0.5,264.96799999999996,0.6199797294200764,0.5,289.784,0.6062206682847894,0.4,287.782,,3.348390453889495,0.2064612814118687,3.3289473684210527,113.90936641539139,3.7077850544339848,111.46052631578948,817.9078096654883,26.371037182666967,751.4736842105264,5.312737164601475,0.6072262793521825,5.552631578947368,3.128431884122483,0.7794821542033216,3.3552631578947367,10.250767404562433,1.4852128911021125,10.960526315789474,59.65131659168092,8.980955310700761,56.31578947368421,0.0,1.0,200.0,244.2268285201435,201.0,,,,,,,,,,,,,,,,,
2017,80,QB,0,10,0.707010529258441,0.5,232.87600000000003,0.7078171584988955,0.5,232.87600000000003,0.6951835533340037,0.4,228.82200000000003,0.534682860385072,0.6,242.996,,3.2981610558699272,-0.09518967631207487,3.2,100.86148315895446,2.0375799432934394,106.0875,703.7691413953169,35.251231377038685,769.35,5.195428339605801,0.35255410084789196,5.75,3.0033232215912697,0.01919902279105472,3.5625,11.338263442245324,-1.3726627876378235,11.9625,57.204318255816304,-11.092166406681827,67.1625,0.0,0.0,164.0,227.79404462563275,164.0,,,,,,,,,,,,,,,,,
2018,72,QB,19,10,0.6316086081398262,0.3,272.384,0.6283838002318874,0.3,280.178,0.4794951222715896,0.4,270.064,0.5694547478568106,0.5,280.962,0.39067497183495997,3.5817173189561466,-0.11282316593377988,4.458333333333333,115.25282922955928,1.7103444156213026,146.93055555555554,866.9201520180574,-53.307097407343285,1046.9583333333333,6.36401650021976,-0.9536861064827187,6.791666666666667,3.1536731582430955,0.19245253117974898,4.541666666666667,14.22566345349609,-2.351288631898697,18.041666666666668,73.41734713788219,-13.091525093292594,92.08333333333333,0.0,3.0,276.5,200.99079774199055,279.5,0.6,276.822,-0.08421052631578947,0.5,239.67399999999998,-0.08070175438596491,0.5,239.67399999999998,-0.005263157894736842,0.6,256.64,0.09473684210526316,0.6,256.802,0.39067497183495997,0.6,276.822
2019,79,QB,20,10,0.6897502902208523,0.6,269.38800000000003,0.6897008156097832,0.6,269.38800000000003,0.56404287102651,0.5,229.536,0.5252035917417893,0.5,230.394,0.1572611430889571,3.517714478369649,0.49073291272780156,3.962025316455696,123.02611974033121,12.013266240495943,137.72151898734177,885.5847940057673,71.88651327090918,940.7594936708861,5.6334426008658305,0.4803043398708582,6.405063291139241,3.428028430184178,0.5100492698790365,4.151898734177215,12.64269511065774,1.19431274046857,14.569620253164556,62.043138612669445,5.2866298015958,73.86075949367088,0.0,6.5,228.5,222.5835576280634,235.0,0.5,279.372,0.3954887218045112,0.7,294.684,0.393984962406015,0.7,294.684,0.12180451127819547,0.6,286.13800000000003,0.15939849624060148,0.6,283.36199999999997,0.1572611430889571,0.5,279.372
2020,80,QB,20,10,0.744292863218249,0.6,283.1,0.7445996907819665,0.6,283.1,0.6585007473279235,0.7,311.982,0.6313719531738502,0.6,295.43399999999997,0.41654135338345866,3.566868314919001,-0.2955019779748497,3.675,112.88247765484502,0.7725315838395638,126.0625,847.6250755222275,-10.7796375371649,904.275,6.292704417735832,-0.8358884632174579,6.425,3.008343869362549,0.4787393216228838,3.8125,13.333792991151721,-2.8264290493519546,13.7,68.16992465326878,-15.87135956991458,64.775,0.0,4.0,233.0,231.84895918432647,237.0,0.7,319.61199999999997,0.29624060150375936,0.6,306.78200000000004,0.312781954887218,0.6,306.78200000000004,0.4917293233082706,0.8,331.832,0.4917293233082706,0.8,326.904,0.41654135338345866,0.7,319.61199999999997
2021,82,QB,24,10,0.7174033242278308,0.5,292.43600000000004,0.7187863021328921,0.5,292.436,0.5921742871240119,0.5,299.368,0.5577153892573391,0.6,305.73799999999994,0.6192650722605039,3.503720829960198,0.4610939062706312,4.012195121951219,115.97629283960822,26.90201582379303,125.7560975609756,844.8289250945074,205.70045820676293,903.329268292683,6.23655470298789,1.2776613765551745,6.280487804878049,3.1372366215015637,0.6150353110888093,4.073170731707317,12.00673639248229,1.5545216072564756,15.21951219512195,57.44134350593152,7.426445939113461,78.04878048780488,0.0,4.0,192.5,258.35304457547676,196.5,0.7,326.574,0.2582608695652174,0.5,275.104,0.25913043478260867,0.5,275.104,0.5668176314366014,0.6,290.278,0.4890876326725683,0.6,288.406,0.6192650722605039,0.7,326.574
2022,82,QB,14,10,0.7421102179892878,0.3,279.216,0.7427661593740342,0.3,279.216,0.7168849582263956,0.5,301.484,0.6061011471986932,0.2,249.17,0.3322334243638211,2.824064449724501,-0.20034428759484782,3.1463414634146343,89.09317109641584,1.0555527479714422,95.97560975609755,645.5062702416944,31.03565262300453,695.3536585365854,4.600748961987659,0.9225082204045403,5.073170731707317,2.3320282391620792,0.09348440678368802,3.0365853658536586,11.745952260860784,-3.6278164186587794,13.158536585365853,63.70400732889719,-19.786058258728637,64.79268292682927,0.0,11.0,162.0,213.7466378850779,173.0,0.7,270.22200000000004,0.4153846153846154,0.7,281.20799999999997,0.49890109890109896,0.7,281.20799999999997,0.45494505494505494,0.7,279.408,0.3406593406593406,0.7,265.23,0.3322334243638211,0.7,270.22200000000004
2023,87,QB,24,10,0.6030192665062549,0.3,215.30599999999998,0.6010456013430294,0.3,215.30599999999998,0.529996688233915,0.4,244.16200000000003,0.4695871369879191,0.3,197.636,0.11007180938638823,3.98447565567466,-0.011393163290219218,4.425287356321839,125.02305543399738,9.827929129025078,145.1494252873563,929.9062318731666,74.73592348804749,1029.471264367816,5.835586491150395,0.8004217826275393,5.988505747126437,3.272032688410733,0.3034320918596521,3.8160919540229883,13.855576447673046,-0.3675776810698663,16.091954022988507,60.512897047339656,6.699349055007829,77.94252873563218,0.0,2.0,149.0,204.10105933971988,151.0,0.5,255.57999999999998,0.10869565217391304,0.4,215.392,0.10869565217391304,0.4,215.392,0.19565217391304346,0.5,244.16200000000003,0.1652173913043478,0.4,224.24,0.11007180938638823,0.5,255.57999999999998
