season,n,position,n_adp,k,rho_model,top_model,pts_top_model,rho_model_no_bonus,top_model_no_bonus,pts_top_model_no_bonus,rho_b2_prior_points,top_b2_prior_points,pts_top_b2_prior_points,rho_b3_wavg_ppg,top_b3_wavg_ppg,pts_top_b3_wavg_ppg,rho_b1_adp,mae_games,bias_games,mae_naive_games,mae_attempts,bias_attempts,mae_naive_attempts,mae_pass_yards,bias_pass_yards,mae_naive_pass_yards,mae_pass_tds,bias_pass_tds,mae_naive_pass_tds,mae_interceptions,bias_interceptions,mae_naive_interceptions,mae_carries,bias_carries,mae_naive_carries,mae_rush_yards,bias_rush_yards,mae_naive_rush_yards,bonus_actual_rec,bonus_actual_rush,bonus_actual_pass,bonus_pred_total,bonus_actual_total,top_b1_adp,pts_top_b1_adp,adpsub_rho_model,adpsub_top_model,adpsub_pts_top_model,adpsub_rho_model_no_bonus,adpsub_top_model_no_bonus,adpsub_pts_top_model_no_bonus,adpsub_rho_b2_prior_points,adpsub_top_b2_prior_points,adpsub_pts_top_b2_prior_points,adpsub_rho_b3_wavg_ppg,adpsub_top_b3_wavg_ppg,adpsub_pts_top_b3_wavg_ppg,adpsub_rho_b1_adp,adpsub_top_b1_adp,adpsub_pts_top_b1_adp
2014,68,QB,0,10,0.7628522782655619,0.6,276.08599999999996,0.7620094745633651,0.6,276.08599999999996,0.7050464538917739,0.5,295.78000000000003,0.6795215853713177,0.7,307.882,,3.5584902414247885,-0.4356306042684472,3.485294117647059,125.37000085976834,-16.180223760900073,126.22058823529412,922.1958195708099,-149.64173573761224,874.5441176470588,6.081623489655976,-1.3536044620481222,6.117647058823529,3.5077264609596,0.3515473727710501,5.029411764705882,11.660143508882928,-2.7729112586307734,12.323529411764707,56.032378871928984,-15.289995130943218,62.161764705882355,0.0,6.5,201.5,206.2187790994428,208.0,,,,,,,,,,,,,,,,,
2015,72,QB,0,10,0.6939919166432006,0.5,256.964,0.6926040941846187,0.5,256.964,0.6300732470110181,0.5,261.136,0.6249110633864847,0.6,273.872,,3.5156530439385576,-0.22752296820205256,3.6805555555555554,124.59715549346495,-18.312516947443985,123.06944444444444,947.7728515447584,-168.68644546371212,931.6666666666666,6.699387293659815,-1.4386729239490204,7.208333333333333,2.898320342950113,0.489630670570309,3.388888888888889,11.196245531509128,-1.113102284547355,12.5,49.718239132361454,-5.0105848032198175,60.77777777777778,0.0,3.0,230.0,209.58984205136522,233.0,,,,,,,,,,,,,,,,,
2016,76,QB,0,10,0.7184547377062058,0.5,283.38399999999996,0.7179028761698018,0.5,283.38399999999996,0.6199797294200764,0.5,289.784,0.6062206682847894,0.4,287.782,,3.5182766761908697,0.022426959110171854,3.3289473684210527,121.38548687566775,-7.956135550297598,111.46052631578948,859.8406952540478,-71.25021066806347,751.4736842105264,5.391353675927583,-0.19782714663878537,5.552631578947368,3.2115874074171282,1.0339204382109166,3.3552631578947367,10.169008358832098,0.0008125208936557876,10.960526315789474,55.46410841420313,0.014190452555229415,56.31578947368421,0.0,1.0,200.0,226.53135911841167,201.0,,,,,,,,,,,,,,,,,
2017,80,QB,0,10,0.7220187015915133,0.4,225.712,0.7228965503020444,0.4,225.712,0.6951835533340037,0.4,228.82200000000003,0.534682860385072,0.6,242.996,,3.385331577267837,-0.19949061486824848,3.2,103.46769065860335,-6.093914509159634,106.0875,725.3932015976137,-35.45860292171347,769.35,5.1164647520880955,-0.22608786244463736,5.75,2.9698872519658273,0.3703413301285402,3.5625,11.287884914362825,-2.313490158143248,11.9625,58.17926225680485,-16.54224061621179,67.1625,0.0,0.0,164.0,224.76429394625325,164.0,,,,,,,,,,,,,,,,,
2018,72,QB,19,10,0.656964253185553,0.3,265.516,0.6566725643629452,0.3,265.516,0.4794951222715896,0.4,270.064,0.5694547478568106,0.5,280.962,0.39067497183495997,3.580658421207416,-0.23021570523278814,4.458333333333333,116.17272478747155,-6.472693077197331,146.93055555555554,893.5116680331598,-125.4737573615697,1046.9583333333333,6.480392423749013,-1.5479416396455503,6.791666666666667,3.1623341748206446,0.5422933454286682,4.541666666666667,13.880261040258477,-3.25781033773451,18.041666666666668,71.84876055086225,-20.105883256152623,92.08333333333333,0.0,3.0,276.5,204.15538300325602,279.5,0.6,276.822,-0.12105263157894736,0.5,239.83799999999997,-0.12105263157894736,0.5,239.83799999999997,-0.005263157894736842,0.6,256.64,0.09473684210526316,0.6,256.802,0.39067497183495997,0.6,276.822
2019,79,QB,20,10,0.6873307583879593,0.5,263.294,0.6886913929988375,0.5,263.294,0.56404287102651,0.5,229.536,0.5252035917417893,0.5,230.394,0.1572611430889571,3.5269884242503426,0.3512939136631911,3.962025316455696,121.81555956014488,5.941910126690745,137.72151898734177,877.2506022591139,17.861107127628376,940.7594936708861,5.604654714814361,0.005858299608432295,6.405063291139241,3.485870269567794,0.8311402005773277,4.151898734177215,12.273097923544345,0.23119451022422113,14.569620253164556,61.03227419012036,-1.5878676333190598,73.86075949367088,0.0,6.5,228.5,227.21424903007826,235.0,0.5,279.372,0.3157894736842105,0.6,286.13800000000003,0.3203007518796992,0.6,286.13800000000003,0.12180451127819547,0.6,286.13800000000003,0.15939849624060148,0.6,283.36199999999997,0.1572611430889571,0.5,279.372
2020,80,QB,20,10,0.7502202255451413,0.7,303.802,0.749040188698619,0.7,303.802,0.6585007473279235,0.7,311.982,0.6313719531738502,0.6,295.43399999999997,0.41654135338345866,3.5791686563150114,-0.3431694153989886,3.675,111.88626574655363,-3.1084954296996914,126.0625,834.7418577663535,-50.37737514794316,904.275,6.200311924465639,-1.2143109202059907,6.425,3.009209574163357,0.8300059996661826,3.8125,13.202391947570806,-3.6021322186745595,13.7,67.29702020059328,-21.819049723140278,64.775,0.0,4.0,233.0,234.25801749412244,237.0,0.7,319.61199999999997,0.4541353383458646,0.6,313.156,0.47067669172932325,0.7,327.486,0.4917293233082706,0.8,331.832,0.4917293233082706,0.8,326.904,0.41654135338345866,0.7,319.61199999999997
2021,82,QB,24,10,0.7131665823916908,0.5,295.02400000000006,0.7129251100590611,0.5,295.02400000000006,0.5921742871240119,0.5,299.368,0.5577153892573391,0.6,305.73799999999994,0.6192650722605039,3.567904514863439,0.41043035779603176,4.012195121951219,118.47541843862365,23.065846265013885,125.7560975609756,856.4988123820806,165.03059258671442,903.329268292683,6.112483367527815,0.8775691761271084,6.280487804878049,3.2651201731674364,1.0077666817950317,4.073170731707317,12.081935669850907,0.6119801932452033,15.21951219512195,56.5188511591156,0.058047077395169996,78.04878048780488,0.0,4.0,192.5,261.5747521217211,196.5,0.7,326.574,0.32,0.6,285.934,0.3304347826086956,0.6,285.934,0.5668176314366014,0.6,290.278,0.4890876326725683,0.6,288.406,0.6192650722605039,0.7,326.574
2022,82,QB,14,10,0.7354852100033488,0.3,279.216,0.7352665628750998,0.3,279.216,0.7168849582263956,0.5,301.484,0.6061011471986932,0.2,249.17,0.3322334243638211,2.845454181385933,-0.21989938567600067,3.1463414634146343,90.34068302658044,-0.12403171109504112,95.97560975609755,649.7935679157832,11.359620388186736,695.3536585365854,4.599756753198762,0.6628330398125374,5.073170731707317,2.416901718736321,0.4285564183280655,3.0365853658536586,11.996428319066233,-4.237108125835007,13.158536585365853,64.04864628912762,-24.455140486768315,64.79268292682927,0.0,11.0,162.0,223.01533756830773,173.0,0.7,270.22200000000004,0.5032967032967033,0.7,281.20799999999997,0.5032967032967033,0.7,281.20799999999997,0.45494505494505494,0.7,279.408,0.3406593406593406,0.7,265.23,0.3322334243638211,0.7,270.22200000000004
2023,87,QB,24,10,0.6099732082495823,0.3,199.568,0.6079073157422809,0.3,199.568,0.529996688233915,0.4,244.16200000000003,0.4695871369879191,0.3,197.636,0.11007180938638823,4.003167404545861,-0.1331575830745075,4.425287356321839,126.18959436290189,5.211137128520102,145.1494252873563,926.6494319826331,30.84944817850463,1029.471264367816,5.7779045588136135,0.4316419217664314,5.988505747126437,3.3066905496687613,0.5322365618955827,3.8160919540229883,13.785147285419942,-1.4451956952142222,16.091954022988507,57.050010947956494,-0.36053937913987016,77.94252873563218,0.0,2.0,149.0,207.72445716190302,151.0,0.5,255.57999999999998,0.1026086956521739,0.4,215.392,0.11391304347826085,0.5,233.24000000000007,0.19565217391304346,0.5,244.16200000000003,0.1652173913043478,0.4,224.24,0.11007180938638823,0.5,255.57999999999998
