panel,position,season,n,n_rookie,n_zero_game,mean_actual,k,rho_v1,top_v1,pts_top_v1,rho_b3_prior_points,top_b3_prior_points,pts_top_b3_prior_points,rho_b4_tier_heuristic,top_b4_tier_heuristic,pts_top_b4_tier_heuristic,rho_b3w_wavg_ppg,top_b3w_wavg_ppg,pts_top_b3w_wavg_ppg,rho_b1_market_adp,rho_b2_expert_ecr,top_b2_expert_ecr,pts_top_b2_expert_ecr,n_market_depth,top_b1_market_adp,pts_top_b1_market_adp
E,QB,2021,24,3,0,261.2716666666667,10,0.5043478260869565,0.5,313.31399999999996,0.6475198274807965,0.6,330.302,0.5708220828818875,0.5,315.76599999999996,0.6405572486906804,0.6,328.43,,0.7252173913043477,0.6,332.77400000000006,24,,
E,QB,2022,14,0,0,264.0114285714286,10,0.43736263736263736,0.7,279.216,0.5120879120879122,0.8,301.48400000000004,0.5514066001990874,0.8,301.484,0.3494505494505495,0.7,270.91999999999996,,0.5120879120879122,0.8,303.20400000000006,14,,
E,QB,2023,24,2,0,227.39750000000004,10,0.11826086956521738,0.4,215.392,0.21743857874315448,0.5,244.16200000000003,0.16404986492429588,0.5,244.95999999999998,0.24179169956238777,0.5,243.276,,0.268695652173913,0.6,271.408,24,,
E,QB,2024,23,2,0,264.6782608695652,10,0.32608695652173914,0.6,277.508,0.19980227380237892,0.5,279.772,0.18425877557281964,0.5,281.332,0.20953793572721957,0.6,272.25999999999993,,0.31225296442687744,0.6,285.224,23,,
E,RB,2021,64,5,3,126.57593750000001,20,0.5602820647844478,0.65,178.983,0.36002796556522176,0.6,160.853,0.28252402281275,0.6,165.283,0.3513785897565941,0.65,185.34799999999998,,0.60790329291258,0.65,184.728,64,,
E,RB,2022,43,5,0,161.413488372093,20,0.39066747206282093,0.65,185.58799999999997,0.30514524119833286,0.65,187.24099999999999,0.18384754181533874,0.55,177.05299999999997,0.43524268130657023,0.7,195.82899999999998,,0.5385080036242826,0.75,200.42899999999997,43,,
E,RB,2023,58,7,0,139.96965517241378,20,0.4065643360300225,0.55,178.903,0.21363595607306007,0.45,161.81099999999998,0.22992788039478151,0.4,163.878,0.22324172322896074,0.5,173.20799999999997,,0.40717955027838443,0.5,179.203,58,,
E,RB,2024,53,6,0,149.71169811320755,20,0.5477049611046916,0.65,212.96999999999997,0.5325184823905424,0.65,207.75100000000003,0.4357024246118824,0.55,190.74,0.5423224062651466,0.65,205.27099999999996,,0.6305964885269402,0.7,224.85,53,,
E,WR,2021,64,4,1,143.4646875,30,0.40526556776556777,0.6666666666666666,172.91466666666668,0.2864142714670729,0.6,162.44333333333333,0.27273852687870753,0.6333333333333333,163.67999999999998,0.2628506027528136,0.7,172.19133333333335,,0.43484432234432235,0.6333333333333333,176.08333333333337,64,,
E,WR,2022,43,1,0,168.39441860465115,30,0.6610035116275111,0.8,192.13533333333334,0.4417428075209545,0.8,190.642,0.39732013533692634,0.7666666666666667,187.5786666666667,0.4836334809200604,0.7,179.64199999999997,,0.37905387575623783,0.7,176.56200000000004,43,,
E,WR,2023,67,4,0,146.18805970149253,30,0.5856870629138858,0.7,188.90199999999996,0.5523884022251455,0.7,185.17866666666666,0.5317231482129683,0.7,188.10533333333336,0.6644515647270479,0.8,198.838,,0.6861549820257493,0.7333333333333333,191.52533333333335,67,,
E,WR,2024,61,7,0,151.02590163934426,30,0.48311056469801983,0.7,176.506,0.19923002185933628,0.6,165.37933333333336,0.21669756655088007,0.6,165.30000000000004,0.20078594416668924,0.5666666666666667,163.8793333333333,,0.4339295866268515,0.6666666666666666,174.08266666666665,61,,
E,TE,2021,19,1,1,116.4842105263158,10,0.3736842105263158,0.6,140.07000000000002,0.03684210526315789,0.5,123.83000000000001,-0.22832752494304434,0.4,107.95000000000002,0.5473684210526315,0.7,148.62,,0.4070175438596491,0.6,136.33,19,,
E,TE,2022,12,0,0,131.31666666666666,10,0.34965034965034975,0.8,137.2,0.2027972027972028,0.9,138.27,0.08127665166512524,0.9,132.91000000000003,0.1258741258741259,0.8,134.18,0.2027972027972028,0.2517482517482518,0.8,134.18,12,0.8,134.18
E,TE,2023,19,2,0,118.84736842105265,10,0.36315789473684207,0.7,133.54000000000002,0.3264590046613884,0.7,133.1,0.33465696527799554,0.7,130.25,0.32996931653946787,0.6,127.25999999999999,,0.3298245614035088,0.6,133.91,19,,
E,TE,2024,17,1,0,117.25294117647059,10,0.1827100282107071,0.7,122.78,0.07970571700467087,0.6,120.79000000000003,-0.03450432585492769,0.6,119.5,0.139791565208192,0.6,118.21,,0.445125773426085,0.7,130.01000000000002,17,,
