panel,position,season,n,n_rookie,n_zero_game,mean_actual,k,rho_v1,top_v1,pts_top_v1,rho_b3_prior_points,top_b3_prior_points,pts_top_b3_prior_points,rho_b4_tier_heuristic,top_b4_tier_heuristic,pts_top_b4_tier_heuristic,rho_b3w_wavg_ppg,top_b3w_wavg_ppg,pts_top_b3w_wavg_ppg,rho_b1_market_adp,top_b1_market_adp,pts_top_b1_market_adp,rho_b2_expert_ecr,top_b2_expert_ecr,pts_top_b2_expert_ecr
M,QB,2018,19,0,0,251.1736842105263,10,-0.08421052631578947,0.5,239.67399999999998,-0.005263157894736842,0.6,256.64,-0.016905627485363773,0.6,270.24,0.09473684210526316,0.6,256.802,0.3736842105263158,0.6,276.822,,,
M,QB,2019,20,1,0,278.83500000000004,10,0.3954887218045112,0.7,294.684,0.12180451127819547,0.6,286.13800000000003,0.12611561157959333,0.6,290.342,0.15939849624060148,0.6,283.36199999999997,0.14736842105263157,0.5,279.372,,,
M,QB,2020,20,1,0,285.336,10,0.4090225563909774,0.7,327.486,0.4917293233082706,0.8,331.832,0.4347676411810084,0.7,327.486,0.4917293233082706,0.8,326.904,0.41654135338345866,0.7,319.61199999999997,,,
M,QB,2021,24,5,1,248.61249999999998,10,0.25652173913043474,0.5,273.29,0.5668176314366014,0.6,290.278,0.49959290250619653,0.6,282.47,0.4890876326725683,0.6,288.406,0.6234782608695651,0.7,326.574,0.7608695652173912,0.7,324.31600000000003
M,QB,2022,14,0,0,255.16857142857143,10,0.4153846153846154,0.7,281.20799999999997,0.45494505494505494,0.7,279.408,0.34078766698516405,0.8,281.682,0.3406593406593406,0.7,265.23,0.3186813186813187,0.7,270.22200000000004,0.3274725274725274,0.6,250.85200000000003
M,QB,2023,24,1,0,226.93833333333336,10,0.10869565217391304,0.4,215.392,0.19565217391304346,0.5,244.16200000000003,0.15572602420650525,0.5,244.96000000000004,0.1652173913043478,0.4,224.24,0.11652173913043477,0.5,255.57999999999998,0.28521739130434776,0.6,271.408
M,QB,2024,23,2,0,253.59739130434778,10,0.35177865612648224,0.7,277.508,0.24530180149995037,0.6,279.772,0.1766767002917447,0.6,272.404,0.32616754146218147,0.6,272.25999999999993,0.3142292490118577,0.6,275.074,0.5049407114624506,0.6,285.224
M,RB,2018,38,9,1,149.07894736842107,20,0.5218295218295218,0.6,183.025,0.3593148590644575,0.6,171.85500000000002,0.3285398647523147,0.6,173.35999999999999,0.4160240645131881,0.65,180.85,0.5474340737498632,0.65,186.683,,,
M,RB,2019,45,10,0,151.37155555555555,20,0.5408432147562582,0.65,186.476,0.5475925573560981,0.65,198.74600000000004,0.4943412662024651,0.55,186.966,0.5335244984419569,0.65,195.82099999999997,0.7595520421607377,0.75,213.87600000000003,,,
M,RB,2020,56,11,1,121.71249999999999,20,0.4680792891319207,0.6,169.5,0.2706698851843164,0.55,164.8,0.24364514682427638,0.45,154.395,0.2832267164018069,0.6,170.23999999999998,0.5682159945317841,0.65,180.615,,,
M,RB,2021,64,5,3,127.1009375,20,0.6261275706000768,0.65,178.983,0.43294394851006457,0.6,168.733,0.3741163066327846,0.65,177.243,0.43451177140643943,0.7,192.088,0.7114794640912676,0.7,199.96800000000002,0.6656440320179403,0.7,198.333
M,RB,2022,43,6,0,157.19255813953487,20,0.4103900029352893,0.8,195.05900000000003,0.2960166826611361,0.7,179.19099999999997,0.2265903834145426,0.65,172.58300000000003,0.42870139753194947,0.7,183.814,0.4140144224644326,0.7,182.434,0.506739155418349,0.75,188.27899999999997
M,RB,2023,58,6,0,139.60103448275862,20,0.4223753422129257,0.55,181.07799999999997,0.20756520374624912,0.5,162.091,0.23067951274159895,0.4,160.323,0.20623858461306183,0.5,166.91299999999998,0.2439016887631118,0.55,162.21999999999997,0.4557814758989818,0.5,179.203
M,RB,2024,53,7,0,153.46452830188682,20,0.4234483037528581,0.6,212.96999999999997,0.48430939402062645,0.6,207.75100000000003,0.384281518121217,0.5,190.73999999999998,0.49209935260434023,0.6,205.27099999999996,0.4771504022579335,0.7,219.78100000000003,0.5678634064894797,0.7,224.85
M,WR,2018,46,6,0,157.5908695652174,30,0.6368990721212464,0.7,177.52933333333334,0.5873930505879397,0.7,173.56066666666666,0.5156683998433683,0.7,173.75066666666663,0.6152994683791683,0.7333333333333333,176.18866666666665,0.627154707504692,0.7333333333333333,178.05266666666665,,,
M,WR,2019,53,4,1,143.6437735849057,30,0.5470891791646507,0.7,173.102,0.4656639475268808,0.6666666666666666,163.44466666666662,0.4639137108016476,0.7,170.66266666666667,0.45050204552912304,0.7333333333333333,169.398,0.5377358490566038,0.7333333333333333,170.76866666666666,,,
M,WR,2020,57,7,0,151.44982456140352,30,0.3806715063520872,0.7,174.24066666666667,0.21412364928083502,0.6666666666666666,171.874,0.12953898347525672,0.6333333333333333,164.70800000000003,0.41014678913033376,0.7333333333333333,176.51400000000007,0.4065335753176044,0.6666666666666666,177.774,,,
M,WR,2021,64,6,1,142.4146875,30,0.41202394718756186,0.6666666666666666,167.49800000000002,0.3123346906402041,0.6333333333333333,168.47666666666666,0.27122865134477564,0.6,161.94666666666666,0.28867209370538155,0.7,172.19133333333335,0.5212742820199809,0.7,175.352,0.4602616788497385,0.6666666666666666,176.08333333333337
M,WR,2022,43,4,0,163.72930232558141,30,0.7333408847299963,0.8,190.49866666666668,0.5797409586929249,0.8333333333333334,192.03200000000004,0.5620504569745826,0.8333333333333334,190.20533333333333,0.5385806860229227,0.8,187.30200000000002,0.49156189864006145,0.7666666666666667,184.152,0.4880129878511086,0.7333333333333333,174.63200000000003
M,WR,2023,67,6,0,141.71492537313432,30,0.6207261226875567,0.7,188.68533333333332,0.597234225811091,0.7,183.5886666666667,0.5408089081671984,0.7,185.39866666666666,0.6899876639818693,0.8,202.40466666666666,0.582793746474716,0.6,181.3106666666667,0.745019006132998,0.7333333333333333,194.26066666666668
M,WR,2024,61,7,0,150.54000000000002,30,0.4287999577312565,0.7,175.17933333333337,0.2310105048256084,0.6,165.3793333333333,0.23591032904929182,0.5666666666666667,162.3,0.2519614866045354,0.5666666666666667,163.8793333333333,0.37417205413177596,0.6,167.27933333333334,0.46674334672702356,0.6333333333333333,170.41266666666667
M,TE,2018,12,1,0,130.14166666666668,10,0.4125874125874127,1.0,147.52,0.5454545454545455,1.0,147.52,0.3321741415879032,1.0,147.52,0.5874125874125874,1.0,147.52,0.6363636363636365,1.0,147.52,,,
M,TE,2019,11,1,0,121.52727272727272,10,0.5818181818181819,0.9,121.31000000000002,0.5284751751907181,0.9,127.10999999999999,0.6123902784555394,0.9,127.11000000000001,0.6090909090909091,0.9,127.11000000000001,0.5818181818181819,0.9,125.51000000000002,,,
M,TE,2020,16,0,0,123.80375000000001,10,0.36470588235294116,0.7,138.566,0.3235294117647059,0.6,137.21599999999998,0.4642605302535877,0.6,137.656,0.15,0.6,134.88600000000002,0.08529411764705883,0.7,137.946,,,
M,TE,2021,19,2,0,120.55263157894734,10,0.37543859649122807,0.6,140.07000000000002,-0.12988153948893946,0.5,123.08999999999999,-0.3766697510058722,0.4,123.42,0.49144366293112235,0.7,148.32,0.3543859649122807,0.7,145.14000000000001,0.3368421052631579,0.6,136.33
M,TE,2022,12,0,0,131.31666666666666,10,0.34965034965034975,0.8,137.2,0.2027972027972028,0.9,138.27,0.08127665166512524,0.9,132.91000000000003,0.1258741258741259,0.8,134.18,0.2027972027972028,0.8,134.18,0.2517482517482518,0.8,134.18
M,TE,2023,19,2,0,115.10000000000001,10,0.31228070175438594,0.7,129.26000000000002,0.37911368283258007,0.7,133.1,0.35875256312787684,0.7,126.67999999999999,0.2580079230388392,0.6,127.25999999999999,0.2614035087719298,0.5,120.94000000000001,0.4385964912280701,0.6,133.91
M,TE,2024,17,1,0,117.65294117647059,10,0.32863280241925835,0.7,133.95999999999998,0.08951565140524574,0.5,118.97999999999999,-0.024661212415141336,0.6,120.58,0.14224404880833572,0.5,116.4,0.6781117154397384,0.8,146.11,0.445125773426085,0.7,130.01000000000002
