panel,position,baseline,delta,lo,hi,n
M,QB,b3_prior_points,-0.02246138792627218,-0.14395276627184458,0.09401976968240626,7
M,QB,b4_tier_heuristic,0.02814238624823223,-0.08583558329146897,0.13452301433602942,7
M,QB,b3w_wavg_ppg,-0.021891277821442755,-0.12629079546805394,0.08423724904057793,7
M,RB,b3_prior_points,0.11459756608282692,0.03762667732375347,0.18085188712966827,7
M,RB,b4_tier_heuristic,0.1597716420619339,0.10690259854279943,0.20741571623751506,7
M,RB,b3w_wavg_ppg,0.0866098725157134,0.007285648621304783,0.16160088265822645,7
M,WR,b3_prior_points,0.10387462034621713,0.05820699042271728,0.15580299197513484,7
M,WR,b4_tier_heuristic,0.14221484716184035,0.09735338408600731,0.1978543742325544,7
M,WR,b3w_wavg_ppg,0.06706759091938137,0.007496632080406816,0.12770110627647263,7
M,TE,b3_prior_points,0.0843279627154744,-0.04984809924727126,0.24779993704520817,7
M,TE,b4_tier_heuristic,0.15453952389933723,-0.04714272053062093,0.38548445002414583,7
M,TE,b3w_wavg_ppg,0.023603801686922832,-0.07047140575139216,0.11265271755221264,7
E,QB,b3_prior_points,0.08181605581537392,-0.013241536909419094,0.1846794677876144,4
E,QB,b4_tier_heuristic,0.09254284854650333,-0.012214276174853211,0.20857802423818794,4
E,QB,b3w_wavg_ppg,0.09024627421404831,0.028188744812214325,0.16093466642413393,4
E,RB,b3_prior_points,0.13718900183291044,0.08109703881034545,0.1811345889867631,4
E,RB,b4_tier_heuristic,0.1705305558773803,0.10759661289870823,0.23167207547529972,4
E,RB,b3w_wavg_ppg,0.15283307704466487,0.11769122606881788,0.19036548190564595,4
E,WR,b3_prior_points,0.1346306238198453,0.10413848847279594,0.1605655778798017,4
E,WR,b4_tier_heuristic,0.16977125233862678,0.12425774748791032,0.20466915620375187,4
E,WR,b3w_wavg_ppg,0.1550455553651956,0.14539486895022224,0.16469624178016895,4
E,TE,b3_prior_points,0.13673263945656586,0.08966427962296528,0.17399704065168675,4
E,TE,b4_tier_heuristic,0.14694650516817398,0.09401640752302667,0.1854121256956537,4
E,TE,b3w_wavg_ppg,0.13160211790801205,0.0776203792947171,0.185583856521307,4
