arm,position,season,n_board_vet,n_vet,n_rookie,rho_games,rho_games_naive,mae_games,mae_games_naive,rho_points,n_returning,rho_points_fullvet,mae_games_returning,bias_games_returning
G1a,QB,2018,19,65,7,0.27546283960030116,0.3043559099555122,3.9889742913478923,3.263157894736842,-0.08596491228070174,1,0.6285313444151195,,
G1a,QB,2019,19,72,7,-0.11057179051503056,-0.2466679355379114,3.601599597244772,2.3157894736842106,0.23508771929824557,1,0.6818421965328262,,
G1a,QB,2020,19,73,7,0.09003008596783849,0.17682985932324005,3.7674943466133293,2.4210526315789473,0.3403508771929824,1,0.7617654427523581,,
G1a,QB,2021,19,73,9,-0.22092532971954673,0.176192207539082,3.7269536956461295,3.3157894736842106,0.1719298245614035,2,0.7320332749778806,,
G1a,QB,2022,14,77,5,0.479323851520188,0.4901588640735833,2.489801375424423,2.0,0.44175824175824174,0,0.7673970854418918,,
G1a,QB,2023,23,79,8,-0.10517497012558502,-0.13300871348026652,4.857436285092794,4.304347826086956,0.0958498023715415,1,0.5911429988919421,,
G1a,QB,2024,21,85,6,-0.0013397857974322253,-0.10011287535506062,4.747794702611914,4.095238095238095,0.45584415584415583,2,0.7286992296880889,,
G1a,RB,2018,29,120,15,0.4021406817831177,0.3901764462173226,3.703747121215895,3.1724137931034484,0.48472906403940874,3,0.6242566519390461,,
G1a,RB,2019,35,118,12,0.18202432293284845,0.16313254471722421,3.921626794105502,2.7714285714285714,0.43333333333333335,1,0.683352983111111,,
G1a,RB,2020,45,119,14,-0.08427563594792106,-0.13601093344597937,4.481601415790542,4.911111111111111,0.42766798418972335,2,0.6603270762321268,,
G1a,RB,2021,59,118,8,0.3074800090561772,0.1653207878492608,4.058830421815489,4.135593220338983,0.6460927008522802,9,0.59624104612242,5.451909004083621,-0.9110554735192475
G1a,RB,2022,37,123,14,0.06564389518395791,0.04989083148722865,4.75862337726216,4.135135135135135,0.3440018966334755,3,0.7058028119534863,,
G1a,RB,2023,52,128,8,0.34975988758386134,0.10587192388351925,4.240246680480402,3.3846153846153846,0.3655767096388628,3,0.7316123579044377,,
G1a,RB,2024,46,112,10,0.2684582251733235,0.16308693195846166,3.932310157312662,2.9347826086956523,0.4309106049105402,2,0.7967109554751678,,
G1a,TE,2018,11,89,10,0.009940534656094301,0.29488391230979427,3.19079356161153,1.9090909090909092,0.3454545454545455,0,0.6092936798691272,,
G1a,TE,2019,10,90,10,-0.07951404970357048,0.6580731751816338,4.061742063895974,3.8,0.5636363636363636,1,0.5520895432863842,,
G1a,TE,2020,16,85,9,-0.14234705907310646,0.2993153281298762,3.7599212293713653,2.9375,0.3382352941176471,1,0.6347972068781261,,
G1a,TE,2021,17,90,7,0.21782349775816884,-0.32951911531097566,3.8128429022628323,3.3529411764705883,0.3137254901960785,0,0.6846101399481955,,
G1a,TE,2022,12,89,10,0.26352949281954124,0.02666710205147884,2.5786885284108476,2.6666666666666665,0.3636363636363637,0,0.7871853321167274,,
G1a,TE,2023,17,89,9,0.15215612508542672,0.31727899276972493,3.5874251127614167,2.7058823529411766,0.5980392156862745,0,0.7658530005724212,,
G1a,TE,2024,16,86,9,0.040181418852226085,-0.04185930138142383,3.1716791488351563,3.25,0.2678440754558934,0,0.7341584063920467,,
G1a,WR,2018,40,186,15,0.23921416726944397,0.06282055443849965,3.6170963837857193,3.675,0.6698250394347568,4,0.7371512693841504,,
G1a,WR,2019,49,185,16,0.13300240923172016,0.15919409441031382,3.45152762168597,2.693877551020408,0.5155102040816326,1,0.735920245308686,,
G1a,WR,2020,50,190,18,0.26440506057106516,0.11182026680320839,3.544769362067685,3.06,0.4519087635054021,2,0.7571094830832776,,
G1a,WR,2021,58,197,20,0.08108346220396474,0.06748303011337824,4.0932907339265405,3.7413793103448274,0.4324099851319711,2,0.7176392721087326,,
G1a,WR,2022,39,193,20,0.46216664624436965,0.40455774161376623,3.5539496925455367,2.282051282051282,0.733539147657379,2,0.7296020502161434,,
G1a,WR,2023,61,188,18,0.16987025683670381,0.27433575555154627,4.236393273978467,3.1475409836065573,0.5767659541217179,3,0.783692722225159,,
G1a,WR,2024,54,190,20,0.2087643344879462,0.10721398960042083,3.505307514666031,2.9074074074074074,0.45360117410895123,0,0.7992296969755415,,
