contrast,label,position,delta,lo,hi,n,p,bh_reject_campaign,verdict
C-A,games ordering: G1 - naive,QB,-0.028803855187353695,-0.156298790530438,0.07514347479116978,7,0.69,False,NULL
C-A,games ordering: G1 - naive,RB,0.06264992238605642,0.0033732354850303575,0.12224185233767537,7,0.04,False,WIN
C-A,games ordering: G1 - naive,WR,0.04760527503255415,-0.022736912854898098,0.11477886861935303,7,0.1865,False,NULL
C-A,games ordering: G1 - naive,TE,-0.07671256106271093,-0.3328922791432887,0.15984301424680394,7,0.5495,False,NULL
C-B,absolute quality: G1 - G0,QB,-0.0030300417681914916,-0.049639082721789476,0.03973070625571441,7,0.903,False,NULL
C-B,absolute quality: G1 - G0,RB,-0.013967288345786375,-0.03469803126240651,0.005373865100006481,7,0.1675,False,NULL
C-B,absolute quality: G1 - G0,WR,-0.013436380704001065,-0.023409814720490103,-0.004488052381476332,7,0.00025,True,HARM
C-B,absolute quality: G1 - G0,TE,-0.01218783796137106,-0.05534782683775341,0.036061461758516926,7,0.615,False,NULL
C-A',games ordering: G1a - naive,QB,-0.03727748794106368,-0.16846553332627012,0.06337594244486278,7,0.592,False,NULL
C-A',games ordering: G1a - naive,RB,0.0842518361569039,0.03207079661698314,0.14941101036098095,7,0.00025,True,WIN
C-A',games ordering: G1a - naive,WR,0.05301155775915433,-0.018825335577166705,0.11968035139422131,7,0.144,False,NULL
C-A',games ordering: G1a - naive,TE,-0.1090100190507612,-0.4049684396886202,0.17664164886172315,7,0.452,False,NULL
C-B',absolute quality: G1a - G0,QB,-0.00856002448025986,-0.053293823970515734,0.027520279382816214,7,0.729,False,NULL
C-B',absolute quality: G1a - G0,RB,0.0076891219070537075,-0.006604563883286381,0.021548588439478607,7,0.2935,False,NULL
C-B',absolute quality: G1a - G0,WR,-0.012542655625727357,-0.022233268837668154,-0.0035977807646946198,7,0.0005,True,HARM
C-B',absolute quality: G1a - G0,TE,0.002016327325820177,-0.02809649071279915,0.040074176339452094,7,0.9585,False,NULL
C-C,absolute quality: G2a - G1a,QB,0.018579785693221447,0.0014049805484915281,0.0327679730098821,7,0.036,False,WIN
C-C,absolute quality: G2a - G1a,RB,0.07201663311437176,0.03315902889204709,0.11158071120003722,7,0.00025,True,WIN
C-C,absolute quality: G2a - G1a,WR,0.04784297111619596,0.012794604803844107,0.08361790822416533,7,0.004,True,WIN
C-C,absolute quality: G2a - G1a,TE,0.04859392414041052,-0.058779492566257356,0.16560998342591324,7,0.4395,False,NULL
