player_id,season,entry,position,proj_games,proj_cpg,proj_tpg,proj_carries,proj_rush_yards,proj_rush_tds,proj_targets,proj_receptions,proj_rec_yards,proj_rec_tds,proj_fumbles_lost,proj_ypc,proj_catch_rate,proj_ypr,p_rush_100,p_rush_150,p_rush_200,p_rec_100,p_rec_150,p_rec_200,proj_bonus_points,proj_points_base,proj_points,entry_act,name,position_act,games,points,targets,receptions,rec_yards,rec_tds,carries,rush_yards,rush_tds,attempts,completions,pass_yards,pass_tds,interceptions,sacks,fumbles_lost,rec_bonus,rush_bonus,pass_bonus,total_bonus,g100,g150,g200,r100,r150,r200,p300,p350,p400,season_len,pts_1,ppg_w,gshare_w,gshare_1,age,evidence,present_1,gshare_max3,inj_missed_share_1,unexp_missed_share_1,inj_out_wks_1,missed_wks_1,games_1,tgt_1,rec_1,recyds_1,rectd_1,carries_1,rushyds_1,rushtd_1,att_1,passyds_1,passtd_1,ints_1,average_pick,n_train_seasons
00-0022178,2014,veteran,RB,5.715006495477823,9.206568863297848,2.0247798632147287,52.61560085481108,201.3788086772805,1.381408942612915,11.571630070184872,8.57347728007262,68.29354688788736,0.22369035021823871,0.6879233125881427,3.8273592889867523,0.740904887908817,7.96567654604071,0.03290482619534303,0.0010325626085900526,0.00030386414452403894,9.098893703046718e-05,6.104962134859516e-09,1.3669614653546027e-11,0.20089617443820618,39.508723328363736,39.70961950280194,veteran,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,53.699999999999996,8.240707964601768,0.7206858407079646,0.6875,32.86242299794661,0.70625,1.0,0.9375,0.0625,0.25,1.0,5.0,11.0,11.0,8.0,20.0,0.0,138.0,377.0,2.0,0.0,0.0,0.0,0.0,,2
00-0022736,2014,veteran,RB,8.014228235009401,11.537570050739008,3.841557732067365,92.4647196640314,358.47802535947005,2.492961740920345,30.787120442752958,22.2205226841124,177.23408788496303,0.572295669963654,0.3816663297160825,3.8769168031006025,0.7217473529370927,7.976143964051971,0.06393995798843086,0.003237943907701463,0.0009289693085941083,0.001849591716007922,5.0154592019756e-06,1.3669178873880518e-11,0.5811271359385863,82.30968447237134,82.89081160830993,veteran,Steven Jackson,RB,15.0,132.5,27.0,20.0,148.0,0.0,190.0,707.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16,131.9,11.638827838827838,0.8688186813186813,0.75,31.1129363449692,0.853125,1.0,1.0,0.25,0.0,4.0,4.0,12.0,49.0,33.0,191.0,1.0,157.0,543.0,6.0,0.0,0.0,0.0,0.0,,2
00-0022821,2014,veteran,RB,0.018564007189489473,12.188126094720753,2.7288145943944735,0.2262604604488003,0.8966378194998587,0.006353713957458969,0.05065773374912281,0.036784573132149986,0.2894236434366734,0.0011324865744280358,0.0014444536647555007,3.962856867352463,0.7261393356900209,7.86807128077599,0.07881128823725463,0.004680394193660814,0.0013325466006900279,0.00033002929412814195,1.0764273557259084e-07,1.366942831155644e-11,0.0016489881021087786,0.17902672872153924,0.18067571682364802,veteran,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,11.779166666666669,1.0,0.0,32.54757015742642,0.44999999999999996,0.0,1.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2
00-0022984,2014,veteran,RB,0.0,5.732492225676806,1.6854268114572062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.045568227434276,0.7420244283002084,7.754007962173514,7.27347742135508e-07,2.1942448442320727e-11,9.78471240346656e-12,1.491172159098775e-10,9.357622968839299e-14,1.3671541091120907e-11,0.0,0.0,0.0,veteran,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,6.4959999999999996,0.6875,0.0,31.72895277207392,0.234375,0.0,0.9375,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2
00-0023437,2014,veteran,RB,7.70051439924476,1.6918199194690149,1.8850656030352042,13.02788365080026,52.00881449870755,0.3481920851228357,14.515974819693596,11.110724436843228,87.60167350616878,0.247583581545123,0.3624351698096839,3.9921153652237926,0.7654135926007175,7.884424998938963,0.000335691454093706,5.234926577638921e-07,1.84083432473045e-07,7.188193404159468e-05,3.6116312858249502e-09,1.3669648740401392e-11,0.003147448490107949,22.36619467929763,22.36934212778774,veteran,Ronnie Brown,RB,8.0,13.2,8.0,5.0,44.0,0.0,20.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,31.7,3.2253571428571424,0.875,0.875,32.720054757015745,0.8750000000000001,1.0,0.875,0.0,0.125,0.0,2.0,14.0,8.0,8.0,60.0,0.0,45.0,157.0,1.0,0.0,0.0,0.0,0.0,,2
00-0023439,2014,veteran,RB,0.0,12.291948364850565,2.7381969678260054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.954325265190243,0.7497734258025557,7.902636798643906,7.27347742135508e-07,2.1942448442320727e-11,9.78471240346656e-12,1.491172159098775e-10,9.357622968839299e-14,1.3671541091120907e-11,0.0,0.0,0.0,veteran,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,10.096,0.6875,0.0,31.67693360711841,0.234375,0.0,0.9375,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2
00-0023500,2014,veteran,RB,9.877860257484397,13.93263520323222,2.0869946675808264,137.62462355603557,566.7106420632755,3.800073666651904,20.615041684478506,14.813514886865612,115.86110297429667,0.38612341853810195,1.0397745863652021,4.117799761555985,0.718577973966408,7.821310732743436,0.12426230126293542,0.01068251699906553,0.0029954995017677016,8.321427602957084e-05,5.003730073371628e-09,1.366962757018822e-11,1.4457265666801309,98.70156528559966,100.14729185227979,veteran,Frank Gore,RB,16.0,158.7,19.0,11.0,111.0,1.0,255.0,1106.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.5,0.0,5.5,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,16,187.4,12.344375,1.0,1.0,31.301848049281315,1.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,26.0,16.0,141.0,0.0,276.0,1128.0,9.0,0.0,0.0,0.0,0.0,,2
00-0023545,2014,veteran,RB,2.8032293373842556,5.5718069904938,1.532432454492066,15.6190528179949,62.28645931780994,0.44213496778467626,4.2957596139919225,3.0753248894626966,24.183657291252423,0.09484401611326855,0.2183679392490815,3.9878512508805244,0.7158978075602531,7.863773149339567,0.00889076681182187,0.0001156216123345737,3.5804444681912134e-05,1.9463054684800626e-05,1.968397273742456e-10,1.366983767041525e-11,0.025664325652028724,12.96981213052709,12.99547645617912,veteran,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,49.1,7.095419847328245,0.5491412213740458,0.4375,32.15605749486653,0.40937500000000004,1.0,0.875,0.25,0.3125,4.0,9.0,7.0,7.0,2.0,13.0,0.0,58.0,238.0,4.0,0.0,0.0,0.0,0.0,,2
00-0023564,2014,veteran,RB,9.064326404604614,6.851558376944626,6.143325415931465,62.104761508829114,262.2260997994236,1.689924459328723,55.6851067797062,42.15018773544656,322.9999607825321,1.9166268040202934,0.6802638811674429,4.22231876314579,0.7569382582347441,7.663072886171337,0.018826778555790482,0.00040315029699919153,0.00012124599685858561,0.019925879141056764,0.0010385246528555917,1.3668832525013342e-11,0.3730664837117286,99.87647974367808,100.2495462273898,veteran,Darren Sproles,RB,15.0,140.1,62.0,40.0,387.0,0.0,57.0,329.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,0.0,0.0,2.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,138.9,11.390721649484535,0.9143041237113402,0.9375,31.200547570157426,0.909375,1.0,1.0,0.0,0.0625,0.0,1.0,15.0,89.0,71.0,604.0,2.0,53.0,220.0,2.0,0.0,0.0,0.0,0.0,,2
00-0024103,2014,veteran,RB,0.67047186749814,2.0887056611324555,1.4475002185509387,1.4004183852734147,5.725687455620849,0.0378654304877523,0.9705081747358137,0.7214897337673981,5.633606128484221,0.020653015058210683,0.041744588975156996,4.088554903185578,0.743414380784374,7.808297006621643,0.0006243616499982013,1.4518078031859433e-06,4.98395606162369e-07,1.7213920738136344e-05,1.4974400518100345e-10,1.3669855427845916e-11,0.00043228695488120735,1.7642957206196699,1.764728007574551,veteran,Montell Owens,RB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,3.339285714285715,0.5848214285714286,0.0,30.327173169062284,0.26249999999999996,0.0,0.625,0.0625,0.9375,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2
