season,n,position,n_adp,k,rho_model,top_model,pts_top_model,rho_model_no_bonus,top_model_no_bonus,pts_top_model_no_bonus,rho_b2_prior_points,top_b2_prior_points,pts_top_b2_prior_points,rho_b3_wavg_ppg,top_b3_wavg_ppg,pts_top_b3_wavg_ppg,rho_b1_adp,mae_games,bias_games,mae_naive_games,mae_carries,bias_carries,mae_naive_carries,mae_rush_yards,bias_rush_yards,mae_naive_rush_yards,mae_rush_tds,bias_rush_tds,mae_naive_rush_tds,mae_targets,bias_targets,mae_naive_targets,mae_receptions,bias_receptions,mae_naive_receptions,mae_rec_yards,bias_rec_yards,mae_naive_rec_yards,bonus_actual_rec,bonus_actual_rush,bonus_actual_pass,bonus_pred_total,bonus_actual_total,top_b1_adp,pts_top_b1_adp,adpsub_rho_model,adpsub_top_model,adpsub_pts_top_model,adpsub_rho_model_no_bonus,adpsub_top_model_no_bonus,adpsub_pts_top_model_no_bonus,adpsub_rho_b2_prior_points,adpsub_top_b2_prior_points,adpsub_pts_top_b2_prior_points,adpsub_rho_b3_wavg_ppg,adpsub_top_b3_wavg_ppg,adpsub_pts_top_b3_wavg_ppg,adpsub_rho_b1_adp,adpsub_top_b1_adp,adpsub_pts_top_b1_adp
2014,130,RB,0,20,0.6461400451607474,0.5,161.045,0.6463914948509599,0.5,161.04500000000002,0.5172720854854694,0.6,162.155,0.3306987327570631,0.6,161.8,,4.413580016203427,0.17383663085993845,5.053846153846154,49.31948690743242,-6.451578799975181,59.15384615384615,212.4365682749624,-30.96984611276362,251.2153846153846,1.7268627399190064,-0.14127635147329645,1.9692307692307693,14.563921348579848,-1.2311384982717866,16.223076923076924,10.790690503824266,-0.7545976691489078,12.338461538461539,89.86723746576307,-7.596136776642688,99.23076923076923,8.0,113.0,0.0,76.00544213669701,121.0,,,,,,,,,,,,,,,,,
2015,125,RB,0,20,0.6276273705779928,0.4,134.79000000000002,0.626350561569507,0.4,134.79000000000002,0.4483228902732953,0.4,123.79499999999999,0.308934530950592,0.4,120.49499999999998,,4.090702258258503,-0.16082393767671835,4.928,50.400392228211295,-3.1015994885124383,65.768,216.943587413812,-10.397585694259428,284.808,1.7975745941272963,0.1731101039732668,2.264,14.326933524554498,-1.4854631295822083,18.712,10.791308102976789,-1.182558819136558,14.16,95.85902533018344,-14.176240305872373,124.576,5.0,107.5,0.0,112.36772701186008,112.5,,,,,,,,,,,,,,,,,
2016,130,RB,0,20,0.5875497071265862,0.5,164.05,0.5883554135290464,0.5,164.48,0.5390688372829542,0.5,155.20000000000002,0.32674030870600956,0.45,137.49,,4.4532052413287,0.40599808332260057,5.3076923076923075,51.50204061227216,-4.8450139322184445,56.83076923076923,222.87138533679266,-22.07509311058486,252.2,2.1003057141220483,-0.6055213882345531,2.2384615384615385,15.03157322656672,0.813645124788791,16.26153846153846,11.627031859650673,0.35332944874348693,12.623076923076923,96.70955015839651,2.511309305969002,112.72307692307692,5.0,114.0,0.0,104.15744075399806,119.0,,,,,,,,,,,,,,,,,
2017,137,RB,0,20,0.6012785121619146,0.55,166.705,0.6013115957962463,0.55,166.705,0.3873368962934441,0.55,173.61,0.29313399189035844,0.55,168.05,,4.853269529160558,-0.19508972522846485,5.766423357664234,52.30956181432635,-6.587593167784806,58.86861313868613,218.2726464305967,-18.9237758148531,250.2189781021898,1.6720012702005753,0.056477273690426065,2.218978102189781,16.287915518833348,-2.3597091997126785,17.605839416058394,12.334187396796763,-1.881744895108579,13.27007299270073,100.46347965906756,-17.49181789446865,113.64963503649635,10.0,103.5,0.0,118.65733163493474,113.5,,,,,,,,,,,,,,,,,
2018,135,RB,38,20,0.6277567382979286,0.45,172.54,0.6277174281060653,0.45,172.54,0.4517225975147962,0.35,157.95499999999998,0.2995811077669135,0.4,160.01500000000001,0.5480111623894416,4.230178722301172,0.21382223522113292,5.37037037037037,46.402947125440996,0.8761929253991858,60.888888888888886,207.28104055640605,-13.632154768551986,268.1777777777778,1.8548457341086768,-0.38079829151343586,2.2074074074074073,15.846374611144402,-0.020938533268455708,18.733333333333334,12.32737646224231,-0.4753657039044158,14.57037037037037,103.54518020942831,-2.8224361660322455,116.28888888888889,10.5,122.5,0.0,117.95389645028975,133.0,0.65,186.683,0.44151438888280997,0.55,175.97000000000003,0.44020133493817704,0.55,175.97000000000003,0.3593148590644575,0.6,171.85500000000002,0.4160240645131881,0.65,180.85,0.5480111623894416,0.65,186.683
2019,130,RB,45,20,0.7138517807084284,0.55,190.551,0.7136033250411645,0.55,190.551,0.5470374579942241,0.6,196.75600000000003,0.4562003200087898,0.5,176.521,0.759291012141463,4.489693382982669,-0.19393703881161292,4.923076923076923,48.33971719168456,-5.111601567517374,54.36153846153846,219.14192506654254,-33.059955657943604,232.51538461538462,1.8396194485848494,-0.3316819809952476,2.1,14.351325299374391,0.9769071409397538,16.907692307692308,11.359338462154186,0.27445033343114655,13.107692307692307,94.79659562179172,5.475414854604931,112.07692307692308,7.5,125.0,0.0,117.20825509626972,132.5,0.75,213.87600000000003,0.5822134387351778,0.65,193.116,0.580764163372859,0.65,193.116,0.5475925573560981,0.65,198.74600000000004,0.5335244984419569,0.65,195.82099999999997,0.759291012141463,0.75,213.87600000000003
2020,133,RB,56,20,0.6703799852010208,0.5,172.685,0.6705540679809237,0.5,172.685,0.48496070208116904,0.45,158.335,0.32211209503540567,0.5,167.20000000000002,0.5736166799796691,3.7478310687358385,-0.5351386372762724,4.7669172932330826,44.17405779842875,-3.507741131719018,56.46616541353384,204.55058872002286,-30.538995054941374,251.93984962406014,1.904486594907993,-0.5760052493446415,2.2030075187969924,13.33900504471796,2.0205383456867194,17.015037593984964,10.130043784903622,1.3230120141269817,13.25563909774436,83.14482286467765,18.997312322497283,111.05263157894737,2.0,116.0,0.0,122.10266535786778,118.0,0.65,179.78500000000003,0.45317840054682157,0.6,167.52000000000004,0.45331510594668495,0.6,167.52000000000004,0.2706698851843164,0.55,164.8,0.2832267164018069,0.6,170.23999999999998,0.5736166799796691,0.65,179.78500000000003
2021,126,RB,64,20,0.5958019261303855,0.55,160.358,0.5971318075639185,0.55,160.358,0.47825653572262333,0.55,160.853,0.4638450381425163,0.6,180.03799999999998,0.7114118628366142,4.607436903745963,0.3121356687526794,5.412698412698413,50.18445117435061,-0.26188868411606636,57.26190476190476,220.7331340541838,-5.168064736472785,252.26984126984127,2.0095034764937076,-0.14761991240894798,2.5873015873015874,15.074038898410617,1.9783239649843425,16.753968253968253,11.773874192272743,1.0712473589656375,12.698412698412698,91.03448675892051,15.074450597211584,105.02380952380952,5.0,107.0,0.0,127.61831162292981,112.0,0.7,199.96800000000002,0.6584092685138587,0.7,184.14299999999997,0.6583634788714278,0.7,184.14299999999997,0.43294394851006457,0.6,168.733,0.43451177140643943,0.7,192.088,0.7114118628366142,0.7,199.96800000000002
2022,137,RB,43,20,0.7221221991745944,0.6,188.666,0.7201599869445127,0.6,188.666,0.4972098804315324,0.6,187.24099999999999,0.4387798972312494,0.65,187.64399999999998,0.41340635502327827,4.538315527338419,-0.2511294358509633,5.45985401459854,51.455687102138555,-5.381643716929911,59.45985401459854,232.540012539027,-41.326604010026145,270.73722627737226,1.8638361232346956,-0.15514455346005052,2.27007299270073,14.158664037765334,1.5122095139057279,15.503649635036496,10.92411623455726,0.9840805229948419,11.978102189781023,86.2120073223138,17.151849397873516,93.91240875912409,3.0,130.5,0.0,118.34759692896966,133.5,0.7,182.434,0.40585947852386023,0.75,183.236,0.39498621993643024,0.75,183.236,0.2960166826611361,0.7,179.19099999999997,0.42870139753194947,0.7,183.814,0.41340635502327827,0.7,182.434
2023,136,RB,58,20,0.7440514729874431,0.5,177.13299999999998,0.7437955827801318,0.5,177.13299999999998,0.5636052204541047,0.45,158.41799999999998,0.4176398723381786,0.5,169.70299999999997,0.24453504065642806,4.294484905759662,0.07420605108942879,4.8161764705882355,46.566495731865984,-6.844136488450734,53.095588235294116,204.06790451772687,-20.258437482926038,245.46323529411765,1.87943144790396,-0.1310148404461545,2.2941176470588234,13.292617054875265,0.16385829432805488,16.74264705882353,10.44432061655202,-0.23363979390580147,13.147058823529411,79.75413487694055,6.706652760365029,97.13235294117646,2.0,102.5,0.0,115.43825297013032,104.5,0.55,162.21999999999997,0.3836783659909564,0.55,180.66799999999995,0.3818327232458704,0.55,180.66799999999995,0.20756520374624912,0.5,162.091,0.20623858461306183,0.5,166.91299999999998,0.24453504065642806,0.55,162.21999999999997
2024,122,RB,53,20,0.7527175716467865,0.65,216.425,0.7541006080669,0.65,216.425,0.6850717724696203,0.6,207.75100000000003,0.5754725090407717,0.6,205.27099999999996,0.47993790797337277,4.382800467400417,-0.397155680728291,4.778688524590164,50.20263140332124,-12.228733588491002,52.52459016393443,236.0411610544478,-66.67160117462646,234.51639344262296,2.1921375040330577,-0.6660175961605933,2.081967213114754,12.37223374660399,1.7911040058616436,13.073770491803279,9.813130110376134,0.4886977039734578,10.278688524590164,80.33581855740874,3.4805981724239663,84.73770491803279,2.0,140.5,0.0,100.24617860298721,142.5,0.7,219.78100000000003,0.4305440765283034,0.65,216.425,0.4319954845960082,0.65,216.425,0.48430939402062645,0.6,207.75100000000003,0.49209935260434023,0.6,205.27099999999996,0.47993790797337277,0.7,219.78100000000003
