span,variant,position,season,n_train,n_board_vet,n_vet,rho_points,rho_games,mae_games,rho_points_fullvet
2016,raw,QB,2018,2,19,65,-0.18596491228070175,0.231754713759663,4.1135126441500525,0.6070981256819068
2016,raw,QB,2019,3,19,72,0.4122807017543859,-0.043438917702333435,3.7301946059258935,0.6812892365015908
2016,raw,QB,2020,4,19,73,0.38947368421052625,-0.0665439765849241,3.7882344873866436,0.7571833524455793
2016,raw,QB,2021,5,19,73,0.15438596491228068,-0.09959748470963173,4.076843932819348,0.7002511472272653
2016,raw,QB,2022,6,14,77,0.5032967032967033,0.4725728113579318,2.639367500529626,0.7415702697856635
2016,raw,QB,2023,7,23,79,0.08498023715415019,0.031200230372183117,4.559424745444735,0.6105020270213302
2016,raw,QB,2024,8,21,85,0.45324675324675323,-0.06631939697289516,4.7005591788906615,0.7234004382596674
2016,raw,RB,2018,2,29,120,0.5049261083743841,0.4225885130602254,3.895500169431429,0.6422884489979359
2016,raw,RB,2019,3,35,118,0.40364145658263306,0.1586802945047721,4.171061217825927,0.7204336127777657
2016,raw,RB,2020,4,45,119,0.4094861660079051,-0.08042682737707112,4.4871800206405625,0.6504740487752604
2016,raw,RB,2021,5,59,118,0.6602373031325636,0.31876367911328457,4.106641557377559,0.5751562242969812
2016,raw,RB,2022,6,37,123,0.3200568990042674,0.07168845275154151,4.7222986169209715,0.710689639453167
2016,raw,RB,2023,7,52,128,0.37215060189532995,0.29945909898200945,4.283284945407784,0.7316577011866048
2016,raw,RB,2024,8,46,112,0.3816953962775631,0.2882697149338957,4.012873818881489,0.7796081678456792
2016,raw,WR,2018,2,40,186,0.6651343878980989,0.2379417514860959,3.8193414834088832,0.7241204996223245
2016,raw,WR,2019,3,49,185,0.5661224489795917,0.22456583022129936,3.2986187450418654,0.7347728674173867
2016,raw,WR,2020,4,50,190,0.44336134453781506,0.24983620392009057,3.6840286191525906,0.7531028003576539
2016,raw,WR,2021,5,58,197,0.41312272179856097,0.04482000423334735,4.222206322416019,0.7115776984126505
2016,raw,WR,2022,6,39,193,0.7127891096734184,0.47083945466360594,3.5005295041536213,0.726193997637157
2016,raw,WR,2023,7,61,188,0.579595182430113,0.1440627329297595,4.375300937698544,0.7781138666582755
2016,raw,WR,2024,8,54,190,0.4870304371084092,0.2440692117196933,3.5094474756138405,0.7953451394881925
2016,raw,TE,2018,2,11,89,0.38181818181818183,0.15904855449750882,3.422187899296418,0.6019253090743322
2016,raw,TE,2019,3,10,90,0.5636363636363636,-0.07951404970357048,4.373330878967805,0.58249445053696
2016,raw,TE,2020,4,16,85,0.3235294117647059,-0.08690662553937026,4.001064047951444,0.6329246198250323
2016,raw,TE,2021,5,17,90,0.37254901960784315,0.17923762101243607,3.9288072123048807,0.6786176388743317
2016,raw,TE,2022,6,12,89,0.27272727272727276,0.25254909728539365,2.8281877091754857,0.7866093512363782
2016,raw,TE,2023,7,17,89,0.5882352941176471,0.2640726137846249,3.607043144790619,0.7655267183783077
2016,raw,TE,2024,8,16,86,0.2972774903411564,0.1056622495743723,3.0336463904529647,0.7391464356854048
2015,raw,QB,2018,3,19,65,-0.2596491228070175,0.23683705397369062,4.1346812995170215,0.606392505312089
2015,raw,QB,2019,4,19,72,0.4,-0.057260391516712264,3.700103675149102,0.6757320284582884
2015,raw,QB,2020,5,19,73,0.4052631578947368,-0.031314812510552514,3.7784391254366616,0.7547637407658402
2015,raw,QB,2021,6,19,73,0.15789473684210528,-0.08058341944688384,4.027777533501944,0.694748895586281
2015,raw,QB,2022,7,14,77,0.4945054945054946,0.4725728113579318,2.6485966508699166,0.7375166744858361
2015,raw,QB,2023,8,23,79,0.0909090909090909,0.031200230372183117,4.561099953664654,0.6088039663596564
2015,raw,QB,2024,9,21,85,0.4623376623376624,-0.08708607683309465,4.695464940781599,0.7174762590560638
2015,raw,RB,2018,3,29,120,0.457142857142857,0.3539241907469749,3.7907528617277877,0.6074952974640546
