factor,class,position,raw_rho_pooled,raw_n,partial_rho_pooled,partial_n,raw_rho_matched,priorpoints_rho_matched,matched_n,beats_aggregate_delta,per_season,n_seasons_pos,n_seasons_neg,n_seasons_zero,contrast_of,survives
contrast_injury_burden_minus_practice_severity,EXOGENOUS,RB,0.1925459683211823,661,0.040235327115491,641,0.1904163204741712,0.604542585459876,641,-0.4141262649857048,"{2013: 0.3265, 2014: 0.2816, 2015: 0.1678, 2016: 0.2022, 2017: 0.2574, 2018: -0.01, 2019: 0.1437}",6,1,0,injury_burden (rho=0.608 vs practice_severity),True
contrast_snap_share_minus_redzone_share,CONSTITUENT,RB,-0.0334373044694656,519,0.112145819960847,519,-0.0334373044694656,0.5586723702389992,519,-0.5921096747084649,"{2013: None, 2014: -0.1409, 2015: 0.1178, 2016: 0.0041, 2017: -0.0761, 2018: 0.0369, 2019: -0.1773}",3,3,0,snap_share (rho=0.801 vs redzone_share),True
contrast_injury_burden_minus_practice_severity,EXOGENOUS,WR,0.1265381245912207,978,0.0081176942622141,938,0.1060394115326662,0.6721367735807422,938,-0.566097362048076,"{2013: 0.0269, 2014: 0.1809, 2015: 0.1334, 2016: -0.0461, 2017: 0.2283, 2018: 0.1255, 2019: 0.2234}",6,1,0,injury_burden (rho=0.611 vs practice_severity),True
contrast_wopr_minus_snap_share,CONSTITUENT,WR,0.0859835211413516,829,0.0511062010808174,829,0.0859835211413516,0.6881944490755731,829,-0.6022109279342215,"{2013: None, 2014: 0.0543, 2015: 0.1466, 2016: 0.147, 2017: -0.012, 2018: 0.0945, 2019: 0.0626}",5,1,0,wopr (rho=0.932 vs snap_share),True
contrast_wopr_minus_redzone_share,CONSTITUENT,WR,0.0024370428341604,905,0.0978170305237054,905,0.0024370428341604,0.6464830585494286,905,-0.6440460157152681,"{2013: 0.0551, 2014: -0.0116, 2015: -0.0591, 2016: 0.0709, 2017: -0.0203, 2018: 0.0308, 2019: -0.0987}",3,4,0,wopr (rho=0.766 vs redzone_share),False
contrast_snap_share_minus_redzone_share,CONSTITUENT,WR,-0.0539748394861819,708,0.0713903583212081,708,-0.0539748394861819,0.6598018175873764,708,-0.7137766570735583,"{2013: None, 2014: -0.0033, 2015: -0.1908, 2016: -0.0624, 2017: -0.0181, 2018: 0.0335, 2019: -0.1023}",1,5,0,snap_share (rho=0.796 vs redzone_share),True
contrast_injury_burden_minus_practice_severity,EXOGENOUS,TE,0.1781769940544411,571,0.0194577058399933,532,0.188307993919982,0.6775480279634699,532,-0.4892400340434878,"{2013: 0.2588, 2014: 0.1203, 2015: 0.2767, 2016: 0.1264, 2017: 0.1694, 2018: 0.2617, 2019: -0.0176}",6,1,0,injury_burden (rho=0.642 vs practice_severity),False
contrast_depth_end_rank_minus_wopr,CONSTITUENT,TE,-0.5966634333332873,526,0.0268957628662189,526,-0.5966634333332873,0.6914547041668351,526,-1.2881181375001225,"{2013: -0.7251, 2014: -0.6212, 2015: -0.645, 2016: -0.6246, 2017: -0.539, 2018: -0.4569, 2019: -0.5389}",0,7,0,depth_end_rank (rho=-0.623 vs wopr),True
contrast_depth_end_rank_minus_snap_share,CONSTITUENT,TE,-0.5112291251892794,403,0.0644945446618366,403,-0.5112291251892794,0.6588160835442782,403,-1.1700452087335576,"{2013: None, 2014: -0.5397, 2015: -0.5109, 2016: -0.5903, 2017: -0.5246, 2018: -0.3837, 2019: -0.4937}",0,6,0,depth_end_rank (rho=-0.738 vs snap_share),True
contrast_depth_end_rank_minus_redzone_share,CONSTITUENT,TE,-0.551435258940853,448,0.0646989351537524,448,-0.551435258940853,0.6682205624788811,448,-1.219655821419734,"{2013: -0.6645, 2014: -0.6077, 2015: -0.4861, 2016: -0.5894, 2017: -0.4697, 2018: -0.4211, 2019: -0.5153}",0,7,0,depth_end_rank (rho=-0.608 vs redzone_share),True
contrast_wopr_minus_snap_share,CONSTITUENT,TE,0.1118546283717476,480,0.1004026595564976,480,0.1118546283717476,0.6452420144187391,480,-0.5333873860469914,"{2013: None, 2014: 0.156, 2015: 0.2888, 2016: 0.0209, 2017: 0.0139, 2018: 0.0705, 2019: 0.1509}",6,0,0,wopr (rho=0.832 vs snap_share),True
contrast_wopr_minus_redzone_share,CONSTITUENT,TE,-0.0064480717092893,516,0.092108174721976,516,-0.0064480717092893,0.649426068029988,516,-0.6558741397392773,"{2013: 0.0983, 2014: -0.0518, 2015: 0.2118, 2016: -0.046, 2017: -0.1962, 2018: -0.0274, 2019: -0.0463}",2,5,0,wopr (rho=0.791 vs redzone_share),False
contrast_snap_share_minus_redzone_share,CONSTITUENT,TE,-0.097633447094206,403,0.0329484717626177,403,-0.097633447094206,0.6104807519166205,403,-0.7081141990108266,"{2013: None, 2014: -0.2182, 2015: -0.072, 2016: -0.0762, 2017: -0.0715, 2018: -0.0972, 2019: -0.0753}",0,6,0,snap_share (rho=0.725 vs redzone_share),True
