factor,class,position,raw_rho_pooled,raw_n,partial_rho_pooled,partial_n,raw_rho_matched,priorpoints_rho_matched,matched_n,beats_aggregate_delta,per_season,n_seasons_pos,n_seasons_neg,n_seasons_zero,survives
placebo,EXOGENOUS,QB,-0.04229931600978,502,-0.0378429039364554,380,-0.0243072234648239,0.7322969632444244,380,-0.7566041867092483,"{2013: -0.0671, 2014: -0.0085, 2015: -0.1006, 2016: -0.0401, 2017: 0.0553, 2018: -0.2683, 2019: 0.1318}",2,5,0,False
injury_burden,EXOGENOUS,QB,-0.0211618429709211,340,0.0105564614123253,313,-0.0392817837948561,0.7413878303988621,313,-0.7806696141937183,"{2013: -0.0833, 2014: -0.0189, 2015: -0.0267, 2016: -0.0222, 2017: -0.0395, 2018: 0.0392, 2019: -0.043}",1,6,0,False
practice_severity,EXOGENOUS,QB,-0.1359837734959662,340,0.1340682604709752,313,-0.1258117453856289,0.7413878303988621,313,-0.867199575784491,"{2013: -0.0889, 2014: -0.2005, 2015: -0.2119, 2016: -0.208, 2017: -0.1646, 2018: -0.0915, 2019: 0.047}",1,6,0,True
depth_end_rank,EXOGENOUS,QB,-0.5997098556762595,390,-0.0805798518116989,345,-0.5721925624407463,0.7411680551494118,345,-1.313360617590158,"{2013: -0.6976, 2014: -0.665, 2015: -0.4473, 2016: -0.6466, 2017: -0.5871, 2018: -0.5725, 2019: -0.6051}",0,7,0,True
combine_z,EXOGENOUS,QB,0.1345621467179435,402,0.0137540798667414,313,0.114953677774569,0.7151857241097518,313,-0.6002320463351827,"{2013: 0.0457, 2014: 0.169, 2015: 0.1561, 2016: 0.1551, 2017: 0.2919, 2018: 0.0963, 2019: 0.0423}",7,0,0,False
neutral_pass_rate,EXOGENOUS,QB,0.0303441314552137,502,0.0045968004196732,380,0.1023027847605505,0.7322969632444244,380,-0.6299941784838738,"{2013: 0.0111, 2014: 0.1062, 2015: -0.0587, 2016: 0.1604, 2017: 0.0397, 2018: -0.0479, 2019: 0.0138}",5,2,0,False
yoe_rate,CONSTITUENT,QB,0.1911595748273148,415,0.0199096945771513,380,0.1899934009566983,0.7322969632444244,380,-0.5423035622877261,"{2013: 0.194, 2014: 0.1819, 2015: -0.04, 2016: 0.3328, 2017: 0.2015, 2018: 0.3002, 2019: 0.1443}",6,1,0,True
qb_rush_att_pg,CONSTITUENT,QB,0.3890299864417388,380,0.1183003747269798,380,0.3890299864417388,0.7322969632444244,380,-0.3432669768026856,"{2013: 0.369, 2014: 0.3123, 2015: 0.3642, 2016: 0.5033, 2017: 0.4993, 2018: 0.3481, 2019: 0.369}",7,0,0,True
placebo,EXOGENOUS,RB,0.0325301173699195,1024,-0.0069392335202329,748,-0.010192998871185,0.6035079002081555,748,-0.6137008990793406,"{2013: 0.0734, 2014: 0.1382, 2015: 0.0216, 2016: -0.0678, 2017: 0.1241, 2018: -0.1642, 2019: 0.1059}",5,2,0,False
injury_burden,EXOGENOUS,RB,0.1101155215827609,661,0.108045525857926,641,0.1201802293587029,0.604542585459876,641,-0.484362356101173,"{2013: 0.2306, 2014: 0.1462, 2015: 0.1647, 2016: 0.0869, 2017: 0.1239, 2018: -0.072, 2019: 0.0673}",6,1,0,True
practice_severity,EXOGENOUS,RB,-0.047856154514452,661,0.0664028030986402,641,-0.0382292404345433,0.604542585459876,641,-0.6427718258944194,"{2013: -0.0399, 2014: -0.0511, 2015: 0.0446, 2016: -0.0641, 2017: -0.1334, 2018: -0.0255, 2019: -0.0594}",1,6,0,True
depth_end_rank,EXOGENOUS,RB,-0.30108674255925,607,0.0989424064886956,601,-0.2931912975216097,0.639322563705215,601,-0.9325138612268248,"{2013: -0.3256, 2014: -0.2799, 2015: -0.2623, 2016: -0.1696, 2017: -0.2534, 2018: -0.3971, 2019: -0.3927}",0,7,0,True
combine_z,EXOGENOUS,RB,-0.003464941011831,632,-0.0307497762749157,492,-0.0364073638305695,0.5741329433925227,492,-0.6105403072230923,"{2013: 0.1533, 2014: 0.0778, 2015: -0.0307, 2016: -0.0814, 2017: -0.1545, 2018: 0.0402, 2019: 0.0023}",4,3,0,True
neutral_pass_rate,EXOGENOUS,RB,0.0412528552974141,1024,0.0423485815134796,748,0.0289708266282804,0.6035079002081555,748,-0.574537073579875,"{2013: 0.0519, 2014: -0.0277, 2015: -0.026, 2016: 0.0568, 2017: 0.0634, 2018: 0.1038, 2019: 0.035}",5,2,0,True
yoe_rate,CONSTITUENT,RB,0.2579362345780509,762,0.0908433350041569,732,0.2485275415103431,0.5944952669784866,732,-0.3459677254681434,"{2013: 0.4112, 2014: 0.1596, 2015: 0.158, 2016: 0.2765, 2017: 0.1743, 2018: 0.2403, 2019: 0.3379}",7,0,0,True
snap_share,CONSTITUENT,RB,0.5635161836878528,572,0.1347544957592781,572,0.5635161836878528,0.5887760306704791,572,-0.0252598469826262,"{2013: None, 2014: 0.4845, 2015: 0.5171, 2016: 0.5086, 2017: 0.5918, 2018: 0.6069, 2019: 0.6635}",6,0,0,True
redzone_share,CONSTITUENT,RB,0.5163538660614889,672,-0.0478312805269814,672,0.5163538660614889,0.5689963162952862,672,-0.0526424502337973,"{2013: 0.5638, 2014: 0.4678, 2015: 0.3586, 2016: 0.4161, 2017: 0.6461, 2018: 0.5032, 2019: 0.6333}",7,0,0,True
yac_per_rec,CONSTITUENT,RB,0.0558627108857435,556,-0.0327743263759457,556,0.0558627108857435,0.526049892494669,556,-0.4701871816089255,"{2013: -0.0099, 2014: 0.2527, 2015: -0.0713, 2016: -0.0309, 2017: 0.0682, 2018: 0.1508, 2019: 0.0867}",4,3,0,True
rb_receiving_share,CONSTITUENT,RB,-0.1046130456042155,721,-0.0625122971293557,721,-0.1046130456042155,0.587173790370135,721,-0.6917868359743505,"{2013: -0.0493, 2014: -0.1167, 2015: -0.1654, 2016: -0.1028, 2017: -0.0046, 2018: -0.0957, 2019: -0.184}",0,7,0,True
late_season_trend,CONSTITUENT,RB,0.0587205615270773,629,0.0347670513022274,629,0.0587205615270773,0.6211280302033766,629,-0.5624074686762992,"{2013: 0.0627, 2014: 0.244, 2015: 0.1386, 2016: 0.0062, 2017: -0.09, 2018: 0.0307, 2019: 0.0302}",6,1,0,True
explosive_rush_rate,AMBIGUOUS,RB,-0.0213011652378947,1024,0.0101368865589841,748,0.01909675033356,0.6035079002081555,748,-0.5844111498745954,"{2013: -0.0454, 2014: 0.0264, 2015: -0.0869, 2016: -0.0847, 2017: -0.0531, 2018: 0.0004, 2019: 0.1123}",3,4,0,False
placebo,EXOGENOUS,WR,-0.0064911139197569,1505,0.0046180295361574,1069,0.0012396117277099,0.6768837048929908,1069,-0.6756440931652808,"{2013: 0.0481, 2014: 0.054, 2015: -0.154, 2016: 0.0164, 2017: 0.0487, 2018: -0.0006, 2019: -0.0549}",4,3,0,False
injury_burden,EXOGENOUS,WR,0.0214904254652619,978,0.0491230503209798,938,0.0111056130324086,0.6721367735807422,938,-0.6610311605483336,"{2013: 0.0855, 2014: 0.0699, 2015: -0.0857, 2016: -0.1289, 2017: 0.0455, 2018: 0.1128, 2019: 0.0767}",5,2,0,True
practice_severity,EXOGENOUS,WR,-0.0842239609362973,978,0.0514527275948636,938,-0.0746489949024925,0.6721367735807422,938,-0.7467857684832346,"{2013: 0.0546, 2014: -0.0787, 2015: -0.2032, 2016: -0.1212, 2017: -0.1622, 2018: -0.0037, 2019: -0.1129}",1,6,0,True
depth_end_rank,EXOGENOUS,WR,-0.4118831455869914,946,-0.0029513235581385,928,-0.3973088474154743,0.6921094968525313,928,-1.0894183442680057,"{2013: -0.4775, 2014: -0.3983, 2015: -0.4954, 2016: -0.3899, 2017: -0.4519, 2018: -0.297, 2019: -0.3898}",0,7,0,False
combine_z,EXOGENOUS,WR,-0.0297841417499691,896,-0.0010904497262271,710,-0.0483332420535874,0.6792876090956854,710,-0.7276208511492729,"{2013: -0.0156, 2014: -0.173, 2015: -0.0399, 2016: -0.0066, 2017: -0.094, 2018: 0.0495, 2019: 0.0727}",2,5,0,False
neutral_pass_rate,EXOGENOUS,WR,0.0282156033506039,1505,0.0104312089442658,1069,0.0465700527646865,0.6768837048929908,1069,-0.6303136521283043,"{2013: 0.1035, 2014: 0.0835, 2015: 0.0344, 2016: 0.0826, 2017: 0.0112, 2018: -0.0343, 2019: -0.0226}",5,2,0,True
yoe_rate,CONSTITUENT,WR,0.2469407200785076,1106,0.0436308914395637,1052,0.2555331778021975,0.6695520096085297,1052,-0.4140188318063321,"{2013: 0.1066, 2014: 0.3413, 2015: 0.2959, 2016: 0.2178, 2017: 0.2713, 2018: 0.229, 2019: 0.2801}",7,0,0,True
wopr,CONSTITUENT,WR,0.6675960551084286,1069,0.1868898368738964,1069,0.6675960551084286,0.6768837048929908,1069,-0.0092876497845622,"{2013: 0.6564, 2014: 0.6707, 2015: 0.6727, 2016: 0.6757, 2017: 0.6418, 2018: 0.7186, 2019: 0.6503}",7,0,0,True
snap_share,CONSTITUENT,WR,0.6521569554117556,829,0.1326569164170307,829,0.6521569554117556,0.6881944490755731,829,-0.0360374936638175,"{2013: None, 2014: 0.6923, 2015: 0.6653, 2016: 0.6482, 2017: 0.6157, 2018: 0.6786, 2019: 0.6342}",6,0,0,True
redzone_share,CONSTITUENT,WR,0.5540793504284777,905,0.0199475296595383,905,0.5540793504284777,0.6464830585494286,905,-0.0924037081209508,"{2013: 0.4683, 2014: 0.5517, 2015: 0.5993, 2016: 0.5366, 2017: 0.5564, 2018: 0.5616, 2019: 0.5983}",7,0,0,True
yac_per_rec,CONSTITUENT,WR,0.1139284362828424,904,-0.0060069337168928,904,0.1139284362828424,0.6380500368822698,904,-0.5241216005994274,"{2013: 0.0463, 2014: 0.1471, 2015: -0.0126, 2016: 0.1888, 2017: 0.1414, 2018: 0.1619, 2019: 0.1416}",6,1,0,True
late_season_trend,CONSTITUENT,WR,-0.0170528574760187,938,0.0080076891044812,938,-0.0170528574760187,0.6851900066458101,938,-0.7022428641218288,"{2013: 0.0294, 2014: -0.1028, 2015: 0.0366, 2016: 0.0258, 2017: -0.0882, 2018: -0.0711, 2019: 0.0334}",4,3,0,False
placebo,EXOGENOUS,TE,-0.0509209348437862,865,-0.0328119898043559,621,-0.0372108471669949,0.6763439868677023,621,-0.7135548340346972,"{2013: -0.0539, 2014: 0.0103, 2015: -0.2075, 2016: -0.0133, 2017: 0.0363, 2018: -0.125, 2019: 0.0037}",3,4,0,False
injury_burden,EXOGENOUS,TE,0.062969619765046,571,0.0608957155919864,532,0.0635049600300037,0.6775480279634699,532,-0.6140430679334662,"{2013: 0.0809, 2014: -0.0344, 2015: 0.1052, 2016: 0.0321, 2017: 0.2257, 2018: 0.0555, 2019: -0.0599}",5,2,0,True
practice_severity,EXOGENOUS,TE,-0.0892091561749105,571,0.0446516408860086,532,-0.0996332030590616,0.6775480279634699,532,-0.7771812310225316,"{2013: -0.1276, 2014: -0.114, 2015: -0.0981, 2016: -0.0807, 2017: 0.1077, 2018: -0.2103, 2019: -0.0765}",1,6,0,True
depth_end_rank,EXOGENOUS,TE,-0.4175144556716809,551,0.0859543749959131,526,-0.404867540044191,0.6914547041668351,526,-1.096322244211026,"{2013: -0.4969, 2014: -0.4858, 2015: -0.391, 2016: -0.3689, 2017: -0.3218, 2018: -0.3135, 2019: -0.4982}",0,7,0,True
combine_z,EXOGENOUS,TE,0.1534387951063313,504,0.0480447783474607,403,0.1458792070042573,0.6412996395055606,403,-0.4954204325013032,"{2013: 0.1051, 2014: -0.0561, 2015: 0.2597, 2016: 0.1574, 2017: 0.1179, 2018: 0.3466, 2019: 0.2019}",6,1,0,True
neutral_pass_rate,EXOGENOUS,TE,0.0461715885161035,865,0.0107381348283556,621,0.0728100692575881,0.6763439868677023,621,-0.6035339176101141,"{2013: 0.0275, 2014: 0.073, 2015: 0.0201, 2016: 0.1337, 2017: -0.0757, 2018: 0.1012, 2019: 0.0313}",6,1,0,False
yoe_rate,CONSTITUENT,TE,0.0913198324096946,651,-0.009216021920135,608,0.094139919158097,0.667644129558729,608,-0.5735042104006319,"{2013: -0.076, 2014: 0.1386, 2015: 0.108, 2016: 0.1095, 2017: 0.1347, 2018: 0.2208, 2019: 0.0542}",6,1,0,True
wopr,CONSTITUENT,TE,0.666697587439486,621,0.1791727117722137,621,0.666697587439486,0.6763439868677023,621,-0.0096463994282162,"{2013: 0.7443, 2014: 0.663, 2015: 0.7367, 2016: 0.6966, 2017: 0.6443, 2018: 0.57, 2019: 0.5492}",7,0,0,True
snap_share,CONSTITUENT,TE,0.5573000223749708,480,0.0258408162125556,480,0.5573000223749708,0.6452420144187391,480,-0.0879419920437682,"{2013: None, 2014: 0.5469, 2015: 0.518, 2016: 0.6702, 2017: 0.6167, 2018: 0.4766, 2019: 0.4878}",6,0,0,True
redzone_share,CONSTITUENT,TE,0.5718224567278993,516,-0.0087208248304597,516,0.5718224567278993,0.649426068029988,516,-0.0776036113020887,"{2013: 0.6754, 2014: 0.6508, 2015: 0.4997, 2016: 0.6115, 2017: 0.5339, 2018: 0.4541, 2019: 0.464}",7,0,0,True
yac_per_rec,CONSTITUENT,TE,-0.0668473066901699,480,-0.0781513772271036,480,-0.0668473066901699,0.6306668608610928,480,-0.6975141675512628,"{2013: -0.2692, 2014: -0.065, 2015: -0.046, 2016: -0.0778, 2017: 0.0428, 2018: -0.1651, 2019: 0.0757}",2,5,0,True
late_season_trend,CONSTITUENT,TE,0.0133407785397585,538,0.070993154660043,538,0.0133407785397585,0.682084373429059,538,-0.6687435948893005,"{2013: 0.0011, 2014: -0.0212, 2015: 0.1559, 2016: 0.0309, 2017: 0.0547, 2018: -0.1368, 2019: 0.033}",5,2,0,False
