factor,class,position,raw_rho_pooled,raw_n,partial_rho_pooled,partial_n,raw_rho_matched,priorpoints_rho_matched,matched_n,beats_aggregate_delta,per_season,n_seasons_pos,n_seasons_neg,n_seasons_zero,contrast_of
contrast_injury_burden_minus_inj_missed_share,EXOGENOUS,QB,-0.05562543132404113,334,-0.07552600797960995,313,-0.041847960977156144,0.7413878303988621,313,-0.7832357913760183,"{2013: -0.1165, 2014: 0.0741, 2015: -0.1183, 2016: -0.0464, 2017: -0.1009, 2018: -0.0369, 2019: -0.0191}",1,6,0,injury_burden (rho=0.602 vs inj_missed_share)
contrast_depth_end_rank_minus_depth_rostered_absent,EXOGENOUS,QB,0.3269960773934918,372,0.008499913450082905,345,0.31811545335194835,0.7411680551494118,345,-0.4230526017974634,"{2013: 0.4078, 2014: 0.2359, 2015: 0.3736, 2016: 0.3904, 2017: 0.4413, 2018: 0.2399, 2019: 0.3383}",7,0,0,depth_end_rank (rho=0.700 vs depth_rostered_absent)
contrast_depth_end_rank_minus_depth_first_share,EXOGENOUS,QB,-0.6918648209243508,372,-0.15761391579507544,345,-0.6856649888685039,0.7411680551494118,345,-1.4268330440179158,"{2013: -0.7753, 2014: -0.7858, 2015: -0.6564, 2016: -0.7361, 2017: -0.6857, 2018: -0.6648, 2019: -0.614}",0,7,0,depth_end_rank (rho=-0.808 vs depth_first_share)
contrast_depth_end_rank_minus_inj_unexp_missed_share,EXOGENOUS,QB,0.35415262622045046,372,0.018100663585328625,345,0.3068936996694769,0.7411680551494118,345,-0.43427435547993487,"{2013: 0.3934, 2014: 0.2474, 2015: 0.3395, 2016: 0.4728, 2017: 0.4841, 2018: 0.2392, 2019: 0.4369}",7,0,0,depth_end_rank (rho=0.737 vs inj_unexp_missed_share)
contrast_neutral_pass_rate_minus_implied_team_total,EXOGENOUS,QB,-0.08720447982667007,69,-0.12595519503270872,48,-0.11963075010063608,0.6171298306556665,48,-0.7367605807563026,"{2013: None, 2014: None, 2015: None, 2016: None, 2017: None, 2018: None, 2019: -0.0872}",0,1,0,neutral_pass_rate (rho=0.677 vs implied_team_total)
contrast_neutral_pass_rate_minus_proe,EXOGENOUS,QB,-0.00038850782760373973,502,0.068353623507579,380,-0.022948645974245785,0.7322969632444244,380,-0.7552456092186701,"{2013: -0.0256, 2014: -0.0237, 2015: 0.051, 2016: -0.0324, 2017: -0.022, 2018: -0.0852, 2019: 0.1388}",2,5,0,neutral_pass_rate (rho=0.903 vs proe)
contrast_yoe_rate_minus_xfp_diff,CONSTITUENT,QB,-0.0788389828421941,415,-0.053299047131880876,380,-0.05534576549353063,0.7322969632444244,380,-0.787642728737955,"{2013: 0.0644, 2014: -0.1453, 2015: -0.2058, 2016: 0.0018, 2017: -0.0176, 2018: -0.0335, 2019: -0.1874}",2,5,0,yoe_rate (rho=0.653 vs xfp_diff)
contrast_implied_team_total_minus_proe,EXOGENOUS,QB,0.11622999103286416,69,0.2753982046706964,48,0.18273149073474365,0.6171298306556665,48,-0.43439833992092286,"{2013: None, 2014: None, 2015: None, 2016: None, 2017: None, 2018: None, 2019: 0.1162}",1,0,0,implied_team_total (rho=0.711 vs proe)
contrast_depth_rostered_absent_minus_depth_first_share,EXOGENOUS,QB,-0.7068606668405899,420,-0.13226872500159828,380,-0.7023374314083098,0.7322969632444244,380,-1.4346343946527342,"{2013: -0.7437, 2014: -0.7458, 2015: -0.6677, 2016: -0.7401, 2017: -0.766, 2018: -0.625, 2019: -0.6505}",0,7,0,depth_rostered_absent (rho=-0.776 vs depth_first_share)
contrast_depth_rostered_absent_minus_inj_unexp_missed_share,EXOGENOUS,QB,-0.19821264566858518,420,-0.04054904531419895,380,-0.27810450778568757,0.7322969632444244,380,-1.010401471030112,"{2013: -0.1929, 2014: -0.4007, 2015: -0.2882, 2016: -0.0946, 2017: -0.0432, 2018: -0.2492, 2019: -0.2432}",0,7,0,depth_rostered_absent (rho=0.791 vs inj_unexp_missed_share)
