factor,class,position,raw_rho_pooled,raw_n,partial_rho_pooled,partial_n,raw_rho_matched,priorpoints_rho_matched,matched_n,beats_aggregate_delta,per_season,n_seasons_pos,n_seasons_neg,n_seasons_zero,ledger_row
placebo,EXOGENOUS,QB,0.03684684914569521,502,0.07490238375140401,380,0.09529434084196907,0.7322969632444244,380,-0.6370026224024553,"{2013: -0.0435, 2014: 0.1221, 2015: 0.1316, 2016: 0.0045, 2017: -0.0732, 2018: 0.1706, 2019: -0.0458}",4,3,0,?
injury_burden,EXOGENOUS,QB,-0.021161842970921142,340,0.0105564614123253,313,-0.03928178379485616,0.7413878303988621,313,-0.7806696141937183,"{2013: -0.0833, 2014: -0.0189, 2015: -0.0267, 2016: -0.0222, 2017: -0.0395, 2018: 0.0392, 2019: -0.043}",1,6,0,"T0-6-adjacent (leading, C3-C)"
practice_severity,EXOGENOUS,QB,-0.13598377349596621,340,0.13406826047097523,313,-0.1258117453856289,0.7413878303988621,313,-0.867199575784491,"{2013: -0.0889, 2014: -0.2005, 2015: -0.2119, 2016: -0.208, 2017: -0.1646, 2018: -0.0915, 2019: 0.047}",1,6,0,C3-D
depth_end_rank,EXOGENOUS,QB,-0.5997098556762595,390,-0.08057985181169894,345,-0.5721925624407463,0.7411680551494118,345,-1.313360617590158,"{2013: -0.6976, 2014: -0.665, 2015: -0.4473, 2016: -0.6466, 2017: -0.5871, 2018: -0.5725, 2019: -0.6051}",0,7,0,C3-E
combine_z,EXOGENOUS,QB,0.13456214671794356,402,0.013754079866741414,313,0.11495367777456907,0.7151857241097518,313,-0.6002320463351827,"{2013: 0.0457, 2014: 0.169, 2015: 0.1561, 2016: 0.1551, 2017: 0.2919, 2018: 0.0963, 2019: 0.0423}",7,0,0,N34/C3-F
neutral_pass_rate,EXOGENOUS,QB,0.03034413145521372,502,0.004596800419673249,380,0.10230278476055059,0.7322969632444244,380,-0.6299941784838738,"{2013: 0.0111, 2014: 0.1062, 2015: -0.0587, 2016: 0.1604, 2017: 0.0397, 2018: -0.0479, 2019: 0.0138}",5,2,0,N20/C3-G
yoe_rate,CONSTITUENT,QB,0.19115957482731483,415,0.019909694577151377,380,0.1899934009566983,0.7322969632444244,380,-0.5423035622877261,"{2013: 0.194, 2014: 0.1819, 2015: -0.04, 2016: 0.3328, 2017: 0.2015, 2018: 0.3002, 2019: 0.1443}",6,1,0,T1-18-adjacent/C3-H
qb_rush_att_pg,CONSTITUENT,QB,0.3890299864417388,380,0.11830037472697987,380,0.3890299864417388,0.7322969632444244,380,-0.3432669768026856,"{2013: 0.369, 2014: 0.3123, 2015: 0.3642, 2016: 0.5033, 2017: 0.4993, 2018: 0.3481, 2019: 0.369}",7,0,0,N9
xfp_diff,CONSTITUENT,QB,0.2573788996138142,415,0.05117058874110306,380,0.243124939517918,0.7322969632444244,380,-0.48917202372650637,"{2013: 0.1517, 2014: 0.3607, 2015: 0.1556, 2016: 0.3619, 2017: 0.2097, 2018: 0.2438, 2019: 0.2789}",7,0,0,T1-18/C1-F3
implied_team_total,EXOGENOUS,QB,0.06307748058726438,69,-0.016897145787732947,48,0.11615532204505698,0.6171298306556665,48,-0.5009745086106095,"{2013: None, 2014: None, 2015: None, 2016: None, 2017: None, 2018: None, 2019: 0.0631}",1,0,0,T0-11/N12/C2
team_pace,EXOGENOUS,QB,-0.0011685200962027694,502,0.005109881725968133,380,0.03626884592306063,0.7322969632444244,380,-0.6960281173213637,"{2013: 0.0162, 2014: 0.0253, 2015: -0.0331, 2016: 0.0441, 2017: 0.0126, 2018: -0.0863, 2019: -0.0227}",4,3,0,T1-21/C4-J
is_contract_year,EXOGENOUS,QB,-0.2946733854687374,460,-0.177583602285194,356,-0.32101470463660986,0.7229538324543934,356,-1.0439685370910032,"{2013: -0.3302, 2014: -0.4, 2015: -0.3332, 2016: -0.296, 2017: -0.2646, 2018: -0.2169, 2019: -0.2307}",0,7,0,T1-27/C4-K
hc_disruption,EXOGENOUS,QB,-0.016119827400030824,463,-0.01730786084162395,348,-0.08296408727023714,0.727321650706467,348,-0.8102857379767042,"{2013: -0.0205, 2014: 0.0287, 2015: 0.0235, 2016: -0.1003, 2017: 0.0104, 2018: -0.0648, 2019: 0.029}",4,3,0,T1-29b/C4-L
two_wr_rate,EXOGENOUS,QB,-0.004673654374803462,208,0.08834997445956784,150,-0.01825170843340431,0.6828132194789793,150,-0.7010649279123836,"{2013: None, 2014: None, 2015: None, 2016: None, 2017: 0.0106, 2018: -0.0692, 2019: 0.0342}",2,1,0,T1-31/N25/C4-N
proe,EXOGENOUS,QB,0.03753077336914964,502,-0.00844826837437671,380,0.11754788718785869,0.7322969632444244,380,-0.6147490760565657,"{2013: 0.0239, 2014: 0.1102, 2015: -0.0748, 2016: 0.1741, 2017: 0.0483, 2018: -0.0216, 2019: -0.0351}",4,3,0,T1-22
oc_disruption,EXOGENOUS,QB,-0.0585487212925662,472,-0.013315622302880921,357,-0.04282457118118845,0.7367001490613132,357,-0.7795247202425016,"{2013: 0.026, 2014: -0.0907, 2015: 0.0458, 2016: -0.163, 2017: -0.0289, 2018: -0.0875, 2019: -0.0946}",2,5,0,T1-29/T1-30/N21/N22
age,EXOGENOUS,QB,0.0699737597566331,501,-0.09015037111237358,380,0.02709436660022439,0.7322969632444244,380,-0.7052025966442,"{2013: 0.0589, 2014: 0.1959, 2015: 0.0752, 2016: 0.0801, 2017: 0.1586, 2018: 0.0301, 2019: -0.0783}",6,1,0,T0-7
draft_capital,EXOGENOUS,QB,-0.5005299872342536,502,-0.15198172075961897,380,-0.4645508424677544,0.7322969632444244,380,-1.1968478057121787,"{2013: -0.5871, 2014: -0.475, 2015: -0.5437, 2016: -0.4437, 2017: -0.5153, 2018: -0.4523, 2019: -0.4414}",0,7,0,T1-25
depth_rostered_absent,EXOGENOUS,QB,-0.6458774715634956,420,-0.11372089321162242,380,-0.6757771604423551,0.7322969632444244,380,-1.4080741236867795,"{2013: -0.6215, 2014: -0.6883, 2015: -0.6325, 2016: -0.6763, 2017: -0.7074, 2018: -0.535, 2019: -0.6248}",0,7,0,T0-5
depth_offroster,EXOGENOUS,QB,-0.13766321459430308,420,0.07440823190778924,380,-0.1138194186762885,0.7322969632444244,380,-0.8461163819207129,"{2013: -0.3061, 2014: -0.0697, 2015: -0.0771, 2016: -0.2191, 2017: -0.2028, 2018: -0.08, 2019: -0.0786}",0,7,0,T0-5
depth_first_share,EXOGENOUS,QB,0.701513350239505,420,0.12054240776885396,380,0.6924464441256315,0.7322969632444244,380,-0.03985051911879289,"{2013: 0.7899, 2014: 0.7678, 2015: 0.6448, 2016: 0.7783, 2017: 0.7534, 2018: 0.6164, 2019: 0.5902}",7,0,0,T0-5
inj_missed_share,EXOGENOUS,QB,0.08380842345722081,420,0.03653578612375704,380,0.031048382991787436,0.7322969632444244,380,-0.7012485802526369,"{2013: 0.0276, 2014: -0.0243, 2015: 0.0829, 2016: 0.1684, 2017: 0.1197, 2018: 0.1296, 2019: 0.088}",6,1,0,T0-6
inj_unexp_missed_share,EXOGENOUS,QB,-0.7015990078897144,420,-0.10532112245359794,380,-0.6959013922175645,0.7322969632444244,380,-1.4281983554619888,"{2013: -0.7571, 2014: -0.6982, 2015: -0.6236, 2016: -0.7722, 2017: -0.796, 2018: -0.5751, 2019: -0.6707}",0,7,0,T0-6
placebo,EXOGENOUS,RB,0.02752676317164536,1024,0.05843749202027455,748,0.03208141840227717,0.6035079002081555,748,-0.5714264818058783,"{2013: 0.1487, 2014: -0.0329, 2015: 0.003, 2016: 0.0658, 2017: -0.0767, 2018: 0.0628, 2019: -0.0192}",4,3,0,?
injury_burden,EXOGENOUS,RB,0.11011552158276092,661,0.10804552585792603,641,0.12018022935870296,0.604542585459876,641,-0.48436235610117306,"{2013: 0.2306, 2014: 0.1462, 2015: 0.1647, 2016: 0.0869, 2017: 0.1239, 2018: -0.072, 2019: 0.0673}",6,1,0,"T0-6-adjacent (leading, C3-C)"
practice_severity,EXOGENOUS,RB,-0.04785615451445207,661,0.06640280309864029,641,-0.03822924043454337,0.604542585459876,641,-0.6427718258944194,"{2013: -0.0399, 2014: -0.0511, 2015: 0.0446, 2016: -0.0641, 2017: -0.1334, 2018: -0.0255, 2019: -0.0594}",1,6,0,C3-D
depth_end_rank,EXOGENOUS,RB,-0.30108674255925005,607,0.0989424064886956,601,-0.2931912975216097,0.639322563705215,601,-0.9325138612268247,"{2013: -0.3256, 2014: -0.2799, 2015: -0.2623, 2016: -0.1696, 2017: -0.2534, 2018: -0.3971, 2019: -0.3927}",0,7,0,C3-E
combine_z,EXOGENOUS,RB,-0.003464941011831024,632,-0.030749776274915708,492,-0.036407363830569535,0.5741329433925227,492,-0.6105403072230923,"{2013: 0.1533, 2014: 0.0778, 2015: -0.0307, 2016: -0.0814, 2017: -0.1545, 2018: 0.0402, 2019: 0.0023}",4,3,0,N34/C3-F
neutral_pass_rate,EXOGENOUS,RB,0.041252855297414195,1024,0.04234858151347967,748,0.02897082662828047,0.6035079002081555,748,-0.574537073579875,"{2013: 0.0519, 2014: -0.0277, 2015: -0.026, 2016: 0.0568, 2017: 0.0634, 2018: 0.1038, 2019: 0.035}",5,2,0,N20/C3-G
yoe_rate,CONSTITUENT,RB,0.2579362345780509,762,0.09084333500415694,732,0.24852754151034315,0.5944952669784866,732,-0.34596772546814347,"{2013: 0.4112, 2014: 0.1596, 2015: 0.158, 2016: 0.2765, 2017: 0.1743, 2018: 0.2403, 2019: 0.3379}",7,0,0,T1-18-adjacent/C3-H
snap_share,CONSTITUENT,RB,0.5635161836878528,572,0.13475449575927814,572,0.5635161836878528,0.5887760306704791,572,-0.02525984698262629,"{2013: None, 2014: 0.4845, 2015: 0.5171, 2016: 0.5086, 2017: 0.5918, 2018: 0.6069, 2019: 0.6635}",6,0,0,T0-9/N18/C1-F1
redzone_share,CONSTITUENT,RB,0.5163538660614889,672,-0.04783128052698148,672,0.5163538660614889,0.5689963162952862,672,-0.05264245023379732,"{2013: 0.5638, 2014: 0.4678, 2015: 0.3586, 2016: 0.4161, 2017: 0.6461, 2018: 0.5032, 2019: 0.6333}",7,0,0,T0-10/C1-F2
yac_per_rec,CONSTITUENT,RB,0.05586271088574357,556,-0.03277432637594571,556,0.05586271088574357,0.526049892494669,556,-0.4701871816089255,"{2013: -0.0099, 2014: 0.2527, 2015: -0.0713, 2016: -0.0309, 2017: 0.0682, 2018: 0.1508, 2019: 0.0867}",4,3,0,N16/C2
rb_receiving_share,CONSTITUENT,RB,-0.10461304560421555,721,-0.0625122971293557,721,-0.10461304560421555,0.587173790370135,721,-0.6917868359743505,"{2013: -0.0493, 2014: -0.1167, 2015: -0.1654, 2016: -0.1028, 2017: -0.0046, 2018: -0.0957, 2019: -0.184}",0,7,0,N17/C2
late_season_trend,CONSTITUENT,RB,0.058720561527077365,629,0.03476705130222743,629,0.058720561527077365,0.6211280302033766,629,-0.5624074686762992,"{2013: 0.0627, 2014: 0.244, 2015: 0.1386, 2016: 0.0062, 2017: -0.09, 2018: 0.0307, 2019: 0.0302}",6,1,0,N19/C2
explosive_rush_rate,AMBIGUOUS,RB,-0.021301165237894736,1024,0.01013688655898416,748,0.019096750333560043,0.6035079002081555,748,-0.5844111498745954,"{2013: -0.0454, 2014: 0.0264, 2015: -0.0869, 2016: -0.0847, 2017: -0.0531, 2018: 0.0004, 2019: 0.1123}",3,4,0,screen1
xfp_diff,CONSTITUENT,RB,0.2627755866852174,762,0.06349156513616606,732,0.25661949480227986,0.5944952669784866,732,-0.3378757721762068,"{2013: 0.3855, 2014: 0.1723, 2015: 0.0835, 2016: 0.2688, 2017: 0.2941, 2018: 0.214, 2019: 0.399}",7,0,0,T1-18/C1-F3
tprr,CONSTITUENT,RB,-0.44660580327731586,330,0.07165278734426649,316,-0.4264049531541551,0.6634625560569266,316,-1.0898675092110817,"{2013: None, 2014: None, 2015: None, 2016: None, 2017: -0.3982, 2018: -0.4834, 2019: -0.5037}",0,3,0,T1-16/T1-17/N3/C1-F5
implied_team_total,EXOGENOUS,RB,0.08776421153721334,142,0.2632666007789611,104,0.1489287558478531,0.7096199421613497,104,-0.5606911863134967,"{2013: None, 2014: None, 2015: None, 2016: None, 2017: None, 2018: None, 2019: 0.0878}",1,0,0,T0-11/N12/C2
team_pace,EXOGENOUS,RB,0.03940546669732287,1024,0.0658092399893321,748,0.06460575290668598,0.6035079002081555,748,-0.5389021473014695,"{2013: 0.0565, 2014: 0.0831, 2015: 0.044, 2016: 0.0174, 2017: 0.0014, 2018: -0.028, 2019: 0.0872}",6,1,0,T1-21/C4-J
is_contract_year,EXOGENOUS,RB,-0.21234061943454752,865,-0.1303729832316033,637,-0.2560505804580869,0.6028377894504338,637,-0.8588883699085206,"{2013: 0.0218, 2014: -0.0599, 2015: -0.1539, 2016: -0.1633, 2017: -0.341, 2018: -0.2874, 2019: -0.1972}",1,6,0,T1-27/C4-K
hc_disruption,EXOGENOUS,RB,-0.014216023127897147,944,0.01612127809543745,691,0.013118430955092282,0.6057759194850495,691,-0.5926574885299573,"{2013: -0.0267, 2014: -0.0561, 2015: 0.0644, 2016: 0.0247, 2017: -0.0029, 2018: -0.051, 2019: -0.074}",2,5,0,T1-29b/C4-L
ol_ybc,EXOGENOUS,RB,0.020767829862487715,142,0.22481950946358736,104,0.09473014334031406,0.7096199421613497,104,-0.6148897988210357,"{2013: None, 2014: None, 2015: None, 2016: None, 2017: None, 2018: None, 2019: 0.0208}",1,0,0,T1-23/N27/C4-M
two_wr_rate,EXOGENOUS,RB,0.003272161417222559,421,-0.007134414615213022,306,-0.002082649207624388,0.6684677008122148,306,-0.6705503500198392,"{2013: None, 2014: None, 2015: None, 2016: None, 2017: 0.0231, 2018: -0.0416, 2019: 0.0633}",2,1,0,T1-31/N25/C4-N
proe,EXOGENOUS,RB,0.028583658571501858,1024,0.03780864292136914,748,0.014916346100362283,0.6035079002081555,748,-0.5885915541077932,"{2013: 0.0756, 2014: -0.0423, 2015: -0.0498, 2016: 0.0608, 2017: 0.0255, 2018: 0.1116, 2019: 0.0382}",5,2,0,T1-22
oc_disruption,EXOGENOUS,RB,-0.03618840691021025,973,-0.05458285869979506,709,-0.04555114998543149,0.5998324326018948,709,-0.6453835825873263,"{2013: -0.0174, 2014: -0.0862, 2015: 0.0696, 2016: -0.0543, 2017: -0.011, 2018: -0.085, 2019: -0.0563}",1,6,0,T1-29/T1-30/N21/N22
age,EXOGENOUS,RB,0.032754539807101815,1024,-0.11627067104599084,748,-0.03829226714947933,0.6035079002081555,748,-0.6418001673576348,"{2013: 0.2206, 2014: 0.0994, 2015: 0.1157, 2016: 0.0586, 2017: -0.0307, 2018: -0.1258, 2019: -0.1014}",4,3,0,T0-7
draft_capital,EXOGENOUS,RB,-0.43232150412676285,1024,-0.13031979419806328,748,-0.36110362963446313,0.6035079002081555,748,-0.9646115298426186,"{2013: -0.4737, 2014: -0.3749, 2015: -0.3915, 2016: -0.3942, 2017: -0.4337, 2018: -0.4333, 2019: -0.5305}",0,7,0,T1-25
share_level,CONSTITUENT,RB,0.5672130191723077,779,0.13422817736001633,748,0.5621372619082372,0.6035079002081555,748,-0.04137063829991827,"{2013: 0.6445, 2014: 0.5276, 2015: 0.4935, 2016: 0.4846, 2017: 0.5915, 2018: 0.57, 2019: 0.6308}",7,0,0,T0-8
adot,AMBIGUOUS,RB,-0.017725859082129196,750,-0.008481361862119568,725,-0.024342254333305953,0.5898012293035351,725,-0.614143483636841,"{2013: -0.063, 2014: -0.1198, 2015: -0.0806, 2016: 0.0381, 2017: 0.1024, 2018: 0.0461, 2019: -0.0281}",3,4,0,T1-14
depth_rostered_absent,EXOGENOUS,RB,-0.27464041017095947,780,0.013421077445067818,748,-0.3173599150690459,0.6035079002081555,748,-0.9208678152772014,"{2013: -0.0769, 2014: -0.1747, 2015: -0.2298, 2016: -0.3044, 2017: -0.3024, 2018: -0.4519, 2019: -0.3759}",0,7,0,T0-5
depth_offroster,EXOGENOUS,RB,-0.24284266717702116,780,0.1043598249338421,748,-0.19673096044897384,0.6035079002081555,748,-0.8002388606571293,"{2013: -0.2631, 2014: -0.2212, 2015: -0.1589, 2016: -0.2084, 2017: -0.1895, 2018: -0.2705, 2019: -0.3485}",0,7,0,T0-5
depth_first_share,EXOGENOUS,RB,0.33713064550476135,780,-0.025325650442440402,748,0.3182613774467436,0.6035079002081555,748,-0.2852465227614119,"{2013: 0.3765, 2014: 0.264, 2015: 0.2791, 2016: 0.2566, 2017: 0.3184, 2018: 0.3969, 2019: 0.4395}",7,0,0,T0-5
inj_missed_share,EXOGENOUS,RB,0.12172873262912853,780,0.12367768074932343,748,0.11070185837447785,0.6035079002081555,748,-0.4928060418336776,"{2013: 0.2458, 2014: 0.2243, 2015: 0.0969, 2016: 0.0998, 2017: 0.1402, 2018: -0.0778, 2019: 0.1407}",6,1,0,T0-6
inj_unexp_missed_share,EXOGENOUS,RB,-0.45688297351858015,780,0.05927689271791545,748,-0.43755231928473964,0.6035079002081555,748,-1.041060219492895,"{2013: -0.4302, 2014: -0.3993, 2015: -0.3723, 2016: -0.4258, 2017: -0.4698, 2018: -0.552, 2019: -0.5317}",0,7,0,T0-6
placebo,EXOGENOUS,WR,-0.006484394664500749,1505,-0.011108176185047629,1069,-0.03999052877955713,0.6768837048929908,1069,-0.7168742336725479,"{2013: -0.0182, 2014: -0.1034, 2015: 0.1279, 2016: -0.0904, 2017: 0.0866, 2018: -0.0401, 2019: 0.0127}",3,4,0,?
injury_burden,EXOGENOUS,WR,0.02149042546526197,978,0.04912305032097989,938,0.011105613032408684,0.6721367735807422,938,-0.6610311605483336,"{2013: 0.0855, 2014: 0.0699, 2015: -0.0857, 2016: -0.1289, 2017: 0.0455, 2018: 0.1128, 2019: 0.0767}",5,2,0,"T0-6-adjacent (leading, C3-C)"
