batch,run,position,season,k,universe,targets,S,first_feature_season,n_board_vet,n_vet,rho_points_fullvet,mae_games_fullvet,bias_games_fullvet,rho_points,pearson_points,mae_games,bias_games,rho_games,mae_naive_games
AB1,ABAGE,QB,2013,0,m_panel_ppr12,2013-2024,12,2002,8,72,0.7564589606053219,3.3912467136966056,-0.4713332295887035,,,,,,
AB1,ABAGE,QB,2014,0,m_panel_ppr12,2013-2024,12,2002,9,61,0.7797498091504257,3.5288159070965364,-0.3079163168324386,,,,,,
AB1,ABAGE,QB,2015,0,m_panel_ppr12,2013-2024,12,2002,10,68,0.6473010404471887,3.669148936556577,-0.5837563814852708,0.5272727272727272,0.2941265429168954,4.386174363945681,-3.8635386464289008,0.3027495893961478,2.2
AB1,ABAGE,QB,2016,0,m_panel_ppr12,2013-2024,12,2002,12,67,0.7681855000983272,3.3213336755672347,-0.0275607076609196,0.2657342657342658,0.0943587809989793,3.454220353426093,-3.454220353426093,0.0504272905659299,0.9166666666666666
AB1,ABAGE,QB,2017,0,m_panel_ppr12,2013-2024,12,2002,13,73,0.7249654510664404,3.3114771318828176,-0.3154312903542509,-0.0494505494505494,-0.2389917532723237,2.945279731146381,-1.9998846144478328,0.0963558245671183,1.1538461538461535
AB1,ABAGE,QB,2018,0,m_panel_ppr12,2013-2024,12,2002,18,65,0.6381013206807721,3.536623994414518,-0.0741234173305318,-0.0835913312693498,-0.0870741659951625,4.509954166442535,-3.277456366479352,0.248665723184241,3.1666666666666665
AB1,ABAGE,QB,2019,0,m_panel_ppr12,2013-2024,12,2002,19,72,0.6794823211064087,3.71377431053172,0.3956206777495699,0.3298245614035088,0.2430229486096901,3.991389678393969,-3.4975544575610646,-0.0612093840351062,2.3157894736842106
AB1,ABAGE,QB,2020,0,m_panel_ppr12,2013-2024,12,2002,19,73,0.7550932415240944,3.481502928047852,-0.4611691896944502,0.4701754385964911,0.4266879094067677,3.995602775387554,-2.327493102651548,0.0731861134494494,2.894736842105264
AB1,ABAGE,QB,2021,0,m_panel_ppr12,2013-2024,12,2002,19,73,0.7186283559658506,3.454700855068774,0.4736187847271547,0.163157894736842,0.1019067912983377,4.058358810928713,-2.224023936854135,-0.0896377362386685,3.3157894736842106
AB1,ABAGE,QB,2022,0,m_panel_ppr12,2013-2024,12,2002,19,77,0.7397085208043094,2.856627419691409,-0.2104726877049661,0.4087719298245613,0.6450764432529645,2.7813473613948605,-1.3320532027793557,0.5728981347179936,1.947368421052632
AB1,ABAGE,QB,2023,0,m_panel_ppr12,2013-2024,12,2002,23,79,0.6107481227693988,3.995512092758129,-0.2390561608861482,0.0810276679841897,0.1144774579951432,4.672273477622528,-1.955147836944581,-0.0241550170623353,4.304347826086956
AB1,ABAGE,QB,2024,0,m_panel_ppr12,2013-2024,12,2002,23,85,0.709852991775676,3.3875308923854024,-0.1949095715190474,0.3596837944664032,0.4581602404184757,4.624921064002566,-3.5006266706416653,-0.017365355384015,3.869565217391304
AB1,ABAGE,RB,2013,0,m_panel_ppr12,2013-2024,12,2002,1,121,0.7452297416941549,4.879137325569323,0.3452394126607002,,,,,,
AB1,ABAGE,RB,2014,0,m_panel_ppr12,2013-2024,12,2002,3,118,0.6609104196851444,4.287083333841668,0.5116824161996671,,,,,,
AB1,ABAGE,RB,2015,0,m_panel_ppr12,2013-2024,12,2002,3,114,0.648784514399614,4.024614761438775,0.2916242234195642,,,,,,
AB1,ABAGE,RB,2016,0,m_panel_ppr12,2013-2024,12,2002,9,123,0.5904038412779974,4.556990315082498,0.7301535252589231,,,,,,
AB1,ABAGE,RB,2017,0,m_panel_ppr12,2013-2024,12,2002,13,122,0.5990662167303945,4.875703894121015,-0.0424809501878499,0.6153846153846153,0.3209191943123378,5.275231873396802,-1.936229185705937,0.2123921538858041,4.615384615384615
AB1,ABAGE,RB,2018,0,m_panel_ppr12,2013-2024,12,2002,27,120,0.6228020247392493,4.273655171256716,0.4174218394430073,0.3418803418803419,0.4099451389808247,3.3372097077511174,-2.008881268022059,0.334906697162315,3.0
AB1,ABAGE,RB,2019,0,m_panel_ppr12,2013-2024,12,2002,34,118,0.7001739893960753,4.501034438226647,-0.0546587660077393,0.3601222307104659,0.5084600733367659,3.704991485690737,-3.1939418215908986,0.1826581784899373,2.735294117647059
AB1,ABAGE,RB,2020,0,m_panel_ppr12,2013-2024,12,2002,44,119,0.6676219654945922,3.901658401100112,-0.4893348354043925,0.4119802677942213,0.3762645285613238,4.455663362784406,-0.989283573819006,-0.1220076696705203,4.886363636363637
AB1,ABAGE,RB,2021,0,m_panel_ppr12,2013-2024,12,2002,54,116,0.6058181464629151,4.615222178213186,0.2954403929520307,0.5902420430722317,0.5868989135373216,4.013531218346712,-2.4678509826326698,0.1406320134747659,4.12962962962963
AB1,ABAGE,RB,2022,0,m_panel_ppr12,2013-2024,12,2002,41,123,0.7034777396112515,4.611749675984535,-0.0908153438536971,0.3832752613240419,0.3401935308487736,4.565584311406997,-3.4385069538553807,0.0897605983522869,4.0
AB1,ABAGE,RB,2023,0,m_panel_ppr12,2013-2024,12,2002,50,128,0.7342108041174662,4.331789610552616,0.3195826610901941,0.3953421368547419,0.3888249955788846,3.9148464942294168,-2.6557315165195945,0.3174057606828537,3.14
AB1,ABAGE,RB,2024,0,m_panel_ppr12,2013-2024,12,2002,51,112,0.7800058709262739,4.267535551328261,-0.2430227334391294,0.4739021246037468,0.4321949317545497,3.713600109927959,-2.509142991478678,0.3283878857015203,3.07843137254902
AB1,ABAGE,WR,2014,0,m_panel_ppr12,2014-2024,11,2012,8,179,0.7187076538033228,4.54979671719319,-0.1582621977859275,,,,,,
AB1,ABAGE,WR,2015,0,m_panel_ppr12,2014-2024,11,2012,17,181,0.7597610698745434,3.970847352299407,0.518408923190736,0.3676470588235294,0.354586972331434,3.979234803222676,-3.0700938461317304,-0.0386201445395734,3.235294117647059
AB1,ABAGE,WR,2016,0,m_panel_ppr12,2014-2024,11,2012,24,188,0.706274775367901,4.578542891582823,-0.003036037580192,0.6652173913043479,0.6737375374289611,3.006776970445036,-1.6042024252975946,0.6815529137119353,1.875
AB1,ABAGE,WR,2017,0,m_panel_ppr12,2014-2024,11,2012,32,193,0.7225698390948365,4.283807006227383,0.4121357203638338,0.3247800586510263,0.275222986778376,3.897003669835102,-1.7969895899032973,-0.0793800014028034,3.53125
AB1,ABAGE,WR,2018,0,m_panel_ppr12,2014-2024,11,2012,38,186,0.7219560413635719,4.212268634863613,-0.0394158491368209,0.690157028991655,0.6511632923471066,3.890830670761155,-2.7337339389729216,0.2847572031101374,3.631578947368421
AB1,ABAGE,WR,2019,0,m_panel_ppr12,2014-2024,11,2012,50,185,0.7399492043703415,4.217341505244713,0.3506882206812709,0.546890756302521,0.5415794044919835,3.2499946744976893,-2.2025840310641573,0.1868724198929815,2.72
AB1,ABAGE,WR,2020,0,m_panel_ppr12,2014-2024,11,2012,50,190,0.7555097188956124,4.144543751890124,0.3404884279056207,0.4638175270108042,0.4520938267488914,3.645173513991341,-1.9335749275475465,0.2450619502202779,3.06
AB1,ABAGE,WR,2021,0,m_panel_ppr12,2014-2024,11,2012,55,197,0.7179877914755451,4.3989670642611225,-0.3546692269392525,0.4135355977512157,0.3890450463913993,4.250056788732576,-1.7593123001888935,0.0345781033553639,3.690909090909091
AB1,ABAGE,WR,2022,0,m_panel_ppr12,2014-2024,11,2012,48,193,0.7248638585056165,4.418278045670636,-0.2192341591059319,0.7412815157287951,0.7274580815117828,3.5505151136824336,-2.676326109189564,0.4035235333551509,2.4166666666666665
AB1,ABAGE,WR,2023,0,m_panel_ppr12,2014-2024,11,2012,62,188,0.7786192641824352,4.344420069586422,-0.5342253891436312,0.5939738860470077,0.5954546679160636,4.284955082487724,-3.731426807907355,0.1790923656223771,3.0806451612903225
AB1,ABAGE,WR,2024,0,m_panel_ppr12,2014-2024,11,2012,58,190,0.8010115202436121,4.048605139782749,0.0743838837410142,0.436962640591851,0.4515598445061759,3.365489606835395,-1.7628254439378328,0.1704752972384039,2.8793103448275863
AB1,ABAGE,TE,2014,0,m_panel_ppr12,2014-2024,11,2012,3,80,0.709353590392345,3.809904578653085,-0.5448983081035086,,,,,,
AB1,ABAGE,TE,2015,0,m_panel_ppr12,2014-2024,11,2012,6,79,0.5513559136644135,3.7858459264495696,-0.4700553185316317,,,,,,
AB1,ABAGE,TE,2016,0,m_panel_ppr12,2014-2024,11,2012,5,85,0.6704569066318835,4.203166948846,0.5161880994954696,,,,,,
AB1,ABAGE,TE,2017,0,m_panel_ppr12,2014-2024,11,2012,7,92,0.5959804248000534,4.48601226102326,-0.7612244047236771,,,,,,
AB1,ABAGE,TE,2018,0,m_panel_ppr12,2014-2024,11,2012,11,89,0.6106192979794057,4.311879673098682,1.0863231297074234,0.4000000000000001,0.4868241571634584,3.063820137320642,-2.615596510754945,0.1043756138889901,1.9090909090909087
AB1,ABAGE,TE,2019,0,m_panel_ppr12,2014-2024,11,2012,11,91,0.5323110666946622,4.4594515365653935,-0.4437828034054566,0.3545454545454546,0.2385912411124082,4.722666238871451,-2.0513218282488626,-0.2857415935487382,4.636363636363637
AB1,ABAGE,TE,2020,0,m_panel_ppr12,2014-2024,11,2012,16,85,0.6290912086325731,4.289479391459962,-1.0636886553452485,0.3176470588235294,0.5399729705763963,3.7180769953872463,-3.1816377656347115,-0.0059935603820255,2.9375
AB1,ABAGE,TE,2021,0,m_panel_ppr12,2014-2024,11,2012,17,90,0.6755248454017825,4.365104192023898,-0.0740111258864436,0.3627450980392157,0.5598077800640258,3.805844813087336,-2.0048274026921824,0.179237621012436,3.3529411764705883
AB1,ABAGE,TE,2022,0,m_panel_ppr12,2014-2024,11,2012,14,89,0.7806518176530642,3.493176037332559,0.3272343015287291,0.3494505494505495,0.361634777523668,3.2127346276642306,-2.1296638222886832,-0.0227672917790708,2.9285714285714284
AB1,ABAGE,TE,2023,0,m_panel_ppr12,2014-2024,11,2012,17,89,0.7622123781959977,3.7576046559499785,-0.4375649095012279,0.5147058823529412,0.422573812823279,3.8735957369050986,-2.198997816480559,0.0611453780460701,2.9411764705882355
AB1,ABAGE,TE,2024,0,m_panel_ppr12,2014-2024,11,2012,18,86,0.7481949290524831,3.800127637402837,-0.3201037662874345,0.3675787789796242,0.4643528465379855,3.0315350560039067,-1.825960415394188,0.1316021814948344,3.111111111111111
AB1,ABEVID,QB,2013,0,m_panel_ppr12,2013-2024,12,2002,8,72,0.7580849847672353,3.3912467136966056,-0.4713332295887035,,,,,,
AB1,ABEVID,QB,2014,0,m_panel_ppr12,2013-2024,12,2002,9,61,0.7816630447781121,3.5288159070965364,-0.3079163168324386,,,,,,
AB1,ABEVID,QB,2015,0,m_panel_ppr12,2013-2024,12,2002,10,68,0.6457891019989795,3.669148936556577,-0.5837563814852708,0.5393939393939393,0.2882299447966223,4.386174363945681,-3.8635386464289008,0.3027495893961478,2.2
AB1,ABEVID,QB,2016,0,m_panel_ppr12,2013-2024,12,2002,12,67,0.765561502121219,3.3213336755672347,-0.0275607076609196,0.2517482517482518,0.0712887640155945,3.454220353426093,-3.454220353426093,0.0504272905659299,0.9166666666666666
AB1,ABEVID,QB,2017,0,m_panel_ppr12,2013-2024,12,2002,13,73,0.7267142369919075,3.3114771318828176,-0.3154312903542509,-0.1483516483516483,-0.2878821299892141,2.945279731146381,-1.9998846144478328,0.0963558245671183,1.1538461538461535
AB1,ABEVID,QB,2018,0,m_panel_ppr12,2013-2024,12,2002,18,65,0.6458190434756532,3.536623994414518,-0.0741234173305318,-0.1228070175438596,-0.0746498632965006,4.509954166442535,-3.277456366479352,0.248665723184241,3.1666666666666665
AB1,ABEVID,QB,2019,0,m_panel_ppr12,2013-2024,12,2002,19,72,0.6873670428308395,3.71377431053172,0.3956206777495699,0.3473684210526316,0.2596860746895564,3.991389678393969,-3.4975544575610646,-0.0612093840351062,2.3157894736842106
AB1,ABEVID,QB,2020,0,m_panel_ppr12,2013-2024,12,2002,19,73,0.7538835290168774,3.481502928047852,-0.4611691896944502,0.487719298245614,0.4359829428451819,3.995602775387554,-2.327493102651548,0.0731861134494494,2.894736842105264
AB1,ABEVID,QB,2021,0,m_panel_ppr12,2013-2024,12,2002,19,73,0.7077953109503148,3.454700855068774,0.4736187847271547,0.1771929824561403,0.1208276224581171,4.058358810928713,-2.224023936854135,-0.0896377362386685,3.3157894736842106
AB1,ABEVID,QB,2022,0,m_panel_ppr12,2013-2024,12,2002,19,77,0.7383485197753772,2.856627419691409,-0.2104726877049661,0.463157894736842,0.6579511635321993,2.7813473613948605,-1.3320532027793557,0.5728981347179936,1.947368421052632
AB1,ABEVID,QB,2023,0,m_panel_ppr12,2013-2024,12,2002,23,79,0.603992794484914,3.995512092758129,-0.2390561608861482,0.0513833992094861,0.0905806919901063,4.672273477622528,-1.955147836944581,-0.0241550170623353,4.304347826086956
AB1,ABEVID,QB,2024,0,m_panel_ppr12,2013-2024,12,2002,23,85,0.7016905893038636,3.3875308923854024,-0.1949095715190474,0.3399209486166007,0.4476454328956556,4.624921064002566,-3.5006266706416653,-0.017365355384015,3.869565217391304
AB1,ABEVID,RB,2013,0,m_panel_ppr12,2013-2024,12,2002,1,121,0.7345833079656164,4.879137325569323,0.3452394126607002,,,,,,
AB1,ABEVID,RB,2014,0,m_panel_ppr12,2013-2024,12,2002,3,118,0.6641823452693827,4.287083333841668,0.5116824161996671,,,,,,
AB1,ABEVID,RB,2015,0,m_panel_ppr12,2013-2024,12,2002,3,114,0.6486129917256154,4.024614761438775,0.2916242234195642,,,,,,
AB1,ABEVID,RB,2016,0,m_panel_ppr12,2013-2024,12,2002,9,123,0.586356817788276,4.556990315082498,0.7301535252589231,,,,,,
AB1,ABEVID,RB,2017,0,m_panel_ppr12,2013-2024,12,2002,13,122,0.5900666839138478,4.875703894121015,-0.0424809501878499,0.6153846153846153,0.3280291700893236,5.275231873396802,-1.936229185705937,0.2123921538858041,4.615384615384615
AB1,ABEVID,RB,2018,0,m_panel_ppr12,2013-2024,12,2002,27,120,0.6342207396667207,4.273655171256716,0.4174218394430073,0.3748473748473748,0.464909786989776,3.3372097077511174,-2.008881268022059,0.334906697162315,3.0
AB1,ABEVID,RB,2019,0,m_panel_ppr12,2013-2024,12,2002,34,118,0.7129117596589244,4.501034438226647,-0.0546587660077393,0.3940412528647822,0.5123673640739599,3.704991485690737,-3.1939418215908986,0.1826581784899373,2.735294117647059
AB1,ABEVID,RB,2020,0,m_panel_ppr12,2013-2024,12,2002,44,119,0.6672353864757765,3.901658401100112,-0.4893348354043925,0.4163495419309372,0.3727237683630561,4.455663362784406,-0.989283573819006,-0.1220076696705203,4.886363636363637
AB1,ABEVID,RB,2021,0,m_panel_ppr12,2013-2024,12,2002,54,116,0.5867711412725763,4.615222178213186,0.2954403929520307,0.6122736801982084,0.5985053571170664,4.013531218346712,-2.4678509826326698,0.1406320134747659,4.12962962962963
AB1,ABEVID,RB,2022,0,m_panel_ppr12,2013-2024,12,2002,41,123,0.702632139495016,4.611749675984535,-0.0908153438536971,0.3421602787456446,0.3073791569643194,4.565584311406997,-3.4385069538553807,0.0897605983522869,4.0
AB1,ABEVID,RB,2023,0,m_panel_ppr12,2013-2024,12,2002,50,128,0.7401321164784546,4.331789610552616,0.3195826610901941,0.4122448979591836,0.3995541371889651,3.9148464942294168,-2.6557315165195945,0.3174057606828537,3.14
AB1,ABEVID,RB,2024,0,m_panel_ppr12,2013-2024,12,2002,51,112,0.7831311290020178,4.267535551328261,-0.2430227334391294,0.4828163534347349,0.4492114138063049,3.713600109927959,-2.509142991478678,0.3283878857015203,3.07843137254902
AB1,ABEVID,WR,2014,0,m_panel_ppr12,2014-2024,11,2012,8,179,0.7154886207428783,4.54979671719319,-0.1582621977859275,,,,,,
AB1,ABEVID,WR,2015,0,m_panel_ppr12,2014-2024,11,2012,17,181,0.7604543829769268,3.970847352299407,0.518408923190736,0.428921568627451,0.3611942030900801,3.979234803222676,-3.0700938461317304,-0.0386201445395734,3.235294117647059
AB1,ABEVID,WR,2016,0,m_panel_ppr12,2014-2024,11,2012,24,188,0.6977246375263966,4.578542891582823,-0.003036037580192,0.6704347826086956,0.674238275888283,3.006776970445036,-1.6042024252975946,0.6815529137119353,1.875
AB1,ABEVID,WR,2017,0,m_panel_ppr12,2014-2024,11,2012,32,193,0.7201974787888905,4.283807006227383,0.4121357203638338,0.3079178885630498,0.2699976642507115,3.897003669835102,-1.7969895899032973,-0.0793800014028034,3.53125
AB1,ABEVID,WR,2018,0,m_panel_ppr12,2014-2024,11,2012,38,186,0.7291597019329313,4.212268634863613,-0.0394158491368209,0.6889533303522213,0.6578078534949422,3.890830670761155,-2.7337339389729216,0.2847572031101374,3.631578947368421
AB1,ABEVID,WR,2019,0,m_panel_ppr12,2014-2024,11,2012,50,185,0.7437589499533419,4.217341505244713,0.3506882206812709,0.5512124849939976,0.5357610122728103,3.2499946744976893,-2.2025840310641573,0.1868724198929815,2.72
AB1,ABEVID,WR,2020,0,m_panel_ppr12,2014-2024,11,2012,50,190,0.7561593738992206,4.144543751890124,0.3404884279056207,0.4396158463385354,0.4582988062492577,3.645173513991341,-1.9335749275475465,0.2450619502202779,3.06
AB1,ABEVID,WR,2021,0,m_panel_ppr12,2014-2024,11,2012,55,197,0.7178559400622564,4.3989670642611225,-0.3546692269392525,0.4107938455546622,0.3804228432840743,4.250056788732576,-1.7593123001888935,0.0345781033553639,3.690909090909091
AB1,ABEVID,WR,2022,0,m_panel_ppr12,2014-2024,11,2012,48,193,0.7254125425957184,4.418278045670636,-0.2192341591059319,0.7398159961472854,0.7275350944597007,3.5505151136824336,-2.676326109189564,0.4035235333551509,2.4166666666666665
AB1,ABEVID,WR,2023,0,m_panel_ppr12,2014-2024,11,2012,62,188,0.7804443615707652,4.344420069586422,-0.5342253891436312,0.5815086690379235,0.591412687753232,4.284955082487724,-3.731426807907355,0.1790923656223771,3.0806451612903225
AB1,ABEVID,WR,2024,0,m_panel_ppr12,2014-2024,11,2012,58,190,0.7979911574258666,4.048605139782749,0.0743838837410142,0.4566497993372775,0.4629690308670025,3.365489606835395,-1.7628254439378328,0.1704752972384039,2.8793103448275863
AB1,ABEVID,TE,2014,0,m_panel_ppr12,2014-2024,11,2012,3,80,0.6923147557305821,3.809904578653085,-0.5448983081035086,,,,,,
AB1,ABEVID,TE,2015,0,m_panel_ppr12,2014-2024,11,2012,6,79,0.5712169976506846,3.7858459264495696,-0.4700553185316317,,,,,,
AB1,ABEVID,TE,2016,0,m_panel_ppr12,2014-2024,11,2012,5,85,0.6578935317458819,4.203166948846,0.5161880994954696,,,,,,
AB1,ABEVID,TE,2017,0,m_panel_ppr12,2014-2024,11,2012,7,92,0.6100238251362555,4.48601226102326,-0.7612244047236771,,,,,,
AB1,ABEVID,TE,2018,0,m_panel_ppr12,2014-2024,11,2012,11,89,0.6177896868486397,4.311879673098682,1.0863231297074234,0.2,0.3935631692869719,3.063820137320642,-2.615596510754945,0.1043756138889901,1.9090909090909087
AB1,ABEVID,TE,2019,0,m_panel_ppr12,2014-2024,11,2012,11,91,0.5279014273103855,4.4594515365653935,-0.4437828034054566,0.3090909090909091,0.188631311476121,4.722666238871451,-2.0513218282488626,-0.2857415935487382,4.636363636363637
AB1,ABEVID,TE,2020,0,m_panel_ppr12,2014-2024,11,2012,16,85,0.6310520327719384,4.289479391459962,-1.0636886553452485,0.3647058823529411,0.5255718910294545,3.7180769953872463,-3.1816377656347115,-0.0059935603820255,2.9375
AB1,ABEVID,TE,2021,0,m_panel_ppr12,2014-2024,11,2012,17,90,0.6726444601025138,4.365104192023898,-0.0740111258864436,0.375,0.5615531339443277,3.805844813087336,-2.0048274026921824,0.179237621012436,3.3529411764705883
AB1,ABEVID,TE,2022,0,m_panel_ppr12,2014-2024,11,2012,14,89,0.7834887384070233,3.493176037332559,0.3272343015287291,0.3934065934065934,0.3327336450674841,3.2127346276642306,-2.1296638222886832,-0.0227672917790708,2.9285714285714284
AB1,ABEVID,TE,2023,0,m_panel_ppr12,2014-2024,11,2012,17,89,0.763792270925389,3.7576046559499785,-0.4375649095012279,0.4975490196078431,0.4127210314997271,3.8735957369050986,-2.198997816480559,0.0611453780460701,2.9411764705882355
AB1,ABEVID,TE,2024,0,m_panel_ppr12,2014-2024,11,2012,18,86,0.746415518222974,3.800127637402837,-0.3201037662874345,0.3551884830589627,0.4674503630220241,3.0315350560039067,-1.825960415394188,0.1316021814948344,3.111111111111111
AB1,ABEXP,QB,2013,0,m_panel_ppr12,2013-2024,12,2002,8,72,0.7563939196388455,3.3912467136966056,-0.4713332295887035,,,,,,
AB1,ABEXP,QB,2014,0,m_panel_ppr12,2013-2024,12,2002,9,61,0.7799092454527329,3.5288159070965364,-0.3079163168324386,,,,,,
AB1,ABEXP,QB,2015,0,m_panel_ppr12,2013-2024,12,2002,10,68,0.6499804250389516,3.669148936556577,-0.5837563814852708,0.5272727272727272,0.2906224727934464,4.386174363945681,-3.8635386464289008,0.3027495893961478,2.2
AB1,ABEXP,QB,2016,0,m_panel_ppr12,2013-2024,12,2002,12,67,0.7697598988845922,3.3213336755672347,-0.0275607076609196,0.1818181818181818,0.0581287070683735,3.454220353426093,-3.454220353426093,0.0504272905659299,0.9166666666666666
AB1,ABEXP,QB,2017,0,m_panel_ppr12,2013-2024,12,2002,13,73,0.7287753061183511,3.3114771318828176,-0.3154312903542509,-0.1098901098901098,-0.2915513599463138,2.945279731146381,-1.9998846144478328,0.0963558245671183,1.1538461538461535
AB1,ABEXP,QB,2018,0,m_panel_ppr12,2013-2024,12,2002,18,65,0.6464805625723573,3.536623994414518,-0.0741234173305318,-0.1331269349845201,-0.0823655607236229,4.509954166442535,-3.277456366479352,0.248665723184241,3.1666666666666665
AB1,ABEXP,QB,2019,0,m_panel_ppr12,2013-2024,12,2002,19,72,0.68365465301892,3.71377431053172,0.3956206777495699,0.3385964912280702,0.2529089218602561,3.991389678393969,-3.4975544575610646,-0.0612093840351062,2.3157894736842106
AB1,ABEXP,QB,2020,0,m_panel_ppr12,2013-2024,12,2002,19,73,0.753604364592135,3.481502928047852,-0.4611691896944502,0.4684210526315789,0.434207114077428,3.995602775387554,-2.327493102651548,0.0731861134494494,2.894736842105264
