batch,run,position,season,k,universe,targets,S,first_feature_season,n_board_vet,n_vet,rho_points,pearson_points,mae_games,bias_games,rho_games,mae_naive_games,rho_points_fullvet,mae_games_fullvet,bias_games_fullvet,coverage
C3,C3C,QB,2015,0,m_panel_ppr12,2015-2024,10,2013,10,68,0.5757575757575757,0.2903129451923193,4.319209679172821,-3.558147311264295,0.1124498474899977,2.2,0.6084174931468512,3.857505643043584,-0.2938499726378393,0.8
C3,C3C,QB,2016,0,m_panel_ppr12,2015-2024,10,2013,12,67,0.3566433566433566,0.2496195569937997,3.0776837521303704,-3.0450199806077927,0.3908115018859568,0.9166666666666666,0.7559132634053907,3.295860886973327,0.3501655329320437,0.8333333333333334
C3,C3C,QB,2017,0,m_panel_ppr12,2015-2024,10,2013,13,73,0.0824175824175824,-0.1913591306441773,2.4253090995535302,-1.361300092204105,0.4697346447647018,1.1538461538461535,0.7276886370339721,3.222141568100955,-0.1045282487277152,0.7692307692307693
C3,C3C,QB,2018,0,m_panel_ppr12,2015-2024,10,2013,18,65,-0.1248710010319917,-0.1470051995145651,4.342968521274165,-3.1343490135853216,0.3754606216395718,3.1666666666666665,0.5943528577520744,3.621126925432825,0.0998558678396737,0.8333333333333334
C3,C3C,QB,2019,0,m_panel_ppr12,2015-2024,10,2013,19,72,0.3403508771929824,0.2130370441046154,3.8879845029620586,-3.310337419128289,-0.1145207830334245,2.3157894736842106,0.6772759956599189,3.767224204121528,0.5585195698738059,0.9473684210526316
C3,C3C,QB,2020,0,m_panel_ppr12,2015-2024,10,2013,19,73,0.4526315789473684,0.4185202713295378,3.979845416369829,-2.154603851721263,0.1150067497062777,2.894736842105264,0.7562814659215286,3.4503699751868164,-0.4167612507129516,0.9473684210526316
C3,C3C,QB,2021,0,m_panel_ppr12,2015-2024,10,2013,19,73,0.1350877192982456,0.1068599386401287,3.926386473549356,-2.0625094590552395,-0.1267604350849858,3.3157894736842106,0.7184257234691571,3.410205309158117,0.5489862108742515,0.8421052631578947
C3,C3C,QB,2022,0,m_panel_ppr12,2015-2024,10,2013,19,77,0.431578947368421,0.6539102237911932,2.741477232769061,-1.2165736507724652,0.5372590594633749,1.947368421052632,0.7443298835239822,2.885931929285112,-0.1563683196631553,1.0
C3,C3C,QB,2023,0,m_panel_ppr12,2015-2024,10,2013,23,79,0.0563241106719367,0.092781025455621,4.57220797636476,-1.7651268438149044,-0.0060387542655838,4.304347826086956,0.6043988524692273,3.9725670948317897,-0.1543007067703606,1.0
C3,C3C,QB,2024,0,m_panel_ppr12,2015-2024,10,2013,23,85,0.3428853754940711,0.4431451493814355,4.531796537221323,-3.3214181629972,0.0265587788226112,3.869565217391304,0.7100636421490589,3.4053150971592103,-0.0296275434318245,0.9565217391304348
C3,C3C,RB,2015,0,m_panel_ppr12,2015-2024,10,2013,3,114,,,,,,,0.6273765787343033,4.117756548643946,-0.0401204419163273,1.0
C3,C3C,RB,2016,0,m_panel_ppr12,2015-2024,10,2013,9,123,,,,,,,0.5831517052092677,4.560300294991757,0.4759565476400768,1.0
C3,C3C,RB,2017,0,m_panel_ppr12,2015-2024,10,2013,13,122,0.5659340659340659,0.3622079871197862,5.554784202778489,-2.5491479894242137,0.1256404290592081,4.615384615384615,0.5732448953743257,4.913799471716082,-0.3538864402273148,0.8461538461538461
C3,C3C,RB,2018,0,m_panel_ppr12,2015-2024,10,2013,27,120,0.3528693528693529,0.4281135984305002,3.690851612734706,-2.60239736130647,0.4192628953197402,3.0,0.611993444725035,4.330179997405949,0.1212017983511568,0.8518518518518519
C3,C3C,RB,2019,0,m_panel_ppr12,2015-2024,10,2013,34,118,0.3573720397249808,0.5217828366137663,3.985684905435972,-3.563381023355776,0.1950064486775801,2.735294117647059,0.7048809436942499,4.565640579410881,-0.3121237616603856,0.8235294117647058
C3,C3C,RB,2020,0,m_panel_ppr12,2015-2024,10,2013,44,119,0.3819591261451727,0.3497641104865872,4.485061803923111,-1.244682165024953,-0.1594337709023971,4.886363636363637,0.6581185646153745,3.934474491409311,-0.674218864648931,0.8863636363636364
C3,C3C,RB,2021,0,m_panel_ppr12,2015-2024,10,2013,54,116,0.5910043834572136,0.5968023780992363,4.0314975237860855,-2.657647159092028,0.1810373368551011,4.12962962962963,0.5835246679182715,4.613165607869982,0.1507159656467543,0.9629629629629628
C3,C3C,RB,2022,0,m_panel_ppr12,2015-2024,10,2013,41,123,0.35801393728223,0.3087610418791991,4.636081026405932,-3.615212699277966,0.0825548416956613,4.0,0.7084185065739294,4.649643728533584,-0.2490710844218297,0.975609756097561
C3,C3C,RB,2023,0,m_panel_ppr12,2015-2024,10,2013,50,128,0.3787274909963985,0.3726017482404727,4.1320325498175565,-2.944609520642717,0.3051997246621317,3.14,0.7321847864566967,4.407977541763087,0.1427670599040348,0.92
C3,C3C,RB,2024,0,m_panel_ppr12,2015-2024,10,2013,51,112,0.4848978484917168,0.4444266034617454,3.876040515632324,-2.7514328180704086,0.324079656635792,3.07843137254902,0.7817794333604426,4.355072705670133,-0.4108353656181261,0.9215686274509804
C3,C3C,WR,2015,0,m_panel_ppr12,2015-2024,10,2013,17,181,0.4142156862745098,0.3481735588360622,4.01244471549805,-3.096566770202552,-0.0479422483939531,3.235294117647059,0.7633073582167594,3.921011141437455,0.492440033269825,0.9411764705882352
C3,C3C,WR,2016,0,m_panel_ppr12,2015-2024,10,2013,24,188,0.6930434782608694,0.6766039367775721,2.929237398374854,-1.5695012883513293,0.699392218164798,1.875,0.6859529479093999,4.529830590040523,-0.0773492353820826,1.0
C3,C3C,WR,2017,0,m_panel_ppr12,2015-2024,10,2013,32,193,0.3042521994134897,0.2643171366520522,3.904455814445887,-1.8017886963051983,-0.0604800010688025,3.53125,0.716387872297086,4.280654016893632,0.3850078422722651,0.9375
C3,C3C,WR,2018,0,m_panel_ppr12,2015-2024,10,2013,38,186,0.6777917611502,0.6517460576042028,3.9362327551774174,-2.7616660929362875,0.2620542049455071,3.631578947368421,0.7197836283793432,4.225338608223751,-0.0876744123587852,0.9736842105263158
C3,C3C,WR,2019,0,m_panel_ppr12,2015-2024,10,2013,50,185,0.5424729891956783,0.5320568733067358,3.241844684393883,-2.200295785213367,0.1883969054236874,2.72,0.7463999381946455,4.19762024416263,0.301739125600704,0.96
C3,C3C,WR,2020,0,m_panel_ppr12,2015-2024,10,2013,50,190,0.4414405762304921,0.4529602096721671,3.649478188885989,-1.935904505000868,0.2356611001515748,3.06,0.7548627264125106,4.124723010184426,0.2890698566683377,0.98
C3,C3C,WR,2021,0,m_panel_ppr12,2015-2024,10,2013,55,197,0.3931167590242517,0.3685469568837127,4.258620150316722,-1.7711105422067526,0.0380359136909003,3.690909090909091,0.7120584255246559,4.399541086032768,-0.407549840833186,0.9454545454545454
C3,C3C,WR,2022,0,m_panel_ppr12,2015-2024,10,2013,48,193,0.7315656636884161,0.7230373419942334,3.5768444111370488,-2.695479792369452,0.388425524582647,2.4166666666666665,0.7250271172686222,4.4192354884122205,-0.2694432683408314,0.9583333333333334
C3,C3C,WR,2023,0,m_panel_ppr12,2015-2024,10,2013,62,188,0.5767744048001299,0.5877108445809615,4.300773829449365,-3.745533559865468,0.18419309755466,3.0806451612903225,0.7787837697056696,4.338755745605332,-0.570419820616742,0.9516129032258064
C3,C3C,WR,2024,0,m_panel_ppr12,2015-2024,10,2013,58,190,0.4557269637710857,0.4646928718090409,3.3685711714410305,-1.7577670421899367,0.1690086417432172,2.8793103448275863,0.7962474519113832,4.03832616453716,0.0585542659843932,1.0
C3,C3C,TE,2015,0,m_panel_ppr12,2015-2024,10,2013,6,79,,,,,,,0.5900348457324209,3.8702726589440575,-0.8204653694104309,0.8333333333333334
C3,C3C,TE,2016,0,m_panel_ppr12,2015-2024,10,2013,5,85,,,,,,,0.6496918928116818,4.204754730686896,0.3518875688641081,0.8
C3,C3C,TE,2017,0,m_panel_ppr12,2015-2024,10,2013,7,92,,,,,,,0.6099381946464006,4.465365920750142,-0.8943423266197277,1.0
C3,C3C,TE,2018,0,m_panel_ppr12,2015-2024,10,2013,11,89,0.3454545454545455,0.3887312725722107,3.133428782692002,-2.869023541015143,0.233602564418216,1.9090909090909087,0.6105590426107567,4.313302700987389,1.0243259926905914,0.9090909090909092
C3,C3C,TE,2019,0,m_panel_ppr12,2015-2024,10,2013,11,91,0.3,0.1593527632352889,4.860696519098185,-2.1790142726851944,-0.2857415935487382,4.636363636363637,0.523137729289415,4.469656060918917,-0.5087657967807148,0.8181818181818182
C3,C3C,TE,2020,0,m_panel_ppr12,2015-2024,10,2013,16,85,0.3441176470588235,0.5186404751446118,3.835174534717358,-3.3200515563060016,-0.1063856967809532,2.9375,0.624914653215725,4.326679469974134,-1.0979822218152933,1.0
C3,C3C,TE,2021,0,m_panel_ppr12,2015-2024,10,2013,17,90,0.375,0.5708107845573166,3.811294783859029,-2.10708544884912,0.229025849071446,3.3529411764705883,0.6729893229486034,4.361665333400932,-0.1048393956747765,0.9411764705882352
C3,C3C,TE,2022,0,m_panel_ppr12,2015-2024,10,2013,14,89,0.4373626373626373,0.3159943571697023,3.2531786085308334,-2.21911176305724,0.0159371042453496,2.9285714285714284,0.7782533301065353,3.538452127634553,0.2965410677275295,1.0
C3,C3C,TE,2023,0,m_panel_ppr12,2015-2024,10,2013,17,89,0.4926470588235295,0.4149199821793397,3.885145595325976,-2.237932055682222,0.1035727832208943,2.9411764705882355,0.7661792827665346,3.768143702846518,-0.4757928093009319,1.0
C3,C3C,TE,2024,0,m_panel_ppr12,2015-2024,10,2013,18,86,0.3913268461608921,0.4777748465931564,3.05364292636938,-1.888381459312758,0.1399578755579984,3.111111111111111,0.7284131810010253,3.819752112607858,-0.3602100431461174,1.0
C3,C3Ck,QB,2015,0,m_panel_ppr12,2015-2024,10,2013,10,68,0.5757575757575757,0.2926464265452083,4.319209679172821,-3.558147311264295,0.1124498474899977,2.2,0.6106949917842993,3.857505643043584,-0.2938499726378393,0.8
C3,C3Ck,QB,2016,0,m_panel_ppr12,2015-2024,10,2013,12,67,0.3846153846153847,0.245400624170501,3.0776837521303704,-3.0450199806077927,0.3908115018859568,0.9166666666666666,0.7573261853930643,3.295860886973327,0.3501655329320437,0.8333333333333334
C3,C3Ck,QB,2017,0,m_panel_ppr12,2015-2024,10,2013,13,73,0.0494505494505494,-0.2040022620653824,2.4253090995535302,-1.361300092204105,0.4697346447647018,1.1538461538461535,0.7319665868826528,3.222141568100955,-0.1045282487277152,0.7692307692307693
C3,C3Ck,QB,2018,0,m_panel_ppr12,2015-2024,10,2013,18,65,-0.1248710010319917,-0.1496846204526184,4.342968521274165,-3.1343490135853216,0.3754606216395718,3.1666666666666665,0.5948379717563241,3.621126925432825,0.0998558678396737,0.8333333333333334
C3,C3Ck,QB,2019,0,m_panel_ppr12,2015-2024,10,2013,19,72,0.3543859649122807,0.2136980782511841,3.8879845029620586,-3.310337419128289,-0.1145207830334245,2.3157894736842106,0.6784257584696437,3.767224204121528,0.5585195698738059,0.9473684210526316
C3,C3Ck,QB,2020,0,m_panel_ppr12,2015-2024,10,2013,19,73,0.4526315789473684,0.4178975496974583,3.979845416369829,-2.154603851721263,0.1150067497062777,2.894736842105264,0.7579718442467371,3.4503699751868164,-0.4167612507129516,0.9473684210526316
C3,C3Ck,QB,2021,0,m_panel_ppr12,2015-2024,10,2013,19,73,0.1350877192982456,0.1068116827138447,3.926386473549356,-2.0625094590552395,-0.1267604350849858,3.3157894736842106,0.7184257234691571,3.410205309158117,0.5489862108742515,0.8421052631578947
C3,C3Ck,QB,2022,0,m_panel_ppr12,2015-2024,10,2013,19,77,0.431578947368421,0.6544870160739023,2.741477232769061,-1.2165736507724652,0.5372590594633749,1.947368421052632,0.7434188148735326,2.885931929285112,-0.1563683196631553,1.0
C3,C3Ck,QB,2023,0,m_panel_ppr12,2015-2024,10,2013,23,79,0.0563241106719367,0.0934669373482146,4.57220797636476,-1.7651268438149044,-0.0060387542655838,4.304347826086956,0.6047064721543132,3.9725670948317897,-0.1543007067703606,1.0
C3,C3Ck,QB,2024,0,m_panel_ppr12,2015-2024,10,2013,23,85,0.3428853754940711,0.4415368344658459,4.531796537221323,-3.3214181629972,0.0265587788226112,3.869565217391304,0.7103593582490726,3.4053150971592103,-0.0296275434318245,0.9565217391304348
C3,C3Ck,RB,2015,0,m_panel_ppr12,2015-2024,10,2013,3,114,,,,,,,0.6256450059818112,4.117756548643946,-0.0401204419163273,1.0
C3,C3Ck,RB,2016,0,m_panel_ppr12,2015-2024,10,2013,9,123,,,,,,,0.581032300136739,4.560300294991757,0.4759565476400768,1.0
C3,C3Ck,RB,2017,0,m_panel_ppr12,2015-2024,10,2013,13,122,0.5604395604395606,0.3485701759253064,5.554784202778489,-2.5491479894242137,0.1256404290592081,4.615384615384615,0.5811337866965081,4.913799471716082,-0.3538864402273148,0.8461538461538461
C3,C3Ck,RB,2018,0,m_panel_ppr12,2015-2024,10,2013,27,120,0.3528693528693529,0.4249211524562737,3.690851612734706,-2.60239736130647,0.4192628953197402,3.0,0.6093709863063186,4.330179997405949,0.1212017983511568,0.8518518518518519
C3,C3Ck,RB,2019,0,m_panel_ppr12,2015-2024,10,2013,34,118,0.3576776165011459,0.5222392956491021,3.985684905435972,-3.563381023355776,0.1950064486775801,2.735294117647059,0.7005141789557845,4.565640579410881,-0.3121237616603856,0.8235294117647058
C3,C3Ck,RB,2020,0,m_panel_ppr12,2015-2024,10,2013,44,119,0.3983086680761098,0.3548978361195387,4.485061803923111,-1.244682165024953,-0.1594337709023971,4.886363636363637,0.6610751782222423,3.934474491409311,-0.674218864648931,0.8863636363636364
C3,C3Ck,RB,2021,0,m_panel_ppr12,2015-2024,10,2013,54,116,0.6027444253859348,0.6004894798989874,4.0314975237860855,-2.657647159092028,0.1810373368551011,4.12962962962963,0.5841569976452382,4.613165607869982,0.1507159656467543,0.9629629629629628
C3,C3Ck,RB,2022,0,m_panel_ppr12,2015-2024,10,2013,41,123,0.3635888501742161,0.310626108815161,4.636081026405932,-3.615212699277966,0.0825548416956613,4.0,0.7075145892082985,4.649643728533584,-0.2490710844218297,0.975609756097561
