batch,run,position,season,k,universe,targets,S,first_feature_season,n_board_vet,n_vet,rho_points,pearson_points,mae_games,bias_games,rho_games,mae_naive_games,rho_points_fullvet,mae_games_fullvet,bias_games_fullvet
CTRL,CTRL-T2I,QB,2015,0,m_panel_ppr12,2015-2024,10,2013,10,68,0.5757575757575757,0.2789742304278519,4.319209679172821,-3.558147311264295,0.1124498474899977,2.2,0.6117284785609564,3.857505643043584,-0.2938499726378393
CTRL,CTRL-T2I,QB,2016,0,m_panel_ppr12,2015-2024,10,2013,12,67,0.3846153846153847,0.2557177229689605,3.0776837521303704,-3.0450199806077927,0.3908115018859568,0.9166666666666666,0.7568417549972905,3.295860886973327,0.3501655329320437
CTRL,CTRL-T2I,QB,2017,0,m_panel_ppr12,2015-2024,10,2013,13,73,0.0494505494505494,-0.2089642367996081,2.4253090995535302,-1.361300092204105,0.4697346447647018,1.1538461538461535,0.7319665868826528,3.222141568100955,-0.1045282487277152
CTRL,CTRL-T2I,QB,2018,0,m_panel_ppr12,2015-2024,10,2013,18,65,-0.1248710010319917,-0.1495289522922165,4.342968521274165,-3.1343490135853216,0.3754606216395718,3.1666666666666665,0.5948379717563241,3.621126925432825,0.0998558678396737
CTRL,CTRL-T2I,QB,2019,0,m_panel_ppr12,2015-2024,10,2013,19,72,0.3421052631578947,0.2185476214385007,3.8879845029620586,-3.310337419128289,-0.1145207830334245,2.3157894736842106,0.6779987037117459,3.767224204121528,0.5585195698738059
CTRL,CTRL-T2I,QB,2020,0,m_panel_ppr12,2015-2024,10,2013,19,73,0.4526315789473684,0.4220422158667751,3.979845416369829,-2.154603851721263,0.1150067497062777,2.894736842105264,0.7587317390901794,3.4503699751868164,-0.4167612507129516
CTRL,CTRL-T2I,QB,2021,0,m_panel_ppr12,2015-2024,10,2013,19,73,0.1350877192982456,0.1059151506844845,3.926386473549356,-2.0625094590552395,-0.1267604350849858,3.3157894736842106,0.7184257234691571,3.410205309158117,0.5489862108742515
CTRL,CTRL-T2I,QB,2022,0,m_panel_ppr12,2015-2024,10,2013,19,77,0.431578947368421,0.6564763349189887,2.741477232769061,-1.2165736507724652,0.5372590594633749,1.947368421052632,0.7422304644599024,2.885931929285112,-0.1563683196631553
CTRL,CTRL-T2I,QB,2023,0,m_panel_ppr12,2015-2024,10,2013,23,79,0.0563241106719367,0.0932314192177877,4.57220797636476,-1.7651268438149044,-0.0060387542655838,4.304347826086956,0.6040666232093347,3.9725670948317897,-0.1543007067703606
CTRL,CTRL-T2I,QB,2024,0,m_panel_ppr12,2015-2024,10,2013,23,85,0.341897233201581,0.4415614310631083,4.531796537221323,-3.3214181629972,0.0265587788226112,3.869565217391304,0.7118280815458061,3.4053150971592103,-0.0296275434318245
CTRL,CTRL-T2I,RB,2015,0,m_panel_ppr12,2015-2024,10,2013,3,114,,,,,,,0.6260533957819273,4.117756548643946,-0.0401204419163273
CTRL,CTRL-T2I,RB,2016,0,m_panel_ppr12,2015-2024,10,2013,9,123,,,,,,,0.5802293966813484,4.560300294991757,0.4759565476400768
CTRL,CTRL-T2I,RB,2017,0,m_panel_ppr12,2015-2024,10,2013,13,122,0.5494505494505494,0.3579436636107407,5.554784202778489,-2.5491479894242137,0.1256404290592081,4.615384615384615,0.5816438298615321,4.913799471716082,-0.3538864402273148
CTRL,CTRL-T2I,RB,2018,0,m_panel_ppr12,2015-2024,10,2013,27,120,0.3473748473748474,0.4219533071729779,3.690851612734706,-2.60239736130647,0.4192628953197402,3.0,0.614216223652129,4.330179997405949,0.1212017983511568
CTRL,CTRL-T2I,RB,2019,0,m_panel_ppr12,2015-2024,10,2013,34,118,0.3576776165011459,0.5207696436834641,3.985684905435972,-3.563381023355776,0.1950064486775801,2.735294117647059,0.7000997063704385,4.565640579410881,-0.3121237616603856
CTRL,CTRL-T2I,RB,2020,0,m_panel_ppr12,2015-2024,10,2013,44,119,0.3978858350951373,0.3524414536078378,4.485061803923111,-1.244682165024953,-0.1594337709023971,4.886363636363637,0.6608138794410058,3.934474491409311,-0.674218864648931
CTRL,CTRL-T2I,RB,2021,0,m_panel_ppr12,2015-2024,10,2013,54,116,0.6006098723079855,0.6002128748209256,4.0314975237860855,-2.657647159092028,0.1810373368551011,4.12962962962963,0.5826455753710251,4.613165607869982,0.1507159656467543
CTRL,CTRL-T2I,RB,2022,0,m_panel_ppr12,2015-2024,10,2013,41,123,0.3621951219512196,0.3112866184119252,4.636081026405932,-3.615212699277966,0.0825548416956613,4.0,0.7062834472766147,4.649643728533584,-0.2490710844218297
CTRL,CTRL-T2I,RB,2023,0,m_panel_ppr12,2015-2024,10,2013,50,128,0.3758463385354141,0.3729019700700868,4.1320325498175565,-2.944609520642717,0.3051997246621317,3.14,0.7335954520485792,4.407977541763087,0.1427670599040348
CTRL,CTRL-T2I,RB,2024,0,m_panel_ppr12,2015-2024,10,2013,51,112,0.482906853219821,0.4457016571909654,3.876040515632324,-2.7514328180704086,0.324079656635792,3.07843137254902,0.7830105956327055,4.355072705670133,-0.4108353656181261
CTRL,CTRL-T2I,TE,2015,0,m_panel_ppr12,2015-2024,10,2013,6,79,,,,,,,0.5864779891022522,3.8702726589440575,-0.8204653694104309
CTRL,CTRL-T2I,TE,2016,0,m_panel_ppr12,2015-2024,10,2013,5,85,,,,,,,0.6583956729051187,4.204754730686896,0.3518875688641081
CTRL,CTRL-T2I,TE,2017,0,m_panel_ppr12,2015-2024,10,2013,7,92,,,,,,,0.6123747713122716,4.465365920750142,-0.8943423266197277
CTRL,CTRL-T2I,TE,2018,0,m_panel_ppr12,2015-2024,10,2013,11,89,0.3454545454545455,0.3866853064258948,3.133428782692002,-2.869023541015143,0.233602564418216,1.9090909090909087,0.6077872956529016,4.313302700987389,1.0243259926905914
CTRL,CTRL-T2I,TE,2019,0,m_panel_ppr12,2015-2024,10,2013,11,91,0.3090909090909091,0.1880550939155068,4.860696519098185,-2.1790142726851944,-0.2857415935487382,4.636363636363637,0.5359804016567612,4.469656060918917,-0.5087657967807148
CTRL,CTRL-T2I,TE,2020,0,m_panel_ppr12,2015-2024,10,2013,16,85,0.3294117647058824,0.5208227482942527,3.835174534717358,-3.3200515563060016,-0.1063856967809532,2.9375,0.6241597359220694,4.326679469974134,-1.0979822218152933
CTRL,CTRL-T2I,TE,2021,0,m_panel_ppr12,2015-2024,10,2013,17,90,0.375,0.5745745006823532,3.811294783859029,-2.1070854488491197,0.229025849071446,3.3529411764705883,0.6754724035040717,4.361665333400932,-0.1048393956747765
CTRL,CTRL-T2I,TE,2022,0,m_panel_ppr12,2015-2024,10,2013,14,89,0.3758241758241759,0.332764846775024,3.2531786085308334,-2.21911176305724,0.0159371042453496,2.9285714285714284,0.7820702780300438,3.538452127634553,0.2965410677275295
CTRL,CTRL-T2I,TE,2023,0,m_panel_ppr12,2015-2024,10,2013,17,89,0.4926470588235295,0.417895321988099,3.885145595325976,-2.237932055682222,0.1035727832208943,2.9411764705882355,0.7661105917783002,3.768143702846518,-0.4757928093009319
CTRL,CTRL-T2I,TE,2024,0,m_panel_ppr12,2015-2024,10,2013,18,86,0.3861642228606165,0.4793716850985742,3.05364292636938,-1.888381459312758,0.1399578755579984,3.111111111111111,0.7435381730518528,3.819752112607858,-0.3602100431461174
CTRL,CTRL-T2I,WR,2015,0,m_panel_ppr12,2015-2024,10,2013,17,181,0.43137254901960786,0.34967432947504884,4.01244471549805,-3.096566770202552,-0.04794224839395319,3.235294117647059,0.764463589694664,3.921011141437455,0.492440033269825
CTRL,CTRL-T2I,WR,2016,0,m_panel_ppr12,2015-2024,10,2013,24,188,0.6930434782608694,0.6773065902282845,2.929237398374854,-1.5695012883513293,0.699392218164798,1.875,0.6874646555762595,4.529830590040523,-0.07734923538208262
CTRL,CTRL-T2I,WR,2017,0,m_panel_ppr12,2015-2024,10,2013,32,193,0.30461876832844575,0.2637943349250515,3.9044558144458867,-1.8017886963051986,-0.06048000106880259,3.53125,0.7177303725652112,4.280654016893632,0.3850078422722651
CTRL,CTRL-T2I,WR,2018,0,m_panel_ppr12,2015-2024,10,2013,38,186,0.686545933073354,0.6523564006021036,3.9362327551774174,-2.7616660929362875,0.2620542049455071,3.6315789473684212,0.7254750467817547,4.225338608223751,-0.0876744123587852
CTRL,CTRL-T2I,WR,2019,0,m_panel_ppr12,2015-2024,10,2013,50,185,0.5414165666266506,0.5320570335830861,3.241844684393883,-2.200295785213367,0.18839690542368745,2.72,0.7442967511952076,4.19762024416263,0.30173912560070404
CTRL,CTRL-T2I,WR,2020,0,m_panel_ppr12,2015-2024,10,2013,50,190,0.4442256902761105,0.45350619134005177,3.6494781888859893,-1.9359045050008674,0.2356611001515748,3.06,0.7557253830566463,4.124723010184426,0.28906985666833773
CTRL,CTRL-T2I,WR,2021,0,m_panel_ppr12,2015-2024,10,2013,55,197,0.3931167590242517,0.3702560386660353,4.258620150316722,-1.7711105422067526,0.03803591369090038,3.690909090909091,0.7121310622313779,4.399541086032768,-0.40754984083318607
CTRL,CTRL-T2I,WR,2022,0,m_panel_ppr12,2015-2024,10,2013,48,193,0.7377534130325681,0.7229942528446943,3.5768444111370488,-2.695479792369452,0.38842552458264706,2.4166666666666665,0.7254377887961833,4.4192354884122205,-0.26944326834083143
CTRL,CTRL-T2I,WR,2023,0,m_panel_ppr12,2015-2024,10,2013,62,188,0.5759685725894417,0.587559902775751,4.300773829449365,-3.745533559865468,0.18419309755466,3.0806451612903225,0.7789491891484779,4.338755745605332,-0.570419820616742
CTRL,CTRL-T2I,WR,2024,0,m_panel_ppr12,2015-2024,10,2013,58,190,0.45338911367006635,0.46482321067331084,3.3685711714410305,-1.7577670421899367,0.16900864174321725,2.8793103448275863,0.794561134173326,4.0383261645371595,0.05855426598439327
