batch,run,position,season,k,universe,targets,S,first_feature_season,n_board_vet,n_vet,rho_points_fullvet,mae_games_fullvet,bias_games_fullvet,rho_points,pearson_points,mae_games,bias_games,rho_games,mae_naive_games
CTRL,CTRL-T2P,QB,2014,0,m_panel_ppr12,2014-2024,11,2012,9,61,0.782832244328365,3.249300719733613,-0.1989978734170689,,,,,,
CTRL,CTRL-T2P,QB,2015,0,m_panel_ppr12,2014-2024,11,2012,10,68,0.6326842689802341,3.66407326773851,-0.5957709834849281,0.5272727272727272,0.2703119431891242,4.0939605632185,-3.307585825213205,0.3027495893961478,2.2
CTRL,CTRL-T2P,QB,2016,0,m_panel_ppr12,2014-2024,11,2012,12,67,0.7708498672750832,3.132516073944255,0.0782730230534416,0.4055944055944056,0.1809434919609419,3.005041253448226,-2.8805229053998187,0.1554841459116172,0.9166666666666666
CTRL,CTRL-T2P,QB,2017,0,m_panel_ppr12,2014-2024,11,2012,13,73,0.7123934353438925,3.1847609734078905,-0.2247789838752757,-0.0054945054945054,-0.2483773104991277,2.383283732727697,-1.2657179920969133,0.3643454616444161,1.1538461538461535
CTRL,CTRL-T2P,QB,2018,0,m_panel_ppr12,2014-2024,11,2012,18,65,0.6149548716823983,3.510019443630551,0.0092734618717846,-0.0959752321981424,-0.1328997575797922,4.319094195402162,-3.010241393573173,0.3397610871230223,3.1666666666666665
CTRL,CTRL-T2P,QB,2019,0,m_panel_ppr12,2014-2024,11,2012,19,72,0.6761919335821783,3.710986037907938,0.4705208424056448,0.3578947368421052,0.1951951846232903,3.81754973117666,-3.232491347139625,-0.0335664364063485,2.3157894736842106
CTRL,CTRL-T2P,QB,2020,0,m_panel_ppr12,2014-2024,11,2012,19,73,0.7568731458199719,3.4318057627699203,-0.4637927200987257,0.4350877192982456,0.419654144834247,3.917341505016233,-2.0962551050752607,0.0779384584786345,2.894736842105264
CTRL,CTRL-T2P,QB,2021,0,m_panel_ppr12,2014-2024,11,2012,19,73,0.7119570706900962,3.396125198856095,0.4677615551628972,0.1245614035087719,0.101659774986858,3.961307163545644,-1.965536514474643,-0.1068409381430594,3.3157894736842106
CTRL,CTRL-T2P,QB,2022,0,m_panel_ppr12,2014-2024,11,2012,19,77,0.740579977774305,2.849814613584522,-0.2152570560326495,0.4105263157894737,0.6502106846825584,2.680122727630443,-1.1421448053423946,0.5764620422434554,1.947368421052632
CTRL,CTRL-T2P,QB,2023,0,m_panel_ppr12,2014-2024,11,2012,23,79,0.6077211450681542,3.971689725066189,-0.2202364988826536,0.0622529644268774,0.0955991164331629,4.585680060975074,-1.7147919118942074,-0.0085549018762437,4.304347826086956
CTRL,CTRL-T2P,QB,2024,0,m_panel_ppr12,2014-2024,11,2012,23,85,0.7095214959657009,3.389181651210672,-0.0985398928880338,0.3438735177865613,0.4454816532777185,4.536033067591318,-3.2858053329824566,0.0214513213567244,3.869565217391304
CTRL,CTRL-T2P,RB,2014,0,m_panel_ppr12,2014-2024,11,2012,3,118,0.641668575648497,4.570053773156106,0.3177897829903051,,,,,,
CTRL,CTRL-T2P,RB,2015,0,m_panel_ppr12,2014-2024,11,2012,3,114,0.6216675964150773,4.17049090085758,-0.0545785248287993,,,,,,
CTRL,CTRL-T2P,RB,2016,0,m_panel_ppr12,2014-2024,11,2012,9,123,0.5918666208525953,4.572824463226325,0.4512374800245358,,,,,,
CTRL,CTRL-T2P,RB,2017,0,m_panel_ppr12,2014-2024,11,2012,13,122,0.5949083076992979,4.930823197766117,-0.3244984953298264,0.5439560439560439,0.369976837801329,5.46866327828698,-2.409781073928732,0.1256404290592081,4.615384615384615
CTRL,CTRL-T2P,RB,2018,0,m_panel_ppr12,2014-2024,11,2012,27,120,0.6170861478540549,4.339342972744167,0.1387636764419329,0.3571428571428571,0.4161002965977658,3.64520603721536,-2.529361714068404,0.4202071811200099,3.0
CTRL,CTRL-T2P,RB,2019,0,m_panel_ppr12,2014-2024,11,2012,34,118,0.6988857658556673,4.581308610302302,-0.2976160402159429,0.3561497326203208,0.523548123423778,3.941914431155392,-3.4955709841290106,0.1816959756181729,2.735294117647059
CTRL,CTRL-T2P,RB,2020,0,m_panel_ppr12,2014-2024,11,2012,44,119,0.6602805435724546,3.926569630146272,-0.6761802916606015,0.3881606765327696,0.3514725052990103,4.483259115401581,-1.1967769928341645,-0.1644759970645665,4.886363636363637
CTRL,CTRL-T2P,RB,2021,0,m_panel_ppr12,2014-2024,11,2012,54,116,0.5859603244816501,4.593731626792327,0.1498093052496733,0.5990851915380216,0.6000501422221,4.015012522706028,-2.632807830053965,0.179579215023712,4.12962962962963
CTRL,CTRL-T2P,RB,2022,0,m_panel_ppr12,2014-2024,11,2012,41,123,0.7078094153024649,4.6421510425362085,-0.2406788429488112,0.3731707317073172,0.3160638963698141,4.614357877065904,-3.580884064069682,0.0983897143484929,4.0
CTRL,CTRL-T2P,RB,2023,0,m_panel_ppr12,2014-2024,11,2012,50,128,0.7338682968338405,4.3993612198269005,0.1454393553612762,0.3772869147659063,0.370897348901292,4.124285387477347,-2.925103606476392,0.3045650107890542,3.14
CTRL,CTRL-T2P,RB,2024,0,m_panel_ppr12,2014-2024,11,2012,51,112,0.7839059863761692,4.357450281912315,-0.4030306699397685,0.4845810992439152,0.4464022486610283,3.875415011171378,-2.7410805382444323,0.3260962744963457,3.07843137254902
CTRL,CTRL-T2P,TE,2014,0,m_panel_ppr12,2014-2024,11,2012,3,80,0.7047988880520123,3.809904578653085,-0.5448983081035086,,,,,,
CTRL,CTRL-T2P,TE,2015,0,m_panel_ppr12,2014-2024,11,2012,6,79,0.5700192215087432,3.7858459264495696,-0.4700553185316317,,,,,,
CTRL,CTRL-T2P,TE,2016,0,m_panel_ppr12,2014-2024,11,2012,5,85,0.6593211879829275,4.203166948846,0.5161880994954696,,,,,,
CTRL,CTRL-T2P,TE,2017,0,m_panel_ppr12,2014-2024,11,2012,7,92,0.6163449122055439,4.48601226102326,-0.7612244047236771,,,,,,
CTRL,CTRL-T2P,TE,2018,0,m_panel_ppr12,2014-2024,11,2012,11,89,0.6164898924677821,4.311879673098682,1.0863231297074234,0.2454545454545454,0.3839109600305448,3.063820137320642,-2.615596510754945,0.1043756138889901,1.9090909090909087
CTRL,CTRL-T2P,TE,2019,0,m_panel_ppr12,2014-2024,11,2012,11,91,0.5304603056392176,4.4594515365653935,-0.4437828034054566,0.3090909090909091,0.1833926270073427,4.722666238871451,-2.0513218282488626,-0.2857415935487382,4.636363636363637
CTRL,CTRL-T2P,TE,2020,0,m_panel_ppr12,2014-2024,11,2012,16,85,0.6325912797213402,4.289479391459962,-1.0636886553452485,0.3647058823529411,0.5235131487492185,3.7180769953872463,-3.1816377656347115,-0.0059935603820255,2.9375
CTRL,CTRL-T2P,TE,2021,0,m_panel_ppr12,2014-2024,11,2012,17,90,0.6709890662523593,4.365104192023898,-0.0740111258864436,0.375,0.5620811929542489,3.805844813087336,-2.0048274026921824,0.179237621012436,3.3529411764705883
CTRL,CTRL-T2P,TE,2022,0,m_panel_ppr12,2014-2024,11,2012,14,89,0.7834887384070233,3.493176037332559,0.3272343015287291,0.3934065934065934,0.3317702499804855,3.2127346276642306,-2.1296638222886832,-0.0227672917790708,2.9285714285714284
CTRL,CTRL-T2P,TE,2023,0,m_panel_ppr12,2014-2024,11,2012,17,89,0.7628992880783418,3.7576046559499785,-0.4375649095012279,0.4975490196078431,0.4130379983065978,3.8735957369050986,-2.198997816480559,0.0611453780460701,2.9411764705882355
CTRL,CTRL-T2P,TE,2024,0,m_panel_ppr12,2014-2024,11,2012,18,86,0.7434719183933073,3.800127637402837,-0.3201037662874345,0.3593185816991832,0.4645822611900796,3.0315350560039067,-1.825960415394188,0.1316021814948344,3.111111111111111
CTRL,CTRL-T2P,WR,2014,0,m_panel_ppr12,2014-2024,11,2012,8,179,0.712502620677925,4.54979671719319,-0.15826219778592757,,,,,,
CTRL,CTRL-T2P,WR,2015,0,m_panel_ppr12,2014-2024,11,2012,17,181,0.7612490815994518,3.9708473522994066,0.518408923190736,0.42892156862745107,0.3713323818858835,3.9792348032226763,-3.0700938461317304,-0.0386201445395734,3.235294117647059
CTRL,CTRL-T2P,WR,2016,0,m_panel_ppr12,2014-2024,11,2012,24,188,0.6943911753532362,4.578542891582823,-0.003036037580192051,0.6582608695652173,0.6714267103028416,3.0067769704450353,-1.6042024252975946,0.6815529137119353,1.875
CTRL,CTRL-T2P,WR,2017,0,m_panel_ppr12,2014-2024,11,2012,32,193,0.7220434051023501,4.283807006227383,0.41213572036383384,0.30095307917888564,0.2601535354749987,3.897003669835102,-1.7969895899032973,-0.0793800014028034,3.53125
CTRL,CTRL-T2P,WR,2018,0,m_panel_ppr12,2014-2024,11,2012,38,186,0.7296088713566679,4.212268634863613,-0.039415849136820995,0.6916890090782069,0.6595019291540141,3.890830670761155,-2.7337339389729216,0.2847572031101374,3.6315789473684212
CTRL,CTRL-T2P,WR,2019,0,m_panel_ppr12,2014-2024,11,2012,50,185,0.7442160810089276,4.217341505244713,0.3506882206812709,0.5429531812725089,0.5332789556947701,3.2499946744976893,-2.2025840310641573,0.18687241989298156,2.72
CTRL,CTRL-T2P,WR,2020,0,m_panel_ppr12,2014-2024,11,2012,50,190,0.7582867277839869,4.144543751890124,0.3404884279056207,0.45344537815126046,0.45599154886068083,3.6451735139913404,-1.9335749275475465,0.24506195022027796,3.06
CTRL,CTRL-T2P,WR,2021,0,m_panel_ppr12,2014-2024,11,2012,55,197,0.712831374827708,4.3989670642611225,-0.35466922693925257,0.40264074033859526,0.37416425791881364,4.250056788732576,-1.7593123001888935,0.03457810335536398,3.690909090909091
CTRL,CTRL-T2P,WR,2022,0,m_panel_ppr12,2014-2024,11,2012,48,193,0.7246509488816966,4.418278045670636,-0.21923415910593197,0.7394903251291721,0.7259378290385182,3.5505151136824336,-2.6763261091895636,0.4035235333551509,2.4166666666666665
CTRL,CTRL-T2P,WR,2023,0,m_panel_ppr12,2014-2024,11,2012,62,188,0.7780306999770846,4.344420069586422,-0.5342253891436312,0.5813575754984195,0.5891326347302022,4.284955082487724,-3.731426807907355,0.17909236562237713,3.0806451612903225
CTRL,CTRL-T2P,WR,2024,0,m_panel_ppr12,2014-2024,11,2012,58,190,0.7958854674754652,4.048605139782749,0.07438388374101428,0.4507436517136496,0.46695223439247313,3.365489606835395,-1.7628254439378328,0.17047529723840393,2.8793103448275863
