player_id,season,entry,position,proj_games,proj_tpg,proj_targets,proj_receptions,proj_rec_yards,proj_rec_tds,proj_carries,proj_rush_yards,proj_rush_tds,proj_fumbles_lost,proj_catch_rate,proj_ypr,proj_td_per_target,p_rec_100,p_rec_150,p_rec_200,proj_bonus_points,proj_points_base,proj_points,entry_act,name,position_act,games,points,targets,receptions,rec_yards,rec_tds,carries,rush_yards,rush_tds,attempts,completions,pass_yards,pass_tds,interceptions,sacks,fumbles_lost,rec_bonus,rush_bonus,pass_bonus,total_bonus,g100,g150,g200,r100,r150,r200,p300,p350,p400,season_len,pts_1,ppg_w,gshare_w,gshare_1,age,evidence,present_1,gshare_max3,inj_missed_share_1,unexp_missed_share_1,inj_out_wks_1,missed_wks_1,games_1,tgt_1,rec_1,recyds_1,rectd_1,carries_1,rushyds_1,rushtd_1,att_1,passyds_1,passtd_1,ints_1,average_pick,n_train_seasons
00-0006101,2014,veteran,TE,8.371173538484694,8.112929437685812,67.91474022834898,44.428392066515286,464.1875058706722,4.1798923846163065,0.013564752170141098,0.035761619357644714,0.0012331592881946454,0.1147513695413927,0.6541789295981137,10.447992472374896,0.06154617348991251,0.0882403755372525,0.007627989624101831,1.3672677693021666e-11,0.8344583342919886,93.49377330660487,94.32823164089686,veteran,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,178.4,11.2840625,1.0,1.0,38.510609171800134,1.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,121.0,83.0,859.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2
00-0021547,2014,veteran,TE,10.478769489441962,5.794516830577281,60.71940617031115,39.289993342564934,437.7893533817657,3.4417121272468756,0.034187619236830405,0.0901309961698256,0.0031079653851664004,0.45258652185977905,0.6470747298213176,11.142515336277373,0.05668224286636232,0.02450700924084281,0.0017707951681844205,1.3672886040858283e-11,0.28463693256759914,83.19669262114871,83.48132955371631,veteran,Antonio Gates,TE,16.0,188.6,98.0,69.0,821.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,147.7,9.19639344262295,0.9575819672131147,1.0,34.20396988364134,0.953125,1.0,1.0,0.0,0.0,0.0,0.0,16.0,113.0,77.0,872.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2
00-0021756,2014,veteran,TE,1.8434910300845315,0.6797654147579184,1.2531414446679139,0.8061706286236189,8.612777274425296,0.07150091575615819,0.023865237513134647,0.06291744435280952,0.0021695670466486045,0.035045524858470296,0.643319740204791,10.683566193834121,0.05705733862717001,1.3574804298296584e-06,4.0689397495355196e-08,1.3674404077221327e-11,2.6150692221421327e-06,1.6425866332895203,1.6425892483587423,veteran,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,2.135483870967742,0.6512096774193549,0.0,33.50581793292265,0.29062499999999997,0.0,0.6875,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2
00-0022127,2014,veteran,TE,11.397001885172905,6.30737314803652,71.88514365866118,46.81458548575184,505.4267730284217,3.8963845722897443,0.018467841497284955,0.048687945765569424,0.0016788946815713597,0.15622917969350333,0.6512414541180558,10.796352627799083,0.05420291834974003,0.032282658744976545,0.002408711492198888,1.367284223304115e-11,0.4091036570126926,97.03076128273553,97.43986493974822,veteran,Jason Witten,TE,16.0,132.3,90.0,64.0,703.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,172.6,10.8878125,1.0,1.0,32.323066392881586,1.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,111.0,73.0,851.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2
00-0022165,2014,veteran,TE,5.543957470206587,4.4152194034080825,24.47778859412531,15.609787780263009,165.37358758757998,1.3842742461847442,0.05129410143357433,0.13522990377942323,0.004663100130324939,0.10728468617230227,0.6377123374621092,10.594223952017982,0.05655225923950381,0.005081883899666716,0.00031379307078787034,1.367313213663255e-11,0.030783231518226612,32.47483034481325,32.50561357633148,veteran,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,67.8,5.985425101214575,0.8013663967611336,0.6875,35.22245037645448,0.7718750000000001,1.0,1.0,0.0,0.3125,0.0,5.0,11.0,52.0,31.0,343.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2
00-0022922,2014,veteran,TE,8.255965711147695,3.008569924245088,24.838650134157668,15.96038552933148,178.63881243327597,1.2955238053159106,0.06924578800019396,0.18255707745505678,0.006295071636381269,0.17451371928461368,0.6425625162046565,11.192637678142507,0.052157576934276695,0.001136107946407505,6.131181709880636e-05,1.3673364183960559e-11,0.010138950864960293,33.324215538883365,33.33435448974833,veteran,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,66.3,6.053225806451612,0.7923387096774194,0.75,31.11567419575633,0.58125,1.0,1.0,0.0,0.25,0.0,4.0,12.0,47.0,31.0,388.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2
00-0022943,2014,veteran,TE,9.584966659486158,3.6381739480404187,34.87177599337854,22.26438264874557,243.24494253790485,1.9151365136563634,0.04993948942570059,0.13165865394048337,0.004539953584154599,0.13635626258397426,0.638464259835035,10.925294735338635,0.05491938563782957,0.0023868602013875943,0.00013760207460862046,1.3673249301863033e-11,0.024856342659369417,46.715197721832475,46.740054064491844,veteran,Benjamin Watson,TE,15.0,35.6,31.0,20.0,136.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,44.1,4.343252595155709,0.9080882352941178,0.875,33.70294318959617,0.903125,1.0,1.0,0.0625,0.0625,1.0,2.0,14.0,30.0,19.0,226.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2
00-0023465,2014,veteran,TE,10.970565188298412,4.980847757730949,54.64271501917735,35.70431241007463,388.5545713375683,2.7941172947990442,0.06524600793263077,0.1726686249992707,0.005913714124230108,0.36344750728021374,0.6534139527573598,10.882566981682876,0.05113430571336772,0.011353138970237205,0.0007567798276295242,1.3673006981282263e-11,0.137003805113098,72.79817124027329,72.93517504538639,veteran,Heath Miller,TE,16.0,128.1,91.0,66.0,761.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,92.3,7.9297945205479445,0.9148116438356164,0.875,31.860369609856264,0.9125000000000001,1.0,1.0,0.125,0.0,2.0,2.0,14.0,78.0,58.0,593.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2
00-0023506,2014,veteran,TE,3.4653794684142922,0.7034697530476849,2.43778963886192,1.5650404083694387,15.787215564382642,0.14207140534921597,0.06816740737652034,0.17971407399264452,0.006197037034229122,0.05782879805354314,0.6419915744248041,10.087417219361635,0.05827877971273268,1.2273806709473685e-06,3.64679532490916e-08,1.3674419643018788e-11,4.442997495802457e-06,3.1531662262158315,3.1531706692133272,veteran,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,8.7,1.402325581395349,0.5414244186046512,0.5,32.27926078028747,0.5375,1.0,0.625,0.0,0.5,0.0,8.0,8.0,6.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2
00-0023630,2014,veteran,TE,5.142276652093251,2.4115955238720304,12.401091356699734,8.022405956495618,82.94453305563398,0.8176692330111803,0.0441403392095814,0.11636998518889642,0.004012758109961946,0.07993052601899511,0.6469112859298052,10.33910942744989,0.06593526404185641,0.00029308365723219323,1.4041891595761464e-05,1.3673573635618767e-11,0.0016154283252779685,17.087524177018956,17.089139605344233,veteran,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,14.2,4.215837104072398,0.8040158371040724,0.4375,32.101300479123886,0.690625,1.0,1.0,0.125,0.4375,2.0,9.0,7.0,9.0,7.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2
