player_id,season,entry,position,proj_games,proj_tpg,proj_targets,proj_receptions,proj_rec_yards,proj_rec_tds,proj_carries,proj_rush_yards,proj_rush_tds,proj_fumbles_lost,proj_catch_rate,proj_ypr,proj_td_per_target,p_rec_100,p_rec_150,p_rec_200,proj_bonus_points,proj_points_base,proj_points,entry_act,name,position_act,games,points,targets,receptions,rec_yards,rec_tds,carries,rush_yards,rush_tds,attempts,completions,pass_yards,pass_tds,interceptions,sacks,fumbles_lost,rec_bonus,rush_bonus,pass_bonus,total_bonus,g100,g150,g200,r100,r150,r200,p300,p350,p400,season_len,pts_1,ppg_w,gshare_w,gshare_1,age,evidence,present_1,gshare_max3,inj_missed_share_1,unexp_missed_share_1,inj_out_wks_1,missed_wks_1,games_1,tgt_1,rec_1,recyds_1,rectd_1,carries_1,rushyds_1,rushtd_1,att_1,passyds_1,passtd_1,ints_1,average_pick,n_train_seasons
00-0006101,2014,veteran,TE,8.658297914172241,8.112929437685812,70.24416002814164,45.952249417728304,480.108756005119,4.323259259745183,0.014030012026516395,0.036988213524452314,0.0012754556387742178,0.11868724725165547,0.6541789295981137,10.447992472374896,0.06154617348991251,0.0882403755372525,0.007627989624101831,1.3672677693021666e-11,0.8630795696742654,96.70053292852893,97.5636124982032,veteran,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,178.4,11.2840625,1.0,1.0,38.510609171800134,1.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,121.0,83.0,859.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2
00-0021547,2014,veteran,TE,10.578772859737418,5.794516830577281,61.298877382602626,39.66495452069767,441.9673640596183,3.4745578552360463,0.0345138862808288,0.09099115474036683,0.003137626025529891,0.456905748232864,0.6470747298213176,11.142515336277373,0.05668224286636232,0.02450700924084281,0.0017707951681844205,1.3672886040858283e-11,0.287353344317662,83.99067417288843,84.2780275172061,veteran,Antonio Gates,TE,16.0,188.6,98.0,69.0,821.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,147.7,9.19639344262295,0.9575819672131147,1.0,34.20396988364134,0.953125,1.0,1.0,0.0,0.0,0.0,0.0,16.0,113.0,77.0,872.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2
00-0021756,2014,veteran,TE,1.7583047076599967,0.6797654147579184,1.195234728873298,0.7689180952625139,8.214787368373917,0.0681969126642775,0.022762442986687306,0.060010076964902896,0.002069312998789755,0.03342609773275555,0.643319740204791,10.683566193834121,0.05705733862717001,1.3574804298296584e-06,4.0689397495355196e-08,1.3674404077221327e-11,2.4942288566158288e-06,1.5666839506780315,1.566686444906888,veteran,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,2.135483870967742,0.6512096774193549,0.0,33.50581793292265,0.29062499999999997,0.0,0.6875,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2
00-0022127,2014,veteran,TE,11.502512262533287,6.30737314803652,72.55063697966325,47.24798232382709,510.1058781200552,3.932456252430317,0.018638811805532885,0.04913868566913215,0.001694437436866626,0.1576755074093572,0.6512414541180558,10.796352627799083,0.05420291834974003,0.032282658744976545,0.002408711492198888,1.367284223304115e-11,0.412891028609698,97.92904596687036,98.34193699548005,veteran,Jason Witten,TE,16.0,132.3,90.0,64.0,703.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,172.6,10.8878125,1.0,1.0,32.323066392881586,1.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,111.0,73.0,851.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2
00-0022165,2014,veteran,TE,5.949899835335943,4.4152194034080825,26.27011320130981,16.75277529500149,177.48265329307992,1.485634252011584,0.05504998321387852,0.1451317739274979,0.005004543928534411,0.11514033793027331,0.6377123374621092,10.594223952017982,0.05655225923950381,0.005081883899666716,0.00031379307078787034,1.367313213663255e-11,0.03303725635084637,34.85271825398165,34.885755510332494,veteran,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,67.8,5.985425101214575,0.8013663967611336,0.6875,35.22245037645448,0.7718750000000001,1.0,1.0,0.0,0.3125,0.0,5.0,11.0,52.0,31.0,343.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2
00-0022922,2014,veteran,TE,8.449922290794271,3.008569924245088,25.422182066291803,16.335341275929355,182.8355562502834,1.325959416959804,0.07087257239651414,0.18684587268171907,0.006442961126955831,0.1786135526993943,0.6425625162046565,11.192637678142507,0.052157576934276695,0.001136107946407501,6.131181709880615e-05,1.3673364183960559e-11,0.01037714422716343,34.10709801338296,34.11747515761012,veteran,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,66.3,6.053225806451612,0.7923387096774194,0.75,31.11567419575633,0.58125,1.0,1.0,0.0,0.25,0.0,4.0,12.0,47.0,31.0,388.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2
00-0022943,2014,veteran,TE,9.1608615677849,3.6381739480404187,33.32880789751973,21.279252665474004,232.48210711804376,1.8303976537730258,0.047729821672559326,0.1258331662276564,0.004339074697505394,0.13032292023635286,0.638464259835035,10.925294735338635,0.05491938563782957,0.002386860201387586,0.00013760207460862,1.3673249301863033e-11,0.02375652647247872,44.64819489151462,44.6719514179871,veteran,Benjamin Watson,TE,15.0,35.6,31.0,20.0,136.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,44.1,4.343252595155709,0.9080882352941178,0.875,33.70294318959617,0.903125,1.0,1.0,0.0625,0.0625,1.0,2.0,14.0,30.0,19.0,226.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2
00-0023465,2014,veteran,TE,9.904775923182273,4.980847757730949,49.33418094780991,32.235642179155306,350.8065352122194,2.5226690907039133,0.05890736505938551,0.15589388606942248,0.005339197413159205,0.3281386198123519,0.6534139527573598,10.882566981682876,0.05113430571336772,0.011353138970237205,0.0007567798276295242,1.3673006981282263e-11,0.12369389971958641,65.72583648848428,65.84953038820386,veteran,Heath Miller,TE,16.0,128.1,91.0,66.0,761.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,92.3,7.9297945205479445,0.9148116438356164,0.875,31.860369609856264,0.9125000000000001,1.0,1.0,0.125,0.0,2.0,2.0,14.0,78.0,58.0,593.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2
00-0023506,2014,veteran,TE,3.962322076272063,0.7034697530476849,2.787373732490498,1.7894704510319177,18.051135041278197,0.1624447397328712,0.07794275506971017,0.20548544518378134,0.007085705006337289,0.06612156771295305,0.6419915744248041,10.087417219361635,0.05827877971273268,1.2273806709473685e-06,3.64679532490916e-08,1.3674419643018788e-11,5.080132557747038e-06,3.605336807171502,3.6053418873040597,veteran,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,8.7,1.402325581395349,0.5414244186046512,0.5,32.27926078028747,0.5375,1.0,0.625,0.0,0.5,0.0,8.0,8.0,6.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2
00-0023630,2014,veteran,TE,4.469379841566566,2.4115955238720304,10.778336420405815,6.972627473908779,72.09075844958636,0.7106724578114149,0.038364319077019565,0.10114229574850613,0.003487665370638142,0.06947115176498489,0.6469112859298052,10.33910942744989,0.06593526404185641,0.00029308365723219323,1.4041891595761464e-05,1.3673573635618767e-11,0.0014040401326042972,14.851522247050225,14.852926287182829,veteran,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,14.2,4.215837104072398,0.8040158371040724,0.4375,32.101300479123886,0.690625,1.0,1.0,0.125,0.4375,2.0,9.0,7.0,9.0,7.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2
00-0024221,2014,veteran,TE,11.27259182489013,5.209307092638816,58.72239254582248,37.77191817285993,490.59979857942017,4.749518713473752,0.05399274080607078,0.14069046458910633,0.004879156046093511,0.36509144557491946,0.6432285289361397,12.988479863115039,0.08088087878516853,0.029604029109013236,0.002186138147447853,1.3672856041463623e-11,0.37067930133983074,95.75621231680014,96.12689161813998,veteran,Vernon Davis,TE,13.0,49.9,50.0,26.0,245.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,189.5,10.248867313915856,0.966626213592233,0.9375,30.584531143052704,0.9656250000000001,1.0,1.0,0.0,0.0625,0.0,1.0,15.0,84.0,52.0,850.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2
