season,n,position,n_adp,k,rho_model,top_model,pts_top_model,rho_model_no_bonus,top_model_no_bonus,pts_top_model_no_bonus,rho_b2_prior_points,top_b2_prior_points,pts_top_b2_prior_points,rho_b3_wavg_ppg,top_b3_wavg_ppg,pts_top_b3_wavg_ppg,rho_b1_adp,mae_games,bias_games,mae_naive_games,mae_targets,bias_targets,mae_naive_targets,mae_receptions,bias_receptions,mae_naive_receptions,mae_rec_yards,bias_rec_yards,mae_naive_rec_yards,mae_rec_tds,bias_rec_tds,mae_naive_rec_tds,bonus_actual_rec,bonus_actual_rush,bonus_actual_pass,bonus_pred_total,bonus_actual_total,top_b1_adp,pts_top_b1_adp,adpsub_rho_model,adpsub_top_model,adpsub_pts_top_model,adpsub_rho_model_no_bonus,adpsub_top_model_no_bonus,adpsub_pts_top_model_no_bonus,adpsub_rho_b2_prior_points,adpsub_top_b2_prior_points,adpsub_pts_top_b2_prior_points,adpsub_rho_b3_wavg_ppg,adpsub_top_b3_wavg_ppg,adpsub_pts_top_b3_wavg_ppg,adpsub_rho_b1_adp,adpsub_top_b1_adp,adpsub_pts_top_b1_adp
2014,87,TE,0,10,0.6887558150862411,0.5,126.22,0.6887191728041929,0.4,124.61000000000001,0.6037211048467278,0.6,123.88999999999999,0.4835083714695828,0.6,118.02000000000002,,3.84757168986813,-0.3681624248351855,4.045977011494253,19.378594792885796,1.5295100288361885,20.735632183908045,12.950303165916113,0.8397388091978888,12.873563218390805,149.9106927527484,12.02372732840225,160.31034482758622,1.5112531569918,0.09175525199142426,1.839080459770115,24.5,0.0,0.0,12.31875998619728,24.5,,,,,,,,,,,,,,,,,
2015,84,TE,0,10,0.5655164391388263,0.5,133.25,0.5655164391388263,0.5,133.25,0.5572188480793734,0.5,146.56,0.42327320086306375,0.4,129.69,,3.884230854101813,-0.5862453621875288,3.9285714285714284,22.614333334750704,-4.84992084856581,22.11904761904762,15.094585838630419,-3.067954580923608,15.380952380952381,179.7382016607027,-32.364960820424905,171.32142857142858,1.7819206860629453,-0.021023078512702353,2.2023809523809526,38.0,0.0,0.0,21.808894475248746,38.0,,,,,,,,,,,,,,,,,
2016,89,TE,0,10,0.6510835798578927,0.6,127.52000000000001,0.6502095846595574,0.6,127.52000000000001,0.5690218474363445,0.6,121.00999999999999,0.5100881678691896,0.6,136.07,,4.200822524451014,0.3975688382975123,4.943820224719101,22.06957282795214,-1.6469283136617916,23.573033707865168,14.690695957777768,-1.6331194730382348,15.426966292134832,165.40223762524928,-22.718593937537158,178.1123595505618,1.4633407357047057,0.09584692511541179,1.8426966292134832,32.5,0.0,0.0,26.759952588644833,32.5,,,,,,,,,,,,,,,,,
2017,99,TE,0,10,0.6236528319005071,0.5,110.83,0.6231041820034038,0.5,110.83,0.48055743869217177,0.6,106.07000000000001,0.33874398432301667,0.6,113.9,,4.362890153456419,-0.8369095493866174,4.646464646464646,19.478541681098257,-0.10289442172898469,23.848484848484848,12.641345190474805,0.14809920802401622,15.696969696969697,138.24165057002395,2.354216882496174,173.65656565656565,1.3886109039689718,-0.09852911811111585,1.707070707070707,18.0,0.0,0.0,27.196797481123777,18.0,,,,,,,,,,,,,,,,,
2018,99,TE,12,10,0.5627945672261779,0.5,118.7,0.560824421514544,0.5,118.7,0.4524007170072258,0.4,114.84,0.2659432904575931,0.4,102.29999999999998,0.6409817185295869,4.275484718351495,0.681776224558353,5.292929292929293,20.861048868601813,2.9076086467598596,24.848484848484848,13.952863935427592,0.8213751452332865,16.373737373737374,158.44437745959655,-1.4610328821381016,185.5050505050505,1.3978625132291487,0.17584904822347783,1.494949494949495,33.5,0.0,0.0,23.202156341039974,33.5,1.0,147.52,0.39860139860139865,1.0,147.52,0.39860139860139865,1.0,147.52,0.5454545454545455,1.0,147.52,0.5874125874125874,1.0,147.52,0.6409817185295869,1.0,147.52
2019,100,TE,11,10,0.5534311377164302,0.5,122.97,0.5498554530622252,0.5,122.97,0.46573783357454346,0.5,105.88,0.366968171650557,0.4,108.97,0.5818181818181819,4.406398454456609,-0.07125660659289611,4.77,18.522840676070373,0.5920971966338235,21.55,12.89894012389308,-0.22252779052384128,14.45,147.71410049892268,3.209794608921092,167.38,1.3498148511994976,-0.009419253876365101,1.56,23.0,0.0,0.0,25.414707172799783,23.0,0.9,125.51000000000002,0.4272727272727273,0.9,121.31000000000002,0.4272727272727273,0.9,121.31000000000002,0.5284751751907181,0.9,127.10999999999999,0.6090909090909091,0.9,127.11000000000001,0.5818181818181819,0.9,125.51000000000002
2020,94,TE,16,10,0.6341800826679004,0.4,135.39600000000002,0.6341655902700744,0.4,135.39600000000002,0.5593624282125254,0.3,132.33599999999998,0.5272030560311741,0.4,136.43599999999998,0.07358353721315752,4.374987974023733,-0.6583994567496951,4.659574468085107,19.461541917556886,-2.9398393547008106,21.46808510638298,13.082807476780399,-2.2137047983633074,15.053191489361701,141.895820054069,-17.05112134956293,153.5531914893617,1.5181773557921874,-0.4106261597977155,1.8936170212765957,27.0,0.0,0.0,24.65310554306927,27.0,0.7,137.946,0.3764705882352941,0.7,138.566,0.3764705882352941,0.7,138.566,0.3235294117647059,0.6,137.21599999999998,0.15,0.6,134.88600000000002,0.07358353721315752,0.7,137.946
2021,97,TE,19,10,0.6715246684294848,0.4,146.802,0.6714586306798556,0.4,146.802,0.542420239186442,0.3,123.172,0.4734574095423547,0.6,152.502,0.3543859649122807,4.3281023463560455,-0.1700701321079043,5.11340206185567,19.595983827089835,-1.0782119710595803,22.515463917525775,13.72591851271943,-1.5023554862453954,15.690721649484535,150.68108987081283,-13.666941955594396,164.35051546391753,1.5149929930675008,0.13385252763219221,1.8144329896907216,31.0,1.0,0.0,26.3015442289738,32.0,0.7,145.14000000000001,0.4052631578947368,0.6,140.07,0.4052631578947368,0.6,140.07,-0.12988153948893946,0.5,123.08999999999999,0.49144366293112235,0.7,148.32,0.3543859649122807,0.7,145.14000000000001
2022,99,TE,12,10,0.721239864329567,0.7,130.51000000000002,0.7211152881769591,0.7,130.51000000000002,0.5425227896356883,0.5,117.35000000000002,0.3887545291584053,0.4,110.00999999999999,0.2027972027972028,3.6145691118549412,0.09045371693581061,4.383838383838384,17.28106039720412,0.19986019169558755,20.95959595959596,12.042917442736528,-0.45208912004444796,14.434343434343434,129.7021178589371,1.2648698758178356,159.65656565656565,1.2700732938084653,0.06020810390530851,1.5252525252525253,19.0,0.0,0.0,26.212844944461853,19.0,0.8,134.18,0.35664335664335667,0.8,137.2,0.3216783216783217,0.8,137.20000000000002,0.2027972027972028,0.9,138.27,0.1258741258741259,0.8,134.18,0.2027972027972028,0.8,134.18
2023,98,TE,19,10,0.7613230230452048,0.6,130.64000000000001,0.7607899286510839,0.6,130.64000000000001,0.6096271726049142,0.6,133.1,0.43719548910009715,0.5,118.75999999999999,0.2614035087719298,3.7146564102704818,-0.41771092346202376,4.285714285714286,18.473808898842204,-1.3645349038073884,19.53061224489796,13.314837092782334,-2.5329032447989803,13.816326530612244,138.92790354773172,-14.083425064205706,148.5,1.17236004527562,0.1939474592096198,1.5,17.5,0.0,0.0,21.749974496697952,17.5,0.5,120.94000000000001,0.3298245614035088,0.7,129.26000000000002,0.3245614035087719,0.7,129.26000000000002,0.37911368283258007,0.7,133.1,0.2580079230388392,0.6,127.25999999999999,0.2614035087719298,0.5,120.94000000000001
2024,95,TE,17,10,0.7296837692529844,0.5,133.30400000000003,0.7303362310155631,0.5,133.30400000000003,0.6127041615602601,0.4,120.80400000000002,0.5613879891626942,0.4,118.88400000000001,0.6568026369626159,3.806343487178239,-0.39957537672408144,4.4526315789473685,17.835560056501162,-1.7280305690158853,20.53684210526316,13.778126229225453,-2.7370793042509605,15.673684210526316,141.32397930055433,-18.105889908097385,168.44210526315788,1.3590313939416006,0.16771289191512792,1.431578947368421,23.0,1.0,0.0,21.454984050025995,24.0,0.8,146.11,0.3114654172182523,0.7,133.96,0.3114654172182523,0.7,133.96,0.08951565140524574,0.5,118.97999999999999,0.14224404880833572,0.5,116.4,0.6568026369626159,0.8,146.11
